,score,score,score,score,score,score,norm,norm,norm,norm,norm,norm,pval,pval,pval,pval,pval,pval
,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
source,,,,,,,,,,,,,,,,,,
2-Oxocarboxylic acid metabolism Homo sapiens hsa01210,0.5349563,-0.3715307,0.6139249,0.1959301,0.6780638,0.62961894,0.8597774,-0.8261317,1.2399045,0.42612487,0.95830685,0.91954607,0.7110423,0.66390043,0.20524018,0.9943609,0.63343406,0.7306533
ABC transporters Homo sapiens hsa02010,0.58045745,0.19739546,0.2705962,0.4398575,0.69831324,0.67192745,0.9594381,0.5159793,0.621674,1.1743256,1.0510826,1.055977,0.569,0.9809359,0.94159114,0.25684932,0.262,0.226
AGE-RAGE signaling pathway in diabetic complications Homo sapiens hsa04933,0.6820232,0.21237358,0.3263341,-0.22520757,0.6431578,0.58627915,1.1509119,0.6793194,0.770779,-0.8153067,1.0041424,0.9553246,0.118,0.96477795,0.938,0.8358586,0.448,0.807
AMPK signaling pathway Homo sapiens hsa04152,0.5969617,-0.18859698,0.3383397,0.22884698,0.6569455,0.6385157,1.0105163,-0.69893503,0.813356,0.77522105,1.0293769,1.0462654,0.45,0.9852071,0.919,0.89415485,0.248,0.152
Acute myeloid leukemia Homo sapiens hsa05221,0.6748056,0.3157136,0.37201896,0.25114438,0.6297274,0.603483,1.1434059,0.926893,0.86626166,0.7552851,0.964682,0.9644091,0.184,0.5823817,0.773,0.85860306,0.723,0.706
Adherens junction Homo sapiens hsa04520,0.5397214,-0.22342871,0.3586359,0.27140456,0.62983483,0.58802897,0.9095882,-0.77882123,0.84536684,0.86272866,0.9765721,0.95328325,0.731,0.8803419,0.857,0.7145038,0.679,0.794
Adipocytokine signaling pathway Homo sapiens hsa04920,0.6462724,0.18778782,0.38189095,-0.26185167,0.67835456,0.6559833,1.0885895,0.57055676,0.89939046,-0.8665497,1.0453326,1.0572423,0.289,0.9820847,0.7207207,0.71428573,0.203,0.157
Adrenergic signaling in cardiomyocytes Homo sapiens hsa04261,0.5132334,-0.22975928,0.35519385,-0.22604926,0.63039917,0.59832853,0.86897624,-0.88082445,0.8568761,-0.84078705,0.988621,0.98122585,0.889,0.73376626,0.872,0.82479787,0.622,0.661
African trypanosomiasis Homo sapiens hsa05143,0.62928784,-0.28394872,-0.21990152,-0.32486022,0.57718265,0.56252784,1.0129805,-0.6454657,-0.7130349,-0.75244826,0.82501763,0.8306574,0.47261664,0.8838863,0.84090906,0.7538126,0.9318637,0.9318637
"Alanine, aspartate and glutamate metabolism Homo sapiens hsa00250",0.63964355,0.48939797,0.54418933,-0.28031412,0.71139914,0.6929472,1.0652542,1.2491432,1.2031236,-0.7926718,1.0593101,1.0740803,0.355,0.16695653,0.1826438,0.758465,0.242,0.196
Alcoholism Homo sapiens hsa05034,0.6022442,0.2592508,0.46574548,0.2369423,0.6351801,0.6194907,1.0190175,0.8425827,1.1184038,0.7748692,0.9912216,1.010291,0.43,0.7324365,0.215,0.8743802,0.575,0.401
Aldosterone synthesis and secretion Homo sapiens hsa04925,0.7350117,-0.22258776,0.44177577,-0.25618836,0.6242772,0.59870774,1.2334763,-0.7617899,1.04367,-0.8662728,0.9636402,0.96484447,0.059,0.88980716,0.4144144,0.6956522,0.743,0.729
Aldosterone-regulated sodium reabsorption Homo sapiens hsa04960,0.5510412,0.1472127,-0.17938477,-0.26595932,0.5792961,0.5632568,0.91180354,0.3645717,-0.8476815,-0.7199584,0.86151975,0.8733003,0.6596597,1.0,0.875,0.85681295,0.94,0.911
Allograft rejection Homo sapiens hsa05330,0.41735417,0.6241998,0.29063746,0.49723732,0.76029867,0.7031002,0.6583424,1.23678,0.5624626,0.9883,1.0624142,1.0141188,0.9264706,0.24813433,0.95038587,0.48412699,0.3069909,0.44579533
Alzheimer's disease Homo sapiens hsa05010,0.5264619,0.27393728,0.42944685,-0.29677436,0.67735213,0.6511048,0.89210165,0.9449603,1.035916,-1.1284388,1.0649188,1.0711331,0.854,0.5485232,0.378,0.19363396,0.047,0.044
Amino sugar and nucleotide sugar metabolism Homo sapiens hsa00520,0.5891793,-0.30992278,0.4740337,-0.33531624,0.66255486,0.63667214,0.9910748,-0.9773613,1.0902886,-1.0420057,1.0146286,1.0187984,0.496,0.47355163,0.326,0.3960177,0.409,0.379
Aminoacyl-tRNA biosynthesis Homo sapiens hsa00970,0.71168554,-0.2608929,0.4988587,0.26948124,0.65442944,0.6175405,1.1667409,-0.69663465,1.0924834,0.6789638,0.96341,0.94564724,0.214,0.8627002,0.34689724,0.899635,0.638,0.698
Amoebiasis Homo sapiens hsa05146,0.477932,0.30203947,0.42239934,-0.30258673,0.6003166,0.58803546,0.8097243,0.9408614,0.9929682,-1.0167091,0.92921734,0.94864404,0.905,0.576,0.5335335,0.4339152,0.923,0.808
Amphetamine addiction Homo sapiens hsa05031,0.46729243,0.21662474,0.4468529,-0.20373763,0.6307501,0.609022,0.78556174,0.6594583,1.063595,-0.66917366,0.97295845,0.98078406,0.928,0.9533437,0.378,0.9640288,0.681,0.623
Amyotrophic lateral sclerosis (ALS) Homo sapiens hsa05014,0.52317876,0.28691712,0.43549776,-0.3844762,0.6792816,0.6470189,0.8720859,0.8391296,1.015204,-1.2074035,1.0444055,1.0363176,0.776,0.6986971,0.49,0.17045455,0.219,0.283
Antigen processing and presentation Homo sapiens hsa04612,0.4609482,-0.27264664,0.39430344,-0.3640374,0.660333,0.6326031,0.7671464,-0.7745443,0.8971014,-1.0323596,0.9884109,0.9855963,0.9,0.80369514,0.6906907,0.41148326,0.541,0.545
Apoptosis Homo sapiens hsa04210,0.5214573,0.32278645,0.39348397,0.24962272,0.6484994,0.63587326,0.88293284,1.0868673,0.9463647,0.86331815,1.0175059,1.0436124,0.848,0.30813953,0.668,0.7138365,0.319,0.154
Arachidonic acid metabolism Homo sapiens hsa00590,0.53819597,0.43288606,0.48380288,0.21988598,0.6551387,0.5991734,0.88986593,1.197454,1.1002456,0.6028865,0.990296,0.943709,0.728,0.23327896,0.31526104,0.96907216,0.528,0.749
Arginine and proline metabolism Homo sapiens hsa00330,0.50870323,0.36203283,0.45522398,0.30611327,0.6233009,0.6026213,0.84660614,1.0313213,1.0303619,0.88661855,0.95007896,0.9589111,0.799,0.42570952,0.42942944,0.6031746,0.778,0.724
Arginine biosynthesis Homo sapiens hsa00220,0.5252331,-0.47339025,0.5349689,-0.4739607,0.7698775,0.6765215,0.8561187,-1.1226864,1.1201503,-1.1139226,1.1167874,1.0167526,0.7344064,0.32743362,0.3396425,0.35146442,0.147,0.423
Arrhythmogenic right ventricular cardiomyopathy (ARVC) Homo sapiens hsa05412,0.605575,-0.30784053,0.36856169,-0.3068124,0.60174,0.5728804,1.0181116,-1.0469233,0.87246114,-1.0430696,0.9292937,0.9233456,0.444,0.37978142,0.805,0.40369394,0.939,0.944
Asthma Homo sapiens hsa05310,0.41584232,0.75856847,0.35361508,0.7110779,0.70297676,0.70295626,0.6423473,1.3997097,0.62369776,1.31829,0.9627472,0.98685664,0.93569845,0.12801485,0.9328537,0.172147,0.59133124,0.5139319
Autoimmune thyroid disease Homo sapiens hsa05320,0.3714799,0.40244707,0.31397745,0.3542463,0.76025736,0.70302516,0.5989417,0.90013385,0.6384564,0.79390275,1.0938982,1.0499061,0.97067744,0.6003584,0.9233998,0.7209738,0.1783567,0.31062123
Axon guidance Homo sapiens hsa04360,0.6587302,-0.20969139,0.42374074,0.24329858,0.6103577,0.5978503,1.1164455,-0.7975178,1.0147502,0.8352719,0.9584687,0.98317933,0.14,0.890625,0.459,0.7964459,0.835,0.633
B cell receptor signaling pathway Homo sapiens hsa04662,0.5855345,0.29742464,0.47331607,0.2988304,0.6162734,0.59448946,0.9923001,0.90332496,1.1077635,0.93380165,0.9517195,0.959506,0.505,0.59738135,0.266,0.5634267,0.827,0.775
Bacterial invasion of epithelial cells Homo sapiens hsa05100,0.5400286,0.41336897,0.49830678,-0.2175015,0.6119983,0.57403266,0.9068224,1.2852691,1.1680244,-0.73376274,0.9477512,0.9290686,0.736,0.11235955,0.135,0.9191919,0.847,0.913
Basal cell carcinoma Homo sapiens hsa05217,0.62140554,-0.24032849,0.42736846,0.31456286,0.6567514,0.6179487,1.0312203,-0.77450705,0.9963392,0.93796384,1.0060394,0.9883159,0.422,0.8603352,0.536,0.5813559,0.445,0.541
Basal transcription factors Homo sapiens hsa03022,0.5743833,0.31724232,0.31799176,0.40618798,0.7658287,0.7524606,0.9584154,0.8741916,0.7252628,1.1740766,1.1617426,1.188139,0.579,0.65534806,0.909,0.21428572,0.009,0.004
Base excision repair Homo sapiens hsa03410,0.63146645,-0.3678665,0.52949876,-0.50855917,0.67562133,0.6370833,1.0429349,-1.0459424,1.182326,-1.4051199,1.0119022,0.99421155,0.388,0.4085779,0.20541082,0.08924485,0.432,0.509
Bile secretion Homo sapiens hsa04976,0.5892181,0.40410897,0.4662722,0.2607394,0.65642583,0.6333777,0.98881406,1.1348644,1.0744007,0.7621826,1.001908,1.0098872,0.499,0.2850163,0.355,0.8415673,0.475,0.425
Biosynthesis of amino acids Homo sapiens hsa01230,0.5538138,-0.32766905,0.46912187,-0.32780305,0.6284987,0.6035559,0.924528,-1.0587391,1.1001428,-1.0726904,0.9691724,0.972391,0.672,0.33838382,0.282,0.3390244,0.688,0.651
Biosynthesis of unsaturated fatty acids Homo sapiens hsa01040,0.43964225,0.36765972,0.37371948,0.29273668,0.4941663,0.4812044,0.7136823,0.86050266,0.7910616,0.6993315,0.71253467,0.72087425,0.90150756,0.6594982,0.7979592,0.85027725,0.998,0.996
Bladder cancer Homo sapiens hsa05219,0.7588447,0.5696549,0.5233905,0.5542736,0.68402225,0.67158157,1.268642,1.5384926,1.176019,1.4776314,1.0294389,1.0522009,0.078,0.023333333,0.20661986,0.04222973,0.333,0.238
Butanoate metabolism Homo sapiens hsa00650,0.47385213,-0.37252408,0.53980565,-0.2885075,0.60828525,0.54753447,0.77955097,-0.96651864,1.1755565,-0.75656676,0.8928001,0.83583766,0.8528529,0.48801744,0.25839266,0.80227274,0.881,0.961
Calcium signaling pathway Homo sapiens hsa04020,0.46295914,-0.36270353,0.45067263,-0.27578965,0.6017002,0.57408804,0.78509223,-1.4238542,1.0917907,-1.0416733,0.9492717,0.9473186,0.981,0.021943573,0.208,0.33030304,0.924,0.926
Carbohydrate digestion and absorption Homo sapiens hsa04973,0.5990925,-0.32686976,0.32028395,-0.21292618,0.5714319,0.5542242,0.99144244,-0.93963265,0.70708007,-0.58899426,0.8541214,0.8634112,0.49198398,0.5224586,0.8946841,0.9737991,0.971,0.951
Carbon metabolism Homo sapiens hsa01200,0.5983442,-0.33503285,0.46240672,0.21332039,0.6167726,0.6033594,1.0114104,-1.2111287,1.1110436,0.70994455,0.96341103,0.98612654,0.469,0.12941177,0.197,0.9432739,0.791,0.616
Cardiac muscle contraction Homo sapiens hsa04260,0.55575866,-0.29028487,0.408149,-0.3767022,0.7168693,0.69691443,0.93065757,-1.0036864,0.959567,-1.266741,1.1025019,1.1181351,0.653,0.45892352,0.605,0.09,0.033,0.023
Cell adhesion molecules (CAMs) Homo sapiens hsa04514,0.48885205,0.3499344,0.40031952,-0.29434806,0.6223882,0.5812716,0.8264856,1.1337413,0.95248187,-1.054913,0.9716407,0.94760436,0.92,0.25433525,0.641,0.34840426,0.745,0.872
Cell cycle Homo sapiens hsa04110,0.631959,-0.27002367,0.424362,0.22916529,0.6399401,0.61663115,1.0781224,-1.0134113,1.0185109,0.79209346,1.0037149,1.0111309,0.246,0.3968254,0.455,0.8676923,0.475,0.378
Central carbon metabolism in cancer Homo sapiens hsa05230,0.5759893,0.2407823,0.4464544,-0.19536357,0.6224424,0.58888537,0.96381,0.7173167,1.0376368,-0.6340934,0.9595367,0.94894904,0.589,0.8857143,0.438,0.9949495,0.762,0.816
Chagas disease (American trypanosomiasis) Homo sapiens hsa05142,0.6605731,0.32800618,0.30886278,0.27828783,0.6583507,0.6365648,1.1160123,1.0272992,0.73008907,0.8833187,1.01999,1.0299368,0.214,0.41494435,0.954,0.6894309,0.325,0.269
