,Term,ES,NES,NOM p-value,FDR p-value,Set size,Tag %,Rank %,Leading edge
248,Thyroid hormone synthesis Homo sapiens hsa04918,0.2368024,0.6865153,0.92077464,1.0,38,0.15789473,0.109678514,ATP1B2;ITPR3;CREB3;CGA;HSP90B1;LRP2
249,Tight junction Homo sapiens hsa04530,0.25016034,0.85100895,0.7580645,1.0,95,0.25263157,0.17346679,PARD3;PARD6A;AKT2;CLDN6;OCLN;MAGI2;RRAS;PPP2R2C;KRAS;MYH10;CSNK2A2;CDC42;LLGL1;YBX3;EPB41L3;MAGI3;AKT3;EPB41L2;GNAI2;SRC;PPP2R2B;MAGI1;EXOC4;ACTN3
250,Toll-like receptor signaling pathway Homo sapiens hsa04620,0.37247694,1.175474,0.22016807,1.0,53,0.24528302,0.15243024,CASP8;TIRAP;IRF5;AKT2;TICAM1;IKBKE;CXCL10;MAP2K4;IKBKB;AKT3;RAC1;SPP1;RIPK1
251,Toxoplasmosis Homo sapiens hsa05145,0.22495885,0.75063485,0.9048362,1.0,76,0.36842105,0.29222158,CASP8;CYCS;HSPA1B;MAPK13;AKT2;MAPK10;STAT1;JAK1;JAK2;BIRC2;HLA-DMB;LAMB3;STAT3;IKBKB;AKT3;GNAI2;BIRC7;GNAI1;PIK3R3;CCR5;TGFB2;TAB1;IRGM;LAMA4;LAMB2;HLA-DMA;LAMC3;TYK2
252,Transcriptional misregulation in cancer Homo sapiens hsa05202,0.38959038,1.3402652,0.04454685,1.0,107,0.1682243,0.106709644,DUSP6;SLC45A3;RUNX1T1;TAF15;SMAD1;CDKN1A;ATF1;PTCRA;SUPT3H;ETV1;MAX;CEBPA;PAX7;MLLT3;DDX5;ETV6;RXRG;PLAT
253,Tryptophan metabolism Homo sapiens hsa00380,-0.3820888,-1.121196,0.29061785,1.0,28,0.4642857,0.25846127,GCDH;KYNU;CYP1B1;ALDH9A1;TPH2;ACMSD;MAOA;OGDH;ASMT;CAT;AADAT;IDO2;ALDH1B1
254,Tuberculosis Homo sapiens hsa05152,-0.22274546,-0.8369964,0.84,1.0,106,0.16981132,0.14954619,CASP9;TLR4;IL18;PPP3CB;BID;RFX5;RHOA;NFYB;BCL2;APAF1;ATP6V0A4;MYD88;RAB5B;ATP6V0D1;RAB5A;RFXANK;NFYC;SPHK2
255,Type I diabetes mellitus Homo sapiens hsa04940,0.54426754,1.2305087,0.2416357,1.0,12,0.33333334,0.15319365,PTPRN;HLA-DMB;HSPD1;HLA-DMA
240,Systemic lupus erythematosus Homo sapiens hsa05322,0.2828908,0.71490824,0.8778761,1.0,20,0.25,0.17372127,SNRPD1;HLA-DMB;C2;HLA-DMA;ACTN3
241,T cell receptor signaling pathway Homo sapiens hsa04660,0.27053028,0.88124603,0.6536585,1.0,65,0.2769231,0.23912121,MAPK13;CD247;AKT2;CBL;KRAS;NFATC3;RASGRP1;DLG1;CDC42;BCL10;IKBKB;AKT3;PLCG1;NRAS;GSK3B;FYN;FOS;PAK4
