,score,score,score,score,score,score,norm,norm,norm,norm,norm,norm,pval,pval,pval,pval,pval,pval
,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
source,,,,,,,,,,,,,,,,,,
2-Oxocarboxylic acid metabolism Homo sapiens hsa01210,0.7082132,-0.58030957,0.52128595,-0.33971006,0.5124623,0.41891953,1.1578785,-1.2258496,1.105563,-0.7292009,0.85063785,0.772279,0.26617953,0.21956521,0.35273573,0.78294575,0.7808642,0.8871473
ABC transporters Homo sapiens hsa02010,0.6663963,0.40373424,0.22841394,0.2708016,0.5877538,0.45520392,1.1731943,1.128932,0.6089139,0.8091473,1.1130598,0.9873709,0.15715715,0.29591838,0.94959676,0.77603143,0.175,0.526
AGE-RAGE signaling pathway in diabetic complications Homo sapiens hsa04933,0.6265656,0.21185239,0.2411955,0.27851018,0.47647876,0.3881033,1.1433688,0.71097666,0.6960879,1.0257708,0.9575492,0.90219367,0.113,0.91214055,0.96,0.42382812,0.718,0.878
AMPK signaling pathway Homo sapiens hsa04152,0.5293178,0.27272195,0.34235153,-0.30861372,0.4854023,0.42901272,0.9759707,0.9577725,1.0038358,-1.1989979,0.98054004,1.0106815,0.598,0.50311524,0.508,0.15830116,0.613,0.433
Acute myeloid leukemia Homo sapiens hsa05221,0.59077394,-0.2301044,0.29863232,-0.2717252,0.44805607,0.34062117,1.0657881,-0.76297206,0.8391904,-0.93518513,0.8829616,0.7733911,0.329,0.8025,0.826,0.55833334,0.922,0.986
Adherens junction Homo sapiens hsa04520,0.45405507,0.15875708,0.24951169,0.22066128,0.46618864,0.41504624,0.8301301,0.5166048,0.7170565,0.80420065,0.9312176,0.9580126,0.91,1.0,0.951,0.83206105,0.802,0.653
Adipocytokine signaling pathway Homo sapiens hsa04920,0.5662076,-0.22731826,0.22455767,-0.26813313,0.46770963,0.40729082,1.0195593,-0.74233985,0.63360405,-0.905836,0.92065424,0.9253693,0.471,0.81954885,0.976,0.60437375,0.816,0.751
Adrenergic signaling in cardiomyocytes Homo sapiens hsa04261,0.47107455,0.35832995,0.3829928,0.24499618,0.528036,0.43299565,0.8728126,1.2404721,1.1353372,0.9581847,1.0690018,1.0202752,0.901,0.16666667,0.176,0.55331993,0.122,0.37
African trypanosomiasis Homo sapiens hsa05143,0.6733738,0.40079355,0.4162163,0.29242063,0.46376303,0.3977605,1.1538817,0.9262581,0.9933087,0.7235889,0.8253578,0.80114704,0.2680203,0.54083484,0.5126051,0.82591873,0.8741188,0.8773869
"Alanine, aspartate and glutamate metabolism Homo sapiens hsa00250",0.66713595,0.4563909,0.41472092,0.36506742,0.54608715,0.48186216,1.1680138,1.2005677,1.0762963,1.0107949,1.0149758,1.0190979,0.21242484,0.2231834,0.38742393,0.43856332,0.454,0.416
Alcoholism Homo sapiens hsa05034,0.46145195,0.30691323,0.32762837,0.22783434,0.48506656,0.37370658,0.8481526,1.0112435,0.94719195,0.8471519,0.971158,0.8676129,0.893,0.40880504,0.637,0.7765151,0.639,0.942
Aldosterone synthesis and secretion Homo sapiens hsa04925,0.66572595,0.54122615,0.54402757,0.35852045,0.5073722,0.41953227,1.217806,1.6969268,1.5523624,1.2856153,1.0046289,0.95557535,0.046,0.015432099,0.0,0.119373776,0.48,0.654
Aldosterone-regulated sodium reabsorption Homo sapiens hsa04960,0.5509244,0.25261143,0.28790995,-0.33878437,0.5845686,0.4891186,0.9707869,0.6936183,0.76959974,-0.98954993,1.1070777,1.0575314,0.579,0.86970687,0.81845844,0.4515464,0.189,0.308
Allograft rejection Homo sapiens hsa05330,0.33276522,0.4206897,0.49622947,0.31866592,0.5038564,0.47327164,0.5529313,0.93905073,1.1307267,0.71186596,0.8707001,0.9108501,0.97805643,0.5330882,0.3351469,0.8118812,0.7852077,0.6585613
Alzheimer's disease Homo sapiens hsa05010,0.45596677,0.2731421,0.3532898,0.18893293,0.49466738,0.43265313,0.8489858,0.96021503,1.0358068,0.7571213,1.0065383,1.0266823,0.932,0.4817073,0.414,0.9313929,0.45,0.35
Amino sugar and nucleotide sugar metabolism Homo sapiens hsa00520,0.59315825,-0.22335824,0.35661697,-0.31917906,0.6073495,0.52708805,1.0619961,-0.70248586,0.9731255,-1.0262399,1.1800528,1.1755143,0.361,0.8710407,0.5535536,0.41525424,0.037,0.061
Aminoacyl-tRNA biosynthesis Homo sapiens hsa00970,0.4910577,0.35396874,0.38878912,0.30047044,0.5674144,0.4766176,0.8556283,0.89148843,0.9763739,0.81157076,1.0408915,0.9940096,0.7532598,0.5985401,0.54385966,0.71428573,0.36736736,0.4914915
Amoebiasis Homo sapiens hsa05146,0.46286213,0.29146904,0.30803803,-0.2083018,0.45194405,0.37461835,0.83839,0.94437075,0.8749047,-0.7530774,0.9021794,0.8641736,0.898,0.51592356,0.772,0.8891129,0.896,0.93
Amphetamine addiction Homo sapiens hsa05031,0.39338404,0.28560892,0.34792838,-0.2738432,0.5431234,0.48191735,0.71687514,0.86580396,0.9792748,-0.9256398,1.0633688,1.0892816,0.973,0.64521194,0.551,0.5575397,0.242,0.197
Amyotrophic lateral sclerosis (ALS) Homo sapiens hsa05014,0.4558171,-0.20243487,0.24244483,0.20236742,0.5454862,0.4756004,0.81948674,-0.655677,0.6680114,0.6604365,1.0541168,1.0571623,0.869,0.9335038,0.9409409,0.94541913,0.304,0.309
Antigen processing and presentation Homo sapiens hsa04612,0.4251654,0.47304043,0.5425383,0.27678782,0.45159596,0.38147247,0.75490326,1.3072203,1.4323968,0.817615,0.85584325,0.828748,0.9258517,0.14107142,0.02112676,0.74563104,0.892,0.9019019
Apoptosis Homo sapiens hsa04210,0.4819806,0.20444456,0.1998245,-0.24474944,0.47399154,0.38624984,0.88588303,0.7223713,0.59091884,-0.9550836,0.9616786,0.91126543,0.867,0.9100775,0.998,0.53360486,0.706,0.876
Arachidonic acid metabolism Homo sapiens hsa00590,0.49404925,-0.3629896,0.32739222,-0.29836562,0.5607451,0.5149062,0.8834407,-1.0765343,0.8849211,-0.9233921,1.082333,1.1342198,0.74,0.3004926,0.71370965,0.5276074,0.222,0.144
Arginine and proline metabolism Homo sapiens hsa00330,0.48370153,-0.21003976,0.36896726,-0.309225,0.4901123,0.4298964,0.8612582,-0.6481965,1.00453,-0.97812057,0.9519853,0.9632724,0.825,0.91729325,0.48445335,0.46346554,0.695,0.609
Arginine biosynthesis Homo sapiens hsa00220,0.63119847,0.49376404,0.4404365,0.3873482,0.59897417,0.45873287,1.0667541,1.1506922,1.0321879,0.9146127,1.0690119,0.92209375,0.38172588,0.2893773,0.45079365,0.59607846,0.30885312,0.6437941
Arrhythmogenic right ventricular cardiomyopathy (ARVC) Homo sapiens hsa05412,0.5509048,0.30797747,0.39817554,0.24592412,0.49534303,0.46410522,1.0066295,0.9928008,1.134905,0.8816519,0.9862566,1.0655965,0.476,0.44122383,0.233,0.68301886,0.549,0.228
Asthma Homo sapiens hsa05310,-0.3312253,0.40837848,0.6132191,-0.52048343,0.4593741,0.40380076,-0.76415485,0.8078363,1.2611853,-1.0676076,0.7562097,0.72813815,0.9318182,0.6947162,0.17437722,0.422,0.90625,0.91622484
Autoimmune thyroid disease Homo sapiens hsa05320,0.2950251,0.37105003,0.47058558,-0.22514422,0.49035454,0.42434606,0.50572157,0.9120949,1.1508464,-0.56463367,0.8805348,0.8618429,0.99393326,0.5724382,0.28794178,0.96066254,0.7965932,0.7758794
Axon guidance Homo sapiens hsa04360,0.54787487,0.29961285,0.2730503,-0.25044173,0.5183572,0.4628589,1.0140908,1.0477005,0.7993231,-0.9829689,1.0529361,1.0907496,0.45,0.36619717,0.924,0.47151276,0.199,0.108
B cell receptor signaling pathway Homo sapiens hsa04662,0.45834097,0.24540551,0.319628,-0.23953003,0.5183689,0.41239417,0.83215827,0.77777535,0.91262263,-0.8483415,1.0265865,0.9445879,0.895,0.7811448,0.6906907,0.6985447,0.379,0.698
Bacterial invasion of epithelial cells Homo sapiens hsa05100,0.5683693,-0.19210236,0.36201367,-0.35203803,0.47573718,0.4313554,1.031159,-0.6402735,1.0378631,-1.2462957,0.94408804,0.9921771,0.415,0.9496021,0.416,0.13157895,0.752,0.509
Basal cell carcinoma Homo sapiens hsa05217,0.44719535,-0.4039743,0.451367,-0.30803502,0.51773703,0.42920542,0.80936694,-1.3151768,1.2724559,-1.0614614,1.0202599,0.9746524,0.897,0.1318408,0.096,0.3340206,0.403,0.576
Basal transcription factors Homo sapiens hsa03022,0.58910036,0.2702997,0.3079989,0.35685703,0.540378,0.44793433,1.0461335,0.7802854,0.83334184,1.1226393,1.0325754,0.9869135,0.383,0.7466216,0.78056115,0.30540037,0.357,0.528
Base excision repair Homo sapiens hsa03410,0.6884556,-0.19541432,0.44429085,-0.26724243,0.5454211,0.44433725,1.2059046,-0.5707617,1.1666123,-0.76386046,1.02696,0.94838536,0.12712713,0.95852536,0.26342452,0.79123175,0.414,0.634
Bile secretion Homo sapiens hsa04976,0.5547951,0.3440259,0.3935135,-0.2470164,0.48987126,0.4377457,0.9953507,1.015091,1.0941924,-0.80558616,0.9571385,0.9808177,0.52,0.4141252,0.33466935,0.7780127,0.671,0.57
Biosynthesis of amino acids Homo sapiens hsa01230,0.5957617,-0.4028953,0.3559105,-0.4706088,0.580002,0.49430877,1.0727497,-1.3180567,1.0018406,-1.5612963,1.136651,1.1150267,0.305,0.11502347,0.514,0.0349345,0.061,0.13
Biosynthesis of unsaturated fatty acids Homo sapiens hsa01040,0.504536,-0.5849498,0.33031183,-0.51578355,0.48187083,0.3959839,0.86405313,-1.442586,0.7876324,-1.2856354,0.85459775,0.7959722,0.7138524,0.0882353,0.766702,0.17427386,0.8138138,0.88597375
Bladder cancer Homo sapiens hsa05219,0.58984876,0.4501767,0.47281492,0.4189315,0.5565816,0.4749609,1.0537096,1.2724947,1.2587852,1.294707,1.0628974,1.0404172,0.385,0.1569966,0.12298387,0.13877551,0.277,0.352
Butanoate metabolism Homo sapiens hsa00650,0.3074748,0.29339263,0.46508843,-0.2221849,0.5799253,0.5165001,0.53986406,0.7648683,1.1797336,-0.61254174,1.068679,1.0788993,0.99196786,0.7432886,0.23377961,0.9372549,0.296,0.291
Calcium signaling pathway Homo sapiens hsa04020,0.495822,0.37747002,0.43878096,0.26596987,0.47372657,0.404525,0.92591363,1.3170383,1.2966872,1.056547,0.9641077,0.9587385,0.787,0.10822511,0.013,0.35018727,0.692,0.708
Carbohydrate digestion and absorption Homo sapiens hsa04973,0.49352777,-0.28055897,0.26101822,-0.25492606,0.3649769,0.3171006,0.86707765,-0.8031292,0.6998213,-0.75253004,0.69599885,0.6919662,0.7667668,0.7175,0.8922457,0.8204593,0.997,0.996
Carbon metabolism Homo sapiens hsa01200,0.56631875,-0.2812624,0.25933114,-0.32026565,0.51108676,0.43983668,1.0426391,-1.0044762,0.7545131,-1.1761546,1.0261023,1.0227919,0.358,0.37950137,0.939,0.19675456,0.354,0.383
Cardiac muscle contraction Homo sapiens hsa04260,0.5351699,0.29452834,0.4961972,-0.27984425,0.6052341,0.52769625,0.9776867,0.9071216,1.415965,-0.9624197,1.1954187,1.2008814,0.566,0.55573773,0.012,0.48496994,0.018,0.026
Cell adhesion molecules (CAMs) Homo sapiens hsa04514,0.47637865,0.25488704,0.3329628,0.23540756,0.5165096,0.4313416,0.8682009,0.8509171,0.9587512,0.86879146,1.0337707,1.0015209,0.866,0.6883117,0.603,0.7137331,0.318,0.475
Cell cycle Homo sapiens hsa04110,0.59351385,0.22738981,0.31926188,0.20696265,0.45603836,0.3814172,1.1029289,0.7981526,0.9405931,0.8000475,0.9195819,0.8906721,0.149,0.8021472,0.641,0.88073397,0.895,0.942
Central carbon metabolism in cancer Homo sapiens hsa05230,0.557254,-0.32381588,0.35338902,-0.3138325,0.5952376,0.50103337,1.0074414,-1.0908507,0.98871994,-1.0928692,1.1790322,1.1481665,0.477,0.28165373,0.532,0.30833334,0.033,0.089
Chagas disease (American trypanosomiasis) Homo sapiens hsa05142,0.64350873,0.27533406,0.23582575,0.3177391,0.44849092,0.32269853,1.172287,0.9097524,0.6779983,1.1563151,0.8963441,0.7458851,0.069,0.58842444,0.957,0.23300971,0.914,1.0
