,score,score,score,score,score,score,norm,norm,norm,norm,norm,norm,pval,pval,pval,pval,pval,pval
,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
source,,,,,,,,,,,,,,,,,,
2-Oxocarboxylic acid metabolism Homo sapiens hsa01210,0.69928753,0.32935584,0.61830705,-0.4160771,0.6087244,0.53807735,1.1287694,0.699123,1.2491386,-0.963782,0.9339758,0.8723026,0.2923077,0.8360656,0.18201517,0.4950298,0.67670685,0.81644934
ABC transporters Homo sapiens hsa02010,0.6262085,0.4137151,0.32660884,0.2989285,0.5802554,0.51869696,1.0653323,1.0952572,0.7580811,0.85455185,0.9585747,0.91479015,0.33833835,0.35054347,0.8633166,0.6625,0.678,0.831
AGE-RAGE signaling pathway in diabetic complications Homo sapiens hsa04933,0.6761318,0.36127827,0.35012034,0.38019174,0.58246124,0.565648,1.1899168,1.1180248,0.86410505,1.3159541,1.0041924,1.0490369,0.023,0.27985525,0.852,0.07979626,0.45,0.193
AMPK signaling pathway Homo sapiens hsa04152,0.57907003,0.20812215,0.3491122,-0.27505141,0.57300484,0.5201885,1.0189189,0.66612446,0.8668644,-1.0451095,0.99298114,0.9717233,0.432,0.9477435,0.851,0.33663365,0.543,0.71
Acute myeloid leukemia Homo sapiens hsa05221,0.59800965,0.2593712,0.32626712,0.32609013,0.6250495,0.55742157,1.0318938,0.74454516,0.7824801,1.0343033,1.0631077,1.0177404,0.42,0.82942706,0.922,0.42003515,0.16,0.38
Adherens junction Homo sapiens hsa04520,0.4763699,0.3533556,0.26144382,0.3703922,0.5692913,0.53926295,0.82903576,1.0492123,0.6382917,1.2340108,0.97546875,0.9909393,0.933,0.3794872,0.991,0.14359862,0.665,0.568
Adipocytokine signaling pathway Homo sapiens hsa04920,0.59359175,-0.21738623,0.40033373,0.2482755,0.61472803,0.5778166,1.0264968,-0.7407184,0.96647584,0.7890817,1.048175,1.0577111,0.418,0.8301887,0.604,0.8201439,0.207,0.183
Adrenergic signaling in cardiomyocytes Homo sapiens hsa04261,0.51991075,0.28820282,0.44999084,0.22178671,0.57320994,0.52777475,0.91663533,0.92733943,1.1230574,0.81602484,0.9984309,0.9900853,0.833,0.594132,0.143,0.85884356,0.509,0.577
African trypanosomiasis Homo sapiens hsa05143,0.71672994,0.63250655,0.58535516,0.39718884,0.67990994,0.6531814,1.2037196,1.4854217,1.2955934,1.0121742,1.0824422,1.1066206,0.16967872,0.036873158,0.10348361,0.42911878,0.208,0.191
"Alanine, aspartate and glutamate metabolism Homo sapiens hsa00250",0.6136715,0.44665295,0.4415179,0.35431865,0.69967306,0.6603447,1.0342326,1.146596,1.0092682,0.95361835,1.1411467,1.1493449,0.425,0.27403155,0.51258814,0.5332136,0.071,0.085
Alcoholism Homo sapiens hsa05034,0.5276326,0.26865783,0.37358817,0.20926324,0.5510604,0.51670945,0.9230764,0.8234674,0.9214889,0.7357072,0.9494452,0.9562856,0.783,0.747549,0.712,0.9301165,0.827,0.779
Aldosterone synthesis and secretion Homo sapiens hsa04925,0.58899033,0.42491546,0.5149914,0.37187394,0.60447496,0.56353134,1.0239848,1.2833879,1.2574507,1.2479677,1.0317895,1.033583,0.429,0.14514145,0.034,0.12815884,0.295,0.287
Aldosterone-regulated sodium reabsorption Homo sapiens hsa04960,0.5922596,0.2906592,0.4014109,-0.34983167,0.5193317,0.4888399,1.0087786,0.7509399,0.93462396,-1.0340449,0.85725653,0.8617408,0.489,0.8,0.6286286,0.3991228,0.962,0.939
Allograft rejection Homo sapiens hsa05330,0.45048928,0.5746841,0.59319925,0.50115013,0.6432449,0.60077745,0.7390438,1.221414,1.2303554,1.1510429,0.9899132,0.9818957,0.88414633,0.23639192,0.18855932,0.2972441,0.51654965,0.5095286
Alzheimer's disease Homo sapiens hsa05010,0.50234175,0.24994269,0.44439337,-0.2046934,0.5751385,0.52703774,0.8892693,0.8170149,1.1193734,-0.7991849,1.0041989,0.9911226,0.913,0.80396736,0.155,0.9162561,0.464,0.573
Amino sugar and nucleotide sugar metabolism Homo sapiens hsa00520,0.56359845,0.2831563,0.35809028,0.23189223,0.5698117,0.50110424,0.97240204,0.7782128,0.84405696,0.70202094,0.956041,0.8983822,0.592,0.7758152,0.821,0.91463417,0.709,0.91
Aminoacyl-tRNA biosynthesis Homo sapiens hsa00970,0.53267753,0.3084615,0.51648355,0.18756145,0.58720464,0.5504261,0.8962626,0.78647506,1.1902546,0.51498276,0.96142125,0.9640936,0.7287287,0.7633053,0.19979818,0.989011,0.637,0.618
Amoebiasis Homo sapiens hsa05146,0.50168526,0.39058986,0.4860405,0.23112671,0.56431365,0.5411829,0.874885,1.178918,1.187648,0.79022205,0.9708896,0.99975806,0.877,0.23316708,0.084,0.8436975,0.686,0.469
Amphetamine addiction Homo sapiens hsa05031,0.4724366,0.24093576,0.47822058,-0.23501763,0.5522234,0.5124034,0.8189523,0.7027766,1.1630293,-0.8085735,0.93977916,0.9370083,0.928,0.9070064,0.156,0.80504584,0.836,0.836
Amyotrophic lateral sclerosis (ALS) Homo sapiens hsa05014,0.4668227,0.27950326,0.41505194,0.20250167,0.6789055,0.6313588,0.8097606,0.79036725,0.9965253,0.62780255,1.1430434,1.1391007,0.919,0.78064513,0.524,0.97431195,0.027,0.044
Antigen processing and presentation Homo sapiens hsa04612,0.41811725,0.30507648,0.563184,0.26004001,0.6391163,0.5840926,0.71227705,0.8317973,1.3176636,0.7747031,1.0640464,1.0387267,0.972,0.66621065,0.042,0.8455882,0.213,0.324
Apoptosis Homo sapiens hsa04210,0.5433687,0.24205653,0.30060583,-0.2583876,0.5914513,0.5550495,0.95955646,0.7725456,0.74654824,-0.99383414,1.0277773,1.0377518,0.679,0.853012,0.982,0.42105263,0.274,0.224
Arachidonic acid metabolism Homo sapiens hsa00590,0.58019996,-0.4651563,0.6262123,-0.22368164,0.56300396,0.53140724,0.99620926,-1.499337,1.4868345,-0.7032927,0.9439185,0.95470434,0.499,0.074074075,0.004004004,0.93378997,0.777,0.695
Arginine and proline metabolism Homo sapiens hsa00330,0.5742856,0.25593358,0.3761099,0.20382813,0.55823374,0.53379023,0.9880785,0.71256006,0.8932459,0.62420195,0.93309706,0.9587509,0.543,0.85006875,0.718,0.959854,0.807,0.67
Arginine biosynthesis Homo sapiens hsa00220,0.5994029,0.47695255,0.4408835,0.39406586,0.52077043,0.45928,0.9883186,1.063193,0.9360862,0.9270094,0.8184349,0.7648751,0.5257836,0.39164087,0.58768266,0.5479705,0.941,0.973974
Arrhythmogenic right ventricular cardiomyopathy (ARVC) Homo sapiens hsa05412,0.5459876,0.22678131,0.41393504,0.31808195,0.53541493,0.50974834,0.94564795,0.6888306,1.0083895,1.0750301,0.9182411,0.93725425,0.684,0.9169859,0.487,0.35304055,0.936,0.838
Ascorbate and aldarate metabolism Homo sapiens hsa00053,0.601825,0.6215539,0.5752346,0.69736844,0.43387985,0.41361353,0.9196821,1.1364038,1.0418468,1.2990555,0.6270626,0.623797,0.6533333,0.3385965,0.4479804,0.184,0.99682873,0.99469215
Asthma Homo sapiens hsa05310,0.50880486,0.63590115,0.7222122,-0.29602066,0.6001827,0.5588382,0.8104207,1.2880278,1.4030823,-0.6209029,0.89314836,0.8781583,0.78563887,0.17694806,0.04894327,0.91217566,0.7314344,0.7397541
Autoimmune thyroid disease Homo sapiens hsa05320,0.41467175,0.43226734,0.50115186,0.21225469,0.5890674,0.5623486,0.69292444,0.9925263,1.0926013,0.5316207,0.9346177,0.9515139,0.92978936,0.47526237,0.38398358,0.9729207,0.704,0.635
Axon guidance Homo sapiens hsa04360,0.53987265,0.31961763,0.36860377,0.23348221,0.5897441,0.5293503,0.95472914,1.0283496,0.9209725,0.87251,1.0256686,0.99147534,0.699,0.42497137,0.77,0.7206133,0.277,0.566
B cell receptor signaling pathway Homo sapiens hsa04662,0.5221033,0.3243499,0.39921075,0.33710882,0.56664693,0.5306697,0.9105061,0.9653061,0.9618062,1.1094663,0.9718096,0.9775207,0.779,0.51641417,0.618,0.2792642,0.667,0.617
Bacterial invasion of epithelial cells Homo sapiens hsa05100,0.556882,0.4136944,0.4163041,-0.2279687,0.609006,0.5592776,0.97118247,1.2357441,1.0215974,-0.79948634,1.041915,1.0285243,0.598,0.17889318,0.45,0.83111113,0.232,0.317
Basal cell carcinoma Homo sapiens hsa05217,0.47273883,0.27026033,0.40846074,0.29173127,0.5978094,0.5376223,0.8112549,0.7792415,0.9773411,0.91510624,1.015591,0.9794896,0.929,0.7911803,0.565,0.61702126,0.404,0.596
Basal transcription factors Homo sapiens hsa03022,0.54580957,0.27374735,0.31347024,0.30875582,0.5423606,0.50136364,0.9352661,0.739085,0.7314266,0.9162962,0.9041099,0.8957442,0.68,0.8073879,0.9097292,0.56920415,0.89,0.904
Base excision repair Homo sapiens hsa03410,0.63828206,0.36624715,0.5691092,-0.2095449,0.5398026,0.49109858,1.0895072,0.9601287,1.3148909,-0.621505,0.894753,0.8680428,0.295,0.53867793,0.06218656,0.9723404,0.887,0.927
Bile secretion Homo sapiens hsa04976,0.5705199,0.40612617,0.52588344,-0.24743088,0.6304909,0.55651224,0.97838104,1.1694013,1.2565051,-0.8109664,1.0623653,1.0037361,0.575,0.25733334,0.053,0.77087796,0.185,0.463
Biosynthesis of amino acids Homo sapiens hsa01230,0.5871963,-0.24727984,0.43129843,-0.53089976,0.6790811,0.6241192,1.0137043,-0.8551486,1.0312155,-1.7760179,1.1537086,1.137687,0.467,0.6612245,0.445,0.0023201855,0.01,0.03
Biosynthesis of unsaturated fatty acids Homo sapiens hsa01040,0.42681098,0.42278597,0.41519192,-0.30577102,0.5596288,0.53711915,0.7129652,0.9805861,0.91485584,-0.78093225,0.89352417,0.9110973,0.9238477,0.4976599,0.6368313,0.76458335,0.826,0.757
Bladder cancer Homo sapiens hsa05219,0.6509266,0.43854728,0.48885915,0.37347135,0.6292492,0.6145911,1.1044406,1.1737757,1.1349132,1.050115,1.0438881,1.0867742,0.26,0.26287264,0.25977933,0.39564428,0.285,0.158
Butanoate metabolism Homo sapiens hsa00650,0.40195975,-0.2515807,0.4887247,-0.28746367,0.62704444,0.59292376,0.6765541,-0.711087,1.1103672,-0.7847461,1.0180206,1.0250727,0.967,0.85804415,0.3469388,0.77324265,0.421,0.393
Calcium signaling pathway Homo sapiens hsa04020,0.47680262,0.23065859,0.48219943,0.21093298,0.59895164,0.5589788,0.8470938,0.75518143,1.2093982,0.7974056,1.0459697,1.0499779,0.973,0.8714623,0.019,0.902439,0.14,0.149
Carbohydrate digestion and absorption Homo sapiens hsa04973,0.49090272,0.20725814,0.35720474,-0.30231375,0.672455,0.63936055,0.836615,0.5373071,0.82896113,-0.8956576,1.1119267,1.1298649,0.849,0.9746835,0.80603015,0.58495146,0.098,0.08
Carbon metabolism Homo sapiens hsa01200,0.55903244,-0.23049182,0.3854556,-0.2896957,0.60963476,0.57316136,0.98183703,-0.85032517,0.95361406,-1.0579294,1.0529232,1.0644417,0.577,0.63793105,0.649,0.34866828,0.142,0.115
Cardiac muscle contraction Homo sapiens hsa04260,0.52493376,0.4330961,0.4583712,-0.2787305,0.57278776,0.5327058,0.9092423,1.2797,1.1111268,-0.94905627,0.9798971,0.9751956,0.792,0.12810458,0.242,0.5460674,0.616,0.627
Cell adhesion molecules (CAMs) Homo sapiens hsa04514,0.48818356,0.38052556,0.48361722,0.30348924,0.54189754,0.5243858,0.8535767,1.1843599,1.1861017,1.0753139,0.93879926,0.9759199,0.94,0.1965812,0.067,0.32078853,0.904,0.655
Cell cycle Homo sapiens hsa04110,0.62600267,0.19503878,0.37525907,-0.24756438,0.5791792,0.52989626,1.1007403,0.62221164,0.9347755,-0.95019925,1.0054172,0.9891754,0.133,0.97951806,0.71,0.5724816,0.43,0.571
Central carbon metabolism in cancer Homo sapiens hsa05230,0.5870884,-0.22746691,0.30926284,-0.35531068,0.62841666,0.59063286,1.0152068,-0.77819383,0.7464059,-1.2282794,1.0701773,1.079415,0.457,0.7866667,0.939,0.1610577,0.123,0.111
