,score,score,score,score,score,score,norm,norm,norm,norm,norm,norm,pval,pval,pval,pval,pval,pval
,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
source,,,,,,,,,,,,,,,,,,
2-Oxocarboxylic acid metabolism Homo sapiens hsa01210,0.72711056,-0.23865448,0.6897205,0.60364616,0.8186179,0.8032574,1.1763546,-0.5012638,1.4116846,1.3421358,1.079358,1.0778528,0.19917865,0.9842767,0.034810126,0.13842481,0.2052052,0.21643287
ABC transporters Homo sapiens hsa02010,0.6637343,-0.25592786,0.47590518,0.4707794,0.72404724,0.7096508,1.12832,-0.6730973,1.0896041,1.3795576,1.0038126,1.0086129,0.208,0.9167785,0.3266533,0.076677315,0.445,0.418
AGE-RAGE signaling pathway in diabetic complications Homo sapiens hsa04933,0.6763093,-0.32134676,0.24741416,-0.4038675,0.6674388,0.6443427,1.1847786,-1.0106641,0.59608227,-1.2836366,0.95254,0.9410353,0.037,0.4631579,0.997,0.09383754,0.915,0.954
AMPK signaling pathway Homo sapiens hsa04152,0.57430136,-0.23356177,0.3906811,-0.36518177,0.70810205,0.6935638,1.0114071,-0.74709994,0.9571957,-1.1921467,1.0171264,1.0207394,0.443,0.92387545,0.662,0.15595075,0.284,0.252
Acute myeloid leukemia Homo sapiens hsa05221,0.6041327,-0.275556,0.32675883,-0.3637975,0.69383657,0.6589228,1.0471753,-0.812611,0.778371,-1.0629652,0.982678,0.95625323,0.363,0.7956298,0.914,0.36036035,0.639,0.822
Adherens junction Homo sapiens hsa04520,0.4963668,-0.29268903,0.24145663,-0.3050127,0.6819444,0.6726502,0.8675215,-0.88996303,0.5754906,-0.9373727,0.97033906,0.9798932,0.876,0.6707466,0.999,0.5704023,0.772,0.679
Adipocytokine signaling pathway Homo sapiens hsa04920,0.59408104,-0.34226227,0.3692154,-0.45061287,0.706926,0.69140124,1.0328637,-1.0087242,0.87511426,-1.3305182,1.0002332,1.0008885,0.412,0.4801027,0.815,0.08108108,0.464,0.46
Adrenergic signaling in cardiomyocytes Homo sapiens hsa04261,0.5196983,-0.24422625,0.44725,-0.26903924,0.7234316,0.7124069,0.9191038,-0.7878462,1.0911614,-0.89284676,1.0417575,1.0515726,0.824,0.8692221,0.192,0.67420214,0.083,0.046
African trypanosomiasis Homo sapiens hsa05143,0.7166166,-0.6294819,0.5065613,-0.6461298,0.69789773,0.6919458,1.1776044,-1.4520262,1.0760653,-1.4798462,0.9388336,0.9502841,0.18630412,0.05376344,0.3871951,0.04467354,0.775,0.717
"Alanine, aspartate and glutamate metabolism Homo sapiens hsa00250",0.6451516,0.36736324,0.46514118,0.4109443,0.70645034,0.68782485,1.0872327,1.1241049,1.0365378,1.1328319,0.97201484,0.9696458,0.31563127,0.26440677,0.46593186,0.28947368,0.649,0.656
Alcoholism Homo sapiens hsa05034,0.52997094,-0.33292234,0.43061706,-0.34999967,0.739056,0.7228963,0.927915,-1.0440074,1.0431254,-1.1109846,1.0571324,1.0594556,0.761,0.3873979,0.389,0.28436658,0.051,0.052
Aldosterone synthesis and secretion Homo sapiens hsa04925,0.6264788,-0.3427517,0.4814437,-0.27963504,0.7373393,0.72685087,1.0906928,-1.0322505,1.1541603,-0.85517746,1.0465686,1.0557946,0.221,0.4361834,0.136,0.7262248,0.131,0.089
Aldosterone-regulated sodium reabsorption Homo sapiens hsa04960,0.6066044,-0.30213034,0.4468859,-0.24452008,0.8021186,0.79333705,1.0244426,-0.7940912,1.0173564,-0.64597523,1.1144481,1.1258543,0.442,0.7566845,0.4944945,0.93977815,0.046,0.027
Allograft rejection Homo sapiens hsa05330,0.4456983,-0.4300944,0.5206375,-0.5421199,0.7626791,0.7557128,0.7199421,-0.92018116,1.056569,-1.144768,1.0038315,1.0150529,0.8960905,0.58878505,0.4290188,0.32242227,0.48797596,0.43743744
Alzheimer's disease Homo sapiens hsa05010,0.5038929,-0.3065785,0.45302886,-0.27893505,0.7015105,0.69089055,0.8912692,-1.0064896,1.1130195,-0.9299717,1.0121071,1.0220864,0.912,0.47699213,0.125,0.61528975,0.309,0.223
Amino sugar and nucleotide sugar metabolism Homo sapiens hsa00520,0.5991782,0.28588396,0.40692508,0.28050193,0.7143511,0.6987016,1.0260912,0.94879526,0.9454564,0.91334814,1.0027201,1.0039433,0.415,0.5416667,0.642,0.63235295,0.457,0.443
Aminoacyl-tRNA biosynthesis Homo sapiens hsa00970,0.5216917,-0.38484958,0.5270553,-0.33724043,0.63839656,0.616718,0.8785646,-0.98350924,1.1765993,-0.84299755,0.8799319,0.8670198,0.7617618,0.49571428,0.21493441,0.6924342,0.971,0.984
Amoebiasis Homo sapiens hsa05146,0.4887088,-0.25582838,0.4421893,-0.27880645,0.69930977,0.68392783,0.8527206,-0.78960997,1.0537652,-0.85537946,0.99526083,0.9973095,0.914,0.8268991,0.36,0.73390555,0.531,0.509
Amphetamine addiction Homo sapiens hsa05031,0.48023224,-0.49567157,0.45730236,-0.4473504,0.7793044,0.77163917,0.835309,-1.4545456,1.0819662,-1.3192273,1.1039307,1.1191436,0.91,0.020961776,0.296,0.06952663,0.014,0.005
Amyotrophic lateral sclerosis (ALS) Homo sapiens hsa05014,0.5005966,-0.33320898,0.3666366,-0.33255938,0.7713691,0.7564622,0.86746854,-0.9479066,0.8598693,-0.9337361,1.0870249,1.0933057,0.83,0.55912596,0.804,0.5701358,0.035,0.04
Antigen processing and presentation Homo sapiens hsa04612,0.45916212,-0.38186228,0.5651032,-0.20216191,0.67414206,0.6537046,0.7817426,-1.014351,1.293166,-0.55438477,0.9400127,0.9332385,0.934,0.47003993,0.042042043,0.9833837,0.845,0.863
Apoptosis Homo sapiens hsa04210,0.525378,-0.25093454,0.33996952,-0.3371277,0.67531013,0.6673676,0.929573,-0.81041974,0.83205265,-1.115668,0.9711219,0.98380065,0.781,0.8229885,0.939,0.25759578,0.836,0.682
Arachidonic acid metabolism Homo sapiens hsa00590,0.56014496,0.40373957,0.5474453,-0.23289832,0.70960015,0.6993045,0.96496224,1.3271341,1.2650113,-0.6392825,0.99071574,0.9993577,0.611,0.07421875,0.063,0.95864105,0.546,0.461
Arginine and proline metabolism Homo sapiens hsa00330,0.5484354,-0.43368986,0.3911036,-0.42121497,0.70673877,0.68646574,0.94434696,-1.2295463,0.9050801,-1.1826154,0.9938605,0.98973745,0.668,0.16884817,0.711,0.23157895,0.54,0.55
Arginine biosynthesis Homo sapiens hsa00220,0.6531398,-0.3388356,0.45920342,0.354314,0.73845553,0.7207155,1.0768325,-0.7467042,0.96073246,0.85203797,0.9881375,0.98422205,0.3343404,0.8065967,0.5962733,0.6421801,0.5145145,0.55
Arrhythmogenic right ventricular cardiomyopathy (ARVC) Homo sapiens hsa05412,0.55857635,-0.25780007,0.45892808,-0.21297118,0.7229499,0.69879174,0.97161835,-0.78517485,1.0942147,-0.65733397,1.0322814,1.0219594,0.604,0.83797467,0.244,0.96703297,0.199,0.256
Ascorbate and aldarate metabolism Homo sapiens hsa00053,0.7035123,-0.5494745,0.49693963,-0.40473256,0.8826334,0.8696326,1.0729485,-0.9776016,0.8920903,-0.7260194,1.1527172,1.14997,0.3955801,0.5467128,0.6474057,0.8030888,0.16924664,0.17093143
Asthma Homo sapiens hsa05310,0.43926394,-0.34833258,0.67616963,-0.60445637,0.6725298,0.6609013,0.7014895,-0.6878819,1.3130968,-1.1841345,0.8801738,0.8786054,0.8986416,0.8536978,0.0882353,0.2591944,0.8527054,0.8631791
Autoimmune thyroid disease Homo sapiens hsa05320,0.40306118,-0.40740412,0.3792826,-0.4888359,0.7656503,0.7591798,0.6644054,-0.9311161,0.80451965,-1.1026697,1.022213,1.0349777,0.9404642,0.5810397,0.8020408,0.34670946,0.397,0.327
Axon guidance Homo sapiens hsa04360,0.54660386,-0.24755241,0.34239483,-0.2856969,0.74306226,0.7225196,0.9690636,-0.80223364,0.8357834,-0.9424048,1.0708265,1.0672492,0.641,0.8521445,0.942,0.58584535,0.016,0.019
B cell receptor signaling pathway Homo sapiens hsa04662,0.5265434,-0.34141493,0.33414313,-0.41299233,0.65828294,0.63288134,0.9133111,-1.0385828,0.7973741,-1.2404088,0.93589383,0.9212147,0.786,0.39748427,0.905,0.16740088,0.943,0.977
Bacterial invasion of epithelial cells Homo sapiens hsa05100,0.5416046,-0.23969483,0.3982034,-0.28149512,0.6719914,0.6503743,0.94450927,-0.7308876,0.9491716,-0.8592935,0.9560894,0.94807667,0.68,0.89634144,0.661,0.71428573,0.867,0.924
Basal cell carcinoma Homo sapiens hsa05217,0.4958583,-0.3563028,0.43066216,-0.31535375,0.7429244,0.7187571,0.85172826,-1.034816,1.0228707,-0.9079014,1.0499386,1.0405267,0.888,0.3948718,0.467,0.6152695,0.153,0.211
Basal transcription factors Homo sapiens hsa03022,0.55952096,-0.5351831,0.3411149,-0.3857956,0.75695103,0.7206652,0.9505495,-1.4679816,0.7922862,-1.0611277,1.0578692,1.030539,0.633,0.032128513,0.8788789,0.37290716,0.155,0.284
Base excision repair Homo sapiens hsa03410,0.66589445,0.23268214,0.53884965,0.4712328,0.6950502,0.6850381,1.1329625,0.73114043,1.2345849,1.3837926,0.9593336,0.96853197,0.188,0.9041096,0.11222445,0.08908046,0.731,0.674
Bile secretion Homo sapiens hsa04976,0.5680546,0.36551535,0.43979537,0.17705956,0.75341636,0.74569666,0.9719316,1.2219398,1.0264509,0.56193525,1.0601346,1.074643,0.569,0.14754099,0.454,0.9971014,0.13,0.089
Biosynthesis of amino acids Homo sapiens hsa01230,0.5851799,-0.22890599,0.48413882,0.31322074,0.7694766,0.7574005,1.0146583,-0.6698522,1.1404585,1.0374024,1.0853865,1.093485,0.473,0.9566879,0.191,0.3869969,0.044,0.043
Biosynthesis of unsaturated fatty acids Homo sapiens hsa01040,0.467512,-0.3019684,0.44571874,0.4403763,0.69759977,0.6739263,0.78177035,-0.7074163,0.96183527,1.0836767,0.93789464,0.92345124,0.8517034,0.85451764,0.5967078,0.33415842,0.77,0.8078078
Bladder cancer Homo sapiens hsa05219,0.6683212,-0.29100153,0.41462138,-0.4339029,0.67383355,0.6656548,1.1439694,-0.78653294,0.9457465,-1.154653,0.9361401,0.9486469,0.18,0.8061497,0.6469408,0.2597809,0.859,0.799
Butanoate metabolism Homo sapiens hsa00650,0.37981552,0.40963504,0.56192964,0.24705815,0.63046664,0.60526633,0.6375376,1.2177955,1.2500488,0.68859506,0.86294854,0.8465289,0.987,0.20608108,0.10775428,0.92167103,0.99,0.994
Calcium signaling pathway Homo sapiens hsa04020,0.49025178,-0.30603707,0.46293163,-0.2361997,0.6911032,0.6755245,0.86807126,-1.0042802,1.1373318,-0.7909808,0.996327,0.99803185,0.959,0.4669653,0.084,0.88318354,0.531,0.511
Carbohydrate digestion and absorption Homo sapiens hsa04973,0.547326,-0.31951928,0.38492334,-0.3701454,0.7269308,0.71426624,0.9331421,-0.8268404,0.8779764,-0.96547586,1.0078276,1.0113294,0.669,0.73480666,0.75951904,0.49605057,0.442,0.426
Carbon metabolism Homo sapiens hsa01200,0.568538,0.23825541,0.4082026,0.2998265,0.7220378,0.70959955,0.9953917,0.93692577,0.98819,1.0928029,1.0324297,1.0394208,0.519,0.6441718,0.56,0.25650558,0.181,0.137
Cardiac muscle contraction Homo sapiens hsa04260,0.52553016,-0.30309215,0.51248837,0.18210077,0.72605133,0.7155461,0.91228265,-0.89931804,1.223218,0.6230963,1.032437,1.0428971,0.771,0.63899374,0.047,1.0,0.214,0.153
Cell adhesion molecules (CAMs) Homo sapiens hsa04514,0.49917603,-0.4166589,0.48306137,-0.3386967,0.7116892,0.68916017,0.88021225,-1.3204192,1.1625195,-1.0699623,1.0202384,1.0117321,0.882,0.0548926,0.08,0.36037233,0.282,0.344
Cell cycle Homo sapiens hsa04110,0.611358,0.2470442,0.36589482,0.2690057,0.6676112,0.65899783,1.0748632,0.99998075,0.8898992,1.0152411,0.9608461,0.97080076,0.201,0.4090909,0.836,0.41563785,0.893,0.828
