,Term,ES,NES,NOM p-value,FDR p-value,Set size,Tag %,Rank %,Leading edge
200,Protein digestion and absorption Homo sapiens hsa04974,0.45394105,1.5550259,0.006535948,0.6798029311001301,58,0.2413793,0.17898804,SLC8A3;MME;COL1A1;XPNPEP2;SLC38A2;CPA2;KCNJ13;COL27A1;COL15A1;COL2A1;COL9A2;COL1A2;COL12A1;COL6A1
152,NF-kappa B signaling pathway Homo sapiens hsa04064,-0.4906538,-1.4956418,0.011644833,0.6798029311001301,65,0.32307693,0.1639903,UBE2I;BCL10;PLCG2;LYN;CHUK;LTBR;BCL2;CSNK2A2;MALT1;PRKCB;TRAF2;PLCG1;PIAS4;TIRAP;RELA;RELB;RIPK1;TNFAIP3;ICAM1;BIRC2;TNFRSF1A
148,Mismatch repair Homo sapiens hsa03430,0.61686814,1.6587099,0.0123152705,0.6798029311001301,20,0.3,0.14323588,MSH6;MLH1;RFC3;PCNA;RPA1;RPA3
139,MAPK signaling pathway Homo sapiens hsa04010,-0.3862203,-1.3715599,0.010989011,0.6798029311001301,209,0.27272728,0.17444326,PPM1B;FGFR4;MAP3K3;MAP2K5;CDC25B;TP53;AKT2;DUSP6;FGF5;BRAF;IL1A;CHUK;PLA2G4C;MAPK8IP3;PRKCB;RASGRP4;SOS1;TRAF2;FGF8;CACNA1D;FGF7;RAC2;KRAS;MAX;CACNA1A;RELA;STK4;RELB;FGF2;CRK;TAOK1;PLA2G4A;MAPK9;RASA1;FGF14;MEF2C;NRAS;FGF22;MAP4K4;HSPA2;FGFR1;TGFB1;CACNG2;CDC42;RRAS;MAPK8IP2;SOS2;DUSP16;TAOK2;HSPB1;TGFBR1;MAPK7;MAPKAPK3;CACNA1G;TNFRSF1A;TGFB2;ARRB1
153,NOD-like receptor signaling pathway Homo sapiens hsa04621,-0.5773346,-1.6259953,0.0076569677,0.6798029311001301,36,0.16666667,0.039690956,NLRC4;CHUK;CASP8;CCL5;RELA;BIRC2
182,Pentose phosphate pathway Homo sapiens hsa00030,0.5750132,1.656687,0.015831135,0.7196318786591291,25,0.32,0.1562642,ALDOC;PGD;PGLS;PRPS1;ALDOA;PGM2;TALDO1;G6PD
203,Proteoglycans in cancer Homo sapiens hsa05205,-0.39647722,-1.3621764,0.020858895,0.7196318786591291,169,0.23076923,0.16262688,CBLB;WNT7B;TP53;AKT2;PLCG2;BRAF;THBS1;TFAP4;CTTN;PRKCB;PPP1CC;SOS1;ANK2;PLCG1;TIMP3;SMO;KRAS;FZD8;FGF2;STAT3;ERBB4;SDC1;NRAS;PPP1CA;FGFR1;TGFB1;DDX5;PTPN6;CDC42;ERBB2;RPS6KB1;RRAS;SOS2;WNT2B;PTK2;HIF1A;PTPN11;VEGFA;TGFB2
208,RIG-I-like receptor signaling pathway Homo sapiens hsa04622,-0.5517042,-1.5319321,0.01826484,0.7196318786591291,38,0.15789473,0.029843964,CHUK;CASP8;TRAF2;IKBKE;RELA;RIPK1
129,Legionellosis Homo sapiens hsa05134,-0.50483567,-1.3869731,0.07165109,0.814808914992983,35,0.2,0.12642024,NLRC4;HBS1L;CASP8;ARF1;RELA;IL18;HSPA2
154,Natural killer cell mediated cytotoxicity Homo sapiens hsa04650,-0.37423405,-1.1350715,0.25581396,0.814808914992983,58,0.29310346,0.16262688,ICAM2;PLCG2;BRAF;PRKCB;IFNGR2;SOS1;PLCG1;RAC2;KRAS;NRAS;NFATC2;SH3BP2;PTPN6;SOS2;SHC3;ICAM1;PTPN11
156,Neurotrophin signaling pathway Homo sapiens hsa04722,-0.3163032,-1.0312561,0.39182058,0.814808914992983,101,0.21782178,0.16262688,MAP3K3;MAP2K5;TP53;AKT2;PLCG2;BRAF;BCL2;SOS1;PLCG1;KRAS;RELA;CRK;ZNF274;PSEN2;MAPK9;CALM1;NRAS;CDC42;SOS2;SHC3;MAPK7;PTPN11
146,MicroRNAs in cancer Homo sapiens hsa05206,-0.3215276,-1.0947896,0.26533166,0.814808914992983,134,0.21641791,0.16262688,PIM1;UBE2I;CDC25B;TP53;PLCG2;NOTCH1;BCL2;THBS1;PRKCB;SOS1;PLCG1;TIMP3;BMPR2;KRAS;CRK;STAT3;RPTOR;KIF23;EZH2;CYP1B1;NRAS;SIRT1;MDM4;ERBB2;TNC;SOS2;MAPK7;VEGFA;TGFB2
149,Morphine addiction Homo sapiens hsa05032,-0.33652195,-1.0451792,0.3884058,0.814808914992983,72,0.125,0.10627177,GNAI1;GNG7;GABRG2;OPRM1;PRKCB;CACNA1A;PDE3A;GABRA5;ARRB1
151,N-Glycan biosynthesis Homo sapiens hsa00510,-0.3844781,-1.0689977,0.35207102,0.814808914992983,41,0.24390244,0.12869263,MGAT4B;MAN2A1;ALG2;DPAGT1;ALG9;DOLPP1;MAN1A2;STT3A;STT3B;MOGS
136,Longevity regulating pathway - multiple species Homo sapiens hsa04213,-0.3682654,-1.0915282,0.30259365,0.814808914992983,53,0.26415095,0.17588244,FOXO1;INSR;AKT2;EIF4EBP2;KRAS;HDAC2;ADCY9;RPTOR;NRAS;PRKAA2;HSPA2;SIRT1;RPS6KB1;PRKAA1
138,Lysosome Homo sapiens hsa04142,0.2687699,1.006562,0.44354838,0.814808914992983,97,0.34020618,0.2310256,LIPA;ABCB9;LITAF;SCARB2;PLA2G15;GALNS;ASAH1;AP4S1;CTSD;SMPD1;TPP1;SLC11A1;GM2A;MANBA;PSAP;GUSB;GNPTG;MCOLN1;MFSD8;AP3B2;CTSC;AP3D1;LGMN;PPT1;ATP6V0A4;CTSB;SORT1;NPC1;AP3S2;ATP6V0B;CLTA;ATP6V1H;ACP5
140,Malaria Homo sapiens hsa05144,-0.5493066,-1.3992215,0.07544141,0.814808914992983,25,0.24,0.109680355,THBS1;IL18;SDC1;TGFB1;ICAM1;TGFB2
128,Jak-STAT signaling pathway Homo sapiens hsa04630,-0.36695588,-1.1839607,0.16579634,0.814808914992983,97,0.34020618,0.23261628,PIM1;EPOR;SOCS4;STAT5B;STAT6;AKT2;BCL2;CNTFR;PIAS3;PIK3R5;IFNGR2;SOS1;IL10;LIFR;GFAP;STAT5A;PIAS4;IL4;IL7;PRLR;IL11;SOCS3;SOCS6;IL11RA;STAT3;TYK2;IL23A;PTPN6;SOS2;CSF2RA;PTPN11;OSMR;SOCS7
102,Glycosaminoglycan degradation Homo sapiens hsa00531,0.45383155,1.0637245,0.40142518,0.814808914992983,12,0.083333336,0.011892137,GUSB
130,Leishmaniasis Homo sapiens hsa05140,-0.35898194,-1.0352948,0.42347696,0.814808914992983,44,0.3181818,0.21277079,ITGA4;NOS2;IL1A;HLA-DMA;PRKCB;IFNGR2;IL10;IL4;MAPK1;RELA;NCF2;TGFB1;PTPN6;TGFB2
131,Leukocyte transendothelial migration Homo sapiens hsa04670,-0.33163866,-1.0671071,0.35684648,0.814808914992983,84,0.1904762,0.1146796,GNAI1;PRKCB;CXCR4;PLCG1;MYL9;RAC2;CLDN11;ACTN3;ARHGAP5;CLDN6;SIPA1;OCLN;CDC42;PTK2;ICAM1;PTPN11
133,Long-term depression Homo sapiens hsa04730,-0.37819317,-1.1042598,0.3003003,0.814808914992983,47,0.21276596,0.1321012,GNAI1;BRAF;LYN;PLA2G4C;PRKCB;GRIA2;CACNA1A;PLA2G4A;NRAS;RYR1
