,score,score,score,score,score,score,norm,norm,norm,norm,norm,norm,pval,pval,pval,pval,pval,pval
,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
source,,,,,,,,,,,,,,,,,,
2-Oxocarboxylic acid metabolism Homo sapiens hsa01210,0.6890158,-0.33822617,0.53690696,-0.39946824,0.63844407,0.5931847,1.1054027,-0.8381036,1.0554259,-0.87916934,0.96004254,0.9504959,0.3109756,0.67723346,0.4415863,0.630713,0.5933735,0.61770624
ABC transporters Homo sapiens hsa02010,0.6145285,0.43425477,0.4047498,-0.3186448,0.6053457,0.5679601,1.0338846,1.1347914,0.89489156,-0.90160364,0.9907696,0.9895941,0.42,0.29591838,0.7177177,0.625,0.538,0.533
AGE-RAGE signaling pathway in diabetic complications Homo sapiens hsa04933,0.6772509,0.20846863,0.34527063,-0.20804287,0.5482462,0.5177181,1.1664853,0.63124776,0.81659365,-0.72049457,0.9334322,0.94417125,0.044,0.96292007,0.92,0.9287879,0.91,0.832
AMPK signaling pathway Homo sapiens hsa04152,0.610118,-0.17849569,0.3486954,-0.32668215,0.52186054,0.494845,1.0554969,-0.66262364,0.82839644,-1.1699026,0.8930778,0.90852803,0.271,0.9491525,0.926,0.17597765,0.995,0.973
Acute myeloid leukemia Homo sapiens hsa05221,0.615983,-0.23232472,0.3690808,-0.35825977,0.53024817,0.48704004,1.0585026,-0.7918167,0.85961795,-1.1589016,0.8911127,0.8774198,0.327,0.69411767,0.83,0.24486572,0.964,0.97
Adherens junction Homo sapiens hsa04520,0.52477795,-0.1636326,0.3417775,-0.22732739,0.57685477,0.5242237,0.9045812,-0.58446795,0.8068838,-0.7687331,0.9772161,0.951905,0.808,0.9851852,0.914,0.8665667,0.648,0.796
Adipocytokine signaling pathway Homo sapiens hsa04920,0.6273968,-0.23713692,0.35688764,-0.39345136,0.5609994,0.52635735,1.0788258,-0.8102676,0.82990694,-1.2854655,0.9440861,0.94830704,0.258,0.71165645,0.877,0.12423313,0.827,0.798
Adrenergic signaling in cardiomyocytes Homo sapiens hsa04261,0.508485,0.35562813,0.41898626,0.19752085,0.5600402,0.5344205,0.88502896,1.12401,1.0008055,0.8351836,0.96446854,0.98778397,0.924,0.26726058,0.498,0.8727915,0.781,0.595
African trypanosomiasis Homo sapiens hsa05143,0.7544972,0.4604452,0.40289378,0.6054077,0.5786945,0.5626044,1.2273235,1.0439478,0.84207606,1.5759009,0.9033204,0.9284867,0.1307847,0.4248555,0.7538149,0.025462963,0.789,0.7047047
"Alanine, aspartate and glutamate metabolism Homo sapiens hsa00250",0.64189273,0.34495664,0.53424674,-0.34833422,0.6430929,0.59825176,1.0707457,0.85832214,1.1943038,-0.95869434,1.0425829,1.0328445,0.33733734,0.65935487,0.18712273,0.5128676,0.321,0.352
Alcoholism Homo sapiens hsa05034,0.5849604,0.29202014,0.49077532,-0.23876743,0.57446414,0.5332373,1.0113862,0.8841745,1.1640456,-0.8317946,0.9818938,0.9779058,0.466,0.6748538,0.095,0.7646199,0.63,0.635
Aldosterone synthesis and secretion Homo sapiens hsa04925,0.63555515,0.37083057,0.48224562,0.21764472,0.4968599,0.46459478,1.0882151,1.0895586,1.1227999,0.80831575,0.838637,0.8399302,0.215,0.35866985,0.203,0.8501529,0.998,0.996
Aldosterone-regulated sodium reabsorption Homo sapiens hsa04960,0.56318235,-0.22614536,0.34497178,-0.27649778,0.5561242,0.5453554,0.9465818,-0.72227585,0.76303667,-0.809104,0.90693414,0.94943684,0.654,0.8564815,0.8746239,0.747541,0.867,0.691
Allograft rejection Homo sapiens hsa05330,0.51007557,0.58992803,0.4931995,0.60542583,0.5635776,0.5334206,0.82032275,1.2384166,0.99959326,1.460713,0.85647243,0.8585179,0.79390866,0.21764706,0.5176849,0.08083141,0.86130655,0.8371859
Alzheimer's disease Homo sapiens hsa05010,0.515915,0.29847935,0.37440425,0.23790479,0.5628999,0.53651625,0.89822215,0.94983864,0.89663684,1.0044961,0.9710573,0.9927049,0.907,0.5723757,0.841,0.44444445,0.755,0.559
Amino sugar and nucleotide sugar metabolism Homo sapiens hsa00520,0.58741057,0.3009054,0.4094752,-0.36243284,0.6309857,0.5700531,1.0026234,0.83786744,0.9387069,-1.1222936,1.0483595,1.0147969,0.5,0.69889843,0.6516517,0.28526148,0.252,0.41
Aminoacyl-tRNA biosynthesis Homo sapiens hsa00970,0.61810666,0.5625824,0.40277427,0.36350456,0.5301101,0.4764016,1.031412,1.4264451,0.88200337,1.0871912,0.8615575,0.824056,0.426,0.07651715,0.7231695,0.33095238,0.942,0.968
Amoebiasis Homo sapiens hsa05146,0.60609007,0.3738654,0.44668606,-0.23233566,0.58128464,0.506836,1.0392141,1.1077533,1.0510101,-0.79614896,0.985391,0.9197104,0.377,0.32276994,0.36,0.8421829,0.593,0.903
Amphetamine addiction Homo sapiens hsa05031,0.4530918,0.341481,0.50143486,0.17155607,0.53854907,0.51018363,0.7731239,0.978569,1.1641289,0.61941075,0.90817624,0.92062974,0.969,0.5090036,0.149,0.9883382,0.934,0.893
Amyotrophic lateral sclerosis (ALS) Homo sapiens hsa05014,0.5217344,0.44444788,0.41342434,-0.15947251,0.5445073,0.50466084,0.8890586,1.2447809,0.95524246,-0.50010544,0.90780765,0.90066963,0.796,0.18270402,0.6226226,1.0,0.916,0.906
Antigen processing and presentation Homo sapiens hsa04612,0.49343145,0.48990113,0.6317637,0.33903074,0.6184012,0.5721671,0.8320798,1.3038094,1.4307775,1.1081368,1.0151461,0.99942213,0.851,0.15953307,0.009009009,0.28342247,0.417,0.491
Apoptosis Homo sapiens hsa04210,0.52486765,0.22488382,0.3320337,-0.31742916,0.5339316,0.5120945,0.9116168,0.70352143,0.7925199,-1.1594208,0.91637194,0.9440778,0.857,0.92180616,0.979,0.19915849,0.977,0.874
Arachidonic acid metabolism Homo sapiens hsa00590,0.5701604,-0.38697717,0.5667425,-0.31236753,0.52624816,0.50791794,0.9693568,-1.2851874,1.302804,-0.9431169,0.8697663,0.8964607,0.599,0.14285715,0.048,0.5328,0.974,0.915
Arginine and proline metabolism Homo sapiens hsa00330,0.5497722,0.46452424,0.41551068,-0.30036634,0.6654771,0.6330787,0.937359,1.3016144,0.94536054,-0.91675466,1.111397,1.1299428,0.672,0.1419598,0.6336336,0.5769231,0.064,0.054
Arginine biosynthesis Homo sapiens hsa00220,0.6338441,0.3497289,0.28566414,0.36879513,0.6575909,0.6105581,1.0361578,0.7667564,0.5953615,0.92481476,1.0240341,1.0080726,0.4308779,0.7503671,0.9396462,0.56207675,0.4194194,0.4458918
Arrhythmogenic right ventricular cardiomyopathy (ARVC) Homo sapiens hsa05412,0.6134322,0.38168043,0.4623767,-0.24833736,0.5691306,0.52993727,1.0556788,1.146438,1.089544,-0.841439,0.96452916,0.96296823,0.29,0.2642857,0.259,0.7227139,0.713,0.719
Ascorbate and aldarate metabolism Homo sapiens hsa00053,0.72088903,0.27890182,-0.34773073,0.42967343,0.7504464,0.75022113,1.0994284,0.5138444,-0.8608115,0.82918864,1.0792732,1.1217175,0.33259913,0.96896553,0.664557,0.6751055,0.32805908,0.24867162
Asthma Homo sapiens hsa05310,0.6065885,0.35757524,0.6626583,-0.4851681,0.5847047,0.5278815,0.95520216,0.7292568,1.3040537,-1.0176679,0.87517095,0.8322481,0.5689119,0.78335947,0.11123348,0.45864663,0.7782258,0.84661955
Autoimmune thyroid disease Homo sapiens hsa05320,0.46282953,0.5208953,0.3873522,0.45944783,0.6031807,0.5245447,0.758816,1.1778265,0.8177159,1.2158304,0.94192296,0.87148803,0.89368105,0.2551724,0.7528205,0.20649652,0.6786787,0.8428428
Axon guidance Homo sapiens hsa04360,0.61147887,0.30461076,0.36031854,-0.2525818,0.6116362,0.5732084,1.0642111,0.95584154,0.8641753,-0.9161643,1.0514661,1.0589042,0.241,0.5751708,0.879,0.63877267,0.11,0.108
B cell receptor signaling pathway Homo sapiens hsa04662,0.50040734,0.31288993,0.4093217,-0.20130965,0.54178405,0.49914983,0.86368805,0.90830475,0.9624035,-0.67783254,0.9151747,0.90447026,0.881,0.614486,0.615,0.938253,0.927,0.928
Bacterial invasion of epithelial cells Homo sapiens hsa05100,0.65744126,0.30998218,0.38266757,-0.33854148,0.5542448,0.51450956,1.1279678,0.91815597,0.88840336,-1.1318271,0.9373142,0.93240255,0.133,0.5937873,0.768,0.26397514,0.866,0.856
Basal cell carcinoma Homo sapiens hsa05217,0.5262022,-0.2034403,0.5098661,-0.29413542,0.5678072,0.5374959,0.9039891,-0.7049797,1.1822876,-0.9453172,0.95373565,0.9666846,0.784,0.90123457,0.13,0.51713395,0.746,0.675
Basal transcription factors Homo sapiens hsa03022,0.59823024,-0.2874316,0.3784169,-0.2578605,0.66076154,0.6073804,1.0085922,-0.95917547,0.8659837,-0.76763594,1.0905362,1.0742366,0.493,0.4362745,0.7817818,0.8314425,0.118,0.179
Base excision repair Homo sapiens hsa03410,0.6147862,0.29692844,0.58142096,-0.38032115,0.56777245,0.54829043,1.0298319,0.7812173,1.3032917,-1.1121262,0.93260103,0.9636176,0.409,0.7737321,0.05125628,0.30756015,0.795,0.667
Bile secretion Homo sapiens hsa04976,0.6193642,0.43524736,0.50564164,0.20963603,0.5580046,0.5135392,1.0604043,1.2248746,1.1568521,0.7370813,0.9333268,0.9195874,0.317,0.19562575,0.174,0.90529245,0.815,0.852
Biosynthesis of amino acids Homo sapiens hsa01230,0.597231,0.1765255,0.357641,-0.4189561,0.6645519,0.60601336,1.0231631,0.50432444,0.8248802,-1.3286792,1.1101068,1.085639,0.428,0.99636364,0.851,0.086419754,0.045,0.102
Biosynthesis of unsaturated fatty acids Homo sapiens hsa01040,0.47175965,0.37382212,0.48446253,-0.29983085,0.65452147,0.57513934,0.76840764,0.8748344,1.0273759,-0.75588,1.0283589,0.96034276,0.8825301,0.6399437,0.46871796,0.79710144,0.387,0.6286286
Bladder cancer Homo sapiens hsa05219,0.65590495,0.37524405,0.41120085,-0.3653048,0.6268408,0.58604777,1.1048161,0.99563485,0.92631054,-1.0656775,1.0289861,1.0308036,0.254,0.48060074,0.656,0.3527508,0.35,0.345
Butanoate metabolism Homo sapiens hsa00650,0.5222051,0.4733359,0.68889934,-0.3506197,0.56400025,0.5385865,0.86453974,1.177772,1.5077909,-0.93959,0.9105264,0.9246033,0.785,0.2794702,0.0060544903,0.56392294,0.827,0.757
Calcium signaling pathway Homo sapiens hsa04020,0.51718956,0.27563915,0.43754598,0.2700212,0.57610786,0.537497,0.90302783,0.8747485,1.0469193,1.1441185,0.9936782,0.9964383,0.883,0.72737306,0.338,0.16780822,0.543,0.53
Carbohydrate digestion and absorption Homo sapiens hsa04973,0.51126724,0.15843564,0.34609514,-0.3041396,0.55693114,0.5234138,0.8669682,0.41437712,0.7701489,-0.88203794,0.90941805,0.9142466,0.797,1.0,0.8818819,0.6334459,0.862,0.82
Carbon metabolism Homo sapiens hsa01200,0.60230213,-0.1513764,0.3634618,-0.31830606,0.56919706,0.52452475,1.043863,-0.5390881,0.85698724,-1.1088418,0.9699551,0.95825124,0.314,1.0,0.857,0.28783384,0.727,0.763
Cardiac muscle contraction Homo sapiens hsa04260,0.5366581,0.41840586,0.46310198,0.19294955,0.5901013,0.56686664,0.92148954,1.2252463,1.0771288,0.7180379,0.9978323,1.0261812,0.759,0.17882353,0.312,0.94207317,0.503,0.328
Cell adhesion molecules (CAMs) Homo sapiens hsa04514,0.533441,0.38349235,0.5227686,0.30976468,0.58738357,0.5615206,0.92140543,1.173671,1.2374861,1.221897,0.9987882,1.0239998,0.795,0.2175926,0.028,0.09771987,0.49,0.33
Cell cycle Homo sapiens hsa04110,0.59042054,0.26235437,0.36209783,-0.22151954,0.6387789,0.601401,1.0255935,0.8206159,0.85607624,-0.806637,1.0950099,1.106047,0.392,0.7830396,0.9,0.8595271,0.027,0.027
Central carbon metabolism in cancer Homo sapiens hsa05230,0.5992773,-0.17672889,0.35667476,0.28867066,0.63823736,0.59131825,1.0246304,-0.63719046,0.82458496,1.0362866,1.0713606,1.0637115,0.413,0.9677419,0.878,0.38157895,0.129,0.167
