,Term,ES,NES,NOM p-value,FDR p-value,Set size,Tag %,Rank %,Leading edge
63,DNA replication Homo sapiens hsa03030,-0.5867442,-1.7274983,0.0067340066,0.7808641890684764,33,0.4848485,0.17111531,DNA2;MCM7;POLE3;MCM4;FEN1;PCNA;POLE2;POLE;POLD1;RFC5;POLA2;RFC3;RPA1;PRIM2;RFC4;MCM3
192,Primary bile acid biosynthesis Homo sapiens hsa00120,-0.78383833,-1.8314682,0.0053475937,0.7808641890684764,12,0.25,0.051569,HSD17B4;CYP39A1;CYP7B1
99,Glycolysis / Gluconeogenesis Homo sapiens hsa00010,-0.5195346,-1.6605998,0.014240506,0.7808641890684764,47,0.42553192,0.2532325,DLD;DLAT;ACSS1;ADPGK;ALDOC;ALDH9A1;PCK2;ALDOA;ACSS2;GAPDH;HK1;PKLR;PGM1;ENO2;PGM2;G6PC3;MINPP1;AKR1A1;PFKP;PDHA1
223,Ribosome Homo sapiens hsa03010,0.341434,1.365526,0.025236594,0.7808641890684764,86,0.3488372,0.20869565,RPL3L;MRPL17;FAU;MRPL36;MRPL11;MRPL1;RPL30;RPL26;RPL8;MRPS16;MRPL9;RPS6;RPS18;MRPS15;MRPL12;MRPS17;MRPL28;RPS9;RPS28;RPS27;RPS13;MRPL2;RPL29;UBA52;RPL36AL;RPL9;RPL22L1;MRPL30;MRPS9;MRPL35
71,Endocytosis Homo sapiens hsa04144,-0.3491594,-1.3688176,0.025316456,0.7808641890684764,209,0.23923445,0.16151229,LDLR;DNM2;SMURF1;RAB5B;CHMP6;FGFR3;ARAP1;ACAP1;GRK4;CHMP5;KDR;CAPZA1;RAB22A;ARPC3;FOLR1;IGF1R;SH3GL1;HGS;SNX1;ZFYVE27;TRAF6;CAV1;VPS4B;RAB11FIP1;ARPC5;SNX12;RAB11B;STAMBP;CHMP4C;ARF6;VPS26B;CLTA;VPS45;CYTH2;NEDD4L;VPS4A;RAB5C;RAB11FIP3;TGFBR2;VPS29;EPS15L1;IST1;SH3GLB2;VPS37C;ITCH;PLD2;KIF5A;PARD6G;RAB4A;EHD1
87,Fructose and mannose metabolism Homo sapiens hsa00051,-0.5879808,-1.6146703,0.023450587,0.7808641890684764,23,0.4347826,0.14971645,PFKFB3;GMPPA;ALDOA;MPI;HK1;PMM2;PFKFB2;PMM1;AKR1B1;PFKP
108,HIF-1 signaling pathway Homo sapiens hsa04066,-0.43366686,-1.4877651,0.019345239,0.7808641890684764,80,0.2875,0.16340265,SERPINE1;EPO;STAT3;IGF1R;PDK1;RELA;PFKFB3;ARNT;AKT3;EIF4E2;IFNGR1;ALDOA;HK1;MAP2K2;EIF4E;CDKN1B;PIK3CD;ENO2;EDN1;BCL2;CUL2;TLR4;EIF4EBP1
107,Graft-versus-host disease Homo sapiens hsa05332,0.72541404,1.6536626,0.010460251,0.7808641890684764,8,0.5,0.12438563,HLA-DMA;IL1A;FAS;CD80
8,African trypanosomiasis Homo sapiens hsa05143,0.6054077,1.5759009,0.025462963,0.7808641890684764,14,0.42857143,0.115916826,MYD88;PLCB4;FAS;THOP1;IDO2;HPR
94,Glutamatergic synapse Homo sapiens hsa04724,0.33963782,1.363806,0.031034483,0.8093841401013461,92,0.27173913,0.16982986,GRM7;GRIA1;DLGAP1;PPP3CC;GNB5;GRIK4;GNG2;SLC38A2;ADCY9;SLC1A6;ITPR3;PLCB4;ADCY1;GRM4;HOMER3;GNG10;GNG7;CACNA1A;GNAI1;ADCY4;GNB3;GNG3;GNG11;GLS;GRIK1
229,Serotonergic synapse Homo sapiens hsa04726,0.36369926,1.3930868,0.032258064,0.8093841401013461,76,0.2236842,0.12166352,TPH2;GNB5;GNG2;KRAS;ITPR3;PLCB4;CYP2J2;KCNJ9;GNG7;DUSP1;HTR1B;CACNA1A;GNAI1;GNB3;HTR4;GNG3;ALOX12
65,Dopaminergic synapse Homo sapiens hsa04728,0.3129908,1.2784146,0.03691275,0.8165680777568083,102,0.33333334,0.23115312,CLOCK;GRIA1;PPP2CA;PPP3CC;KIF5C;GNB5;PPP2R2B;PPP1CA;GNAL;CALM3;GNG2;MAPK12;PPP2R5D;GNAS;MAOA;ITPR3;PLCB4;KCNJ9;GNG10;CREB3;COMT;GNG7;GSK3B;PPP2R2A;CACNA1A;GNAI1;GNB3;PPP2CB;GNG3;CACNA1D;AKT2;GNG11;DRD3;GRIN2B
221,Retrograde endocannabinoid signaling Homo sapiens hsa04723,0.35569486,1.3886015,0.03846154,0.8165680777568083,78,0.30769232,0.16982986,GABRA3;GRIA1;GABRA1;GNB5;GABRA2;GABRR2;GNG2;ADCY9;MAPK12;ITPR3;PLCB4;ADCY1;KCNJ9;GNG10;GNG7;GABRG2;CACNA1A;GNAI1;ADCY4;CNR1;GNB3;GNG3;GNG11;ABHD6
206,Pyrimidine metabolism Homo sapiens hsa00240,-0.39094725,-1.3722912,0.052478135,0.9112833539644878,84,0.23809524,0.15107751,CAD;ENTPD6;UPP2;POLE3;TXNRD3;CTPS1;TYMS;POLR2E;POLE2;POLE;POLR3F;POLD1;UCK2;POLA2;POLR3B;PRIM2;UPP1;POLR3E;DPYD;DTYMK
150,Mucin type O-Glycan biosynthesis Homo sapiens hsa00512,-0.5858843,-1.4818938,0.050086357,0.9112833539644878,19,0.2631579,0.071909264,GALNT6;GALNT1;ST3GAL1;GALNT11;GALNT3
47,Chagas disease (American trypanosomiasis) Homo sapiens hsa05142,0.34971112,1.3184984,0.055045873,0.9112833539644878,70,0.25714287,0.12778828,TGFBR1;PPP2CA;PPP2R2B;GNAL;TGFB2;MYD88;MAPK12;CD3E;PLCB4;ADCY1;NFKBIA;FAS;PIK3R5;TLR2;GNAI1;CD247;PPP2CB;AKT2
100,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate Homo sapiens hsa00532,-0.57164216,-1.5041522,0.058064517,0.9112833539644878,18,0.2777778,0.1479017,XYLT1;DSE;CHPF2;CSGALNACT2;CHSY1
127,Intestinal immune network for IgA production Homo sapiens hsa04672,0.4791587,1.4848063,0.059431523,0.9112833539644878,23,0.3043478,0.14396976,HLA-DMA;CCL28;TNFSF13;TNFSF13B;LTBR;CD80;MADCAM1
173,PI3K-Akt signaling pathway Homo sapiens hsa04151,-0.2354438,-0.9404672,0.61262375,0.9991990314735161,268,0.12686567,0.114026465,PRKAA2;FGFR3;ITGA4;KDR;RPTOR;LAMB1;CCND1;EPO;KITLG;CCNE1;LAMB3;RELA;FGF10;AKT3;MLST8;CREB3L3;BCL2L11;CDK2;FLT4;SPP1;MAP2K2;EIF4E;CDKN1B;EFNA5;COL6A5;CDK6;ITGA7;PIK3CD;NRAS;BCL2;RELN;CCNE2;EIF4EBP1;COL4A1
222,Rheumatoid arthritis Homo sapiens hsa05323,0.3348015,1.2206831,0.14893617,0.9991990314735161,53,0.35849056,0.21020794,CCL5;HLA-DMA;ATP6V1G2;TGFB2;VEGFA;ATP6V1C2;LTB;TEK;CCL20;IL1A;TNFSF13;TNFSF11;ATP6V0D1;TNFSF13B;IL11;TLR2;CD80;JUN;CXCL6
208,RIG-I-like receptor signaling pathway Homo sapiens hsa04622,-0.2977956,-0.9125771,0.5761905,0.9991990314735161,38,0.21052632,0.15795842,CASP8;SIKE1;RELA;TRAF6;IRF3;IFIH1;TBKBP1;TBK1
209,RNA degradation Homo sapiens hsa03018,-0.24098895,-0.8014079,0.81185186,0.9991990314735161,62,0.2580645,0.22071834,CNOT8;EXOSC8;EDC4;CNOT2;C1D;HSPD1;DDX6;PABPC4L;CNOT4;ZCCHC7;XRN2;DCPS;ENO2;HSPA9;PFKP;MPHOSPH6
210,RNA polymerase Homo sapiens hsa03020,-0.34631598,-0.95115525,0.54188037,0.9991990314735161,23,0.3043478,0.2078639,POLR1A;POLR2C;POLR2F;POLR2E;POLR3F;POLR3B;POLR3E
211,RNA transport Homo sapiens hsa03013,0.2401836,1.0195636,0.41947564,0.9991990314735161,128,0.2421875,0.15153119,PABPC5;RPP40;TPR;EIF1B;EIF3J;RANGAP1;RPP30;THOC5;EIF2B5;EIF2B2;EIF4EBP2;NCBP2;EIF3E;RPP25;PAIP1;EIF5B;PHAX;FMR1;RPP25L;MAGOH;NUP160;EIF4B;RAN;SEC13;CYFIP2;NCBP1;NUP93;GEMIN2;AAAS;EIF3A;NUP43
212,Rap1 signaling pathway Homo sapiens hsa04015,0.20906974,0.91265666,0.7467811,0.9991990314735161,179,0.15642458,0.13444234,LPAR3;PDGFB;PDGFD;ITGB3;PRKD2;RAP1B;CALM3;FGFR4;PARD6A;VEGFA;ADCY9;MAPK12;CTNNB1;KRAS;KIT;FGFR1;CSF1R;RALB;PLCB4;ADCY1;CRKL;PDGFC;PIK3R5;GNAI1;ADCY4;CNR1;FGF8;AKT2
