,score,score,score,score,score,score,norm,norm,norm,norm,norm,norm,pval,pval,pval,pval,pval,pval
,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
source,,,,,,,,,,,,,,,,,,
2-Oxocarboxylic acid metabolism Homo sapiens hsa01210,0.48790112,0.4677095,0.24094513,0.42631572,0.47710076,0.42797652,0.84456104,1.0189499,0.601151,0.9582301,0.9994523,1.1248457,0.70295984,0.42803738,0.92964244,0.50329673,0.4816754,0.31030577
ABC transporters Homo sapiens hsa02010,0.55823886,0.27355033,0.17038496,-0.31276652,0.4140088,0.2584066,1.0437814,0.75156045,0.5652096,-0.89489937,1.0181798,0.88963276,0.418,0.79562044,0.9530133,0.5833333,0.445,0.66161615
AGE-RAGE signaling pathway in diabetic complications Homo sapiens hsa04933,0.66787326,-0.14138103,0.16298023,-0.19751793,0.37400064,0.21756127,1.2766,-0.48512608,0.605573,-0.6893153,0.9924078,0.8600666,0.026,1.0,0.97,0.93782383,0.514,0.804
AMPK signaling pathway Homo sapiens hsa04152,0.59231454,0.19229333,0.17782743,0.19780186,0.3411857,0.2389396,1.144836,0.6559965,0.67314905,0.7716094,0.9168248,0.9599787,0.14,0.9727273,0.959,0.90220046,0.794,0.583
Acute myeloid leukemia Homo sapiens hsa05221,0.50541174,0.22607492,0.15123236,0.23857047,0.28759822,0.24255128,0.95826656,0.70744437,0.53641325,0.7962093,0.7379509,0.8984706,0.606,0.88235295,0.9718875,0.78606963,0.97,0.6780341
Adherens junction Homo sapiens hsa04520,0.44870523,0.30013415,0.24026482,0.19634052,0.41175714,0.3204571,0.8571206,0.9584896,0.8868973,0.7302651,1.0848671,1.2609186,0.826,0.5034965,0.6916917,0.93154037,0.246,0.072
Adipocytokine signaling pathway Homo sapiens hsa04920,0.56840473,0.18686177,0.18305907,-0.18910532,0.3140928,0.22427778,1.0830946,0.57855046,0.65165293,-0.619167,0.819208,0.8505043,0.32,0.98165137,0.919598,0.9705341,0.916,0.7657658
Adrenergic signaling in cardiomyocytes Homo sapiens hsa04261,0.47692865,0.2568327,0.29205972,-0.2296642,0.37175512,0.2749999,0.92154723,0.89509565,1.1139197,-0.8477433,1.0037651,1.110446,0.745,0.6165803,0.274,0.7761438,0.491,0.204
African trypanosomiasis Homo sapiens hsa05143,0.73499763,-0.5661676,0.449735,-0.56809056,0.29236174,0.23308331,1.3186897,-1.3612844,1.2614567,-1.3712478,0.6602934,0.6880036,0.09876543,0.12658228,0.19601329,0.13559322,0.9613821,0.8848614
"Alanine, aspartate and glutamate metabolism Homo sapiens hsa00250",0.51411355,0.55294645,0.33672827,0.4896361,0.47553784,0.38241804,0.946757,1.470151,1.0502546,1.4197474,1.136918,1.266276,0.58492464,0.06021898,0.40833333,0.086538464,0.22722723,0.1493776
Alcoholism Homo sapiens hsa05034,0.4893122,0.22626954,0.27148885,-0.2535744,0.30448073,0.19545957,0.9356517,0.74906474,1.0057904,-0.88496655,0.808373,0.7683661,0.682,0.86620927,0.493,0.6672213,0.967,0.916
Aldosterone synthesis and secretion Homo sapiens hsa04925,0.6320958,0.29664564,0.3399287,-0.3811589,0.4148987,0.35799786,1.2070739,0.9263056,1.2165745,-1.2368739,1.079379,1.3543018,0.081,0.5873288,0.17806841,0.1569966,0.257,0.043
Aldosterone-regulated sodium reabsorption Homo sapiens hsa04960,0.46978483,-0.36975425,0.18330473,-0.38838783,0.35919553,0.24626718,0.8655985,-1.0103431,0.58583623,-1.0968688,0.8702762,0.83158004,0.741483,0.43908045,0.93471503,0.34385964,0.7737738,0.74262464
Allograft rejection Homo sapiens hsa05330,0.5301893,-0.52699053,0.4750015,-0.68297,0.37649217,0.18944442,0.94298905,-1.1870667,1.2599022,-1.5757403,0.8222231,0.5353119,0.5945946,0.24835165,0.19325842,0.040590405,0.7789256,0.98580784
Alzheimer's disease Homo sapiens hsa05010,0.50482553,0.27106294,0.26861417,0.22372244,0.34324065,0.20774052,0.98146313,0.9807353,1.034679,0.92546,0.93478376,0.865215,0.583,0.48040885,0.446,0.6229508,0.775,0.83
Amino sugar and nucleotide sugar metabolism Homo sapiens hsa00520,0.48428187,-0.39156663,0.3050829,-0.2432708,0.52101207,0.4063432,0.90622747,-1.1618153,1.0362775,-0.7402412,1.3138663,1.4620571,0.7057057,0.24541284,0.44758064,0.8672414,0.019,0.016080402
Aminoacyl-tRNA biosynthesis Homo sapiens hsa00970,0.55379057,0.54602736,0.37086505,0.43812418,0.6160025,0.4328126,0.9969868,1.3576945,1.106671,1.1837856,1.4213532,1.3575257,0.5040568,0.123844735,0.3438486,0.24507658,0.018090453,0.078756474
Amoebiasis Homo sapiens hsa05146,0.42882448,0.21579838,0.26361462,-0.28621534,0.31327957,0.2611499,0.8162663,0.68455786,0.964775,-0.9792147,0.822255,1.0063288,0.897,0.9035088,0.56513023,0.47931033,0.933,0.464
Amphetamine addiction Homo sapiens hsa05031,0.37545627,0.29141963,0.29501757,-0.17801388,0.38878,0.30347946,0.7072716,0.869811,1.0192937,-0.5621125,0.9917097,1.1261555,0.964,0.64631957,0.46626386,0.9722222,0.521,0.25725725
Amyotrophic lateral sclerosis (ALS) Homo sapiens hsa05014,0.37353233,-0.26547927,0.20139758,-0.31632927,0.4420628,0.30955246,0.6993641,-0.79175645,0.6911303,-0.98280936,1.1256628,1.1228876,0.949,0.7790974,0.8876518,0.48235294,0.198,0.25829145
Antigen processing and presentation Homo sapiens hsa04612,0.35266763,-0.4751849,0.35585642,-0.50937337,0.42547825,0.32931438,0.65871537,-1.3710724,1.1705989,-1.5042151,1.0452317,1.1486102,0.958,0.11845102,0.25486183,0.04310345,0.376,0.22334003
Apoptosis Homo sapiens hsa04210,0.46383104,-0.24200295,0.15748361,-0.29645404,0.33986327,0.2241468,0.8971211,-0.8684916,0.6006053,-1.1104054,0.91889304,0.91457933,0.82,0.7021792,0.985,0.2612903,0.806,0.715
Arachidonic acid metabolism Homo sapiens hsa00590,0.54812837,0.30003595,0.3608074,-0.25091276,0.3869566,0.23566028,1.031502,0.8476102,1.1910778,-0.73292625,0.96179855,0.8205496,0.45645645,0.6775956,0.24233128,0.86481804,0.5701403,0.8010101
Arginine and proline metabolism Homo sapiens hsa00330,0.527111,-0.19167307,0.23108435,-0.3674416,0.327481,0.25960672,0.9889398,-0.59087867,0.7828772,-1.1108574,0.81884104,0.92867917,0.5255255,0.96902657,0.80020285,0.29310346,0.885,0.5975855
Arginine biosynthesis Homo sapiens hsa00220,0.42053288,0.45040435,0.268072,0.36070845,0.36033556,0.2973869,0.75864357,1.0786406,0.7758461,0.92366916,0.82200223,0.9062803,0.8246687,0.3690909,0.747614,0.56179774,0.82179224,0.60832447
Arrhythmogenic right ventricular cardiomyopathy (ARVC) Homo sapiens hsa05412,0.4858483,-0.22631456,0.30228513,0.18844318,0.37949467,0.28268465,0.92794317,-0.74019855,1.0952827,0.6840566,0.99016553,1.0853175,0.696,0.8551724,0.328,0.94559586,0.513,0.2912913
Asthma Homo sapiens hsa05310,0.5849674,-0.6585188,0.4746702,-0.67734677,0.40790197,0.19838966,1.0002742,-1.3712935,1.1450504,-1.3816237,0.8371678,0.500668,0.5059459,0.123689726,0.29411766,0.11967546,0.7328326,0.99299884
Autoimmune thyroid disease Homo sapiens hsa05320,0.45868245,-0.49173564,0.46357298,-0.6403153,0.48227063,0.33395508,0.83516353,-1.2229489,1.343065,-1.6176107,1.1130933,1.024531,0.756371,0.22198276,0.12982832,0.028735632,0.2880161,0.41114616
Axon guidance Homo sapiens hsa04360,0.48660225,0.3027581,0.24640004,0.285589,0.3276077,0.17459765,0.9419711,1.0814745,0.95403516,1.1513953,0.88979113,0.7146525,0.69,0.29333332,0.592,0.18434343,0.862,0.984
B cell receptor signaling pathway Homo sapiens hsa04662,0.4805468,0.23077029,0.22483285,0.22502242,0.314218,0.23004472,0.9154208,0.72825027,0.813854,0.79105085,0.8215439,0.88148016,0.71,0.8951049,0.7955912,0.79859483,0.922,0.718
Bacterial invasion of epithelial cells Homo sapiens hsa05100,0.4951301,0.30533704,0.39107546,0.1923409,0.3694986,0.24455643,0.9445828,0.9682809,1.4254392,0.6925125,0.9757217,0.95252126,0.647,0.50180507,0.02008032,0.937046,0.574,0.599
Basal cell carcinoma Homo sapiens hsa05217,0.49363273,0.30461502,0.36555403,-0.24041384,0.4420137,0.296958,0.92754394,0.9014781,1.2631841,-0.74770796,1.1209389,1.0815675,0.67,0.5896488,0.17404427,0.85785955,0.191,0.33867735
Basal transcription factors Homo sapiens hsa03022,0.5546944,0.35359475,0.3063885,0.25338894,0.28944737,0.15809764,1.0315623,1.0444226,1.0336328,0.8084965,0.71974754,0.5637711,0.44188377,0.38593155,0.44760936,0.7488152,0.973,0.994985
Base excision repair Homo sapiens hsa03410,0.5298016,-0.46268514,0.16664538,-0.5044075,0.388048,0.34589988,0.9832592,-1.2827843,0.5338244,-1.3816288,0.93589413,1.166666,0.52758276,0.14935064,0.95553255,0.10836502,0.627,0.23289071
Bile secretion Homo sapiens hsa04976,0.49956095,0.18895376,0.34081474,-0.18891883,0.36568993,0.27145836,0.94164026,0.5580409,1.1595398,-0.57461387,0.9249387,0.9698712,0.625,0.98392856,0.2647059,0.9879518,0.679,0.52710843
Biosynthesis of amino acids Homo sapiens hsa01230,0.43613353,0.33519194,0.17542541,0.22660284,0.3416178,0.21980415,0.8240253,1.0232563,0.61131537,0.7870149,0.87875897,0.8203582,0.858,0.4139785,0.9487437,0.8320988,0.812,0.82
Biosynthesis of unsaturated fatty acids Homo sapiens hsa01040,-0.32978106,0.32899106,0.32929665,0.26492283,0.35907927,0.25415266,-1.0550365,0.75820947,0.9323535,0.66205174,0.80619854,0.75746167,0.2857143,0.75868374,0.56578946,0.8773389,0.83588177,0.8374596
Bladder cancer Homo sapiens hsa05219,0.6688597,0.33382294,0.32478705,0.3140018,0.2826392,-0.19922405,1.2516993,0.9292326,1.065243,0.9525924,0.69145536,-0.9088072,0.10943775,0.55813956,0.40657085,0.5272727,0.966,0.6
Butanoate metabolism Homo sapiens hsa00650,-0.2610255,0.5215591,0.43494102,0.63071746,0.55842245,0.40950203,-0.9917142,1.291837,1.33936,1.7243433,1.3005866,1.3043725,0.5,0.176259,0.12736842,0.024630541,0.07214429,0.123061016
Calcium signaling pathway Homo sapiens hsa04020,0.45279765,0.36574692,0.30475163,-0.24142888,0.4469081,0.31447673,0.8816287,1.2790079,1.1681826,-0.9066468,1.2177259,1.2948176,0.85,0.109375,0.186,0.6329527,0.008,0.02
Carbohydrate digestion and absorption Homo sapiens hsa04973,0.53670603,0.30853578,0.30265522,0.22796991,0.36804822,0.29274833,0.99423945,0.8102222,0.9474582,0.6715758,0.8867968,0.96845835,0.51855564,0.72407407,0.56832296,0.9072398,0.7187187,0.5188583
Carbon metabolism Homo sapiens hsa01200,0.4886957,0.44089803,0.28610334,0.36645404,0.3621183,0.25436744,0.9337399,1.4665788,1.0771748,1.4102327,0.9664531,1.0118268,0.682,0.04049296,0.352,0.04534005,0.6,0.464
Cardiac muscle contraction Homo sapiens hsa04260,0.43933234,0.26642624,0.36391482,0.28234598,0.3950885,0.3389737,0.82844895,0.8284194,1.3034344,0.98745203,1.02541,1.2747235,0.851,0.72629696,0.085341364,0.44941175,0.404,0.08316633
Cell adhesion molecules (CAMs) Homo sapiens hsa04514,0.46642473,-0.3319548,0.32285193,-0.36488357,0.45950165,0.37798095,0.8992532,-1.1558795,1.2049212,-1.279647,1.2287539,1.5238862,0.786,0.22535211,0.168,0.114617944,0.015,0.002
Cell cycle Homo sapiens hsa04110,0.5524312,0.327851,0.26803705,0.31652486,0.42635903,0.27927557,1.0692139,1.143382,1.0182528,1.2404135,1.1563935,1.1518888,0.285,0.22525597,0.462,0.103535354,0.067,0.143
Central carbon metabolism in cancer Homo sapiens hsa05230,0.53107107,0.30496183,0.18593302,0.23489816,0.3089648,0.21774939,1.0084863,0.9394353,0.6650305,0.8016704,0.7988925,0.8212427,0.487,0.5355872,0.91767067,0.7893462,0.944,0.835
