,Term,ES,NES,NOM p-value,FDR p-value,Set size,Tag %,Rank %,Leading edge
163,Olfactory transduction Homo sapiens hsa04740,-0.61300665,-1.8875875,0.0,0.0,32,0.1875,0.047996905,OR5AU1;GNAL;OR4D11;OR8D2;CALM1;ARRB1
185,Phosphatidylinositol signaling system Homo sapiens hsa04070,-0.42619556,-1.455408,0.028099174,0.68559104753168,56,0.17857143,0.06173795,CDS2;PIP5K1C;IPMK;PIK3R5;DGKI;DGKB;ITPR3;CALM1;IMPA2;IPPK
20,Antigen processing and presentation Homo sapiens hsa04612,-0.50937337,-1.5042151,0.04310345,0.68559104753168,27,0.22222222,0.10228372,CREB1;HLA-DMB;RFXANK;HLA-DMA;CALR;HSPA5
13,Allograft rejection Homo sapiens hsa05330,-0.68297,-1.5757403,0.040590405,0.68559104753168,10,0.6,0.17669828,HLA-DMB;CD80;FAS;HLA-DMA;CD40;IL10
27,Autoimmune thyroid disease Homo sapiens hsa05320,-0.6403153,-1.6176107,0.028735632,0.68559104753168,14,0.42857143,0.17669828,HLA-DMB;CD80;FAS;HLA-DMA;CD40;IL10
38,Butanoate metabolism Homo sapiens hsa00650,0.63071746,1.7243433,0.024630541,0.68559104753168,17,0.4117647,0.16963422,HMGCL;GAD1;BDH1;EHHADH;ACAT2;HADHA;HMGCLL1
237,Steroid hormone biosynthesis Homo sapiens hsa00140,-0.62509173,-1.6012518,0.03954802,0.68559104753168,15,0.46666667,0.22537255,HSD17B8;HSD11B2;HSD3B2;CYP1B1;CYP7B1;COMT;CYP11A1
41,Carbon metabolism Homo sapiens hsa01200,0.36645404,1.4102327,0.04534005,0.68559104753168,67,0.26865673,0.15705438,PDHA1;ACO1;PGP;ALDOA;H6PD;DLD;GPT;EHHADH;ACAT2;OGDH;ENO1;GLDC;ADPGK;PGLS;SUCLG1;PSPH;ENO2;HADHA
120,Inflammatory mediator regulation of TRP channels Homo sapiens hsa04750,-0.4389679,-1.456324,0.047540985,0.68559104753168,48,0.29166666,0.15744145,MAPK8;PLCB4;NGF;CYP2J2;PPP1CA;PIK3R5;ITPR3;PLCG1;ADCY1;ALOX12;CALM1;IGF1;BDKRB1;PPP1CC
98,Glycolysis / Gluconeogenesis Homo sapiens hsa00010,0.45153016,1.5040444,0.02962963,0.68559104753168,36,0.2777778,0.14041029,PDHA1;ALDOA;AKR1A1;DLD;GALM;ENO1;PGM2;ADPGK;LDHAL6B;ENO2
