,Term,ES,NES,NOM p-value,FDR p-value,Set size,Tag %,Rank %,Leading edge
248,Thyroid hormone signaling pathway Homo sapiens hsa04919,-0.31366718,-1.0831311,0.3060921,1.0,96,0.19791667,0.14543532,PIK3R5;PLCD4;SLC16A2;MED1;KRAS;AKT3;STAT1;DIO3;CASP9;KAT2B;NCOA1;MAP2K2;NOTCH1;PLCG1;AKT2;PLCB4;SIN3A;ACTG1;MED24
249,Thyroid hormone synthesis Homo sapiens hsa04918,-0.2975757,-0.9242167,0.5638978,1.0,51,0.33333334,0.26300687,GNAS;ITPR2;CREB3;ADCY8;LRP2;HSPA5;CREB1;ADCY3;GPX8;TPO;ADCY9;GPX7;ITPR3;PLCB4;ADCY1;GPX3;GPX1
250,Tight junction Homo sapiens hsa04530,-0.23169033,-0.80335784,0.86936235,1.0,104,0.14423077,0.10918976,PRKCE;GNAI1;EPB41L2;MAGI2;SHROOM2;PPP2R2B;CLDN3;AKT3;YES1;CLDN6;CTNNA1;AKT2;LLGL1;ACTG1;MAGI3
251,Toll-like receptor signaling pathway Homo sapiens hsa04620,-0.31998166,-1.0268594,0.40930232,1.0,62,0.20967741,0.112361245,PIK3R5;RIPK1;AKT3;STAT1;CD40;IKBKB;MAP2K2;TOLLIP;TLR4;AKT2;CD80;MAPK9;NFKBIA
252,Toxoplasmosis Homo sapiens hsa05145,-0.29686886,-0.98538685,0.47832587,1.0,86,0.24418604,0.14732312,PIK3R5;GNAI1;MAP2K6;PPIF;TAB1;AKT3;HLA-DMB;GNAO1;STAT1;CASP3;CASP9;HSPA1L;CD40;IKBKB;IFNGR1;TLR4;AKT2;ITGB1;BIRC3;MAPK9;NFKBIA
253,Transcriptional misregulation in cancer Homo sapiens hsa05202,0.26714593,1.0561721,0.31868133,1.0,126,0.17460318,0.12663294,PTCRA;KLF3;SPINT1;ATM;CCND2;FLT3;MYC;JMJD1C;PTK2;LDB1;MET;RELA;MYCN;RARA;EYA1;GOLPH3L;FUS;FOXO1;TLX1;MEIS1;PAX3;LYL1
254,Tryptophan metabolism Homo sapiens hsa00380,0.51236844,1.5366815,0.02905569,1.0,31,0.22580644,0.14543532,ALDH9A1;OGDH;IL4I1;TPH2;CYP1B1;GCDH;MAOA
255,Tuberculosis Homo sapiens hsa05152,0.29461145,1.1530231,0.16207951,1.0,111,0.10810811,0.085781164,IL18;BCL10;FCGR2C;ATP6V1H;IFNGR2;PLA2R1;HSPD1;IL1A;RELA;EEA1;CASP8;BCL2
240,Synaptic vesicle cycle Homo sapiens hsa04721,0.20107645,0.6830639,0.96648043,1.0,53,0.16981132,0.1556294,VAMP2;SLC32A1;RAB3A;ATP6V1H;AP2A1;ATP6V1G2;DNM3;STX1B;AP2M1
241,Systemic lupus erythematosus Homo sapiens hsa05322,0.39079982,1.0684602,0.36976743,1.0,23,0.13043478,0.0151023185,SNRPD3;SNRPB;C7
242,T cell receptor signaling pathway Homo sapiens hsa04660,0.21539162,0.76837945,0.9030471,1.0,74,0.25675675,0.22185305,CHUK;BCL10;TEC;NRAS;PIK3CB;CTLA4;CDC42;PIK3R3;CD247;RELA;IL10;PIK3CD;ZAP70;SOS1;NFATC2;FYN;NFKB1;PPP3CC;PAK4
243,TGF-beta signaling pathway Homo sapiens hsa04350,0.2839967,0.96911484,0.50141644,1.0,62,0.19354838,0.16582346,ACVR2B;BMPR1B;TGFB1;TGFBR1;MYC;PPP2R1B;AMHR2;THBS1;NODAL;BMPR2;SMURF1;INHBB
244,TNF signaling pathway Homo sapiens hsa04668,-0.25867847,-0.8714499,0.7096774,1.0,83,0.26506025,0.1752624,PIK3R5;RIPK1;MAP2K6;TAB1;CREB1;DAB2IP;AKT3;TRAF5;CASP3;CSF1;ITCH;IKBKB;MMP9;AKT2;MMP14;CFLAR;FAS;BIRC3;MAPK9;DNM1L;NFKBIA;JAG1
245,Taste transduction Homo sapiens hsa04742,0.29807788,0.9405269,0.5580247,1.0,38,0.2631579,0.19542399,GRM4;GNAT3;GNB3;PKD1L3;SCN2A;P2RX3;PRKACA;CHRM3;GABBR2;GABRA2
