,score,score,score,score,score,score,norm,norm,norm,norm,norm,norm,pval,pval,pval,pval,pval,pval
,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
source,,,,,,,,,,,,,,,,,,
2-Oxocarboxylic acid metabolism Homo sapiens hsa01210,0.6757145,-0.7005058,0.7003109,-0.26272985,0.61314666,0.6128043,1.0923904,-1.4483029,1.4466482,-0.5962501,0.8355264,0.85641116,0.34042552,0.06315789,0.028451001,0.92714024,0.9409409,0.9149149
ABC transporters Homo sapiens hsa02010,0.6072151,-0.4599424,0.35201588,0.40428805,0.6341353,0.6053716,1.032812,-1.1399193,0.8138287,1.1908237,0.9007439,0.8866236,0.427,0.30859375,0.812,0.21356784,0.94,0.956
AGE-RAGE signaling pathway in diabetic complications Homo sapiens hsa04933,0.7064616,0.23694707,0.34943768,0.2741742,0.68583673,0.6611931,1.2270823,0.8753592,0.847652,1.0033017,1.0021114,0.99731034,0.01,0.73275864,0.883,0.43589744,0.461,0.51
AMPK signaling pathway Homo sapiens hsa04152,0.59617716,0.26582807,0.396241,0.2848896,0.70076483,0.6802615,1.0438905,1.0300807,0.9713804,1.077459,1.0289024,1.0305778,0.319,0.4090909,0.609,0.29819277,0.182,0.183
Acute myeloid leukemia Homo sapiens hsa05221,0.59222955,0.24744177,0.37706596,0.28591612,0.70793414,0.67259383,1.0169827,0.84115756,0.90645176,0.9456126,1.0263802,1.0036225,0.454,0.79888266,0.722,0.536193,0.272,0.458
Adherens junction Homo sapiens hsa04520,0.4975784,0.20590165,0.28983796,0.24000326,0.68562907,0.67518336,0.8576985,0.75246483,0.6910036,0.85743666,0.99791646,1.0127457,0.923,0.9576271,0.984,0.77111715,0.508,0.356
Adipocytokine signaling pathway Homo sapiens hsa04920,0.60137695,-0.1956066,0.44067633,0.29541203,0.71205324,0.6900676,1.0368963,-0.5355509,1.0455707,1.0011731,1.0321565,1.0317743,0.394,0.989486,0.405,0.43850267,0.238,0.253
Adrenergic signaling in cardiomyocytes Homo sapiens hsa04261,0.5238841,-0.31839448,0.44626227,-0.2054311,0.647781,0.6216418,0.91619605,-0.9346395,1.0967482,-0.7322746,0.9547107,0.9447718,0.831,0.6080508,0.196,0.951952,0.93,0.964
African trypanosomiasis Homo sapiens hsa05143,0.74000096,-0.54770994,0.54839283,-0.3159932,0.70694345,0.6757255,1.2309339,-1.2330269,1.197814,-0.75765085,0.97684085,0.95948905,0.122613065,0.24541607,0.22199592,0.77835053,0.5985986,0.6626627
"Alanine, aspartate and glutamate metabolism Homo sapiens hsa00250",0.6411833,-0.34155452,0.46256614,-0.222533,0.8067942,0.7734153,1.0739776,-0.83083063,1.0358026,-0.58409977,1.1380059,1.1199378,0.35735735,0.6970091,0.444333,0.9720768,0.033,0.067
Alcoholism Homo sapiens hsa05034,0.52967346,0.3267647,0.4193216,-0.25590453,0.6983887,0.68156093,0.92100435,1.2515931,1.0235046,-0.8491353,1.0230336,1.0301745,0.769,0.13592233,0.45,0.73510975,0.269,0.216
Aldosterone synthesis and secretion Homo sapiens hsa04925,0.6319012,-0.36649445,0.47181663,-0.3990014,0.69566786,0.67438126,1.0925295,-1.0122206,1.1380701,-1.2758901,1.0120459,1.0109559,0.231,0.46349943,0.191,0.12828948,0.373,0.382
Aldosterone-regulated sodium reabsorption Homo sapiens hsa04960,0.5954957,0.2783611,0.45487747,0.30521113,0.68941325,0.677728,1.0074841,0.84874785,1.0395793,0.8993438,0.97852063,0.9912124,0.495,0.6877828,0.4288577,0.63961816,0.595,0.521
Allograft rejection Homo sapiens hsa05330,0.49369192,-0.7947484,0.52805126,-0.6594372,0.8939552,0.8689867,0.79794097,-1.6041762,1.076544,-1.4195112,1.2182237,1.2089335,0.80792683,0.00770416,0.42060086,0.10163339,0.028,0.036036037
Alzheimer's disease Homo sapiens hsa05010,0.51345223,-0.394263,0.4027013,-0.2944652,0.6688667,0.65182775,0.9013846,-1.1868302,0.99846435,-1.0633433,0.9844037,0.99033993,0.898,0.16542156,0.511,0.3139881,0.679,0.613
Amino sugar and nucleotide sugar metabolism Homo sapiens hsa00520,0.5617399,-0.42687947,0.43919304,0.2803827,0.69749033,0.68393904,0.9612044,-1.1120524,1.0378119,0.8818357,1.0038861,1.0147082,0.605,0.32459426,0.4244244,0.6501241,0.469,0.369
Aminoacyl-tRNA biosynthesis Homo sapiens hsa00970,0.5148605,-0.35740668,0.48610198,-0.2756334,0.65119463,0.6294956,0.8600154,-0.8464225,1.0981698,-0.72470367,0.9191335,0.91139245,0.774,0.6819407,0.34541792,0.87015176,0.871,0.872
Amoebiasis Homo sapiens hsa05146,0.510818,0.30820712,0.42679375,0.30727574,0.68756896,0.66919076,0.8826244,1.1134497,1.0288713,1.0906771,1.0014877,1.0055006,0.849,0.20610687,0.423,0.2777778,0.469,0.421
Amphetamine addiction Homo sapiens hsa05031,0.48026204,0.46665168,0.46463412,0.27285987,0.70095503,0.6849497,0.8276368,1.6734172,1.105471,0.9247318,1.0146059,1.0225554,0.916,0.0,0.27,0.59151196,0.37,0.315
Amyotrophic lateral sclerosis (ALS) Homo sapiens hsa05014,0.4908569,-0.40859362,0.45701766,0.25792542,0.68359065,0.6683057,0.84600824,-1.0863699,1.0745704,0.84815127,0.9835161,0.9910257,0.877,0.33015496,0.334,0.7206704,0.612,0.549
Antigen processing and presentation Homo sapiens hsa04612,0.4101984,-0.6042319,0.5171422,-0.39330906,0.6971662,0.67836046,0.69803154,-1.5335436,1.2022597,-1.1174023,0.993613,0.99480337,0.993,0.020671835,0.14714715,0.29333332,0.526,0.519
Apoptosis Homo sapiens hsa04210,0.55384237,-0.22338523,0.37993962,-0.3261259,0.6444046,0.6287424,0.97042173,-0.6550655,0.93260735,-1.1441659,0.94941825,0.9557168,0.635,0.974753,0.72,0.21911764,0.94,0.908
Arachidonic acid metabolism Homo sapiens hsa00590,0.6040871,-0.2970083,0.61117893,0.23274858,0.7142748,0.699649,1.0251734,-0.77206063,1.4225154,0.7187676,1.0215349,1.0303379,0.444,0.7955665,0.003,0.907455,0.325,0.296
Arginine and proline metabolism Homo sapiens hsa00330,0.54750896,0.3636549,0.4224898,0.33574805,0.68453896,0.6708161,0.93582076,1.2151903,0.9991548,1.089398,0.9869454,0.99446553,0.679,0.16483517,0.514,0.3170103,0.592,0.538
Arginine biosynthesis Homo sapiens hsa00220,0.56341714,-0.6822227,0.43656686,-0.3733262,0.67364806,0.667869,0.92058885,-1.4443611,0.93114775,-0.8536243,0.9265032,0.94259757,0.66362715,0.056358382,0.6315251,0.64223385,0.789,0.722
Arrhythmogenic right ventricular cardiomyopathy (ARVC) Homo sapiens hsa05412,0.5614319,-0.4727875,0.4428231,-0.3203645,0.70758724,0.6854194,0.96921617,-1.3377798,1.065723,-1.0410413,1.0332085,1.0303694,0.606,0.06300115,0.336,0.3935484,0.209,0.225
Ascorbate and aldarate metabolism Homo sapiens hsa00053,0.56961006,0.8037051,0.41836274,0.8919439,0.88941264,0.86545557,0.8749537,1.5753521,0.7627713,1.6479187,1.1855339,1.1700464,0.68791944,0.035799522,0.77602905,0.008350731,0.11088083,0.1419689
Asthma Homo sapiens hsa05310,0.49311513,-0.8051078,0.66023415,-0.667443,0.81260234,0.7986595,0.7901282,-1.558045,1.3027946,-1.3593053,1.096523,1.0941695,0.81508267,0.020667726,0.11306257,0.1404806,0.24141414,0.23641852
Autoimmune thyroid disease Homo sapiens hsa05320,0.4206953,-0.7223716,0.35855594,-0.56241196,0.9085922,0.8906453,0.69553727,-1.578894,0.77142465,-1.3206776,1.2571989,1.2593188,0.92284566,0.013353116,0.8125644,0.1569343,0.007,0.008
Axon guidance Homo sapiens hsa04360,0.55105174,0.20420526,0.36407205,0.2308279,0.67673665,0.6516577,0.9603989,0.7952147,0.89209664,0.8807801,0.99735606,0.99051726,0.668,0.9285714,0.818,0.7705882,0.536,0.601
B cell receptor signaling pathway Homo sapiens hsa04662,0.54347056,0.21326886,0.3844447,-0.2793437,0.6411362,0.6330029,0.93847865,0.7576498,0.9261953,-0.87585175,0.9331872,0.9487758,0.697,0.9426752,0.689,0.67589575,0.945,0.867
Bacterial invasion of epithelial cells Homo sapiens hsa05100,0.5516696,-0.422729,0.37484792,-0.34266794,0.6849407,0.6537757,0.94485694,-1.1890863,0.8954819,-1.0985086,0.99751914,0.9808167,0.709,0.21954022,0.783,0.2880259,0.514,0.665
Basal cell carcinoma Homo sapiens hsa05217,0.5152192,-0.29918116,0.45021498,-0.33690313,0.68594766,0.6548233,0.88224024,-0.8023713,1.0590613,-1.0317501,0.98980534,0.9729544,0.819,0.7805755,0.373,0.3880342,0.585,0.694
Basal transcription factors Homo sapiens hsa03022,0.6144041,-0.37821442,0.4143781,-0.30553523,0.6771506,0.6563495,1.0469992,-0.97240674,0.9719391,-0.87705445,0.97016495,0.9675479,0.385,0.5281602,0.5735736,0.67147434,0.689,0.713
Base excision repair Homo sapiens hsa03410,0.6247629,0.28568435,0.576259,-0.30816865,0.76216894,0.74156326,1.0483949,0.8766241,1.3190013,-0.8513287,1.0773456,1.0789937,0.378,0.6454545,0.04509018,0.686747,0.117,0.12
Bile secretion Homo sapiens hsa04976,0.5913148,-0.3397628,0.48911417,-0.26011667,0.7009681,0.6701345,1.0078112,-0.8961264,1.1605312,-0.77934813,1.0095031,0.9936459,0.492,0.64053077,0.166,0.82012194,0.392,0.521
Biosynthesis of amino acids Homo sapiens hsa01230,0.58840936,-0.3535861,0.48044997,0.34856644,0.6935551,0.67236686,1.0127428,-0.95542073,1.145673,1.181815,1.0035967,1.0018846,0.462,0.54292345,0.178,0.17412935,0.454,0.472
Biosynthesis of unsaturated fatty acids Homo sapiens hsa01040,0.44849464,-0.39444086,0.4469086,0.4242889,0.66155916,0.65093684,0.73740435,-0.8787161,0.97944206,1.0817256,0.91583145,0.925398,0.9149149,0.62947065,0.53979594,0.34170854,0.84,0.803
Bladder cancer Homo sapiens hsa05219,0.6326373,-0.4841145,0.50754654,-0.2777807,0.7441386,0.71141773,1.0758905,-1.2087802,1.1845777,-0.784166,1.060955,1.0451167,0.322,0.20576671,0.163,0.79620034,0.154,0.245
Butanoate metabolism Homo sapiens hsa00650,0.3901727,-0.36571696,0.49325335,-0.22991298,0.68168855,0.67200166,0.6603885,-0.85350436,1.0930389,-0.5945507,0.9555503,0.9688305,0.960961,0.681694,0.35383064,0.9440559,0.714,0.634
Calcium signaling pathway Homo sapiens hsa04020,0.48758918,-0.3382678,0.46608683,-0.28987905,0.6880144,0.6534503,0.8548262,-1.0047823,1.1496066,-1.0397447,1.0155492,0.99595714,0.959,0.48324326,0.074,0.3791541,0.293,0.534
Carbohydrate digestion and absorption Homo sapiens hsa04973,0.5389787,0.27740413,0.3704782,-0.24157852,0.6890894,0.66880393,0.9112905,0.8675356,0.85267174,-0.6630932,0.9761695,0.9755591,0.70641285,0.68161434,0.7765531,0.9338983,0.631,0.628
Carbon metabolism Homo sapiens hsa01200,0.5651956,-0.27898166,0.40253052,0.2800594,0.6640009,0.6443671,0.9850202,-0.8063528,0.98068374,1.0168768,0.9716783,0.9731632,0.547,0.7989071,0.569,0.41712707,0.763,0.751
Cardiac muscle contraction Homo sapiens hsa04260,0.52074325,-0.30325282,0.4560131,0.1745013,0.6714281,0.6534629,0.8982929,-0.8350406,1.0913095,0.5989523,0.97555715,0.97792584,0.818,0.7387173,0.284,0.99522674,0.701,0.669
Cell adhesion molecules (CAMs) Homo sapiens hsa04514,0.47422418,-0.40794498,0.46348998,-0.23283169,0.6501555,0.63011676,0.82372457,-1.1879374,1.124252,-0.7925519,0.9529869,0.95112264,0.968,0.18444444,0.16,0.8512,0.899,0.89
Cell cycle Homo sapiens hsa04110,0.63563925,-0.28161535,0.40747705,-0.22798055,0.653093,0.63182795,1.1147528,-0.82515365,1.0037516,-0.7904061,0.96136814,0.9600209,0.108,0.79956895,0.49,0.8788774,0.867,0.865
Central carbon metabolism in cancer Homo sapiens hsa05230,0.58986264,0.38840324,0.44291234,0.3484804,0.69821274,0.66370815,1.0155244,1.3359969,1.0621966,1.1930714,1.0116833,0.99133307,0.458,0.070063695,0.371,0.17158177,0.395,0.551
