,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Atp1b1,Acta2,Hes5,Lars2,Atp1b1,Cxcr4,Atp1b1,Dchs1,Atp1b1,Arhgap23,Adgrg1,Arid3b,Hesx1,Prrx2,Foxa3,Reln,Fermt3
1,Cad,Cdh11,Igfbp4,Lin28a,Cad,Hes6,Cad,Ets1,Cad,Perp,Cd63,Eda2r,Lck,Sptb,Synj1,Sox17,Epas1
2,Dnmt3b,Fgf8,Lef1,Slc2a1,Dnmt3b,Igfbp4,Lin28a,Fzd2,Lin28a,Clu,Dysf,,Prdm1,Mcam,Amn,Firre,Ninj1
3,Lars2,Flna,Miat,Wnt3a,Ptprt,Notch1,Sparc,Meis1,Sparc,Depdc7,Epas1,,Prdm14,Klf1,Bmp2,Grina,Fos
4,Sparc,Flnc,Millt3,Ccdc93,Cxcl12,Psip1,Platr26,Msh6,Platr26,Fuca2,Fermt3,,Spink4,,Dab2,Man2b2,Gsc
5,Zdbf2,Kdr,Nnat,Gab2,Gcm1,Slc16a3,Bhlhe40,Rnm24,Bhlhe40,Adam23,Podxl,,,,,Npr3,Klf1
6,Itsn1,Ryr1,Pax6,Plekhf2,Kmt2a,Slit2,Sox4,Tpm1,Sox4,Casq1,Phlda2,,,,,Snx2,
7,Myo1f,Ryr2,Syne2,Unc79,Marcks,Sox13,Zpf42,Abca1,Zpf42,Ccn2,Adcy9,,,,,Lox,
8,Cxcl12,Slc8a1,Calm1,Ccr7,Sox2,Sox21,,Col3a1,,Enox1,Cd40,,,,,Nkx6-1,
9,Fgf5,Snai1,Gls,Col18a1,Sox4,Tfap2c,,Dlx3,,Esrrb,Flt4,,,,,Sox17,
10,Gcm1,Sptb,Gnai1,Fgf8,Zpf42,Iqse1,,Elavl3,,Fgf2,Gsc,,,,,Trim28,
11,Kmt2a,Zim1,Hoxa1,Krt8,,Akna,,Fzd2,,Fgf5,Madcam1,,,,,Vim,
12,Lin28a,Hey1,Hoxb4,Krt10,,Brip1,,Gata4,,Krt7,Mecom,,,,,,
13,Marcks,Slc2a13,Ildr1,Lin28a,,Cdk5rap2,,Gls,,Myl2,Sdc1,,,,,,
14,Sox2,Cdh11,Isl2,Pou5f1,,Dlx3,,Madcam1,,Mylk,Prtg,,,,,,
15,Sox4,Cldn6,Lef1,Sox21,,Elavl3,,Map2,,Nodal,,,,,,,
16,Cpeb1,Cubn,Ngrn,L1td1,,Erbb4,,Mylk,,Ocln,,,,,,,
17,,Trim28,Nmce2,,,Gap43,,Olig2,,Wnt6,,,,,,,
18,,Vim,Pax6,,,Hook3,,Pik3r1,,Gnas,,,,,,,
19,,Cldn6,Pax8,,,Hoxc5,,Sst,,,,,,,,,
20,,Dcn,Sfrp2,,,Ildr1,,Rspo3,,,,,,,,,
21,,Fgf8,Slc1a3,,,Isl2,,Col2a1,,,,,,,,,
22,,Foxc1,Slc32a1,,,Lef1,,Gata4,,,,,,,,,
23,,Gli2,Sox2,,,Pax8,,Nrp1,,,,,,,,,
24,,Kdr,Sox10,,,Slc32a1,,,,,,,,,,,
25,,Lox,Syt5,,,Sox10,,,,,,,,,,,
26,,Lrp2,Tph2,,,Syt5,,,,,,,,,,,
27,,Map2,Tshz1,,,Tead1,,,,,,,,,,,
28,,Olig1,Tuba1a,,,Tph2,,,,,,,,,,,
29,,Pitx2,Igdcc3,,,Tuba1a,,,,,,,,,,,
30,,Ramp1,,,,Vsx2,,,,,,,,,,,
31,,Satb2,,,,Celf2,,,,,,,,,,,
32,,Sdc1,,,,Col2a1,,,,,,,,,,,
33,,Smad1,,,,,,,,,,,,,,,
34,,Snai1,,,,,,,,,,,,,,,
35,,Spp1,,,,,,,,,,,,,,,
36,,Tead1,,,,,,,,,,,,,,,
37,,Tesc,,,,,,,,,,,,,,,
38,,S100a10,,,,,,,,,,,,,,,
