,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Adgrg1,Adgrg1,2410006H16Rik,Acta2,Ago1,Acta2,Acta2,Acta2,Acta2,Acta2,2410006H16Rik,Ccnd2,Ccnd2,Ccnd2,Aldh1a2,Ass1,Acta2
1,Amot,Cd63,Acta2,Adgrg1,Acta2,Flnc,Adgrg1,Adgrg1,Adgrg1,Adgrg1,Acta2,Amot,Amot,Amot,Ccnd2,Adgrg1,Adgrg1
2,Ccnd2,Cemip2,Flnc,Amot,Adgrg1,Fn1,Amot,Dysf,Amot,Amot,Amot,Acta2,Acta2,Acta2,Acta2,Amot,Atp1b1
3,Cdh11,Esrrb,Fst,Cdh11,Aldh1a2,Fst,Dab2,Esrrb,Dab2,Cemip2,Ccnd2,Dab2,Dab2,Dab2,Dab2,Ccnd2,Cacna1d
4,Dab2,Fermt3,Fzd5,Dab2,Amot,Fzd5,Dact1,Fermt3,Dact1,Dab2,Flnc,Dact1,Dact1,Dact1,Dact1,Cd63,Capn6
5,Dact1,Hes5,Fzd7,Dact1,Capn6,Fzd7,Flnc,Flnc,Flnc,Dysf,Fzd5,Flnc,Dysf,Fgf8,Esrrb,Dab2,Col3a1
6,Flnc,Lamb1,Igsf9b,Flnc,Ccnd2,Igsf9b,Fzd7,Fn1,Fzd7,Flnc,Fzd7,Hes5,Esrrb,Flnc,Flnc,Dact1,Flna
7,Igfbp4,Lars2,Lamb1,Fzd5,Cdh11,Lamb1,Igsf9b,Fst,Igsf9b,Hes5,Igsf9b,Igfbp4,Fgf8,Hes5,Fzd5,Dysf,Flnb
8,Lef1,Lef1,Lhpp,Hipk3,Flnc,Lhpp,Lef1,Fzd5,Lef1,Igfbp4,Lars2,Lamb1,Flnc,Nnat,Igfbp4,Fgf8,
9,Lrrn1,Lhpp,Meis1,Igsf9b,Fzd7,Meis1,Map2,Lamc1,Map2,Igfbp5,Lef1,Lhpp,Nnat,Notch1,Igfbp5,Flnc,
10,Map2,Mllt3,Bhlhe49,Kdr,Lin28a,Meis2,Nnat,Lars2,Nnat,Lars2,Mcam,Meis2,Notch1,Akna,Bhlhe49,Hes5,
11,Meis1,Nos3,Ccn2,Lrp2,Map2,Nnat,Notch1,Nos3,Notch1,Lhpp,Nnat,Mfap4,Akna,Bhlhe49,Brip1,Igfbp4,
12,Mllt3,Notch1,Col1a1,Meis2,Mcam,Bhlhe49,Adcy1,Notch1,Adcy1,Map2,Notch1,Nnat,Bhlhe49,Brip1,,Igfbp5,
13,Notch1,Adam23,Cxcl12,Nnat,Nnat,Ccn2,Akna,Akna,Akna,Meis2,Bhlhe49,Notch1,Brip1,,,Lamb1,
14,Adcy1,Bhlhe49,Dlx3,Nrk,Nrk,,,Atp2a3,,Mllt3,Fn1,Akna,,,,Lin28a,
15,Brip1,Brip1,Ets1,Atp2a3,Adcy1,,,Bhlhe49,,Nnat,,Atp2a3,,,,Map2,
16,,Calm1,Fgfr3,Bhlhe49,Bhlhe49,,,Brip1,,Notch1,,Bhlhe49,,,,Mfap4,
17,,Ccn2,Fst,Brip1,Brip1,,,Calm1,,Bhlhe49,,Brip1,,,,Notch1,
18,,Cdc42,Ramp1,Cdh11,,,,Cdc42,,Brip1,,,,,,Akna,
19,,Jun,Sox17,,,,,Cdk5rap2,,Calm1,,,,,,Bhlhe49,
20,,,Spp1,,,,,Cldn6,,,,,,,,Brip1,
21,,,Tesc,,,,,Isl1,,,,,,,,,
