Trophoectoderm,PE,Epiblast,Neural progenitors,Cardiac Mesoderm,Glia,Differentiated neurons,Ventral neurons,Spinal cord,Hindbrain,Forebrain,Dorsal neurons,Mesoderm,Retinoic acid,Neural,Caudal neurons,Motor neurons,Endoderm,Midbrain,ExE endoderm,Ectoderm,Smooth muscle cells,Endothelium,Hematopoietic,Metabolic genes,Retinoyated proteins,Pluripotency,Primitive streak,Nascent mesoderm,gr state mESCs,naiive mESCs,could be AVE Endoderm,Definitive endoderm,EMT,Paraxial mesoderm
Cdx2,Gata4,Nodal,Ngn2,Nkx2.5,Gfap,Tubb3,Dlx1,Hb9,Gbx2,Emx1,Bmp4,Wnt3a,Rara,Sfrp2,Cyp26a1,Slit3,Lefty1,Gbx2,Gata3,Krt5,Adcy1,Cd31,Gata1,Acadm,p51,Cxcl5,T,Cdh2,Tfcp2l1,Mycn,Cer1,Mixl1,Cdh11,Msgn1
Gata3,,Tdgf1,Sox1,Fzd2,p16330,Isl1,Gbx2,Lim3,Hoxb1,Emx2,Pax7,Lef,Rxra,Foxp2,,Isl1,Gata4,Hoxb1,Wnt6,Krt92,Adcy9,Flt1,Tal1,Mcad,p55,Dnmt3b,Meox1,Vim,Tbx3,Zscan4,Lefty1,Foxa2,Fsp1,Meox1
Tead4,,Col18a1,Sox2,Tbx5,Cnp,Isl2,Olig3,Gli1,Hoxa2,Otx1,Dbx1,Tcf1,Aldh1a1,Foxp4,,Isl3,Gata6,Hoxa2,,Cyt1,Ppp1r12b,Cd34,Hba-a2,Apoa1,Vim,Hesx1,Kdr,Twist,Tcl1,Tcfcp2l1,Dkk1,Sox17,Vim,Tcf15
P63,,Cxcl12,Sox3,Tbx20,Mog,Tuj1,Olig2,Gli3,Hoxa3,Otx2,Dbx2,Ctnnb1,Aldh1a2,Smad1,,Chat,Foxa2,Hoxa3,,Cyt1l,Mylk3,Kdr,Hbz,Apoa2,Krt16,Ido1,Mixl1,Snai1,Dazl,Sox21,Alk2,Cxcr4,Twist,Pax3
Eomes,,Cdh1,Nes,Gata6,Mag,Lmx1b,Shh,Hes1,Phox2b,Dlx2,Irx3,Fgf8,Aldh1a3,Smad5,,Calcb,Sox17,Phox2b,,Dsg1a,Cacna1c,Vegfa,Hbb-bh1,Cetp,Krt10,Lck,Sox17,Zeb,Prdm14,Prdm14,Alk3,Gsc,Lef1,Pax7
Gata2,,Fgf5,Olig2,Hand2,Mbp,Tph2,Dbx1,Foxn4,Hoxc4,Dlx1,Pax6,Pdx1,Crabp2a,Snai1,,Olig2,Col4a1,Otx,,Dsg4,Ramp1,Hba,Hbb-b1,Cyp7a1,Mpp2,Nanog,Foxa2,Fn1,Prdm1,Esrrb,Bmpr2,Wnt5a,Fts1,Myog
Essrb,,Fgf4,Otx1,Actg1,S100b,Fev,Dbx2,Lmx1b,Hoxc5,Dlx3,,Gdf3,Smad1,Drebrin,,Calm1,Bmp2,Otx1,,Dsg3,LOC100047385,Hbz,Hbb-b2,Facl2,Mpp4,Pouf5f1,Eomes,Ddr2,Kit,Rex1,Hex,Gli1,Itga5,Wnt3
Dlx3,,Prdm14,Dcc,Actb,Sox9,Nkx2b,Evx1,Evx1,Hoxc6,Dlx4,,Foxh1,Smad2,Eb3,,Ngn2,Dusp6,Otx2,,Dsp,Tbx5,Hbb,Hbb-bh0,Facl2,Maguk,Sox2,Wnt3,Tbx6,Dppa3,Zfp42,Hex,Hhex,Itgav,Msx1
Rxra,,Klf2,Gadd45g,Acta2,Nf1a,Ebf1,Evx2,Vsx2,Hoxc8,Dlx5,,Wnt5a,Rbp1,,,Nr2f1,Ttr,En1,,Jup,Tbx20,Klf1,Hba-x,Fasn,Fcgrt,Trim22,Wnt3a,Msx1,Stella,Pecam1,Cer1,Otx2,Sdc1,Cdx2
Pparg,,Klf4,Elovl3,Vsnl1,Aldh1l1,Pax2,En,Gsx2,Hoxc10,Dlx6,,Tdgf1,Crabp1,,,Nkx6a,Afp,,,Pkp1,,Plcg2,Hba-1,Fas,,,Gsc,Sp5,Lefty1,Tcl1,Lhx1,Klf6,Ctnnb1,
Cyp26a1,,Bmp4,Crabp1,Gucy1a1,Vim,Slc5a7,,Msx1,Lim3,Ebf1,,Ccng1,Crabp2,,,Nrif1,Cldn6,,,Cldn1,,Itpr1,Hba-2,Fbp1,,,Lhx1,Foxh1,Lefty2,Tfcp2l1,Cubn,Klf8,Col1a1,
Hand1,,Zfp42,Onecut2,Tpm2,Gys1,Pbx3,,Sim1,Hb9,Isl1,,Trp53,Rdh5,,,Hb9,Krt19,,,Cldn2,,Itpr2,Hbq-1,Hnf4a,,,Bmp4,Tfap2c,,Nr0b1,Dab2,Ets1,Col3a1,
Atp6v0d2,,Enox1,Cep120,Shox2,Eaat1,Lzts1,,Mnx1,Phox2b,Meis2,,Mdm2,Rdh10,,,Fgf1,Eomes,,,Cldn3,,Adcy9,Hb1-2,Gck,,,Chrd,Tfap2,,Zscan4b,Acvr1b,Ets2,Lama5,
Sdc1,,Esrrb,Pxm1,Ptn,Eaat2,Drebrin,,Foxa2,Gbx2,Gad65,,Mdm4,Adh1,,,Smi32,Epcam,,,Ocln,,Atp2a3,Hbb-y,Glut4,,,Nog,Cdx1,,Zscan4c,Acvr2a,Foxq1,Snai2,
Gcm1,,Pecam1,Tacc,Maged2,Glast,Neun,,Tlx3,Krox20,Ascl1,,Fgf3,Adh7,,,Zfh1,Fabp1,,,Tjp1,,Cd38,Hbb-bs,Il6,,,Bmpr1b,Cdx2,,Zscan4f,Ephb3,Six3,Slug,
Ervfrd1,,Klf17,Hook3,Myh6,Glt1,Fox3,,Lhx2,Fgf3,Arx,,Fgf17,Cyp26a1,,,Satb2,Fabp2,,,Tjp2,,Nfatc1,Hbb-bt. Cd34,Lep,,,Bmpr1a,Cdx4,,Usp17la,Igf2r,Rreb1,Zeb1,
Pgf,,Ifitm1,Tpx2,Casq1,Gja1,Rbfox3,,Barhl2,Fgf8,Cxcr4,,Fgf8,Cyp26b1,,,Nr2f2,Sox7,,,Tjp3,,Vav3,Cd90,Ins,,,Bmpr2,Tcf4,,Usp17lc,Itga5,Cux1,Ets1,
Gcm1,,Gdf3,Lis1,Myl7,Foxj1,Rfox3,,Ebf1,Hoxb1,Cxcr7,,Mixl1,Cyp26c1,,,Bcl11b,Foxa1,,,Jam1,,Cd40,Thy-1,Nrf2f1,,,Fgf2,Hoxb1,,Usp17le,Gpc4,Rreb1,Foxc1,
Ccr7,,Argfx,Dctn2,Pam,Tuba1a,Map2,,Ebf3,Cyp26a1,Ackr3,,Eomes,,,,Rtv4,Foxa2,,,Cgn,,Madcam1,Cd49f,Pck1,,,Smad2,Arhgef7,,Tmem92,Dpp4,Smad2,Gsc,
