Covariate,Cell Type,Final Parameter
sample[T.5000_nM_RA],Cardiac Mesoderm,True
sample[T.5000_nM_RA],Early Neurons,True
sample[T.5000_nM_RA],Endoderm,False
sample[T.5000_nM_RA],Epidermis,True
sample[T.5000_nM_RA],GR Pluripotent,True
sample[T.5000_nM_RA],Hemangioblasts,True
sample[T.5000_nM_RA],Mesoderm,True
sample[T.5000_nM_RA],N/A1,False
sample[T.5000_nM_RA],N/A2,False
sample[T.5000_nM_RA],N/A3,True
sample[T.5000_nM_RA],N/A4,True
sample[T.5000_nM_RA],PR Pluripotent,False
sample[T.5000_nM_RA],Pluripotent,True
sample[T.5000_nM_RA],Pre-Neurons,True
sample[T.5000_nM_RA],Primitive Streak,True
sample[T.EB_2d],Cardiac Mesoderm,True
sample[T.EB_2d],Early Neurons,False
sample[T.EB_2d],Endoderm,True
sample[T.EB_2d],Epidermis,True
sample[T.EB_2d],GR Pluripotent,False
sample[T.EB_2d],Hemangioblasts,False
sample[T.EB_2d],Mesoderm,False
sample[T.EB_2d],N/A1,False
sample[T.EB_2d],N/A2,False
sample[T.EB_2d],N/A3,True
sample[T.EB_2d],N/A4,False
sample[T.EB_2d],PR Pluripotent,True
sample[T.EB_2d],Pluripotent,True
sample[T.EB_2d],Pre-Neurons,False
sample[T.EB_2d],Primitive Streak,False
sample[T.EB_8d],Cardiac Mesoderm,False
sample[T.EB_8d],Early Neurons,False
sample[T.EB_8d],Endoderm,False
sample[T.EB_8d],Epidermis,False
sample[T.EB_8d],GR Pluripotent,False
sample[T.EB_8d],Hemangioblasts,False
sample[T.EB_8d],Mesoderm,False
sample[T.EB_8d],N/A1,False
sample[T.EB_8d],N/A2,False
sample[T.EB_8d],N/A3,False
sample[T.EB_8d],N/A4,False
sample[T.EB_8d],PR Pluripotent,False
sample[T.EB_8d],Pluripotent,False
sample[T.EB_8d],Pre-Neurons,False
sample[T.EB_8d],Primitive Streak,False
sample[T.HD_2d],Cardiac Mesoderm,False
sample[T.HD_2d],Early Neurons,False
sample[T.HD_2d],Endoderm,False
sample[T.HD_2d],Epidermis,False
sample[T.HD_2d],GR Pluripotent,False
sample[T.HD_2d],Hemangioblasts,False
sample[T.HD_2d],Mesoderm,False
sample[T.HD_2d],N/A1,False
