Covariate,Cell Type,Final Parameter
sample[T.5000_nM_RA],Cardiac Mesoderm,True
sample[T.5000_nM_RA],Early Neurons,True
sample[T.5000_nM_RA],Endoderm,True
sample[T.5000_nM_RA],Epidermis,False
sample[T.5000_nM_RA],GR Pluripotent,True
sample[T.5000_nM_RA],Hemangioblasts,True
sample[T.5000_nM_RA],Mesoderm,True
sample[T.5000_nM_RA],N/A1,True
sample[T.5000_nM_RA],N/A2,False
sample[T.5000_nM_RA],N/A3,False
sample[T.5000_nM_RA],N/A4,True
sample[T.5000_nM_RA],Pluripotent,True
sample[T.5000_nM_RA],Pre-Neurons,True
sample[T.5000_nM_RA],Primitive Streak,True
sample[T.EB_8d],Cardiac Mesoderm,False
sample[T.EB_8d],Early Neurons,False
sample[T.EB_8d],Endoderm,False
sample[T.EB_8d],Epidermis,False
sample[T.EB_8d],GR Pluripotent,False
sample[T.EB_8d],Hemangioblasts,False
sample[T.EB_8d],Mesoderm,False
sample[T.EB_8d],N/A1,True
sample[T.EB_8d],N/A2,False
sample[T.EB_8d],N/A3,False
sample[T.EB_8d],N/A4,False
sample[T.EB_8d],Pluripotent,False
sample[T.EB_8d],Pre-Neurons,False
sample[T.EB_8d],Primitive Streak,False
sample[T.HD_8d],Cardiac Mesoderm,True
sample[T.HD_8d],Early Neurons,False
sample[T.HD_8d],Endoderm,True
sample[T.HD_8d],Epidermis,True
sample[T.HD_8d],GR Pluripotent,False
sample[T.HD_8d],Hemangioblasts,True
sample[T.HD_8d],Mesoderm,True
sample[T.HD_8d],N/A1,False
sample[T.HD_8d],N/A2,False
sample[T.HD_8d],N/A3,False
sample[T.HD_8d],N/A4,True
sample[T.HD_8d],Pluripotent,True
sample[T.HD_8d],Pre-Neurons,False
sample[T.HD_8d],Primitive Streak,False
sample[T.RA_7d],Cardiac Mesoderm,False
sample[T.RA_7d],Early Neurons,False
sample[T.RA_7d],Endoderm,False
sample[T.RA_7d],Epidermis,True
sample[T.RA_7d],GR Pluripotent,False
sample[T.RA_7d],Hemangioblasts,False
sample[T.RA_7d],Mesoderm,False
sample[T.RA_7d],N/A1,False
sample[T.RA_7d],N/A2,True
sample[T.RA_7d],N/A3,False
sample[T.RA_7d],N/A4,True
sample[T.RA_7d],Pluripotent,True
sample[T.RA_7d],Pre-Neurons,False
sample[T.RA_7d],Primitive Streak,True
batch[T.hd2],Cardiac Mesoderm,False
batch[T.hd2],Early Neurons,False
batch[T.hd2],Endoderm,False
batch[T.hd2],Epidermis,False
batch[T.hd2],GR Pluripotent,True
batch[T.hd2],Hemangioblasts,True
batch[T.hd2],Mesoderm,False
batch[T.hd2],N/A1,True
batch[T.hd2],N/A2,True
batch[T.hd2],N/A3,False
batch[T.hd2],N/A4,True
batch[T.hd2],Pluripotent,True
batch[T.hd2],Pre-Neurons,False
batch[T.hd2],Primitive Streak,False
batch[T.nora],Cardiac Mesoderm,True
batch[T.nora],Early Neurons,False
batch[T.nora],Endoderm,False
batch[T.nora],Epidermis,False
batch[T.nora],GR Pluripotent,False
batch[T.nora],Hemangioblasts,False
batch[T.nora],Mesoderm,True
batch[T.nora],N/A1,True
batch[T.nora],N/A2,True
batch[T.nora],N/A3,False
batch[T.nora],N/A4,False
batch[T.nora],Pluripotent,True
batch[T.nora],Pre-Neurons,True
batch[T.nora],Primitive Streak,True
batch[T.ra],Cardiac Mesoderm,True
batch[T.ra],Early Neurons,False
batch[T.ra],Endoderm,False
batch[T.ra],Epidermis,True
batch[T.ra],GR Pluripotent,True
batch[T.ra],Hemangioblasts,False
batch[T.ra],Mesoderm,False
batch[T.ra],N/A1,False
batch[T.ra],N/A2,False
batch[T.ra],N/A3,False
batch[T.ra],N/A4,True
batch[T.ra],Pluripotent,False
batch[T.ra],Pre-Neurons,False
batch[T.ra],Primitive Streak,False
protocol[T.protocol2],Cardiac Mesoderm,False
protocol[T.protocol2],Early Neurons,True
protocol[T.protocol2],Endoderm,True
protocol[T.protocol2],Epidermis,False
protocol[T.protocol2],GR Pluripotent,False
protocol[T.protocol2],Hemangioblasts,True
protocol[T.protocol2],Mesoderm,True
protocol[T.protocol2],N/A1,True
protocol[T.protocol2],N/A2,True
protocol[T.protocol2],N/A3,False
protocol[T.protocol2],N/A4,False
protocol[T.protocol2],Pluripotent,False
protocol[T.protocol2],Pre-Neurons,True
protocol[T.protocol2],Primitive Streak,True
