,0
0,Gm50254
1,Gm26644
2,Adam21
3,Ppt2
4,Eci1
5,Capn15
6,Alas1
7,Ssc4d
8,Gm45353
9,Msh6
10,Ces4a
11,A330084C13Rik
12,Tspan7
13,Lypd2
14,Cacnb2
15,Wdr20rt
16,Tmem39a
17,Blmh
18,Ablim1
19,Tmem39b
20,Zfp334
21,Best3
22,Bcar1
23,A930005H10Rik
24,Epha6
25,BC028777
26,Tmem147
27,Cd40
28,8030451O07Rik
29,Gm44764
30,Gm13388
31,Foxm1
32,Farsb
33,Ahnak2
34,BC051226
35,Dlgap1
36,Gm41409
37,Filip1l
38,Nudt12os
39,Gm12296
40,Gm26865
41,Gm14963
42,D10Wsu102e
43,Etfdh
44,Cyb561
45,Dnmt3bos
46,Prss33
47,Slc22a16
48,1810014P07Rik
49,Nrd1
50,Foxl2os
51,Aldh3b1
52,Upk3b
53,Nprl3
54,H2-Ab1
55,Gm34868
56,Nqo2
57,Dusp1
58,Tada2b
59,Gm14211
60,Gm16286
61,Gm45885
62,Angptl8
63,Rreb1
64,Gm43126
65,Gm45442
66,Rps16
67,Tmem38b
68,Vmn1r32
69,Pdzd2
70,Psmd8
71,Npdc1
72,Helz2
73,Fstl3
74,Cyp17a1
75,Apoa1
76,Foxo3
77,Tmco6
78,8430432A02Rik
79,March7
80,Col6a3
81,Tcp11x2
82,Tfdp2
83,BC004004
84,Tnfrsf18
85,Gm10685
86,Pogk
87,Gm42696
88,Med6
89,Gprin2
90,Prss8
91,Cwf19l1
92,2600002D14Rik
93,Gm29266
94,Six6
95,Nkx2-5
96,Eif3h
97,Ccnt2
98,Hnf4a
99,Abcb5
100,Rhox12
101,A230001M10Rik
102,Rtl6
103,N4bp2
104,Topbp1
105,Gm47689
106,Atg2a
107,Gm44993
108,Hist1h1t
109,Acin1
110,Setd1a
111,Gm29361
112,Chac2
113,Gpr146
114,Scn7a
115,A230020J21Rik
116,Zfp438
117,Wdr31
118,Homer2
119,Gm47646
120,Fh1
121,Scg5
122,Bmp7
123,Hist1h4j
124,Exosc3
125,Pou3f4
126,2900092C05Rik
127,Dido1
128,Gm13844
129,Scn4b
130,Ncapg
131,Col6a6
132,Inip
133,Drd4
134,Nxpe4
135,Bbx
136,Rbmx
137,Lyl1
138,Gm20036
139,Gm13883
140,Uspl1
141,5330438D12Rik
142,Cfap221
143,Gm16754
144,Cdx4
145,Pgc
146,Tmed7
147,Traf3ip2
148,Trpt1
149,Slc39a1
150,Adora2a
151,Ddx56
152,Dcun1d4
153,9630014M24Rik
154,Jmjd8
155,Shld2
156,Afg1l
157,Mab21l3
158,Fbxo31
159,Kng1
160,Agbl5
161,Atp5g2
162,Ubl7
163,D730045A05Rik
164,Gm50021
165,Parp16
166,Gm2479
167,9630013A20Rik
168,Rbbp8
169,Gm47819
170,Wbp1
171,Iqcn
172,Hoxc8
173,Stk32b
174,Vcl
175,Oxnad1
176,Cttnbp2
177,Aspscr1
178,Gpatch11
179,Eif2b3
180,Slc39a12
181,Misp
182,Grtp1
183,Ptp4a1
184,Gm31925
185,Pnp2
186,Gm26692
187,Gabbr2
188,Pgm2l1
189,Ctdsp1
190,Scd4
191,Cdk8
192,Zfp729a
193,Pik3cd
194,Gpr50
195,Gm49785
196,E130018N17Rik
197,Vax2
198,Zfp456
199,Stmn4
200,Msl1
201,B230219D22Rik
202,Gm20470
203,Ypel2
204,Aurkaip1
205,Megf10
206,Zfp72
207,Pde1c
208,Dmrt3
209,Gm8439
210,Plcd1
211,Patz1
212,Ldoc1
213,Nup133
214,Tbc1d1
215,Gm47882
216,Znrf3
217,Aox4
218,Scn3a
219,B930036N10Rik
220,Atp6v0c
221,Gm12339
222,Cfap157
223,Cdc26
224,Trmu
225,Wsb1
226,Gm11773
227,Gm47186
228,Ddx3x
229,Gm21887
230,C330018A13Rik
231,Ndufa2
232,Frzb
233,5330411J11Rik
234,Cx3cl1
235,Tmem28
236,Mup6
237,Dnase1l2
238,Pirb
239,Ovol2
240,Pold3
241,Cnga1
242,Gm26679
243,P4ha3
244,Hs6st2
245,Rab39b
246,Flii
247,Gen1
248,4930428N03Rik
249,Prox2
250,Fam228a
251,Gpr108
252,6030452D12Rik
253,Nr1h5
254,Cpeb3
255,Tdrd9
256,Syt8
