,0
0,Tmem106c
1,Casc4
2,Gm26644
3,Eci1
4,2410006H16Rik
5,Sgsm1
6,Ppt2
7,Nlrp4e
8,2210016L21Rik
9,Adam21
10,Gm50254
11,Ccdc184
12,Scaf4
13,Gm16286
14,Capn15
15,Tmem39a
16,Pdzd2
17,Angptl8
18,Acin1
19,Gm45353
20,Raph1
21,Gm34030
22,Foxl2os
23,Msh6
24,Alas1
25,D730045A05Rik
26,Sync
27,Gm13388
28,Pou3f4
29,Psmd8
30,Epha6
31,Ablim1
32,Vmn1r32
33,Cysrt1
34,Col6a3
35,Gm45442
36,Farsb
37,A330084C13Rik
38,Syt8
39,Echs1
40,Kng1
41,Gm49460
42,Ext2
43,Blmh
44,A930005H10Rik
45,Npdc1
46,8030451O07Rik
47,Wdr31
48,Csf3r
49,Bcar1
50,A230001M10Rik
51,Edar
52,Tmem147
53,Etfdh
54,Ldoc1
55,4930443O20Rik
56,Hist1h4j
57,Bbx
58,Col6a6
59,Scn7a
60,Rnf223
61,Abi3bp
62,Gm45459
63,Gm10685
64,Myo1d
65,Gm48754
66,Gm16302
67,Mab21l3
68,Gabbr2
69,Med6
70,Ces4a
71,Gm26861
72,Gm31925
73,Foxo3
74,Gm49519
75,Misp
76,Gm47882
77,Plcd1
78,Gm10503
79,March7
80,Frzb
81,Gm43126
82,Gm26566
83,Sidt2
84,Tceal8
85,Xlr4b
86,Gbe1
87,Aipl1
88,Tacc1
89,Enah
90,Mxi1
91,Kif16b
92,Trim63
93,Lonp1
94,Gm26513
95,9230112E08Rik
96,Tmem94
97,Ppm1m
98,Hdac5
99,Gm10648
100,Gm49878
101,1700029J07Rik
102,Gm50106
103,Lactb2
104,Gm29478
105,Flvcr1
106,Akap14
107,Gm49171
108,Gm17203
109,Frs3
110,Mdh1b
111,Specc1l
112,Sox21
113,Fkbp15
114,Znhit3
115,Zfp560
116,Tbk1
117,Zbtb18
118,St6galnac4
119,Fxyd3
120,Gm17455
121,Haglr
122,Gm9856
123,4930428E07Rik
124,Tmem79
125,Gm37637
126,Lyst
127,Gm15013
128,Cgref1
129,Samd8
130,Lrrc3b
131,Gm3752
132,Gm3772
133,Prdm13
134,Cthrc1
135,Fxr2
136,Gm29506
137,Sestd1
138,Foxo4
139,Lgr4
140,Gm50321
141,Gm9939
142,Serinc5
143,Gm5106
144,Gm45767
145,Galntl6
146,Gm37362
147,Pcsk6
148,Bik
149,Med10
150,Igtp
151,Gm34455
152,Lrch2
153,H2-Eb1
154,Med20
155,Ndufa8
156,Eif2s3y
157,Nt5c
158,Gm16246
159,St14
160,Gm15265
161,Gm19967
162,Gm43466
163,Mttp
164,Bet1l
165,Zc3h11a
166,A930033H14Rik
167,Wnt3a
168,Gm15907
169,Wnt3
170,Gm28526
171,1500026H17Rik
172,Klhl15
173,Gm11670
174,Mrpl11
175,Prpf3
176,Marveld2
177,Psmb7
178,Stam2
179,Hgd
180,Inpp4a
181,Gm48728
182,Rilpl1
183,Smad2
184,Gm13179
185,Gm26670
186,Mark1
187,Isy1
188,P2ry1
189,Lrrn3
190,Acd
191,Gm43465
192,Gcc1
193,Gm26688
194,Gm20635
195,Prr36
196,Ercc3
197,Defb30
198,Il6st
199,Qrfprl
200,Ankrd49
201,Hnrnph3
202,Fasn
203,Sncg
204,Gm28258
205,Zbp1
206,Gm49698
207,Gm28404
208,Dpysl4
209,Gata5
210,Cntrob
211,Iws1
212,B3gat3
213,Coq10a
214,Supt16
215,Ramac
216,Gm36363
217,Rnf24
218,Smim12
219,Map3k19
220,Ostf1
221,Gnaq
222,Trarg1
223,BC035947
224,Sox2ot
225,Esrrb
226,Gsto1
227,Wtap
228,Cers1
229,Papln
230,Gm45639
231,Lipo2
232,Dennd5b
233,Gm5475
234,Nhs
235,Fbxl5
236,Tmem258
237,Cd4
238,A930007I19Rik
239,Hist1h2bk
