,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
7,Rb1cc1,191.76581584846676,-1.8175209367575664,0.06279036214974,-28.945858481007196,3.164158198974715e-184,1.808031117761683e-182
12,Gm30414,19.151783821343496,-3.01930986853603,0.2202156594744054,-13.710695577881683,8.76138621187191e-43,8.810931269503959e-42
13,Sntg1,31.70191920066715,-0.5848054566522005,0.1201513964766108,-4.867238116254779,1.1316864575394958e-06,3.0385197322443896e-06
17,Mybl1,17.30045823317355,-1.9535604269617213,0.1732924696791458,-11.273198602217244,1.7798431263785617e-29,1.2876341223132243e-28
25,Cspp1,226.5593089310329,-3.349120427023537,0.0889220486955706,-37.66355449692157,1.96309476778057e-310,2.80432914859671e-308
27,Cpa6,12.193803697872456,-1.2967855930452592,0.2363079008285943,-5.48769460732454,4.072132848575128e-08,1.2133549544360973e-07
36,Tram1,11.677866791347542,-1.0388007665296437,0.2006848654842386,-5.176278560035354,2.263554227527392e-07,6.415550996478678e-07
38,Eya1,55.85102852185832,-1.0170596710178326,0.09886940534981,-10.286899849547714,8.07339430678969e-25,5.0539912348682016e-24
41,Trpa1,104.80951244205092,-1.167018562961219,0.0763675223438562,-15.281608295559764,1.0140681912069202e-52,1.2623700311681576e-51
45,4930444P10Rik,51.90361515758286,-0.9853497701010588,0.0913227398533462,-10.789752603605816,3.848240723003981e-27,2.5814911208819622e-26
62,Paqr8,58.92109220077883,-0.9357005759801732,0.0933395040808457,-10.024700529474842,1.1871894870887526e-23,7.144453860836595e-23
68,Kcnq5,15.446626861108388,-2.564300697509996,0.230628868906002,-11.11873248858162,1.017066372546309e-28,7.190844925248306e-28
78,Phf3,87.8258598415399,-1.086376800528176,0.0717601644327807,-15.138995417796288,8.957147819757577e-52,1.0863268768457554e-50
84,Rab23,19.08743708368404,-1.770535787732285,0.1706112760525279,-10.377601227173113,3.13554614725768e-25,1.987138118342067e-24
89,Gm26788,255.88583911814015,-0.813695504311898,0.0470237483627384,-17.303926901681628,4.3939166965477704e-67,6.98696899520388e-66
100,Kansl3,56.33028552586674,-0.6727854311417473,0.0892746053207773,-7.536134477708705,4.8410735620269124e-14,2.020843833269581e-13
126,Eif5b,62.77084905863569,-3.877026993987698,0.1523895421667793,-25.44155549561644,8.75461530999372e-143,3.531838787559504e-141
130,Gm16152,31.52842714740659,-0.6805388301828192,0.1151659528751433,-5.9092015755787,3.4376983564612684e-09,1.1017323824274916e-08
131,Lonrf2,43.043475663919246,-0.8129503608628934,0.1146110511425342,-7.09312368012296,1.3111817521343472e-12,5.088237714584147e-12
139,Rnf149,36.14006350171497,-0.5126615469284194,0.1024869785047109,-5.002211543438703,5.667634830226586e-07,1.5547857676875325e-06
140,Map4k4,92.69339143830464,-2.04882194614952,0.0951312943559086,-21.53678198137821,7.043304546809017e-103,1.7998638070643335e-101
143,Gpr45,56.18756768269206,-0.866085269663103,0.0880513493002987,-9.83613853217993,7.867264294593389e-23,4.591784398063414e-22
151,Poglut2,17.287189192977728,-0.7043576670805686,0.1531007951411024,-4.600614036206741,4.212473276721028e-06,1.0748899599808796e-05
168,Nab1,189.0687878258512,-0.937779199435425,0.0471026694061638,-19.909258036927906,3.382878807758575e-88,7.198633926937295e-87
180,Stk17b,92.6000887642275,-1.0657394753000942,0.0677480281117781,-15.730929814543376,9.283769173119147e-56,1.2257388571903069e-54
187,Coq10b,84.16546418875154,-0.5080598744005347,0.0703256123131933,-7.224393186054364,5.033443061374795e-13,1.9955151427124645e-12
189,Hspe1,25.45525362810117,-0.7700211144402463,0.1320215018359773,-5.83254321252091,5.45888610643562e-09,1.7250673991470532e-08
194,Plcl1,26.06178845034999,-1.6339872458795737,0.1362540427040728,-11.9922111186704,3.903443254138765e-33,3.1220380464951997e-32
196,9130024F11Rik,206.98752308470932,-2.204154366294364,0.0611630643863344,-36.03734358978316,2.1770795026110543e-284,2.5810980660888067e-282
215,Casp8,469.2718581964857,-3.35700425018337,0.0524574704932258,-63.99477936353949,0.0,0.0
228,Wdr12,104.97746853255212,-1.4103566043039726,0.0679814846153132,-20.74618717559283,1.327077009587366e-95,3.108642220845244e-94
233,Ctla4,44.2873122959355,-1.2213096603866909,0.0995746627008894,-12.265265352244883,1.3915567861103182e-34,1.1603852472885464e-33
236,Pard3bos1,44.066092826258135,-0.517506087439957,0.1161388802254944,-4.455924548567808,8.353240938612645e-06,2.080907419641812e-05
238,Ino80d,18.62020991616578,-2.1196275917161755,0.1742580822255868,-12.1637261505736,4.849513699199236e-34,3.977285870571496e-33
242,Eef1b2,114.55117025362156,-0.6338324306470716,0.0639639072636319,-9.909220023640597,3.795979482750678e-23,2.241827530510973e-22
245,Gm11608,22.006286833813256,-1.3276623248622426,0.1463449581011654,-9.072142573879828,1.1669926714437292e-19,6.102114694845878e-19
247,Fastkd2,53.17150917262067,-0.6059594533097356,0.086676200419001,-6.991070794294972,2.7279605368270493e-12,1.0455882171942339e-11
