,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,Gm1992,201.2008151448897,-0.7237342813316628,0.134837071376677,-5.367472564795322,7.984764936381354e-08,3.559161579633101e-07
12,Gm30414,215.6106445952764,-3.8482389474952936,0.208714910312716,-18.437776878180404,6.537440244293206e-76,3.125789751588144e-74
17,Mybl1,256.2293297163055,-2.2720019275185046,0.138932358575508,-16.35329559516331,4.120775642313291e-60,1.4551252703911797e-58
22,Tcf24,279.1760519404722,-0.6347342960457608,0.110644856840026,-5.736681434397626,9.65496130266867e-09,4.720475840453694e-08
23,Ppp1r42,704.4828646265163,-0.5873715178571994,0.0722402155663791,-8.130810702211745,4.2642881753522513e-16,3.558427140798008e-15
26,Prex2,10.09914205094755,-2.047709683693125,0.6556297217597836,-3.123271590245852,0.0017885262590665,0.0044341626867293
31,Lactb2,21.137724676489373,-1.9383642819262856,0.46745846264413,-4.146602183565423,3.374456175466482e-05,0.0001113440361712
40,Rpl7,30.49438475130664,-1.020061818221206,0.3379811466845344,-3.018102720307396,0.0025436267005074,0.0060895158888217
41,Rdh10,63.88013583302683,-0.8985956778454987,0.2427722774756214,-3.701393285877681,0.0002144188324263,0.0006284394334735
42,Stau2,137.33420025866732,-1.4995796393732748,0.1748464267499506,-8.576552962777082,9.77586677358906e-18,8.937603613193417e-17
49,Jph1,103.2982757996618,-1.102442906062195,0.196528304654724,-5.609588440703496,2.028083346251488e-08,9.575090830692398e-08
53,Gm28756,105.54815617891056,-0.7354306562075384,0.1855944865619889,-3.9625673684110394,7.414807463507355e-05,0.0002327272157916
56,Mcm3,149.02480310201176,-1.3490024556065434,0.1606594103389867,-8.39666006964788,4.593573901558394e-17,4.0505534815803574e-16
58,Tram2,739.7848435975553,-0.5994874514096119,0.0705055483245375,-8.502698945764768,1.8523283441564083e-17,1.666770729785625e-16
63,Gm29107,138.4653389926692,-0.5393983119330984,0.1552004602619148,-3.4754942802541624,0.0005099128663679,0.001402647577381
67,Sdhaf4,37.96240366643631,-2.259706967720315,0.3532289992266281,-6.397286102408908,1.5816281023566935e-10,9.025480453626261e-10
74,Khdrbs2,257.2710078699204,-1.1021851798333382,0.1199627928967,-9.187725237294446,4.0123623380819646e-20,4.213801538684169e-19
84,Cfc1,1229.9580996622997,-2.237781757395884,0.0716178385524484,-31.246150437185733,2.5181944361295622e-214,5.874260839189505e-212
87,Hs6st1,22.52795130342844,-1.148891178724013,0.3996030778159374,-2.875080905290744,0.0040392398167207,0.0092735067429515
88,Uggt1,66.27798015003816,-1.7361851942833395,0.2533198979757991,-6.85372609162035,7.195078916231658e-12,4.566176215758557e-11
98,Cox5b,289.41785316453985,-0.7660070568897043,0.1114282425419323,-6.874442595659201,6.22327116211671e-12,3.980618313749434e-11
101,Gm38115,429.468010532044,-0.6543604600344501,0.0920103214944154,-7.111815820295403,1.1452603285453453e-12,7.666273051427885e-12
102,Vwa3b,112.50485086894024,-0.7370170712579945,0.1732016803895865,-4.2552535841465575,2.088122207110252e-05,7.095283491650726e-05
106,Unc50,442.5276706322316,-0.5572951085354201,0.0933855158165625,-5.967682500465237,2.406470573334984e-09,1.250000706716107e-08
107,Mgat4a,909.3041991472378,-3.5171335498503704,0.1034717788970745,-33.99123497576024,3.0018935002254264e-253,9.833436665844822e-251
114,Rev1,14.308119880448954,-1.7459068435028686,0.5395024710497217,-3.236142440841503,0.0012115690934186,0.0031125175642039
117,Gm16152,49.164441348980425,-0.8842009826689091,0.2733663645575752,-3.234490768825668,0.0012185985988589,0.0031274452455463
121,Rpl31,83.90583243282799,-1.17062343081308,0.2058001660912957,-5.6881559089402085,1.2841855482040134e-08,6.201794447976473e-08
128,Gpr45,305.09658310255475,-0.715106902337596,0.1119777289338475,-6.386152935465016,1.701108802660871e-10,9.69292047585743e-10
139,Bivm,313.9682486714863,-0.7128509763094518,0.1075171995527785,-6.630111082455458,3.354343442727562e-11,2.0292130312076048e-10
140,Ercc5,201.23135741135545,-0.631361492341265,0.1295492568299556,-4.873524617512709,1.096246002476131e-06,4.352192742166713e-06
