,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2,Gm19938,564.5987298237088,-0.5077505129415866,0.0818162471782682,-6.205986346883601,5.435489738872374e-10,4.879468723428492e-09
6,Atp6v1h,436.63015845414407,-0.9153269852037342,0.0528288494043414,-17.326271450623604,2.9803505755711434e-67,3.827361658994913e-65
39,Trpa1,319.2674774095333,-0.505938721902529,0.0661522139723438,-7.648099610302474,2.039711903357249e-14,2.8288601277971144e-13
40,Kcnb2,67.02697543508813,-0.8435989764675764,0.1075641727200349,-7.842750565871706,4.4078301267752696e-15,6.476238098055927e-14
58,Mcm3,58.499912720764165,-0.5312607699834333,0.1197112952326016,-4.437849986930489,9.086190641458782e-06,4.549315034561341e-05
71,Sdhaf4,58.9728142148452,-0.7716559410903863,0.1210925010684997,-6.372450269681648,1.8603175216576798e-10,1.760186820407601e-09
89,Cfc1,246.1970530598332,-1.0170487371565375,0.0637231490310164,-15.960428080249178,2.410722363637803e-57,2.633479371654464e-55
109,Gm38115,114.3122888007798,-0.534968421811649,0.0803195761275308,-6.660498568396701,2.7290022620328843e-11,2.7841118892770897e-10
110,Vwa3b,25.812646931562742,-0.8612647798314834,0.1685536397503657,-5.109737061193392,3.226074709187963e-07,2.054988823652749e-06
114,Coa5,12.566374706310311,-1.2637058186782029,0.2737518804089548,-4.6162452538786845,3.907451437910803e-06,2.0941400299449965e-05
116,Mgat4a,413.9790139763743,-0.6039732667139865,0.0779294820366221,-7.750253831151549,9.170904210360408e-15,1.314157764317659e-13
121,Txndc9,589.3559327920564,-0.6210600377808707,0.0421146210665278,-14.746898394260551,3.221324731836869e-49,2.723233465512143e-47
134,Rnf149,93.64854729691588,-0.5176495917158253,0.0942141325689175,-5.494394286729384,3.920536857832861e-08,2.8392247765528285e-07
157,Gm17767,64.4574232910678,-0.6737084183498113,0.1156390611850092,-5.825958905632716,5.678558908682973e-09,4.5232195322336016e-08
179,Ankrd44,125.09479669504358,-0.5864776752048588,0.0861439094057218,-6.808115387968495,9.888554101034577e-12,1.0568941908621643e-10
207,Fam126b,167.64487429782918,-0.7947141784507298,0.0782764213012541,-10.152663666012495,3.2244044009802398e-24,8.93643414129993e-23
211,Trak2,38.1504106863909,-0.5248667407070863,0.1402525652834324,-3.7422969030648248,0.0001823458922117,0.0007214498929158
212,Stradb,464.3669243141109,-0.5719764733736848,0.0441471772753889,-12.956127858542574,2.169241762167245e-38,1.2671234085048458e-36
217,Fzd7,122.30184303655084,-0.6232179927190981,0.0838662985066165,-7.431089768078051,1.0770658170025145e-13,1.395953639401641e-12
218,Gm973,61.00492253607755,-0.7082875806102562,0.1320513103720298,-5.363730042623495,8.152071308597625e-08,5.615982621807445e-07
222,Ica1l,69.19032087213606,-3.174495113316024,0.2704599605188224,-11.737393983295718,8.197355660335655e-32,3.5269594443433944e-30
233,Ino80d,87.08778729600408,-1.1133001811020438,0.1099290808262557,-10.12744009805402,4.174346716586309e-24,1.1418704847663657e-22
241,Adam23,401.57743088415367,-0.6268336285416881,0.0625144843126867,-10.027014306098632,1.159703932038208e-23,3.077239629129144e-22
248,Mettl21a,51.70568849175899,-0.6405558176436963,0.1675638905591182,-3.82275569937129,0.0001319685137414,0.0005375560064582
260,Kansl1l,56.842694587582365,-0.5148593301108503,0.117056916259721,-4.3983674486051,1.0906820713262067e-05,5.398218442459777e-05
294,Nhej1,239.32937571047484,-0.573423297064999,0.0635859404103934,-9.018083138568633,1.9140904118108192e-19,3.779429929330213e-18
298,Abcb6,138.12376165139798,-1.1153106186945785,0.1791063133061781,-6.227087131138591,4.751868823282401e-10,4.2886635844463425e-09
313,Obsl1,277.6003569769033,-0.618803257725832,0.0606145473931346,-10.208824190542732,1.810453954602114e-24,5.101719745104081e-23
320,5730419F03Rik,92.99886739471008,-0.5519861523863748,0.105634667871399,-5.22542611728916,1.7375449162146904e-07,1.1454043152617452e-06
352,Psmd1,65.76342103982478,-0.5436195476168884,0.1075653786764085,-5.053852404055321,4.329862648848022e-07,2.7108775341112864e-06
370,Atg16l1,43.20213690779456,-0.7144825052599025,0.1447698126054477,-4.935300339215998,8.002751248393625e-07,4.784302922946907e-06
376,Hjurp,39.32313611433582,-0.6516511957028975,0.1745394581021589,-3.7335465732996735,0.0001888022621958,0.0007438455402623
391,Scly,29.034215658185264,-0.8112480700237262,0.1662807520292161,-4.878785187844153,1.0674123959575162e-06,6.267741269526455e-06
449,Vps4b,62.962970424868935,-0.6487296493888697,0.1327348896459437,-4.887408661876974,1.0217187055364398e-06,6.031008344996325e-06
455,Nifk,155.85226199579853,-0.6522385219148041,0.0740936267156333,-8.8028964274897,1.3332959675899206e-18,2.5061495042195797e-17
463,Epb41l5,137.0728254834509,-0.8819466254012691,0.0769294594490976,-11.46435490015151,1.992386546202578e-30,8.01864087721674e-29
472,Ccdc93,1623.895801710093,-1.3626343213101442,0.0579216396361698,-23.52547907603141,2.2380933054243952e-122,7.240662245606654e-120
503,Il24,38.96265693473195,-0.7118138129564684,0.1388784734444742,-5.125443816467802,2.968376760993532e-07,1.8980236507105352e-06
527,Rbbp5,136.4058594887169,-0.5461734894220724,0.0822830148052703,-6.637742804084631,3.1852301000324606e-11,3.2260762175103003e-10
530,Mdm4,77.4952967144389,-0.6338746654232892,0.118280625625432,-5.359074337589544,8.364943316510086e-08,5.750855799495267e-07
538,Zc3h11a,622.2402366314157,-1.5797541718547248,0.0687078500650301,-22.99233887189789,5.5611076370089494e-117,1.7324909958778063e-114
550,Kdm5b,65.12565132487798,-0.5786183175288744,0.116802504883529,-4.953817712264391,7.277138345038419e-07,4.389505140859853e-06
567,Lad1,748.465687426833,-0.6842794933536677,0.046999361921144,-14.559335816127843,5.09504151256489e-48,4.081613493613292e-46
591,Dennd1b,267.11030285042807,-0.7608173673416605,0.0591090046333874,-12.871429185121416,6.518472071109313e-38,3.755488207269588e-36
593,Zbtb41,36.908611634684846,-0.5793686695750521,0.159848211133863,-3.624492670048504,0.0002895292309811,0.0011022290682951
602,Uchl5,198.99419174036416,-0.5359792414846323,0.0778544343495076,-6.884376541463136,5.804116491259266e-12,6.332208283557369e-11
609,Ptgs2,14.15982239226042,-0.7475274630288821,0.2390624511735267,-3.126912902295473,0.0017665225272854,0.0056316483753122
614,Gm20631,109.27869748755504,-0.5586066902963998,0.0851424523451749,-6.560848024810933,5.3502628120541794e-11,5.338521428658804e-10
621,Edem3,536.8720880450583,-0.529994993898858,0.0617401147212365,-8.584289101046277,9.139985733609656e-18,1.6185471578580552e-16
659,Astn1,201.0859413469552,-0.5344824286993659,0.069454778630634,-7.695401802974354,1.4105022127826924e-14,1.9856802280873002e-13
670,Zbtb37,12.06432713723291,-1.5071093865434413,0.2708779762918878,-5.563794470021578,2.63970828807918e-08,1.9494210943966658e-07
678,Suco,337.3598868567428,-0.5171268722741904,0.053000711837395,-9.75697975266301,1.722073407604782e-22,4.279237952161779e-21
680,Pigc,230.85950909621792,-0.5814969007213483,0.0704401655744225,-8.25518929405377,1.5166167449004028e-16,2.4940413977966254e-15
687,BC055324,34.79681758412574,-0.6558514129734634,0.1488474629534618,-4.406198130353889,1.0520074436934092e-05,5.217547531030137e-05
709,Gpa33,28.240875776392983,-0.8779032684559734,0.198776541627741,-4.416533567125178,1.0029633187259804e-05,4.996402697935199e-05
710,Mael,18.22898741886382,-1.6290599730379351,0.2792996996939236,-5.8326592360220015,5.45509031297564e-09,4.3658888836912086e-08
712,Tada1,220.3258921315441,-0.5266215595021011,0.0643379619837391,-8.185238438780509,2.717650314564597e-16,4.379217551908067e-15
714,Fam78b,37.67269946507425,-0.6127666433591005,0.1431203584040862,-4.2814778427888935,1.8565621184784555e-05,8.880564264760607e-05
721,Pbx1,454.93262827416936,-0.5102224817609559,0.0463115659879737,-11.017171863578346,3.158264391836872e-28,1.1162076021821785e-26
745,Ufc1,98.62209673950494,-0.5502849768342034,0.0927783409138345,-5.931179318514291,3.0076651522841926e-09,2.4827257535268393e-08
748,Nit1,131.41560575937888,-0.542778902407665,0.0809928234615534,-6.701567857617874,2.061950633720653e-11,2.125502175924176e-10
760,Copa,150.34186024004998,-0.9358797029736154,0.0887093638320285,-10.549953945625257,5.082199981179794e-26,1.565894693834939e-24
769,Igsf9,322.46356284014803,-0.6002292767085798,0.0601438093555223,-9.979901225752132,1.8665249657612612e-23,4.898681669111029e-22
817,Lefty2,52.882113729140826,-0.5837339399870198,0.1247955637774304,-4.677521558603587,2.9036305512183274e-06,1.5890623540385793e-05
844,Rab3gap2,56.4556799831515,-0.5342204238667075,0.1162974125152988,-4.593571020304784,4.3572463397655e-06,2.315286013072489e-05
859,Cenpf,224.6357684064577,-0.6707176702157794,0.0586691417264463,-11.432205252688052,2.8868279565766825e-30,1.150831912641932e-28
873,Atf3,318.63769052254065,-0.5222430191838462,0.0616097856510154,-8.476624511275816,2.3182161924738278e-17,3.9876637020436816e-16
878,Ints7,154.53138044420635,-0.5257587460969597,0.0901671654270905,-5.83093350674409,5.5118146789131095e-09,4.402908753245737e-08
886,Gm26879,23.60317628063525,-0.6101826112491996,0.1837089039198082,-3.321464546517319,0.0008954635807855,0.0030581371943879
896,Mir205hg,223.32557702929012,-0.751837858115147,0.0648230041418036,-11.598318653520954,4.202535975717634e-31,1.7586881273506905e-29
905,Acbd7,39.01708911445104,-1.386686591165199,0.2797833650491375,-4.956286771808824,7.185314111275102e-07,4.335672141104055e-06
908,Suv39h2,212.1582287439747,-0.5491064460903669,0.0634419184086618,-8.655262322827177,4.917792760208244e-18,8.90549274542339e-17
914,Prpf18,218.3779380777488,-0.7540505984979502,0.0629493105852932,-11.978695103836731,4.5949925411907066e-33,2.129519546017941e-31
942,Fbh1,109.81191794608432,-0.5862531319576415,0.0925958324981156,-6.331312286323165,2.4308478044717435e-10,2.268117172192354e-09
947,Gm13270,94.87414651143102,-0.5276809834581245,0.0907715218784964,-5.813287830124295,6.125759909398965e-09,4.861021648859376e-08
964,Skida1,43.34844513638363,-0.6375015941776693,0.1348440061842822,-4.727696930825675,2.270807853012743e-06,1.265798559020324e-05
979,Apbb1ip,185.5333989894116,-0.519193202789406,0.0649699243644821,-7.991285319599965,1.3353909755523277e-15,2.0441567226311933e-14
994,Pnpla7,594.1255355961773,-0.7043069891970261,0.0562876203829119,-12.51264459939476,6.366861825649006e-36,3.433003733746578e-34
1008,Uap1l1,77.81815582443204,-0.8222978833315134,0.116267838788237,-7.072444898792648,1.5222743858180268e-12,1.7661532408701148e-11
1020,Camsap1,807.3662099930137,-1.0557104459396802,0.0428339295506672,-24.64659341354392,4.003021602579419e-134,1.6425081078095992e-131
1046,Brd3,59.92346944153247,-0.9058803544365268,0.1186927487396932,-7.632145721245582,2.3087824932506837e-14,3.1784490903401185e-13
1073,Zer1,12.994810276175675,-1.1508380442820498,0.2696053502518296,-4.268602396825914,1.967015275309544e-05,9.358342187933386e-05
1081,Sh3glb2,137.3849102691417,-0.6895700876266927,0.0865764421330622,-7.964869780244249,1.6539786015842145e-15,2.5112709399324225e-14
1082,Miga2,44.42657047963832,-0.6794954300007056,0.1373848316995473,-4.945927593278441,7.578212571422181e-07,4.556407079665309e-06
1102,Abl1,32.56898663196533,-0.8161983432527847,0.1795778715242867,-4.545094205231179,5.491068970804056e-06,2.8661574091168676e-05
1112,Ciz1,57.65053452678223,-0.5780823488137753,0.1205165007697979,-4.796707049418795,1.6129522524576583e-06,9.179531712819754e-06
1132,Ralgps1,139.02863337535467,-0.9705325570914932,0.0945776479207684,-10.2617540024314,1.0478586426553155e-24,2.977723977261888e-23
1171,Rpl35,377.77909871137,-0.7406135947789851,0.0504094562435486,-14.691957620030236,7.258609678281104e-49,6.015349291513447e-47
1175,Ppp6c,10.592324662615187,-1.285826169618908,0.2872055184692853,-4.477024593649715,7.569053302776516e-06,3.848116763753681e-05
1194,Gm13522,54.494790168698586,-0.7242976198040438,0.1301173154874047,-5.566496796301912,2.5991155762521397e-08,1.9202864004958165e-07
1228,Ifih1,886.6665315259254,-0.6530816490811373,0.0384286402266905,-16.994659327746422,8.995143398055432e-65,1.0886712042121331e-62
1229,Gca,16.947450292913388,-1.644661744463382,0.264779704694723,-6.211434318047863,5.250313633806632e-10,4.720792424453714e-09
1240,Gm13630,63.872550747798,-0.9555452697934094,0.1177024751574151,-8.118310753579859,4.727171187765894e-16,7.467155013313205e-15
1251,Bbs5,44.87607960562772,-0.7136863322512556,0.1520247573497456,-4.694540183408158,2.6720708379215005e-06,1.4711534959906257e-05
1292,Gm13708,61.194518561384974,-0.6718235174716036,0.1136250952915133,-5.912633258946822,3.3668125870835804e-09,2.7602284674711048e-08
