,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
2,Gm19938,473.3260457273413,-0.8212138210938458,0.0544941041355635,-15.06977376948768,2.5598808829856332e-51,4.887248567866021e-50
3,Mrpl15,13.133859526842414,-0.9083812845115992,0.2033317751327091,-4.467483175803306,7.914523358868446e-06,2.292681538841997e-05
7,Rb1cc1,705.1571650215614,-1.3428823824010503,0.0348508928676347,-38.5322231915658,0.0,0.0
9,St18,46.8927700284053,-3.80178670649066,0.1822270375232326,-20.86291232170176,1.1636537366901744e-96,4.710642719268002e-95
14,Rrs1,396.0470996639054,-0.5312477302136364,0.0353541085749668,-15.026477872780994,4.925053435889999e-51,9.32135654619527e-50
17,Mybl1,61.148276841827794,-1.223706078225418,0.0938362642906853,-13.040865250503035,7.16393939441631e-39,9.89596936252389e-38
27,Cpa6,88.00367778645413,-2.7397422653462224,0.1065199287174198,-25.720466567475043,6.900811491474908e-146,5.113618278089542e-144
37,Lactb2,21.237630086075125,-2.274386073506361,0.1841814964265917,-12.348613284358082,4.955828777363554e-35,6.086203206357713e-34
48,Stau2,38.99228446028549,-2.0058652163091124,0.1391089805511929,-14.419379743574083,3.908390813626706e-47,6.661787382914604e-46
64,Efhc1,32.404175215167264,-5.763352753765546,0.3962739682679778,-14.543859085561012,6.388712281560675e-48,1.1094915628593155e-46
66,Tmem14a,27.93061922346377,-1.8095692861332613,0.2387768780595422,-7.578494621585683,3.4958739228721274e-14,1.8992184890707602e-13
69,Kcnq5,84.74056833254689,-1.9295905557215547,0.097543212858832,-19.78190485189497,4.262794897024629e-87,1.5090639101045895e-85
70,Rims1,287.6489457767225,-0.8036693876571539,0.042126232380863,-19.077646925345302,3.8730750805751324e-81,1.2519840482273182e-79
72,Ogfrl1,36.261493595372734,-1.5221672808467046,0.1307904377843405,-11.638215351466258,2.6347091147232907e-31,2.8996723095205105e-30
77,Lmbrd1,13.80082577354352,-0.958567609193988,0.1966322230480502,-4.874926369315097,1.088490467878949e-06,3.450732290738733e-06
85,Rab23,52.11558916430197,-0.7227031510110178,0.0990123087953517,-7.299124319025532,2.8964660439999e-13,1.4981779999251774e-12
86,Bag2,433.86345417589087,-0.5947624820697517,0.035065237671566,-16.961598482249475,1.5798738343424203e-64,3.880454159407338e-63
99,Uggt1,35.64601647467136,-4.54575436809458,0.255656158140534,-17.780734879054947,9.96650418432781e-71,2.7534632729150827e-69
100,Arid5a,13.636123070518131,-1.0141641118436375,0.1956546271029499,-5.183440467830093,2.1782977915365914e-07,7.412740178710237e-07
105,Ankrd23,12.537551379420576,-0.6218348300558134,0.2011354830706764,-3.0916217296045594,0.0019906634335505,0.0041661946057841
111,Actr1b,24.56023663832148,-2.1342852243995374,0.1650465956765441,-12.931410161178228,2.992787810664835e-38,4.063499474604552e-37
115,Vwa3b,19.11571636390281,-0.8787523542865898,0.1572606193622191,-5.5878729070916044,2.2986776906495237e-08,8.525827243707076e-08
