Neurons,HE,NP,20,EBHD8
Apoa1,Acadm,Pgls,Acadm,Acadm
Fasn,Asns,Acat3,Pgls,Gckr
Pgls,,Acat2,Tkt,G6pdx
Tkt,,Hsd17b7,Acss1,Rpia
Acss,,Sptlc2,Idh1,Acly
Me3,,Sptssa,Elovl6,Acss1
Scd1,,Sgpl1,Mvk,Acss3
Elovl5,,Asns,Fdft1,Yme1l1
Acat1,,,Lss,Elovl5
Hmgcs1,,,Tm7sf2,Elovl6
Hmgcr,,,Dhcr7,Hmgcs1
Fdft1,,,Dhcr24,Idi1
Sptlc1,,,Sc5d,Fdps
Kdsr,,,Sptlc2,Fdft1
Cers6,,,Sptssa,Sqle
Sgms1,,,Sgms1,Lss
Yme1l1,,,Sgms2,Nsdhl
Asnsd1,,,Sgpl1,Hsd17b7
Cbs,,,Sgpp1,Dhcr24
Pycr2,,,Sgpp2,Sptlc2
Psph,,,Asns,Sptlc1
,,,Cbs,Cers1
,,,Shmt1,Sgms1
,,,Pycr2,Sphk2
,,,Psph,Sgpl1
,,,Ass1,Sgpp1
,,,Asl,Sgpp
,,,,Gpt
,,,,Asns
,,,,Got1l1
,,,,Cth
,,,,Glul
,,,,Shmt1
,,,,Pycr1
,,,,Psph
,,,,Ass1
