,index,group,names,scores,logfoldchanges,pvals,pvals_adj,rank
0,1,EB_8d,Gm47782,169.95706,34.08561,0.0,1e-300,10225.682830810547
1,2,EB_8d,Zfp934,155.57729,33.986164,0.0,1e-300,10195.849227905273
2,3,EB_8d,Spint1,145.11475,33.920933,0.0,1e-300,10176.279830932617
3,0,EB_8d,Nelfb,177.8322,33.83332,0.0,1e-300,10149.996185302734
4,4,EB_8d,Zfp985,130.39369,33.66194,0.0,1e-300,10098.582458496094
5,5,EB_8d,Prr16,75.97456,32.944244,1.893927232725714e-297,1.513668731666229e-294,9679.676869142495
6,8,EB_8d,Srfbp1,55.544422,32.321075,3.562934945658212e-230,2.3298355512835926e-227,7325.011777059955
7,7,EB_8d,Snx2,62.324078,32.308056,2.5382463978114234e-254,1.825760633945757e-251,8100.875283145529
8,6,EB_8d,Bmp8a,73.85903,31.917032,3.4159208623460775e-291,2.5863914487216144e-288,9178.933309778828
9,10,EB_8d,Cep120,46.325535,31.777884,7.016781494803054e-194,3.480807537387473e-191,6052.362309874872
10,11,EB_8d,Sncaip,45.8379,31.765184,7.700291534443405e-192,3.692546467150094e-189,5985.598638038182
11,27,EB_8d,Gm20650,34.075592,30.663929,9.526892429222613e-139,2.36299783597925e-136,4158.842489197977
12,35,EB_8d,Pudp,31.808174,30.596565,1.1038327371800879e-127,2.2365827826863018e-125,3813.8745562538224
13,478,EB_8d,Bscl2,10.296078,27.13845,6.882892105948646e-23,9.394429396221747e-22,570.6437181983397
14,604,EB_8d,Lmbr1l,8.579206,26.717749,9.368140391163372e-17,8.728631325600795e-16,402.34401553880116
15,651,EB_8d,Fam168a,8.154602,26.423206,2.30302391885584e-15,1.939771785518742e-14,362.32159412850484
16,944,EB_8d,Trappc13,5.8051195,26.000263,1.0770193752521607e-08,4.976732748804284e-08,189.88136995510982
17,822,EB_8d,Fgd3,6.668865,25.593302,6.18534755966126e-11,3.599612054744615e-10,241.69659780018443
18,1304,EB_8d,Gm12649,4.142359,24.8986,3.967387297716045e-05,0.00011962865995586464,97.65641007271364
19,1172,EB_8d,1700024B18Rik,4.6646833,24.874466,3.868483506864654e-06,1.343926677849672e-05,121.1790558422103
20,1291,EB_8d,Riiad1,4.185366,24.436695,3.304629390338818e-05,0.0001008921867771949,97.65251498382534
21,1213,EB_8d,Gckr,4.4733214,24.318876,9.32704497431603e-06,3.085280961152228e-05,109.69528359825854
22,1287,EB_8d,Gabarapl2,4.198577,24.274672,3.123192608453322e-05,9.555561221865055e-05,97.57796049465162
23,1410,EB_8d,Cpne8,3.7626765,24.248756,0.0001857897764853251,0.0005070710917317182,79.89798279124454
24,1270,EB_8d,Cacnb3,4.236971,24.045628,2.6482176502738513e-05,8.18240101306693e-05,98.27734717448827
25,1453,EB_8d,Zbtb33,3.6212084,23.929415,0.00031979933632142314,0.0008389192655579856,73.61357598511478
26,1486,EB_8d,Ddhd2,3.5205276,23.84061,0.0004656858991022609,0.0011850977082053997,69.76348735216905
27,1667,EB_8d,Tm4sf19,3.0611837,23.815441,0.0023101602644284803,0.005131073886686447,54.53240018573591
28,1533,EB_8d,Tmcc3,3.3788183,23.798506,0.0007785218977649248,0.0018995617403741874,64.76398247072123
29,1574,EB_8d,Nlgn3,3.2713408,23.768503,0.0011361187899700505,0.002691733351862508,61.08429175627801
30,1517,EB_8d,Mrrf,3.4270597,23.705463,0.0006548714365513533,0.0016198384604930829,66.15076635723985
31,1688,EB_8d,Dnm3os,3.0196216,23.675314,0.00264603946190194,0.005791255697386476,52.96705774602479
32,1656,EB_8d,Kcng2,3.0863452,23.5673,0.002126326642450044,0.004757283837991654,54.73837758370883
33,1677,EB_8d,D230022J07Rik,3.0437772,23.560736,0.0024457547379065246,0.005400556816503954,53.42541626174004
34,1528,EB_8d,Gm48727,3.3994586,23.555256,0.0007231717952496313,0.0017735338299456522,64.8042901133824
35,1569,EB_8d,Pax5,3.277917,23.549465,0.0011104702123623978,0.002634569860680878,60.7409066550474
36,1518,EB_8d,Mtx3,3.426481,23.466248,0.0006562392261145082,0.0016226637172367334,65.46546805381088
37,1532,EB_8d,Cbl,3.3837578,23.424335,0.0007649284269288526,0.0018686127270841355,63.912847208393934
38,1491,EB_8d,Txndc16,3.5081484,23.38561,0.00048740987989504935,0.0012350445182197336,68.01277787102553
39,1744,EB_8d,Tcim,2.8946745,23.347906,0.003943216279169522,0.008276496847407753,48.613923170266496
40,1628,EB_8d,Psd,3.1466775,23.29064,0.001738978921526277,0.003962767426750676,55.94414995296231
41,1589,EB_8d,Rnf150,3.2312336,23.22501,0.0013048165961096364,0.003051713794770481,58.421495174113744
42,1696,EB_8d,Jkamp,3.0080419,23.219395,0.0027472886025734188,0.005982817716715289,51.618902321425495
43,1733,EB_8d,Gm20629,2.917022,23.216799,0.003675374406767025,0.007774435555910958,48.97191645831038
44,1661,EB_8d,Nudt10,3.0686595,23.19807,0.002254070299697306,0.005015010103842475,53.34925668826812
45,1561,EB_8d,Erich6b,3.2968023,23.09185,0.0010397647382811165,0.0024826648174128036,60.15616144032897
46,1723,EB_8d,Nfib,2.9473543,23.08066,0.0033383481517183593,0.00713815049206604,49.540658393954665
47,57,EB_8d,9330020H09Rik,27.790564,5.381918,9.241397796167679e-111,1.4937836932097552e-108,580.3091367990229
48,145,EB_8d,Ubxn1,19.639194,5.054991,4.842502871545574e-67,3.609546440935473e-65,325.7564820300203
49,1281,EB_8d,Cbln3,4.211235,4.286857,2.9423113355685894e-05,9.02862448800584e-05,17.337672413510592
50,1328,EB_8d,Mrps18a,4.0533204,4.0156627,5.705428846790134e-05,0.000168434843812688,15.15337639908759
51,1650,EB_8d,Bms1,3.1036322,3.952925,0.001999252367620275,0.0044904363092248675,9.280327241594227
52,1512,EB_8d,Gpbp1,3.4462125,3.8562818,0.0006079905865123552,0.0015121971114265443,10.876224659692298
53,883,EB_8d,Clic1,6.198789,3.715625,1.0439409366966413e-09,5.3578788138843665e-09,30.73196120093677
54,12,EB_8d,Cdc5l,44.6797,3.40736,4.989625677468023e-241,3.418131190288332e-238,809.1328879045459
55,2005,EB_8d,Map3k21,2.3884437,3.3836005,0.017228714414943492,0.03122944176341425,5.093793214022187
56,1210,EB_8d,Lgr5,4.4858003,3.323851,8.527835970692116e-06,2.8339442890823927e-05,15.115574190683734
57,499,EB_8d,A730035I17Rik,9.9344015,3.3198028,7.893385979596422e-22,1.0211713192668537e-20,66.3658496354076
58,1488,EB_8d,Uxs1,3.5146792,3.2810032,0.0004702244143495005,0.00119516756622472,9.588965570188533
59,979,EB_8d,Eral1,5.6182427,3.2189066,2.871320276341846e-08,1.2666916128627353e-07,22.201858461397592
60,1441,EB_8d,Gabra3,3.647882,2.9272797,0.00028638197665978494,0.0007581691417423015,9.133797375967974
61,1449,EB_8d,Gm3002,3.631984,2.8820662,0.0003025107446911324,0.0007972008743591557,8.92988696802172
62,9,EB_8d,Gm12682,53.147835,2.870137,1.495580520041775e-307,1.265613021254175e-304,872.2280230830236
63,2036,EB_8d,Spop,2.3294818,2.8351467,0.02013948502767169,0.03587968067305728,4.097216260294511
64,1708,EB_8d,Ddr2,2.9812624,2.8216321,0.0029681992169719672,0.006419199328827228,6.1864824834731476
65,967,EB_8d,Zfand5,5.675807,2.8015485,2.0200733510848205e-08,9.06169790468983e-08,19.730718803775197
66,1817,EB_8d,Gm20492,2.7316008,2.7738676,0.006457900760650661,0.01293018237198614,5.238158689766739
67,1235,EB_8d,Ccdc194,4.365097,2.760186,1.4571927620007159e-05,4.6907977342005594e-05,11.948164051282712
68,1669,EB_8d,1700016F12Rik,3.0593297,2.7320569,0.0023015803453582135,0.005112806492946767,6.260072916042283
69,1728,EB_8d,Cul4b,2.9331918,2.719169,0.0034719021729931977,0.007383116727373265,5.796616218763805
70,1627,EB_8d,Aldh4a1,3.1493063,2.6847074,0.0017058491793962745,0.0038915867895329536,6.469804634320887
71,1671,EB_8d,E230001N04Rik,3.0566437,2.622626,0.0023247522507323674,0.00516109349985121,5.998623167064442
72,421,EB_8d,Gm12701,11.342851,2.6150455,1.0603388934494102e-27,1.918746581278392e-26,67.25108027014383
73,14,EB_8d,Gm33497,39.099777,2.608426,9.259749532961184e-211,5.550448199215816e-208,540.6111028452532
74,2079,EB_8d,Bfar,2.2436638,2.602029,0.025119466190305643,0.04359616849001532,3.540195037054638
75,141,EB_8d,Gm39090,19.918354,2.5980313,1.1890193051216645e-73,1.0121438889633294e-71,184.44660150369612
76,910,EB_8d,Gm14964,6.0393205,2.5928273,2.4586191795152515e-09,1.2192242508275218e-08,20.51941867070379
77,112,EB_8d,Emx1,21.0017,2.5453897,6.10239113877907e-79,5.931689116383493e-77,194.0269629723092
78,1764,EB_8d,Tex30,2.835897,2.5403602,0.004693646085901234,0.009687631648748229,5.115732641192459
79,2086,EB_8d,Gm15892,2.236307,2.5223608,0.025667968848509685,0.044440895397118825,3.410779659294717
80,2020,EB_8d,1700013F07Rik,2.3608046,2.5153298,0.01848695938496227,0.033215111491453383,3.719328397270355
81,740,EB_8d,Tnni2,7.302878,2.5071476,7.208633947288125e-13,4.940610193696378e-12,28.34636029989431
82,13,EB_8d,Peli3,40.402798,2.4627624,4.81605736134003e-221,3.012339182619029e-218,535.7027671401555
83,19,EB_8d,Gm10535,36.242626,2.4351506,1.0427875801235034e-190,4.83920713795378e-188,456.14078883503015
84,1567,EB_8d,Slc35a2,3.2793252,2.4226165,0.001087584032602719,0.002586968236280211,6.2678149318498715
