Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:2001237~negative regulation of extrinsic apoptotic signaling pathway	18	0.7159904534606205	4.802708010821416E-5	TCF7L2, SGMS1, GSTP2, TNFAIP3, RELA, TGFBR1, VEGFA, IL4, PRDX2, LGALS3, GCLC, DAB2, CTTN, RPS6KB1, IL7, RB1CC1, RIPK1, GCLM	2341	41	15327	2.874381387983038	0.25499551671354015	0.2943579739832446	0.2943579739832446
GOTERM_BP_DIRECT	GO:0070301~cellular response to hydrogen peroxide	23	0.9148766905330152	6.311745031552795E-4	CBX8, KDM6B, BECN1, PRKAA1, ANXA1, TRPA1, PCGF2, GATA5, TNFAIP3, SIRT1, FOXO1, RELA, RNF146, AXL, PDGFD, MYB, CDK1, ABL1, CYP1B1, ZFP580, RIPK1, FXN, EZH2	2341	71	15327	2.1209246078779382	0.9791351610396873	1.0	1.0
GOTERM_BP_DIRECT	GO:0006470~protein dephosphorylation	21	0.8353221957040573	0.001819068128168459	PTPRR, CTDP1, DUSP3, MTMR3, EYA1, PPM1M, PTPN11, PTPN22, CTDSPL2, PTPRK, PPM1E, DUSP6, PPP1CA, SSH1, PPP1CC, PPM1B, PPP3CC, CTDSP2, BCL2, PTPN6, PHPT1	2341	67	15327	2.0521081053510746	0.999985756662856	1.0	1.0
GOTERM_BP_DIRECT	GO:0001837~epithelial to mesenchymal transition	16	0.6364359586316627	0.0025440224067223944	TGFB2, DDX5, NOTCH1, AKNA, LEF1, RFLNB, RBPJ, HIF1A, TGFBR1, BMP2, DLG5, SP6, SNAI1, SLC39A6, SNAI2, FGFR1	2341	46	15327	2.2772876697063684	0.999999834149761	1.0	1.0
GOTERM_BP_DIRECT	GO:0032720~negative regulation of tumor necrosis factor production	18	0.7159904534606205	0.002590747473545013	IL10, ERRFI1, FLT3, GSTP2, CIDEA, AKAP8, NR1H4, TNFAIP3, PTPN22, NLRC3, THBS1, SIRT1, VSIR, POMC, IL4, AXL, RARA, PTPN6	2341	55	15327	2.1427206710419013	0.9999998755417726	1.0	1.0
GOTERM_BP_DIRECT	GO:0006338~chromatin remodeling	117	4.6539379474940334	0.003327255596649197	GTF2B, NRK, ULK4, JADE1, BUB1B, PPP1CC, AKT2, PIM1, PPTC7, PRKCB, KMT5C, CSNK2A2, LMTK3, SSU72, CDC25B, ERN2, MAPKAPK3, SIK1, SIK2, HDGFL2, INO80C, BRSK1, INO80B, MTMR3, INO80D, PAXIP1, BAZ2A, STK4, TRP53RKB, SMYD1, RIPK1, TRPM7, MARK3, MARK2, NEK8, BRPF3, NEK5, SETDB2, SMARCA5, DCLK2, BRAF, UBE2A, SMARCA2, SRPK1, SMARCA4, SSH1, CDK5, STK25, STK26, WNK2, AAK1, CDK1, TCF3, BAP1, EZH2, ZFP110, PTPRR, KDM5D, PSIP1, PTPN22, PTPRK, PTPRF, DUSP14, PPP3CC, BCL7A, TLK2, HMG20B, ILKAP, KDM6B, PRMT6, DUSP3, RING1, PRMT3, TET1, PAX6, DUSP28, OXSR1, DUSP6, PPM1B, PKM, CTDSP2, PRMT9, SGK2, KDM7A, PRKAA1, KDM3B, PRKAA2, CTDP1, PPM1M, PPM1N, ZFP827, METTL21A, HDAC8, PPM1E, NSD3, MTA2, MAP4K4, HIPK4, KDM4B, EYA1, RIOK3, PCGF2, USP22, HUWE1, PTPN11, CPPED1, PPP1CA, PIKFYVE, RPS6KB1, TAOK1, STK17B, TAOK2, NEK10, PTPN6, PKN1, EEF1AKMT3, EEF1AKMT1	2341	599	15327	1.2788357928171614	0.9999999986548374	1.0	1.0
GOTERM_BP_DIRECT	GO:0015031~protein transport	89	3.5401750198886237	0.003533349487006179	RAB3B, ARF3, WASHC5, ARF1, GOLT1B, MIA3, ARRB1, PHAX, IER3IP1, BICD2, RABGEF1, XPO4, CCDC93, AP5S1, TMED5, RAB8A, SLC15A1, AKTIP, VPS37C, COG2, ANK2, SENP2, RBSN, TIMM8A1, ARFGAP1, NUP93, TOM1L2, RABEP1, PITPNM1, RAB37, GORASP1, ATG4C, TXNIP, TMEM9, SEC22A, VPS25, VPS28, EXOC1, RTN2, POM121, TNKS, H2-DMA, ARL3, TIMM9, VPS4B, STXBP2, AKAP8, PSEN2, TIMM13, LIN7A, JAKMIP1, AAAS, SNX31, NUP160, RAB25, KIF3A, RAB23, S100A13, MVB12A, NUP43, SNX7, TBC1D17, YKT6, SEC31B, DNAJC19, ARFGEF2, MON2, XBP1, SEC16A, RAB3IP, SURF4, LCA5, CTNS, SNX21, SNAP91, RAB11A, UEVLD, RAB10, DAB2, NECAP1, HOOK1, PLEKHM1, UNC119, GOPC, APBA1, RAB17, VPS45, APBA3, TOMM6	2341	438	15327	1.3303675399226416	0.9999999996212892	1.0	1.0
GOTERM_BP_DIRECT	GO:0097028~dendritic cell differentiation	7	0.27844073190135243	0.0050625192557376755	LYN, IL4, BATF3, ZBTB46, AXL, FLT3, IRF8	2341	12	15327	3.8192011960700554	0.999999999999969	1.0	1.0
GOTERM_BP_DIRECT	GO:0035356~intracellular triglyceride homeostasis	6	0.23866348448687352	0.00607069833789187	XBP1, NR1H4, FITM2, LDAH, SIRT1, PNPLA2	2341	9	15327	4.364801366937207	0.9999999999999999	1.0	1.0
GOTERM_BP_DIRECT	GO:0032790~ribosome disassembly	8	0.31821797931583135	0.0061456910666112365	MCTS1, UFL1, HBS1L, MTIF2, ASCC2, ASCC3, PELO, CDK5RAP3	2341	16	15327	3.273601025202905	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0001889~liver development	26	1.0342084327764518	0.006488376667842357	MEG3, ATF2, ERRFI1, NOTCH1, CITED2, HP, RELA, HHEX, LDHA, MAN2A1, RB1CC1, ASL, ACADM, CDK5RAP3, MED1, STAT5B, XBP1, ICMT, MRTFB, HSPA12A, GFER, ASS1, SMARCA4, PKM, RARA, HNF4AOS	2341	99	15327	1.7194672051570812	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0046847~filopodium assembly	10	0.3977724741447892	0.006569345835881995	FMNL3, CDC42, DNM3, TTYH1, ITGB4, RAB17, EZR, VSTM5, TGFBR1, PPP1R9B	2341	24	15327	2.7280008543357543	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0045429~positive regulation of nitric oxide biosynthetic process	13	0.5171042163882259	0.006981222088813405	APP, INSR, H2-M3, OPRM1, CLU, ASS1, ICAM1, MAPK9, HRH1, AKT2, ASL, PTX3, APOE	2341	37	15327	2.3003682879804193	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0008543~fibroblast growth factor receptor signaling pathway	25	0.994431185361973	0.007508413630089564	EPHA10, FLT3, PDGFB, CHRD, FGF5, FGF8, ERBB4, FLRT1, ERBB2, FGF22, EPHA4, TCF7L2, FGFBP1, INSR, IFT80, PTPN11, MERTK, FRS3, KIF16B, AXL, SPRY2, TEK, FGFR4, SOS1, FGFR1	2341	95	15327	1.7229479080015289	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0098586~cellular response to virus	14	0.5568814638027049	0.00785787835950727	ATF2, ARF1, CHUK, FLT3, RIOK3, FMR1, HIF1A, CCL5, TOMM70A, PENK, IGTP, LGALS9, LGALS8, IKBKE	2341	42	15327	2.1824006834686034	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0055089~fatty acid homeostasis	7	0.27844073190135243	0.008198413585930627	XBP1, PRKAA1, PRKAA2, NR1H4, APOE, ABCD1, SIRT1	2341	13	15327	3.5254164886800514	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0048514~blood vessel morphogenesis	12	0.47732696897374705	0.009821171197944793	RASA1, NEDD4, MRTFB, PDGFB, CYP1B1, ETV2, SOS1, THBS1, HIF1A, VEGFA, FGFR1, AMOT	2341	34	15327	2.310777194260874	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0050853~B cell receptor signaling pathway	12	0.47732696897374705	0.012389767493545374	LYN, CD79A, KLHL6, PRKCB, ABL1, PLCG2, BCL2, NFATC2, CTLA4, PTPN6, NCKAP1L, SOS1	2341	35	15327	2.2447549887105636	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0072384~organelle transport along microtubule	7	0.27844073190135243	0.012517588926145504	CDC42, SNAPIN, TUBA1A, COPG1, BORCS8, KIF28, BORCS5	2341	14	15327	3.273601025202905	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0051900~regulation of mitochondrial depolarization	4	0.15910898965791567	0.012592496043030013	GCLC, PPP2R3C, GCLM, ABCD1	2341	4	15327	6.54720205040581	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0051642~centrosome localization	8	0.31821797931583135	0.012944038947626404	IFT20, NIN, INTS13, SEMA6A, PARD3, SYNE2, NUBP1, BICD2	2341	18	15327	2.9098675779581376	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006325~chromatin organization	44	1.7501988862370723	0.013337541834910666	KMT2E, TOP2A, MEG3, NAA60, HDAC5, L3MBTL3, KDM5D, PHF20, KMT2B, LAMC1, CTCF, IKZF1, IER3IP1, HDAC8, HDAC9, RELA, MLLT6, BAG6, UBN2, EP400, HMG20B, EPC2, SAMD1, BAHCC1, HMGN1, SUZ12, CBX7, KDM4B, GPX4, RING1, KMT5C, PCGF2, SMARCA5, SMARCA2, ZFP518A, SIRT1, FBXO30, KANSL1, KANSL3, PHF13, SNAI2, BCORL1, FOXA3, BAP1	2341	202	15327	1.4261232189002753	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0042981~regulation of apoptotic process	41	1.6308671439936355	0.014044488672613768	KHDRBS1, ANP32A, ARRB1, BCL10, NLRC4, CLU, MALT1, BAG6, BCL2L12, PRDX2, CASP8, CASP6, EP400, EPC1, HS1BP3, EPC2, APOE, CCNL1, SKP2, BCL2L15, TGFB2, USP42, CRADD, CIDEA, TRAF2, ANK2, FBXO10, SIRT1, TOX3, CREB3, PAX8, TRAF4, STK26, TOMM70A, TRP53, DLG5, RARA, BCL2, SNAI2, NF2, BIRC2	2341	186	15327	1.443200451971173	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0016055~Wnt signaling pathway	42	1.6706443914081146	0.014620082347153554	DRAXIN, CALCOCO1, PRKAA1, PRKAA2, LDB1, TNKS, TGFB1I1, LEF1, TMEM131L, APCDD1, NKD1, NKD2, HHEX, PORCN, GRK5, TNKS2, GSC, CCN4, DVL3, LRRFIP2, RSPO1, MARK2, DACT1, WLS, FZD1, PIAS4, TCF7L2, RYK, CSNK2A2, ETV2, WNT16, SENP2, DKK1, UBAC2, DKK3, RNF146, DAB2, DAAM1, ROR1, STRN, AMOTL1, LGR6	2341	192	15327	1.432200448526271	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0035265~organ growth	10	0.3977724741447892	0.015353350445520308	TCF7L2, FGF8, IL7, BCL2, PTPN11, STK4, ADRA1B, IER3IP1, FXN, PTK2	2341	27	15327	2.424889648298448	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0061077~chaperone-mediated protein folding	12	0.47732696897374705	0.015438119527078471	UNC45A, PEX19, HSPB6, DNAJB6, DNAJC5, DNAJB3, TCP1, HSPB1, DNAJB8, CCT8, PPIB, CLU	2341	36	15327	2.1824006834686034	1.0	1.0	1.0
