Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006281~DNA repair	11	4.621848739495799	0.006129909090976782	BABAM1, UVRAG, ERCC6L, DCLRE1C, RFC4, FANCM, EME2, CHEK1, XPA, CDC5L, RBX1	228	264	15327	2.800986842105263	0.9997777089485657	1.0	1.0
GOTERM_BP_DIRECT	GO:0032436~positive regulation of proteasomal ubiquitin-dependent protein catabolic process	5	2.100840336134454	0.01651335414082344	COP1, DAB2, PAQR3, SIRT1, RBX1	228	66	15327	5.092703349282296	0.9999999998719843	1.0	1.0
GOTERM_BP_DIRECT	GO:0002476~antigen processing and presentation of endogenous peptide antigen via MHC class Ib	3	1.2605042016806722	0.02286085169165049	H2-K1, H2-M3, H2-Q4	228	16	15327	12.604440789473683	0.9999999999999818	1.0	1.0
GOTERM_BP_DIRECT	GO:0002486~antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent	3	1.2605042016806722	0.02286085169165049	H2-K1, H2-M3, H2-Q4	228	16	15327	12.604440789473683	0.9999999999999818	1.0	1.0
GOTERM_BP_DIRECT	GO:0001866~NK T cell proliferation	2	0.8403361344537815	0.029402532554763106	IL15, MYC	228	2	15327	67.22368421052632	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0071900~regulation of protein serine/threonine kinase activity	2	0.8403361344537815	0.029402532554763106	UVRAG, SIRT1	228	2	15327	67.22368421052632	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:1904754~positive regulation of vascular associated smooth muscle cell migration	3	1.2605042016806722	0.045055358645773425	PAK1, IGFBP5, PCSK5	228	23	15327	8.768306636155605	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0051259~protein complex oligomerization	3	1.2605042016806722	0.04868246865439468	IFIH1, OAS1C, CD247	228	24	15327	8.40296052631579	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006979~response to oxidative stress	6	2.5210084033613445	0.05046277122231012	ATE1, ABCC1, GAB1, XPA, LNCPINT, SIRT1	228	135	15327	2.987719298245614	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0043162~ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	3	1.2605042016806722	0.0524116310323681	HDAC6, VPS28, CHMP5	228	25	15327	8.066842105263158	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0071425~hematopoietic stem cell proliferation	3	1.2605042016806722	0.0524116310323681	BABAM1, DAB2, CD34	228	25	15327	8.066842105263158	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0001916~positive regulation of T cell mediated cytotoxicity	3	1.2605042016806722	0.0524116310323681	H2-K1, H2-M3, H2-Q4	228	25	15327	8.066842105263158	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:1901984~negative regulation of protein acetylation	2	0.8403361344537815	0.057944252895481684	SIRT1, HDAC6	228	4	15327	33.61184210526316	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0051607~defense response to virus	6	2.5210084033613445	0.06767073224112757	IFIH1, AIMP1, CNOT7, MLKL, OAS1C, SLFN9	228	147	15327	2.7438238453276043	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0033138~positive regulation of peptidyl-serine phosphorylation	4	1.680672268907563	0.07710391751747112	PAK1, ARAF, SMYD3, HDAC6	228	67	15327	4.0133542812254515	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0002729~positive regulation of natural killer cell cytokine production	2	0.8403361344537815	0.085650254596906	CD160, H2-M3	228	6	15327	22.407894736842103	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006914~autophagy	6	2.5210084033613445	0.09376718878032445	MFSD8, UVRAG, TM9SF1, CLTC, HMGA1B, CHMP5	228	162	15327	2.4897660818713447	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0043473~pigmentation	3	1.2605042016806722	0.09452525598432714	MYC, HPS1, MFSD12	228	35	15327	5.76203007518797	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0060633~negative regulation of transcription initiation by RNA polymerase II	2	0.8403361344537815	0.0991975029618626	MYC, ZFP473	228	7	15327	19.206766917293233	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0060056~mammary gland involution	2	0.8403361344537815	0.0991975029618626	IGFBP5, ELF3	228	7	15327	19.206766917293233	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0014904~myotube cell development	2	0.8403361344537815	0.0991975029618626	TRIM63, SMYD3	228	7	15327	19.206766917293233	1.0	1.0	1.0
