Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006687~glycosphingolipid metabolic process	3	0.8620689655172413	0.011602377917297547	KIT, ST6GALNAC3, ST6GALNAC6	327	8	15327	17.576834862385322	0.9999999826051661	1.0	1.0
GOTERM_BP_DIRECT	GO:0021796~cerebral cortex regionalization	3	0.8620689655172413	0.014709298892799608	EMX1, ADGRG1, PAX6	327	9	15327	15.623853211009175	0.9999999998596953	1.0	1.0
GOTERM_BP_DIRECT	GO:0034063~stress granule assembly	4	1.1494252873563218	0.01911677292565692	GRB7, FMR1, G3BP2, LSM14A	327	27	15327	6.9439347604485215	0.9999999999998535	1.0	1.0
GOTERM_BP_DIRECT	GO:0006303~double-strand break repair via nonhomologous end joining	4	1.1494252873563218	0.01911677292565692	POLB, POLA1, MRE11A, IFFO1	327	27	15327	6.9439347604485215	0.9999999999998535	1.0	1.0
GOTERM_BP_DIRECT	GO:0006281~DNA repair	12	3.4482758620689653	0.026152630388675636	INO80C, POLB, MUS81, POLA1, WRN, FEN1, SMG1, MCRS1, FMR1, EP400, TOPBP1, HDGFL2	327	264	15327	2.1305254378648875	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0061512~protein localization to cilium	4	1.1494252873563218	0.04060611904799202	TBC1D32, ARL6, DZIP1, RAB8A	327	36	15327	5.207951070336391	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0097474~retinal cone cell apoptotic process	2	0.5747126436781609	0.042088269794263895	THRB, DIO3	327	2	15327	46.87155963302752	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0070342~brown fat cell proliferation	2	0.5747126436781609	0.042088269794263895	DIO3, SQSTM1	327	2	15327	46.87155963302752	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006677~glycosylceramide metabolic process	2	0.5747126436781609	0.042088269794263895	ST6GALNAC3, ST6GALNAC6	327	2	15327	46.87155963302752	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0016192~vesicle-mediated transport	10	2.8735632183908044	0.04270283848725341	STX16, ARL6, SAR1B, SEC16A, PRG4, SEC22B, SCARF1, USE1, RIN2, SPTBN2	327	217	15327	2.15997970659113	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006260~DNA replication	6	1.7241379310344827	0.04642215003979052	POLB, POLA1, WRN, FEN1, CHTF8, SIN3A	327	92	15327	3.0568408456322302	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006310~DNA recombination	5	1.4367816091954022	0.04718611930531456	INO80C, MUS81, WRN, MCRS1, HDGFL2	327	64	15327	3.661840596330275	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007031~peroxisome organization	3	0.8620689655172413	0.04970850921914807	PEX7, PEX3, ABCD1	327	17	15327	8.271451699946033	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007507~heart development	11	3.1609195402298855	0.07381935333257882	RAMP2, ADAP2, TBC1D32, RB1CC1, DAG1, SMYD4, CACYBP, ACADM, DZIP1, TEAD1, MAP2K5	327	278	15327	1.8546300574219523	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	10	2.8735632183908044	0.0786522338735412	POLB, HYAL1, KIT, LOXL3, CCL27A, BDKRB1, LETMD1, THBS1, RELB, HNRNPA0	327	245	15327	1.9131248829807153	1.0	1.0	1.0
