Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0033629~negative regulation of cell adhesion mediated by integrin	6	0.3157894736842105	8.712356558238656E-4	MUC1, NEXMIF, CYP1B1, SNAI2, PTPN11, JAM3	1782	8	15327	6.450757575757575	0.9869263724403234	1.0	1.0
GOTERM_BP_DIRECT	GO:0015031~protein transport	71	3.736842105263158	0.0034323792077274855	RAB3B, VPS29, ARF1, GOLT1B, MIA3, PHAX, BICD2, TMED2, CHP1, ERC1, AP1S3, CCDC93, AP5S1, TMED5, TMED4, NUP133, COG1, TIMM8A2, ANK2, ACTN4, SENP2, NUP93, AFTPH, PITPNM1, HGS, RAB37, ZW10, RAB35, KCNQ3, ATG4C, PREB, HAP1, RAB39, SFT2D2, SEC22A, VPS28, NBAS, POM121, ENY2, TSG101, LMAN2L, VPS4B, AKAP8, RRBP1, AAAS, SNX31, NUP160, SELENBP2, NUP43, NUP88, ECT2, TBC1D17, ARFGEF1, RANBP3, SURF4, LCA5, HOOK3, DNAJC14, COL1A1, UEVLD, RAB10, EHD3, CENPF, NASP, SNX15, CHMP2A, SPIRE1, UNC119, RAB17, CNIH4, TOMM6	1782	438	15327	1.39422766477561	0.9999999628721278	1.0	1.0
GOTERM_BP_DIRECT	GO:0032743~positive regulation of interleukin-2 production	9	0.4736842105263158	0.012015500119622076	STAT5A, IL1A, CD1D1, PNP, CD83, PNP2, PLCG2, ABL2, TRAF2	1782	28	15327	2.76461038961039	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:1905091~positive regulation of type 2 mitophagy	5	0.2631578947368421	0.014137916557570802	HUWE1, MUL1, VDAC1, HDAC6, HK2	1782	9	15327	4.778338945005611	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0043254~regulation of protein-containing complex assembly	7	0.3684210526315789	0.03533863015299382	LATS1, BBS10, IGTP, IRGM1, TRAF2, PTPN11, IKBKE	1782	22	15327	2.7366850321395777	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0043372~positive regulation of CD4-positive, alpha-beta T cell differentiation	3	0.15789473684210525	0.037354025347578396	CD83, NCKAP1L, ZBTB7B	1782	3	15327	8.6010101010101	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:1900195~positive regulation of oocyte maturation	3	0.15789473684210525	0.037354025347578396	BNC1, SIRT2, AURKA	1782	3	15327	8.6010101010101	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0003365~establishment of cell polarity involved in ameboidal cell migration	3	0.15789473684210525	0.037354025347578396	AMOTL2, AMOTL1, AMOT	1782	3	15327	8.6010101010101	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0019065~receptor-mediated endocytosis of virus by host cell	4	0.21052631578947367	0.03823592609737191	PIKFYVE, RNASEK, AU040320, CAV2	1782	7	15327	4.9148629148629155	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006360~transcription by RNA polymerase I	6	0.3157894736842105	0.03943558526282083	TAF1B, TAF1C, TAF1A, POLR2F, POLRMT, POLR2L	1782	17	15327	3.0356506238859176	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0010972~negative regulation of G2/M transition of mitotic cell cycle	5	0.2631578947368421	0.04181301946747676	USP47, PDIK1L, FHL1, CHEK1, MIIP	1782	12	15327	3.5837542087542085	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006406~mRNA export from nucleus	10	0.5263157894736842	0.04259957985956992	SEM1, ENY2, HHEX, NXT1, NUP133, HNRNPA2B1, EIF4A3, NUP88, THOC5, NUP160	1782	41	15327	2.0978073417097804	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0051056~regulation of small GTPase mediated signal transduction	7	0.3684210526315789	0.04326223373684191	ARHGAP29, SIPA1L3, SIPA1, RAP1GAP, ARHGAP24, AMOT, ARHGAP45	1782	23	15327	2.6176987263943787	1.0	1.0	1.0
