Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0035556~intracellular signal transduction	40	3.3277870216306153	0.004733309829115861	GUCY1B2, DGKB, PDGFB, ASB13, ADCY4, CBLB, ADCY1, NOD2, STK4, SOCS2, SLK, PDCD10, STK38, PAK6, STK38L, LRRIQ4, FYN, RIPK1, SOCS4, JAK1, MARK1, MAP3K2, DAPK2, NFAM1, OXSR1, GMIP, MASTL, MAPK12, KCTD9, TCL1, MAK, ASB8, PPP1R1C, KIT, DDIT4, SIK1, PKN1, DEPDC5, ASB3, THOP1	1088	357	15327	1.5784107760751358	0.9999999798665775	1.0	1.0
GOTERM_BP_DIRECT	GO:0042541~hemoglobin biosynthetic process	4	0.33277870216306155	0.01002567535336995	SNX3, ALAS1, INHBA, HIF1A	1088	7	15327	8.049894957983193	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0140014~mitotic nuclear division	4	0.33277870216306155	0.015202811570467134	SMPD3, USP16, FGF8, KLHDC8B	1088	8	15327	7.0436580882352935	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0008150~biological_process	228	18.96838602329451	0.01750378518683042	MSANTD3, TEX47, HOXD3OS1, UCKL1OS, RCBTB2, PAX6OS1, 4930471L23RIK, VSIG2, EVA1C, 1700061N14RIK, GM14009, ATXN7L1, DLEU7, PROSCOS, ARL10, SRRM3, IAH1, GM13842, 2310022A10RIK, 1700010I14RIK, FNDC8, SNHG14, D730045A05RIK, PRR13, GM14023, 9330154J02RIK, GM6093, A930015D03RIK, KLK9, 2410137M14RIK, GM14022, RPAP3, C030014I23RIK, GM7854, PRPF38B, GM16576, 4930478L05RIK, B230312C02RIK, IFFO2, WDR53, CCDC9B, 1700027A07RIK, D630003M21RIK, MM2PR, PSMG4, GM8257, EFCC1, SHISAL2A, 9530046B11RIK, LRRC34, A230059L01RIK, GM12784, CDIPTOS, GM14963, 4933415A04RIK, GM15496, 4933406P04RIK, GM14966, 4933413L06RIK, GM4285, 9230109A22RIK, DIO3OS, 0610040B10RIK, GM11465, C730034F03RIK, GM16239, COMMD2, 1700019L13RIK, FAM222A, 4930471E19RIK, K230015D01RIK, NME9, LRRC3B, 4932413F04RIK, FAXC, GM10389, DCAF12L1, 8030451O07RIK, 4930481A15RIK, 5430405H02RIK, 5530601H04RIK, GM16121, A930028N01RIK, GM10827, RAB10OS, UBTD2, 1700052H01RIK, SH3BGR, 1700084F23RIK, GM553, GM5592, TIMMDC1, 4930556J24RIK, E130304I02RIK, DNAJC5B, GM550, GM15964, TTC1, LRRN4CL, GM5106, C230013L11RIK, 9530068E07RIK, CENPO, GM7762, HNF4AOS, 4930570G19RIK, GM3164, E030030I06RIK, GIMAP6, TATDN2, TMEM132COS, GM9776, PCSK2OS1, GM10605, 1700001K19RIK, GM12353, GM11266, A430078I02RIK, A430093F15RIK, UBALD1, TESCL, PDGFRL, KCTD9, BC035947, RBM46OS, 0610038B21RIK, D930030I03RIK, USP46OS2, GM8797, GM11946, GM10856, GM11827, 2310067P03RIK, PLATR4, GM15511, LSMEM2, DIPK1C, CCDC142, TTC41, A930005H10RIK, GM16283, KRBA1, A330049N07RIK, FBXO41, 2310043M15RIK, UBR7, GM3896, GM1604A, C130021I20RIK, ENKD1, 0610009E02RIK, 1700047A11RIK, 4930566F21RIK, AU015336, WSCD2, GM16174, 2610307P16RIK, 6330403K07RIK, D7ERTD128E, GM15880, 1700112J16RIK, 2510017J16RIK, CCDC92B, GM5820, 4833413G10RIK, GM9984, KLHDC9, CNTNAP3, GM13112, PHTF2, GM13110, GM15413, GM14204, 4933429H19RIK, SOX5OS4, GM13919, 2310030A07RIK, CEP170B, GM10644, GM11613, ARMH2, RBM33, ZFP414, GM15423, GM12153, GM15420, GM5091, 4930412C18RIK, GM12279, GM10532, SPATS2, 1700058P15RIK, BC028777, ADGRF2, 9630014M24RIK, POLR1C, PPP1R18OS, 2810403G07RIK, GM10778, GM12718, AHDC1, TMEM45A, 2310034G01RIK, PLEKHH3, MAN2C1OS, 4930432B10RIK, IER5L, ASB13, 1700042O10RIK, D030018L15RIK, 2210408I21RIK, GM12602, GM12296, 4930447K03RIK, 4930506C21RIK, 3300002I08RIK, 2310014F06RIK, GM4419, XPNPEP2, 1700093J21RIK, MFAP3, ASB8, CCDC174, ASB3, TNFSF13OS, A730071L15RIK, R3HDM2, CCDC171	1088	2827	15327	1.136154258307497	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:1990830~cellular response to leukemia inhibitory factor	16	1.3311148086522462	0.021046452195614754	PHC1, STOML1, LRBA, ILDR1, NOL8, PAX6, CACYBP, SIRT1, POU5F1, RNF125, PDCD10, MPC1, PIGA, TNFSF11, GCLM, SLC25A5	1088	119	15327	1.894092931290163	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0021846~cell proliferation in forebrain	5	0.4159733777038269	0.0230133985689783	ZEB2, FGF8, WNT3A, WNT7B, KIF14	1088	16	15327	4.402286305147059	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007346~regulation of mitotic cell cycle	9	0.7487520798668885	0.02339170836587014	CYLD, MYC, GMNN, SRA1, SIK1, TTLL12, CKS1BRT, SIRT1, STOX1	1088	50	15327	2.5357169117647063	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007166~cell surface receptor signaling pathway	17	1.4143094841930115	0.02612806517935237	VIPR1, CD80, GLMN, CBLB, CD3E, L1CAM, PKD1, ADGRF2, EXT1, IL1RL2, IL1RAPL2, TNFSF11, HS1BP3, FYN, LTB, CD247, 6030468B19RIK	1088	133	15327	1.8006343984962405	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0060215~primitive hemopoiesis	3	0.24958402662229617	0.02738171883721223	HSCB, THOC5, STK4	1088	4	15327	10.565487132352942	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:1901526~positive regulation of mitophagy	5	0.4159733777038269	0.02844640255557511	UBE2A, NOD2, SLC25A5, HIF1A, CERS1	1088	17	15327	4.143328287197232	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0032695~negative regulation of interleukin-12 production	5	0.4159733777038269	0.02844640255557511	CCR7, NLRC3, NOD2, PIBF1, TLR2	1088	17	15327	4.143328287197232	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006826~iron ion transport	5	0.4159733777038269	0.03457694706981101	SLC11A2, SLC40A1, TRF, FTHL17A, B2M	1088	18	15327	3.9131433823529416	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0002082~regulation of oxidative phosphorylation	4	0.33277870216306155	0.03818204257394055	UQCC2, MYC, SLC25A23, ABCD1	1088	11	15327	5.122660427807486	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0030259~lipid glycosylation	4	0.33277870216306155	0.03818204257394055	SLC35C1, GBGT1, ST3GAL2, ABO	1088	11	15327	5.122660427807486	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0046626~regulation of insulin receptor signaling pathway	4	0.33277870216306155	0.03818204257394055	RARRES2, MZB1, VWA2, NUCKS1	1088	11	15327	5.122660427807486	1.0	1.0	1.0
