Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0018243~protein O-linked glycosylation via threonine	5	0.46339202965708987	0.0010705851557776726	GALNT11, GALNT6, GALNT3, GALNT16, GALNT1	1014	8	15327	9.447115384615385	0.9833983461994525	1.0	1.0
GOTERM_BP_DIRECT	GO:0001921~positive regulation of receptor recycling	6	0.5560704355885079	0.00295106391474864	NSF, ANXA2, INPP5F, SCRIB, ECE1, ARAP1	1014	16	15327	5.668269230769231	0.9999877190745974	1.0	1.0
GOTERM_BP_DIRECT	GO:0006886~intracellular protein transport	28	2.5949953660797034	0.0033532058827546573	STX12, VPS29, COPA, PDCD6, CLTA, VPS26B, RAB22A, IPO4, AP4M1, SNX1, KIF13A, VPS11, ARFIP1, SNX9, SNX8, WLS, NSF, COG7, VPS33A, STX7, SYTL2, EHD1, STX1B, SNX17, RAB19, STX5A, VPS45, ARF6	1014	234	15327	1.8086785009861932	0.9999973762964388	1.0	1.0
GOTERM_BP_DIRECT	GO:0001666~response to hypoxia	22	2.0389249304911954	0.004433654997516972	BECN1, EPO, CITED2, CAV1, MMP2, IL18, ITPR2, PLAT, ECE1, PYGM, ABAT, ATP1B1, LOXL2, MT-ND1, PLD2, MECP2, DPP4, BMP2, UCP2, CAPN2, KDR, HMOX2	1014	171	15327	1.9446693657219971	0.9999999586370362	1.0	1.0
GOTERM_BP_DIRECT	GO:0032456~endocytic recycling	11	1.0194624652455977	0.004935817911483641	DENND1C, EHD1, VPS29, STX12, HGS, SNX17, LMTK2, RAB11FIP3, CCDC93, RAB8B, ARF6	1014	59	15327	2.818122555410691	0.9999999939981515	1.0	1.0
GOTERM_BP_DIRECT	GO:0015031~protein transport	44	4.077849860982391	0.0060182009017316655	VPS29, VPS4B, CETN3, NMD3, RRBP1, LRP2, FMN2, RAB22A, TIMM50, AP4M1, RAB11FIP1, ECT2, SNX8, SIL1, CCDC93, BBS5, NSF, ARRDC4, CADPS2, MON2, RAB4A, ARRDC1, SEC16A, VPS33A, CAV1, RHBDF2, VPS37C, SNX24, SNAP91, RAB33B, TIMM10B, VAMP8, CENPF, RAB36, NASP, HGS, SNX17, HEATR5B, ZW10, SPIRE1, VPS45, SFT2D1, ARF6, CHMP5	1014	438	15327	1.5184404636459432	0.9999999999067001	1.0	1.0
GOTERM_BP_DIRECT	GO:0090141~positive regulation of mitochondrial fission	6	0.5560704355885079	0.008401461183355498	PINK1, IRGM2, KDR, SPIRE1, MFF, DCN	1014	20	15327	4.5346153846153845	0.9999999999999905	1.0	1.0
GOTERM_BP_DIRECT	GO:0001947~heart looping	10	0.9267840593141797	0.014744374343071558	IFT52, C2CD3, CITED2, ALDH1A2, DVL1, PKD2, FOLR1, CFC1, CCDC40, TGFBR2	1014	59	15327	2.561929595827901	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0045930~negative regulation of mitotic cell cycle	6	0.5560704355885079	0.015471833073328722	ANGEL2, BCL2, HECA, SCRIB, DGKZ, MAD2L1	1014	23	15327	3.94314381270903	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0016192~vesicle-mediated transport	24	2.2242817423540315	0.01693282156822615	NSF, STX12, RAB4A, COPA, MEGF6, MEGF11, SEC16A, VPS33A, STX7, MIA2, CLTA, FMN2, AP4M1, VAMP8, STX1B, RAB36, VPS11, SPIRE1, STX5A, VPS45, CNIH3, RAB11FIP3, SFT2D1, ARF6	1014	217	15327	1.671747607231478	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0018242~protein O-linked glycosylation via serine	4	0.3707136237256719	0.0178898621582003	POGLUT1, GALNT3, GALNT16, GALNT1	1014	9	15327	6.717948717948718	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0090128~regulation of synapse maturation	5	0.46339202965708987	0.018196851930422368	RELN, DAB1, ADGRB3, NEFL, DLGAP4	1014	16	15327	4.7235576923076925	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0046580~negative regulation of Ras protein signal transduction	6	0.5560704355885079	0.018506169620922754	RASA2, SPRY3, RASAL1, EPHB2, LZTR1, DGKZ	1014	24	15327	3.7788461538461537	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:2000045~regulation of G1/S transition of mitotic cell cycle	10	0.9267840593141797	0.01997900175823629	PBRM1, SMARCD3, CCND1, ACTL6A, E2F1, DPF2, TM4SF5, MNAT1, APPL2, MEN1	1014	62	15327	2.437965260545906	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0000226~microtubule cytoskeleton organization	15	1.3901760889712698	0.023662541139674434	CUL9, TBCEL, CUL7, CETN3, CETN4, CGN, CDC42BPA, CAMSAP1, PARD3B, UXT, TUBA1B, TTLL4, TOGARAM1, NEFL, PCNT	1014	118	15327	1.9214471968709255	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:1905686~positive regulation of plasma membrane repair	3	0.27803521779425394	0.023938818883414592	ANXA2, AHNAK, S100A10	1014	4	15327	11.336538461538462	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0016331~morphogenesis of embryonic epithelium	4	0.3707136237256719	0.024320250961454796	JAG2, ALDH1A2, KDF1, SCRIB	1014	10	15327	6.046153846153847	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0001525~angiogenesis	25	2.3169601482854496	0.024539472157128987	BECN1, NRP2, ROBO4, PLXND1, CFH, EPO, PDCD6, NRXN1, FLT4, VPS4B, CXCL17, SAT1, POFUT1, KDR, HOXA3, EPHB2, HTATIP2, ANXA2, CAV1, MMP2, IL18, ZFP354C, RHOJ, PRKD1, FGF10	1014	237	15327	1.5944498539435248	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0001756~somitogenesis	8	0.7414272474513438	0.02706366283718429	EPB41L5, IFITM1, POGLUT1, POFUT1, TAF10, ABI1, PLXNA2, PALB2	1014	45	15327	2.6871794871794874	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0032006~regulation of TOR signaling	5	0.46339202965708987	0.027548901158458285	FLCN, RRAGB, ARAF, GPAT3, SLC7A1	1014	18	15327	4.198717948717949	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0097106~postsynaptic density organization	3	0.27803521779425394	0.03816340222751644	NRXN1, TMEM108, NRXN2	1014	5	15327	9.069230769230769	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0001825~blastocyst formation	6	0.5560704355885079	0.03943495426708406	TJP1, PBRM1, TXNRD3, SF3B6, ACTL6A, ZP3	1014	29	15327	3.127320954907162	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0016239~positive regulation of macroautophagy	6	0.5560704355885079	0.03943495426708406	PINK1, TBK1, LARP1, SESN2, KDR, DCN	1014	29	15327	3.127320954907162	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0034109~homotypic cell-cell adhesion	4	0.3707136237256719	0.04039948320558581	MEGF10, MEGF11, NCAM1, PLPP3	1014	12	15327	5.038461538461538	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:1900244~positive regulation of synaptic vesicle endocytosis	4	0.3707136237256719	0.04039948320558581	TOR1A, MFF, SNAP91, SH3GL1	1014	12	15327	5.038461538461538	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006493~protein O-linked glycosylation	8	0.7414272474513438	0.040876625050271814	GALNT11, GALNT6, POGLUT1, ST6GALNAC2, GALNT3, GALNT16, POFUT1, GALNT1	1014	49	15327	2.467817896389325	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0046718~symbiont entry into host cell	7	0.6487488415199258	0.041284277841707184	VAMP8, DPP4, CEACAM1, SIVA1, TYRO3, SLC7A1, TMPRSS11D	1014	39	15327	2.7130177514792897	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006904~vesicle docking involved in exocytosis	5	0.46339202965708987	0.04609059011395678	STX1B, KCNB1, NRXN1, VPS11, SYTL2	1014	21	15327	3.598901098901099	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0050687~negative regulation of defense response to virus	4	0.3707136237256719	0.05000669259443462	PCBP2, FGL2, HTRA1, IRGM2	1014	13	15327	4.650887573964497	1.0	1.0	1.0
