Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:1902883~negative regulation of response to oxidative stress	3	0.5199306759098787	0.011297061908757344	USP25, MCTP1, RBX1	535	5	15327	17.189158878504674	0.999999999991629	1.0	1.0
GOTERM_BP_DIRECT	GO:0006338~chromatin remodeling	31	5.37261698440208	0.029906904432869662	INO80C, PTPRU, KDM3A, PAXIP1, GTF2B, DUSP12, MYC, PTPMT1, DPF1, STK38L, KMT5B, RIPK1, PRMT7, PHC1, KDM4D, PRMT2, KDM2B, DAPK2, LIMK2, LMTK3, CASK, HIPK3, GATAD2B, PPP1CA, GATAD2A, SFPQ, PPM1B, WAC, ULK3, PRMT9, EEF1AKMT1	535	599	15327	1.482648651178756	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0010506~regulation of autophagy	6	1.0398613518197575	0.039318843018619945	MFSD8, UVRAG, DDIT3, WAC, ULK3, MAPT	535	54	15327	3.1831775700934575	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0019896~axonal transport of mitochondrion	3	0.5199306759098787	0.04529915793230241	HSBP1, MAP6, HDAC6	535	10	15327	8.594579439252337	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0002082~regulation of oxidative phosphorylation	3	0.5199306759098787	0.054114674190189234	MYC, SLC25A23, ABCD1	535	11	15327	7.813254035683941	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0045776~negative regulation of blood pressure	4	0.6932409012131715	0.060412038661684715	CNR1, NOS3, ADORA1, GNAS	535	26	15327	4.407476635514019	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0032259~methylation	9	1.559792027729636	0.06569814598154605	TRMT9B, KDM3A, TRMT10B, PRMT7, PRMT2, KMT5B, LCMT1, PRMT9, EEF1AKMT1	535	123	15327	2.0962388876225213	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0001866~NK T cell proliferation	2	0.34662045060658575	0.06846929038721099	IL15, MYC	535	2	15327	28.648598130841123	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0032461~positive regulation of protein oligomerization	2	0.34662045060658575	0.06846929038721099	ZDHHC1, HDAC6	535	2	15327	28.648598130841123	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0016078~tRNA decay	2	0.34662045060658575	0.06846929038721099	POP1, SLFN9	535	2	15327	28.648598130841123	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007281~germ cell development	5	0.8665511265164645	0.0707318814285126	TIAL1, MAP7, PRSS44, ZFP37, PRSS42	535	45	15327	3.183177570093458	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006310~DNA recombination	6	1.0398613518197575	0.07185533751430889	INO80C, XRCC6, SLX4, PAXIP1, XRCC4, EME2	535	64	15327	2.685806074766355	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007283~spermatogenesis	20	3.466204506065858	0.07200999962807539	CCDC38, KDM3A, PHC2, KDM2B, LIMK2, MEA1, PRSS44, PRSS42, 4930447C04RIK, RBX1, INSL6, CNR1, AKAP9, SPATA46, MAP7, CCDC33, RLN1, CFAP43, ZFP37, ZFP541	535	379	15327	1.511799373659162	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0045830~positive regulation of isotype switching	3	0.5199306759098787	0.07333137986624763	INSL6, PAXIP1, KMT5B	535	13	15327	6.611214953271028	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0001682~tRNA 5'-leader removal	3	0.5199306759098787	0.07333137986624763	POP1, RPP30, RPP21	535	13	15327	6.611214953271028	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0042594~response to starvation	4	0.6932409012131715	0.08531730997867645	BCAS3, DDIT3, GCGR, ULK3	535	30	15327	3.81981308411215	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0086091~regulation of heart rate by cardiac conduction	4	0.6932409012131715	0.09212740347322071	HCN4, KCND3, AKAP9, SCN3B	535	31	15327	3.696593307205306	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0001659~temperature homeostasis	3	0.5199306759098787	0.09435238304971678	GPX2, ARRDC3, ADORA1	535	15	15327	5.729719626168224	1.0	1.0	1.0
