Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0070266~necroptotic process	7	0.5355776587605203	0.0013019805929825054	MLKL, ITPK1, PPIF, TRPM7, RIPK1, BIRC2, BIRC3	1197	17	15327	5.272445820433436	0.9952737670210484	1.0	1.0
GOTERM_BP_DIRECT	GO:0035914~skeletal muscle cell differentiation	11	0.8416220351951033	0.0020641758495346055	EGR1, NR4A1, NOTCH1, WNT3A, MYC, MED20, SMYD1, HIVEP3, NUPR1, BCL9L, SAP30	1197	45	15327	3.1299916457811197	0.9997950061949645	1.0	1.0
GOTERM_BP_DIRECT	GO:0006955~immune response	21	1.6067329762815608	0.006577382171944111	USP25, PGLYRP3, IL15, PNP2, H2-M5, CD80, H2-M3, H2-Q4, CBLB, SERPINB9, GIMAP6, LAX1, PLSCR1, RAET1E, PMP22, CCL27A, ITGB8, IRF8, LTB, VSTM5, 6030468B19RIK	1197	141	15327	1.9070548712206044	0.9999999999983369	1.0	1.0
GOTERM_BP_DIRECT	GO:0002526~acute inflammatory response	4	0.306044376434583	0.007921238368272627	ACVR1, B4GALT1, VNN1, NUPR1	1197	6	15327	8.536340852130325	0.9999999999999937	1.0	1.0
GOTERM_BP_DIRECT	GO:0001819~positive regulation of cytokine production	10	0.7651109410864576	0.01247548608410828	CCDC88B, FGR, WNT3A, IL15, SRC, NFAM1, S100A13, BCL10, AGPAT1, OPTN	1197	49	15327	2.613165566978671	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0021904~dorsal/ventral neural tube patterning	6	0.45906656465187456	0.013240759656868285	FOXA1, WNT3A, KIF3A, GSC, RAB23, TCTN1	1197	19	15327	4.04352987732489	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007229~integrin-mediated signaling pathway	14	1.0711553175210407	0.014194551290506766	CHUK, SRC, ADAM22, PTPN11, PTK2, FGR, CDC42, ITGA10, CTNNA1, ITGB8, ITGB1BP1, TLN1, FERMT3, LIMS1	1197	85	15327	2.1089783281733747	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0030036~actin cytoskeleton organization	26	1.9892884468247896	0.017200483410246062	WDR1, SRF, PDGFB, TESK2, PPP1R9B, SPTA1, CDC42, ATXN3, DNAJB6, RAC2, HMCN1, PDLIM5, AUTS2, IQSEC1, ARHGEF17, LIMK2, COBL, PARVB, FMNL3, DIAPH2, FMNL2, KIT, SPECC1L, PMP22, TLN1, PHPT1	1197	205	15327	1.62398679625894	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0061077~chaperone-mediated protein folding	8	0.612088752869166	0.01952829838818356	UNC45A, DNAJB6, HSPB1, DNAJB8, CCT8, CCT7, PPIB, CCT5	1197	36	15327	2.8454469507101083	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0046649~lymphocyte activation	4	0.306044376434583	0.019700497954285176	AXL, MERTK, LAX1, CARD11	1197	8	15327	6.402255639097744	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0014911~positive regulation of smooth muscle cell migration	8	0.612088752869166	0.022512316066694946	HDAC4, STAT5B, EGR1, SRC, CCL5, MYC, PDGFB, PTK2	1197	37	15327	2.7685429790692946	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0002376~immune system process	7	0.5355776587605203	0.030367911095099613	DDX17, SRC, IRF2, HP, IRF8, SQSTM1, PSMB8	1197	31	15327	2.891341256366723	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0045954~positive regulation of natural killer cell mediated cytotoxicity	5	0.3825554705432288	0.03145579742779608	STAT5B, RAET1E, CD160, H2-M3, CD226	1197	16	15327	4.00140977443609	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007283~spermatogenesis	41	3.1369548584544757	0.031515147959034144	NOTCH1, SYCP1, SRC, TESK2, PRSS44, 4930447C04RIK, PRSS42, BRIP1, SPATA24, ASZ1, SPATA46, MAP7, SOX9, CCDC33, HSF5, CFAP43, SCAPER, ZFP541, CCDC38, PHC2, HFM1, LIMK2, HMGA1B, HSPA2, MERTK, TUG1, SHISA6, RBX1, MSH6, CLDN11, RAD51C, CNOT7, AXL, KIT, CALR, SYCP3, RLN1, DZIP1, RAD18, BIRC3, RAI14	1197	379	15327	1.3851845973773482	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0045880~positive regulation of smoothened signaling pathway	8	0.612088752869166	0.033314606893637126	FOXA1, DYNC2H1, DCDC2A, DLG5, CTNNA1, IHH, ARMC9, ISL1	1197	40	15327	2.560902255639098	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0046847~filopodium assembly	6	0.45906656465187456	0.03503998739632698	FMNL3, CDC42, DNM3, SRF, VSTM5, PPP1R9B	1197	24	15327	3.201127819548872	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0050860~negative regulation of T cell receptor signaling pathway	6	0.45906656465187456	0.03503998739632698	ELF1, BTN2A2, CD160, PAWR, CBLB, PHPT1	1197	24	15327	3.201127819548872	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:1904851~positive regulation of establishment of protein localization to telomere	4	0.306044376434583	0.03753702541639836	DKC1, CCT8, CCT7, CCT5	1197	10	15327	5.121804511278196	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006281~DNA repair	30	2.295332823259373	0.03860731386391644	FEN1, DCLRE1C, PARPBP, BCCIP, TTF2, FOXM1, BABAM1, BRIP1, SLX4, EME2, CNTRL, CHEK1, EP400, KMT5B, TOP3B, UVRAG, SLF1, FANCM, CDC5L, UBE2A, APTX, RBX1, MSH6, RAD51C, PSME4, APLF, NABP2, HDGFL2, SUPT16, OTUB1	1197	264	15327	1.4550580997949418	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006488~dolichol-linked oligosaccharide biosynthetic process	5	0.3825554705432288	0.03866462970711104	ALG9, ALG5, ALG14, ALG3, MPDU1	1197	17	15327	3.7660327288810254	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0032623~interleukin-2 production	5	0.3825554705432288	0.03866462970711104	STAT5B, CD83, PAWR, CD247, CARD11	1197	17	15327	3.7660327288810254	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006816~calcium ion transport	13	0.9946442234123948	0.0466254828781127	RYR2, VDR, NOS3, PRKCB, ITPR3, SELENOK, CACNA1H, CACNB2, TRPV6, CCL5, CNGA1, SARAF, TRPM7	1197	90	15327	1.8495405179615707	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0042462~eye photoreceptor cell development	5	0.3825554705432288	0.04673667878835518	POC5, PDGFB, PAX6, TULP1, PRDM1	1197	18	15327	3.5568086883876355	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006914~autophagy	20	1.5302218821729152	0.0483189726530963	BCAS3, UVRAG, WDR47, PRKAA1, AP5Z1, HMGA1B, GIMAP6, RNF41, MFSD8, TMEM59, TM9SF1, BC004004, PMP22, IRF8, TBC1D17, ATG7, SQSTM1, RAB8A, ATG4D, CHMP5	1197	162	15327	1.5808038615056157	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0038162~erythropoietin-mediated signaling pathway	3	0.22953328232593728	0.05190459701846374	STAT5B, KIT, EPOR	1197	5	15327	7.682706766917294	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0033088~negative regulation of immature T cell proliferation in thymus	3	0.22953328232593728	0.05190459701846374	ERBB2, IHH, TMEM131L	1197	5	15327	7.682706766917294	1.0	1.0	1.0
