Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0008033~tRNA processing	8	0.9615384615384616	0.0038998550419544393	TRP53RKA, POP7, TYW3, WDR4, LCMT2, TRMT11, TRMT44, TSEN2	789	40	15327	3.885171102661597	0.999994020785195	1.0	1.0
GOTERM_BP_DIRECT	GO:0033625~positive regulation of integrin activation	4	0.4807692307692308	0.009005680647323183	CD24A, PIEZO1, SKAP1, FERMT2	789	9	15327	8.633713561470215	0.9999999999991926	1.0	1.0
GOTERM_BP_DIRECT	GO:0032456~endocytic recycling	9	1.0817307692307692	0.010234858506368287	EHD1, VPS29, STX12, DENND1B, SNX17, SNX12, CCDC22, RAB11FIP3, CCDC93	789	59	15327	2.9632660952503707	0.9999999999999823	1.0	1.0
GOTERM_BP_DIRECT	GO:0045907~positive regulation of vasoconstriction	7	0.8413461538461539	0.012233737492049247	CHGA, FAAH, HRH2, ABL1, PDE5A, PTGS2, EGFR	789	38	15327	3.5784470682409446	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0071284~cellular response to lead ion	3	0.3605769230769231	0.014777966226427535	UCP2, PTGS2, ATP7A	789	4	15327	14.569391634980988	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0060173~limb development	8	0.9615384615384616	0.01997245707723689	RARG, IFT88, SMOC1, MED31, TULP3, GLI3, FERMT2, WNT3	789	54	15327	2.8779045204900715	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006635~fatty acid beta-oxidation	7	0.8413461538461539	0.024156103018301428	ABCD4, HADHB, ECI2, SESN2, HSD17B4, SLC27A2, MTLN	789	44	15327	3.0904770134808155	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0070885~negative regulation of calcineurin-NFAT signaling cascade	4	0.4807692307692308	0.02629936557952601	RCAN1, PRNP, MAPK7, CHP1	789	13	15327	5.977186311787072	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0031076~embryonic camera-type eye development	4	0.4807692307692308	0.032220893236979097	RARG, ALDH1A2, CDK20, TULP3	789	14	15327	5.5502444323737095	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0033634~positive regulation of cell-cell adhesion mediated by integrin	3	0.3605769230769231	0.0344884893404803	CD24A, PIEZO1, SKAP1	789	6	15327	9.712927756653992	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0045333~cellular respiration	5	0.6009615384615385	0.03708406672620285	SDHAF4, UQCR10, UQCRC2, MTLN, SLC25A13	789	25	15327	3.885171102661597	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0012501~programmed cell death	5	0.6009615384615385	0.03708406672620285	RARG, NINJ1, CAPN3, EDA2R, GSDME	789	25	15327	3.885171102661597	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006813~potassium ion transport	8	0.9615384615384616	0.039126188664651104	NSF, KCNH2, KCNB1, KCNB2, KCNC3, VPS4B, CPOX, FXYD5	789	62	15327	2.506562001717159	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0071276~cellular response to cadmium ion	5	0.6009615384615385	0.04210408346192825	HSPA8, MT2, FOS, ATP7A, EGFR	789	26	15327	3.73574144486692	1.0	1.0	1.0
