Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	852	33.89021479713604	4.817074050449786E-5	ATF2, AVIL, TESK2, SPINT2, RBPJ, DPYSL4, DPYSL5, DPYSL2, AKT2, FGFR1OP2, PKNOX1, RBFOX1, CXADR, STARD7, MRTFB, HDHD2, ISL1, FRS3, EML2, EML4, LARS2, EID3, MYL7, LRATD2, PRKAR1A, FEZ1, TXNIP, MYL9, RABL6, MTMR1, MTMR3, AIRE, SHMT1, HPN, PDGFB, OAZ1, PRPSAP1, RNF213, AFMID, CFAP69, VTI1B, LYN, MCTS1, GSTM1, HACE1, ABCA7, PKIB, ABTB1, TDP2, PRXL2A, SASS6, NMT2, STRN, AVL9, GSTM5, ARF3, DUBR, ARF1, MTMR12, MTMR11, SNX11, ARHGAP4, PCMTD2, PANX2, TUBA1A, MMP28, NINL, IKBKE, DFFB, CNOT6L, DUSP3, DYNLL1, SIRT1, DUSP6, PLSCR1, PSMA1, LRRC7, INCENP, CDC42EP1, MDFI, VAMP2, MAPK1IP1, PKN3, TSR3, OVCA2, AXDND1, GC, ABCB1B, MEF2D, YKT6, SAMD4, SLF1, ANKIB1, STAT3, PSMB8, TTLL6, FOXR1, PSMC5, SLMAP, TAOK1, CCDC8, TAOK2, MPLKIP, GOPC, NCAPD2, CIAPIN1, PKN1, TDPOZ1, LIMS1, ZFP207, FBXO25, MPV17L2, APEH, TSEN2, FBXO22, KPNA6, PIM1, SLC16A7, KPNA4, NUDT16, KPNA3, NUDT14, PPP1R16B, PIAS4, PIAS3, IK, AKR1E1, FBXO10, SRCIN1, SDCBP2, CDC25B, MAPKAPK3, SMO, FRMD8, PKP2, SRSF6, SQSTM1, KPNB1, KMT2E, KHDRBS1, PEF1, ARL3, FOXO6, FOXO1, RAP1GAP, SNN, EIF4EBP2, SMYD1, IP6K1, SOCS7, NEK8, API5, STYX, NDC80, STK25, STK26, LRCH3, SNAP25, CELF2, FHL1, DYSF, CELF4, ARRB1, BICD2, NRGN, ARL5B, HHEX, SPR, ZNRD2, ACP6, SPDL1, DNM1L, UNC45A, ZFP655, EIF5B, BCAS3, ACTR6, NT5C3B, ATRN, ARL4A, IMPACT, FXN, BIRC2, BECN1, PRKAA1, PRKAA2, SHCBP1L, PRCD, SRSF1, PPM1E, TSPAN33, MALT1, FOXRED1, CDC42, SERPINB9D, CCL5, TIFA, FCHO2, SH3BP4, TRIM47, WHAMM, E2F4, TRIM45, MCOLN3, PPP1R14C, MMAA, ERAP1, NAGA, MERTK, DHODH, GSTZ1, NOVA2, PTPN6, EIF3E, SMAP2, DMGDH, ERRFI1, CCNF, IKZF1, LGALS3, HERC3, HYKK, SPATA24, EPC1, CCN4, ARL16, LGALS9, SPA17, LGALS8, CCNL1, PELO, ACAD12, EPHA4, ACTN3, ACTN1, ANK2, KIF20B, KCTD17, EIF1A, GGNBP2, ZFP748, EPAS1, CAPSL, PCDH15, LPAR3, GSPT2, EVPL, SEC14L2, BRIP1, SEC14L5, KCNN3, STAT5A, DMAC2L, STAT5B, XBP1, CRADD, IQSEC1, DCLK2, HSPA12A, PTK2, WNK2, ETL4, KYAT3, RANBP10, ID3, FBXL7, LDHAL6B, SPAG16, INTS13, CCDC125, HSCB, WASL, AATF, B3GNTL1, BABAM1, SYNCRIP, AKAP11, PPP3CC, RAC2, SDF4, ACADM, AASS, HTATIP2, APOBEC1, IL11, SFTPB, PABPC4, IL18, CACYBP, KIF23, GAB2, KIF28, OOEP, COMMD4, KIF4, IL1A, ARHGEF9, KIF2A, PITPNM1, CTTN, CSDE1, ARHGEF3, G2E3, FAM193B, GLCCI1, RELA, ZFP709, RELB, EXOSC9, CCT8, EXOSC2, DYNC1H1, MAP3K3, CAR1, PEX19, CAVIN1, PLEKHA2, CAVIN3, HUWE1, MRE11A, PPP1CA, VEGFA, SEC23IP, TFAP4, KLHL6, TTC5, NEDD4, HNRNPA2B1, SGSM2, TACC1, ACTR10, PNPLA1, PNPLA2, SAMD9L, TACO1, WWC2, JADE1, BUB1B, ACTG2, EEF1B2, GRIP1, TBC1D32, CCRL2, BANF2, SLC30A7, BORA, GRIP2, DOK2, DOK4, POLG2, DOK5, DOK6, WDFY2, DENND6A, UBE2V1, PPIB, SULT6B1, CARD14, KLHL18, DDX5, RBM8A, DAPP1, CACNA1A, CACNA1G, SNTG2, CCNB1, BRINP1, GRK5, KIF3A, SNTG1, TBC1D13, PACSIN2, LPXN, TBC1D17, FGF22, CNTLN, ZFHX3, UBE2I, VDR, SSH1, IFT20, GNAL, FGF14, HOOK1, TRP53, TCF3, CNRIP1, TNFAIP3, MTR, TNFAIP1, MEA1, PITPNC1, PPP1R9B, UFL1, CD1D1, ZIC2, UBE2Q2, RB1CC1, DACT2, RBM33, DACT1, ARHGEF11, TMSB15B2, ARHGEF17, ARHGEF16, PLA2G4A, ABHD14A, DDX50, PJA1, CREB3, IFT43, GORASP1, ATG4C, IRF8, BLVRB, GNB1L, SHANK3, OTUB1, RBM22, PAOX, ANKS1, RNF7, GK5, CAND1, CNR2, TNKS2, TGS1, BNIP2, SLIT2, EYA1, MYO15B, KATNBL1, TNIP2, SIMC1, SNTB1, IPO13, PATJ, STMN3, PHAX, ENO1, PHB2, HENMT1, CSPP1, ROPN1L, MPV17, CDK5RAP3, CDK5RAP2, ANKS1B, GAMT, CUBN, MBNL2, PRKCB, ARMC9, AFAP1, IFT80, GTPBP4, GTPBP3, WDR77, NISCH, BIN3, IFT81, TEP1, PARD3, RPL26, VPS25, RNF122, VPS28, CDC42SE1, PHYHIPL, ATXN7L3B, BCL10, TEX19.1, HIF1A, C9ORF72, ARPP19, ANAPC11, TRP53RKB, PRDX2, LDHA, CRACR2A, TTPA, BLOC1S3, PLCG2, S100A13, S100A11, VPS16, S100A10, PLK3, RAB3IP, NFATC2, BRAF, RMDN1, CDC6, TMEM196, SOX30, SNAI1, SNAI2, UNC119, CPEB4, RARG, WDR47, RSPH3A, TCF25, SMG5, SPOUT1, CATIP, AIFM2, IMPA2, TRIM2, TCTN1, TK2, ZFP365, NUDC, CLUH, ANXA1, SLC2A13, PAWR, PAX6, TCP1, RARA, KIFC3, TKT, GAS8, GAS7, EXOC1, CTDP1, WDR26, AP5Z1, METTL21A, HSPA13, FGD5, PRSS50, RPS15A, RPL17, HIPK4, AGK, RIOK3, AGL, RFLNB, TUBB4B, RNF146, AGBL5, RNF149, TRMT5, AGBL2, EEF1AKMT3, EEF1AKMT1, RAB3B, CEP126, TPMT, FMR1, TMEM131L, CLU, IPO4, HID1, FGF5, PPP1CC, CDH3, FGF8, SALL4, PLS1, HMGN1, MAGI1, CEP135, RALGAPA1, MAGI3, FRMD4A, FRMD4B, FTHL17A, TLE6, GM8797, DGKI, SNRPB, CUL9, ANKRD17, BRSK1, DRC7, NOTCH1, TNKS, ILDR1, AK5, BAG6, STRA8, ESPNL, ABL1, SAFB2, DVL3, MAP2K7, MAP2K5, CEP112, EIF2B2, OSBPL3, CEP350, ESRRB, BTBD6, BCL9, CDK7, DAB2, LSM6, CDK5, SYNJ1, ZFP64, CDK1, ZFP593, BCL2, NF2, ZFP110, EIF4G1, CALCOCO1, PTPN22, ADRA1B, SYNE3, SYNE2, DUSP14, KBTBD12, RNF17, CCDC50, TPRN, ILKAP, CHUK, TRPC1, TRAF2, RANGAP1, TIRAP, HAUS2, PATL2, PKM, ASPH, ESPL1, TRAF4, TESMIN, SOS1, CRK, ALDH9A1, HDAC5, GTF2A1, NUFIP2, VPS4B, TULP3, NLRC3, JAKMIP1, HDAC8, HDAC9, FBXL20, HAUS8, DNAJB6, HAUS7, RAB23, DNAJB3, DNAJB8, STOX1, KCNIP1, PLCL1, PTPN11, FBXL16, CPPED1, ASS1, NIN, RAD51, TAFA2, SPAG1, DRG1, CEP162, DRG2, VPS45, GLTP, APP, SLC46A1, PANK3, ISOC2A, CBLB, IFIT2, RPS15, GOLGA3, GOLGA4, RPS17, LONP2, HMCN1, RPS13, AGFG1, JMJD4, KRT8, SIAH1A, KRT7, DLEC1, MAPK8IP2, MIF4GD, MAPK8IP3, MARF1, XRN1, SIK1, SIK2, EZR, BEX4, ANP32A, DCUN1D2, PRRC1, SPAST, STXBP6, RALGDS, CARMIL3, DTNB, CIDEA, HSPBAP1, SRPK1, PUM2, SMU1, GDF9, RPS28, CCDC88C, RPS21, BAP1, RPS23, TOP2A, RYR1, HBS1L, CITED2, GBE1, CITED4, LIMD1, SIPA1L3, EPB41L4B, XPO4, KIF13B, UBXN6, RSPRY1, RALGPS2, PRMT3, TFE3, TUBG2, CAR5B, UCHL4, RAD51C, SGK2, PRMT9, RAPSN, SLC22A21, RHOQ, AKAP8, TUBD1, GDPD2, TRAK1, NKD1, NKD2, ASZ1, ADAD1, SH3BGR, MAP4K4, 2700049A03RIK, RYK, TUBE1, KRT10, SORBS1, RAB11A, KBTBD6, APBA1, B9D1, APBA3, SIPA1, WASHC5, SPPL2B, ESPN, CCDC28B, AMOT, RDM1, HCFC1R1, PUS3, CFAP410, TUG1, KCTD5, LZTFL1, ARHGAP45, KIF16B, HDGFL2, HDGFL3, GSTCD, ARHGAP18, DTX2, DNAJC24, STK4, PDZD2, PODXL, CASKIN1, NLRP5, MYH13, STAP2, RIPK1, MYH11, SULT5A1, LONRF2, MARK3, MARK2, IDH1, KLHDC1, 4933427D14RIK, TBCC, TBCB, FES, DLG5, DOCK4, DOCK3, HSPB6, ELAVL4, HSPB1, SIX1, HEBP1, CASP8, CASP6, ABCD1, USP46, STPG1, PTGIS, PPP2R5B, ARAP1, TRNAU1AP, OXSR1, SENP2, WNT16, DNM3, THOP1, CAMK2D, SLFN2, LEF1, PALM3, ABRAXAS2, MTIF2, MOSPD3, CFAP206, NR2C2, U2AF1L4, RMND5B, MAPK9, MUC1, ERICH3, ERBB2, POC1B, S1PR3, RGS22, MAPK6, NIFK, NOS3, USP22, SPRY4, NAP1L1, ARID3C, POMC, FMNL3, CAPN11, XPNPEP1, RPS6KB1, CDK2AP2, SPRY2	2377	5004	15480	1.1088277043489314	0.04863541263161686	0.049856716422155285	0.049856716422155285
GOTERM_CC_DIRECT	GO:0005813~centrosome	116	4.614160700079554	0.004281923203886775	CEP126, SPPL2B, CCNF, BCCIP, JADE1, HNRNPU, TSEN2, NUBP1, CCDC28B, CDC20, CSPP1, FAM110C, CDK5RAP3, CDK5RAP2, ANKS1B, CEP135, PRKCB, ARMC9, IFT80, CDC25B, NUP93, IFT81, PRKAR1A, FEZ1, HOXB4, KIF20B, RABL6, KMT2E, BRSK1, AKNA, TNKS, ARL3, PSEN2, AAAS, CCNB1, SPAST, KIF3A, PIBF1, CNTLN, ENKD1, NEK8, PLK3, CEP112, CEP350, RAB3IP, 4933427D14RIK, PTK2, NDC80, IFT20, HOOK1, TRP53, ETL4, CCDC88C, SASS6, CDK1, UNC119, FBXL7, GPAA1, RLBP1, BICD2, HK2, IFT52, ITGB6, SPDL1, NINL, ZFP365, BCAS2, RAB8A, UBXN6, KIF23, TUBG2, DYNLL1, HAUS2, ESPL1, PSMA1, KIF2A, LRRC7, TCP1, KIFC3, RAPSN, CTDP1, VPS4B, ABRAXAS2, RELB, CDC42, CDC45, HAUS8, HAUS7, PPP2R3C, RAB23, DNAJB3, MVB12A, POC1B, EPS8L2, CCT8, STOX1, ARFGEF2, DYNC1H1, SLF1, 2700049A03RIK, MFAP1B, NAA11, TUBE1, SORBS1, RAB11A, MPHOSPH9, NIN, RAD51, SLMAP, CCDC8, TCEA2, MPLKIP, CEP162, TACC1, B9D1, EEF1AKMT3	2377	594	15480	1.271783888527683	0.9882194567091624	1.0	1.0
GOTERM_CC_DIRECT	GO:0005829~cytosol	580	23.070803500397773	0.009144348489632779	PATJ, SERPINE2, HNRNPU, STMN3, ENO1, ZFYVE28, RABGEF1, DPYSL4, HENMT1, DPYSL5, AKT2, DPYSL2, MYB, CDK5RAP3, CDK5RAP2, WLS, ANKS1B, GAMT, GABARAPL1, PRKCB, CSNK2A2, AFAP1, GTPBP1, GTPBP4, WDR77, NISCH, EML4, RNF125, ADCY9, ZFYVE16, MTHFD1, DAAM1, PRKAR1A, PSME4, IGTP, TXNIP, ZSCAN26, RPL26, VPS25, VPS28, RABL6, MTMR3, SHMT1, BAZ2A, BCL10, ADH7, AAAS, C9ORF72, HIF1A, PRDX2, TRP53RKB, LDHA, RNF213, BLOC1S3, AFMID, PLCG2, S100A13, NCKAP1L, PIP5K1C, LYN, ARL14EP, SNAPIN, GSTM1, RAB3IP, STARD10, NFATC2, BRAF, CDC6, SOX30, ABTB1, 1700030J22RIK, SNAI1, PSMG3, SNAI2, NMT2, GSTM5, ARF1, GMEB2, TCF25, PHF20, TGFB1I1, MRPL38, ARHGAP5, OSBPL11, ARHGAP4, TUBA1A, AIFM2, DFFB, BATF3, NUDC, CNOT6L, ANXA1, DUSP3, CRPPA, RING1, PAWR, PAX6, DYNLL1, RBSN, SIRT1, DUSP6, PLSCR1, PSMA1, LRRC7, INCENP, RARA, TKT, GAS8, WDR26, GSTP2, METTL21A, HSPA13, AXDND1, RPS15A, SNX27, MFN2, NCDN, YKT6, RPL17, SAMD4, GK, GABRA5, RIOK3, AGL, STAT3, NR1H4, PSMB8, RNF146, AGBL5, GATM, PSMC1, TAOK1, CCDC8, AGBL2, TAOK2, RLIM, CCDC6, FOSB, RPL22L1, NCAPD2, EEF1AKMT3, POGLUT2, FMR1, HJURP, ZC3HAV1L, APEH, TSEN2, CLU, HID1, ABHD10, KPNA6, PIM1, SLC16A7, KPNA4, KPNA3, AP5S1, PLS1, USP5, AKR1E1, SDCBP2, TLE6, ATXN2L, FRMD8, PHPT1, SQSTM1, DGKI, KPNB1, SNRPB, ZFP330, OSBP2, PFKFB2, CUL9, PFKFB4, NOTCH1, TNKS, KMT2B, ILDR1, AK5, SPATA7, RAP1GAP, BAG6, SOCS3, CTIF, ESPNL, ABL1, DVL3, PLXNA1, SOCS6, IP6K1, SOCS7, NADK, SOCS4, BCL2L15, EIF2B2, ZFP598, ATP8B1, OSBPL3, SEC16A, CEP350, ESRRB, STYX, BTBD6, NDC80, GGCT, CDK7, GNL3L, TFCP2, CDK5, SP4, STK26, CDK1, SP6, AAK1, BCL2, NF2, OSBPL1A, LRCH3, SLC26A6, ZFP110, EIF4G1, CALCOCO1, FHL1, ARRB1, UFSP1, MTO1, BICD2, RLBP1, ALAD, SPR, DNM1L, CCDC50, TPRN, UNC45A, CCDC39, CHUK, GPX4, TRAF2, RANGAP1, GIGYF1, ARL4A, PPM1B, IMPACT, SARS2, PKM, TRAF4, DNAJC5, NOS1AP, CCDC43, SOS1, DCTPP1, FXN, ALDH9A1, GTF2A1, HDAC5, BECN1, PRKAA1, PRKAA2, NUFIP2, PPM1N, VPS4B, CXXC1, HSD17B14, NLRC3, TULP1, NLRC4, MALT1, SRM, CDC42, PARD6B, SERPINB9D, DNAJB6, RAB23, TRIM47, E2F3, DNAJB8, WHAMM, ASCC3, STOX1, TRIM45, MMAA, EFL1, PTPN11, GFER, EFR3B, ASS1, CPPED1, DHODH, SNRNP40, NIN, RAD51, APLF, DRG1, SPAG1, CEP162, DRG2, PTPN6, EIF3E, SMAP2, TNRC6A, METAP1, TNRC6B, GLTP, LTV1, ERRFI1, PANK3, HSF2BP, CBLB, IKZF1, NUBP1, IFIT2, CDC20, RPS15, GOLGA3, LGALS3, RPS17, BAIAP2L2, RPL36AL, SPATA24, CCN4, LGALS9, LGALS8, SKP2, BSN, RPS13, FAAP100, MFSD2A, GOLPH3L, SIAH1A, KRT7, DLEC1, MIF4GD, XRN1, KIF20B, EZR, BEX4, DHX8, MYCBP2, STXBP2, EVPL, SEC14L2, DSN1, SPAST, RRAS, HIVEP3, ASL, APOE, KCNN4, RALGDS, STAT5A, STAT5B, XBP1, ST8SIA2, SURF4, SETDB2, CIDEA, DELE1, SNAP91, PTK2, PUM2, SRPK1, RPS28, WNK2, CCDC88C, PDE3A, RPS21, BAP1, DCP1B, RPS23, PTPRR, SLC44A1, CITED2, GPAA1, GBE1, SLC7A14, STAB2, KIF11, WASL, HSCB, AATF, COIL, BABAM1, SYNCRIP, EPB41L4B, AKAP10, AKAP11, PPP3CC, XPO4, KIF13B, RAC2, RAB8A, UBXN6, HTATIP2, PABPC4, PRMT3, TFE3, CACYBP, GAB2, COMMD4, KIF4, UCHL4, IL1A, TOX3, ARHGEF9, RAD51C, PITPNM1, CTTN, HNRNPH1, CSDE1, 2310022B05RIK, G2E3, DEPDC5, SLC22A21, RAPSN, TOMM40, TUBD1, MALSU1, RELA, RELB, SLX4, PDZD11, EXOSC9, ASZ1, CCT8, EXOSC2, MON2, PEX19, CAVIN1, CAVIN3, HUWE1, SORBS1, PPP1CA, ATAT1, MIS18A, TTC5, GSTA2, NEDD4, APBA1, TACC1, COPG1, FOXA3, PTGS2OS, PNPLA2, WASHC5, GOLT1B, WWC2, RASEF, JADE1, BCCIP, BUB1B, ESPN, RDM1, EEF1B2, FAM162A, CWC22, SNIP1, TTC7B, SSU72, CFAP410, KCTD5, LZTFL1, ARHGAP45, ERN2, KIF16B, UBE2V1, SULT6B1, CARD14, HDGFL3, RAI14, FCOR, AKNA, RBM8A, PSEN2, ARHGAP18, STK4, LPP, RASGRP4, HRH1, CCNB1, PDZD2, SHARPIN, GRK5, KIF3A, NLRP5, PACSIN2, TBC1D13, LPXN, TBC1D17, CNTLN, UBE2F, CBX7, MPIG6B, UBE2I, VDR, IDH1, KLHDC1, 4933427D14RIK, TBCC, TBCB, AP4B1, GCLC, FGF14, FES, TRP53, TCF3, MXD1, FGFR1, USP35, USP37, DOCK4, PRR7, DOCK3, HSPB6, MTR, RND3, PITPNC1, HK2, CALB2, HEBP1, UFL1, CASP8, CASP6, RB1CC1, NAPRT, POLH, USP46, KLF11, USP42, DESI1, PLA2G4C, PPP2R5B, PLA2G4A, ARAP1, OXSR1, SENP2, CREB3, RABEP1, TMEM214, ELF3, PEAK1, RASA4, RASA1, IRF2, RBMS1, BLVRB, USP40, 2200002D01RIK, RBMS2, VAC14, SLFN2, ANKS1, USP11, SLFN3, RNF7, RMND5B, MAPK9, CAND1, PPP2R3C, TGS1, ERBB2, MVB12A, PDSS2, BNIP2, NUP43, EPS8L2, RGS22, MAPK6, PTCD3, ARFGEF2, TCF7L2, KDM4B, NOS3, SPRY4, NAA11, FMNL3, PIKFYVE, CLCN5, XPNPEP1, TNIP2, SPRY2, LPIN2	2377	3480	15480	1.0854017669331089	0.9999257400809998	1.0	1.0
GOTERM_CC_DIRECT	GO:0000793~condensed chromosome	13	0.5171042163882259	0.009194679243963302	TOP2A, TOP3B, GTF2B, ESRRB, SMARCA5, AKAP8, CTCF, REC8, RAD51, TUBA1A, MSH4, NCAPD2, BANF2	2377	38	15480	2.227929942652171	0.9999295433980258	1.0	1.0
GOTERM_CC_DIRECT	GO:0005838~proteasome regulatory particle	6	0.23866348448687352	0.010871982266907684	PSMD8, PSMC5, PSMD6, PSMD11, PSMD2, PSMC1	2377	10	15480	3.907446360959192	0.9999878005189105	1.0	1.0
GOTERM_CC_DIRECT	GO:0032991~protein-containing complex	142	5.648369132856006	0.010895265052900713	APP, PATJ, KDM1A, GOLT1B, HNRNPU, CISD2, IKZF1, RBPJ, PHB2, CLU, IPO4, EEF1B2, CDC20, PPP1CC, DPYSL5, SALL4, DPYSL2, CDK5RAP3, CUBN, CXADR, SLC51A, MAPK8IP2, TLE6, RBP4, PRKAR1A, PARD3, UBE2V1, EZR, PPIB, KPNB1, DGKI, KMT2E, KHDRBS1, STXBP2, ILDR1, PSEN2, CACNA1A, SNU13, BCL10, STK4, HIF1A, PRPSAP1, DPH2, NLRP5, VPS11, ABL1, RIPK1, AMELX, LYN, ZBTB17, GSTM1, SEM1, OCLN, BMP2, TFCP2, SYNJ1, TRP53, BCL2, PSMG3, SDC1, STRN, RADIL, NF2, TCF3, STT3B, TECPR1, TOP2A, RYR1, ARF1, FEN1, LDB1, CRYBG3, CITED2, FLT3, AP2A1, KIF11, UFL1, TMEM102, AKAP10, AKAP11, CASP8, DNM1L, CGNL1, UBXN6, DFFB, ANXA1, GPX4, DESI1, TRPC1, TRAF2, GAB2, SIRT1, TGFBR1, TOMM40L, OOEP, PAKAP, NCOR2, GIGYF1, RABEP1, INCENP, RARA, CRK, BIRC2, HDAC5, BECN1, CAMK2D, PRKAA1, PRKAA2, CTDP1, NUFIP1, GSTP2, NRXN3, CXCR4, METTL21A, SNX31, PPM1E, MALT1, RELA, RELB, CDC42, PARD6B, EPS8L2, MAPK6, PEX19, CAVIN1, EYA1, PLEKHA2, CAVIN3, STAT3, PTPN11, RAB11A, RAD51, NPHS1, NEDD4, GOPC, PTPN6, APBA1, PKN1, EEF1AKMT3, SNTB1, SIPA1, LIMS1	2377	767	15480	1.2056874907783688	0.9999880941416451	1.0	1.0
GOTERM_CC_DIRECT	GO:0005677~chromatin silencing complex	5	0.1988862370723946	0.023087165638364368	SUZ12, SMARCA5, BAZ2A, SIRT1, EZH2	2377	8	15480	4.070256625999159	0.9999999999683212	1.0	1.0
GOTERM_CC_DIRECT	GO:0000139~Golgi membrane	98	3.8981702466189336	0.02387465804817411	GALNT14, SLC35B4, GALNT13, GOLT1B, SPPL2B, GOLGA3, GOLGA4, GNPTAB, RXYLT1, LARGE2, WLS, SLC30A7, MMGT2, GLCE, SLC35C1, LMTK3, COG2, MAPK8IP3, GBGT1, TPST2, RNF125, IGTP, NAA60, NOTCH1, TMED10, TNKS, ARL3, PSEN2, RAP1GAP, CRACR2A, MAN2A1, CHST15, ST3GAL4, B3GALNT1, HACE1, SNAPIN, SEC16A, TMEM50B, ST8SIA2, SURF4, ABCA7, TVP23B, ARHGAP32, STK25, STK26, ACER3, H2-Q10, GASK1B, ARF1, H2-T22, WASL, IER3IP1, PCSK5, RND3, PANX2, MAN1A2, B3GALT2, PMEPA1, DNM1L, A4GALT, ZDHHC12, VPS13B, PLA2G4A, ARFGAP1, CREB3, TMBIM4, B3GNT7, GORASP1, ST6GALNAC5, CHST3, AU040320, SGMS1, ZDHHC23, H2-Q2, SGMS2, CDC42, TMEM167, TNKS2, WHAMM, YKT6, GCNT7, ABCB1B, GALNT7, ARFGEF2, GALNT6, HUWE1, RAB11A, RAB10, MGAT4C, PIKFYVE, MPHOSPH9, CLCN5, VAPA, TRIP11, GOPC, VPS45, COPG1, EBAG9	2377	522	15480	1.2226364730970651	0.9999999999862506	1.0	1.0
GOTERM_CC_DIRECT	GO:0005643~nuclear pore	15	0.5966587112171837	0.03507315965927093	POM121, UBE2I, TNKS, VPS4B, AAAS, SENP2, RANGAP1, NUP160, BICD2, NUP93, XPO4, NUP210L, KPNA4, NUP43, KPNB1	2377	55	15480	1.7761119822541782	0.9999999999999999	1.0	1.0
GOTERM_CC_DIRECT	GO:0005874~microtubule	59	2.3468575974542563	0.03689883930676785	WDR47, TTLL10, ZFP207, DYSF, KIF11, ARHGAP4, GRIP1, TUBA1A, DPYSL2, CSPP1, FAM110C, KIF13B, DNM1L, NINL, CDK5RAP3, CDK5RAP2, DYNC2H1, NUDC, GABARAPL1, KIF23, TUBG2, DYNLL1, KIF28, EML2, KIF4, DNM3, EML4, KIF2A, KIF16B, INCENP, FEZ1, TCP1, EFHC2, KIFC3, KIF20B, GAS8, BEX4, AKNA, TUBD1, ABRAXAS2, JAKMIP1, SPAST, KIF3A, WHAMM, APOE, CCT8, DYNC1H1, TBCB, TUBE1, RMDN1, TUBB4B, ATAT1, TTLL6, CDK5, SYNJ1, HOOK1, CDK2AP2, CEP162, RADIL	2377	301	15480	1.276519021575816	1.0	1.0	1.0
