Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0034364~high-density lipoprotein particle	7	0.37919826652221017	0.011025982528838	APOC1, APOC4, HDLBP, APOA1, APOE, PLTP, GPLD1	1734	18	15480	3.471741637831603	0.9999407993759765	1.0	1.0
GOTERM_CC_DIRECT	GO:0005615~extracellular space	124	6.717226435536294	0.01615539818151898	SPON2, EPO, H2-K1, LOXL3, TNC, PLOD2, PLOD1, LOXL2, COMP, PODNL1, LIPH, NAMPT, CCL27A, CCN4, LGALS9, CAR6, RPL39, CPA2, IGFBP4, PGF, LOX, CRISPLD2, ADPRH, FETUB, GPLD1, FBN2, CFH, EBI3, H2-M3, SCUBE3, TPO, APELA, S100A13, APOE, CPA6, PLTP, GSDMD, ST14, BDNF, MCAM, TNFSF13, FZD9, PRG4, GDF6, VASN, VNN1, RAET1E, PROC, PPP1R1A, MAN2B1, SERPINI1, AY074887, CRISP1, CD40, TINAGL1, WNT2B, MTCL1, PZP, CPZ, PRSS23, CTSR, IL18BP, SERPINB3B, ALAD, MMP23, GLIPR2, HYAL1, C1QBP, TCTN1, TIMP3, SPX, GAST, QSOX2, OIT3, GUSB, CAMP, IL11, EGFL7, AMN, PTGIS, GPX3, ATP6AP2, APOA1, MMP9, DCN, PSMA4, NRN1L, KIT, FAM20C, LRRC3B, ALDOA, SEMA3D, SEMA3A, CDNF, LRP2, PRSS45, DEFB40, CST3, PRL2A1, ERBB3, PRRG1, ALKAL2, SERPINB9B, SAMD1, FBRS, MUC6, BCHE, LINGO1, GDF11, CMTM3, WNT7B, DKKL1, BMP8A, SORL1, COLQ, PRL3B1, TAFA5, GLB1L, PIK3IP1, AXL, COL7A1, APOC2, LGR6, CKLF	1734	914	15480	1.2111483800625413	0.9999993841524685	1.0	1.0
GOTERM_CC_DIRECT	GO:0031901~early endosome membrane	28	1.5167930660888407	0.01927133971843855	PLEKHF2, CD274, RAB5B, ABCB6, MAPKAP1, H2-K1, SNX3, SYNDIG1, ATP7A, WASHC1, EPS15, UBXN6, APPL2, BOK, APPL1, VTI1B, SNX6, NTRK2, MMGT1, SLC11A2, VPS33B, SNX21, SORL1, CLIP3, EHD1, SLC5A7, ITCH, LLGL1	1734	160	15480	1.5622837370242213	0.9999999619893507	1.0	1.0
GOTERM_CC_DIRECT	GO:0005876~spindle microtubule	10	0.5417118093174431	0.021832134914554956	POLB, KIF2A, KIF3A, MTCL1, ARL3, CALM3, TUBG1, CALM1, AURKB, SKA2	1734	38	15480	2.3492988526680025	0.9999999961721273	1.0	1.0
GOTERM_CC_DIRECT	GO:0012507~ER to Golgi transport vesicle membrane	6	0.3250270855904659	0.02655120414943356	SEC16A, SLC30A5, USO1, SEC22B, SEC31A, VTI1B	1734	16	15480	3.3477508650519034	0.9999999999451833	1.0	1.0
GOTERM_CC_DIRECT	GO:0035097~histone methyltransferase complex	8	0.43336944745395445	0.031168164372195474	PRDM8, ZFP335, CBX5, PAGR1A, SETD1B, SETD1A, CXXC1, HDAC9	1734	28	15480	2.5506673257538313	0.9999999999991565	1.0	1.0
GOTERM_CC_DIRECT	GO:0031526~brush border membrane	12	0.6500541711809318	0.04389249141222987	GNA13, LIMA1, AMN, SLC22A5, SLC11A2, SLC3A1, PEMT, LRP2, ATP7A, FOLR1, TRPM6, SLC26A6	1734	56	15480	1.9130004943153733	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:1903561~extracellular vesicle	4	0.21668472372697722	0.050924054243005216	ARRDC1, SLC11A2, APOA1, APOE	1734	8	15480	4.463667820069205	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0034361~very-low-density lipoprotein particle	5	0.27085590465872156	0.06262715123354842	APOC2, APOC1, APOC4, APOA1, APOE	1734	14	15480	3.1883341571922887	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0072546~EMC complex	4	0.21668472372697722	0.070183632295411	MMGT1, EMC3, EMC4, EMC7	1734	9	15480	3.967704728950404	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0098890~extrinsic component of postsynaptic membrane	4	0.21668472372697722	0.070183632295411	FARP1, MAGI2, CRKL, PPP1R9B	1734	9	15480	3.967704728950404	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0000118~histone deacetylase complex	9	0.4875406283856988	0.08144341097931115	HINT1, CBX5, KDM3B, MECOM, SIN3A, SAP30L, HDAC11, DNTTIP1, HDAC9	1734	41	15480	1.9596590429572116	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0015629~actin cytoskeleton	33	1.7876489707475622	0.08832893158847108	CD274, LAD1, CTTNBP2, CAPG, FMN2, RAB22A, ARHGAP35, ACTG1, PPP1R9B, CNN3, SPTA1, LIMA1, CNN1, CATIP, ABLIM2, EPB41L2, CTNNA1, STK38L, TOPBP1, RAB8A, APPL1, ACTN2, ANKRD23, MYO5A, BIN3, MYO1A, PEAK1, LRRC7, AXL, MYO5C, ZYX, ALDOA, MYO1F	1734	224	15480	1.315187839841819	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0005675~transcription factor TFIIH holo complex	4	0.21668472372697722	0.09217697244461413	PSMC5, ERCC3, CCNH, ERCC2	1734	10	15480	3.5709342560553634	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0031012~extracellular matrix	27	1.4626218851570965	0.09456855231783454	FBN2, SPON2, THBS2, CPZ, THSD4, GLG1, MMP23, COMP, ADAMTS14, CCN4, TIMP3, APOE, MUC6, TGM2, LINGO1, MMP9, VASN, DCN, LOX, CRISPLD2, COL20A1, COL6A5, LRRC3B, LGR6, EMID1, MATN3, GPLD1	1734	178	15480	1.3541464173243651	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0000408~EKC/KEOPS complex	3	0.16251354279523295	0.0995262518926692	TRP53RKA, TRP53RKB, TPRKB	1734	5	15480	5.356401384083045	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0034363~intermediate-density lipoprotein particle	3	0.16251354279523295	0.0995262518926692	APOC2, APOA1, APOE	1734	5	15480	5.356401384083045	1.0	1.0	1.0
