Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0017166~vinculin binding	7	0.3494757863205192	0.002601817456875397	PXN, RTCB, CTNNA1, DAG1, TLN1, CORO2B, SORBS3	1859	13	15244	4.415442545620061	0.9872358944733779	1.0	1.0
GOTERM_MF_DIRECT	GO:0004843~cysteine-type deubiquitinase activity	18	0.8986520219670495	0.011634310979616588	USP24, USP47, USP25, USP8, USP48, MINDY4, USP53, USP54, USP21, USP3, USP45, OTUD7A, UCHL3, TANK, SENP3, UCHL5, CYLD, VCPIP1	1859	78	15244	1.8923325195514542	0.9999999968942699	1.0	1.0
GOTERM_MF_DIRECT	GO:0008409~5'-3' exonuclease activity	5	0.24962556165751376	0.016699825070983505	DCLRE1B, DCLRE1C, DXO, EXOG, FAN1	1859	9	15244	4.555615324846094	0.9999999999994291	1.0	1.0
GOTERM_MF_DIRECT	GO:0003924~GTPase activity	42	2.0968547179231156	0.01773701523762685	RAB1A, RAB5B, RAB3A, RRAD, ARL1, NTPCR, RND2, RHOBTB1, GNAI2, EFTUD2, RAP1B, RAB21, RHOT2, TUBA1B, RASD1, RHOT1, ARL13B, RAB26, NKIRAS1, GNAT3, SRP54C, MMUT, ARL5A, GBP3, GBP7, ARL15, GBP9, ABCA4, RHOG, IRGM1, RRAS2, RHOD, GPN1, GPN3, GNAO1, RRAGB, RAB35, RAB13, GNAS, TSR1, RAB5A, ARF5	1859	242	15244	1.4231591675965485	0.9999999999999024	1.0	1.0
GOTERM_MF_DIRECT	GO:0005525~GTP binding	49	2.4463305042436345	0.020873962736913446	RAB3A, RTCB, RND2, EFTUD2, GMPPB, TUBA1C, TUBA1B, GNAT3, NKIRAS1, ARL5A, GBP7, ARL15, GBP9, RHOG, RRAS2, RHOD, GNL3, RRAGB, RP2, RAB35, FKBP4, ARF5, RAB1A, RAB5B, RRAD, ARL1, AK4, SAMHD1, RHOBTB1, GNAI2, RAP1B, RAB21, RHOT2, RHOT1, RASD1, ARL13B, RAB26, SRP54C, GBP3, URGCP, IRGM1, GPN1, GPN3, GNAO1, MFHAS1, RAB13, GNAS, TSR1, RAB5A	1859	294	15244	1.3666845974538284	0.9999999999999996	1.0	1.0
GOTERM_MF_DIRECT	GO:0051015~actin filament binding	34	1.6974538192710935	0.027403194633359426	CYFIP1, ARPC1B, IQGAP1, CORO1A, EGFR, SPTA1, CNN1, ABLIM1, LASP1, ABLIM2, CLMN, CTNNA1, PLS3, EPS8L1, CTNNA3, CTNNA2, SPTAN1, CTNNAL1, GSN, TPM3, HIP1R, SHROOM3, MYO5A, SHROOM1, MYO9A, CORO2B, VIL1, MYO1D, CACNB2, MYO1E, FMNL2, PSPC1, FRG1, TLN1	1859	193	15244	1.444578538241352	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0051536~iron-sulfur cluster binding	8	0.399400898652022	0.03208526529206587	ISCA1, GLRX3, NUBPL, ACO1, ACO2, FBXL5, NDUFV2, NUBP2	1859	26	15244	2.523110026068606	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0008013~beta-catenin binding	20	0.998502246630055	0.03830158271577895	KANK1, CSNK2A1, CTNND1, PXN, ASH2L, HDAC6, SMAD7, CDH7, TBL1XR1, DVL1, SPECC1L, CTNNA1, NUMB, CTNNA3, DCHS1, CTNNA2, SOX9, CDH15, BTRC, RNF220	1859	102	15244	1.6078642322986214	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0032767~copper-dependent protein binding	3	0.14977533699450823	0.04092986361272858	FKBP4, ATP7A, ATOX1	1859	3	15244	8.20010758472297	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0008757~S-adenosylmethionine-dependent methyltransferase activity	7	0.3494757863205192	0.052795060473328645	METTL14, DNMT1, ARMT1, PRMT7, ASMT, METTL6, GNMT	1859	23	15244	2.495684917089599	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0030165~PDZ domain binding	20	0.998502246630055	0.05368463721040456	GRIA1, KIRREL3, FZD2, KIDINS220, KCNJ9, CTBP1, PTEN, LPAR1, ARHGAP29, ADRB1, BAIAP2, SHISA6, TGFBR3, SRR, GRM7, GNG5, EXOC4, TBC1D10A, HCN2, CNTNAP4	1859	106	15244	1.5471901103250885	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0045296~cadherin binding	13	0.6490264603095357	0.062119135606103056	CTNND1, CDH7, P2RX4, CTNNA1, NUMB, PKP1, CTNNA3, DCHS1, CTNNA2, CDH15, FXYD5, NEO1, CTNNAL1	1859	61	15244	1.7475639114983377	1.0	1.0	1.0
