Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0042610~CD8 receptor binding	3	1.2605042016806722	0.011020091077429756	H2-K1, H2-M3, H2-Q4	227	11	15244	18.314777733279936	0.9957594496423638	1.0	1.0
GOTERM_MF_DIRECT	GO:0009378~four-way junction helicase activity	4	1.680672268907563	0.02890695178088264	ERCC6L, FANCM, MCM8, CHD9	227	45	15244	5.969260890846794	0.9999994756797213	1.0	1.0
GOTERM_MF_DIRECT	GO:0000987~cis-regulatory region sequence-specific DNA binding	5	2.100840336134454	0.033543443792607056	ZFP516, MYC, HMGA1B, HOXA13, E2F8	227	82	15244	4.094767379391856	0.9999999504673088	1.0	1.0
GOTERM_MF_DIRECT	GO:0008270~zinc ion binding	30	12.605042016806722	0.037228238365600214	ZFP787, PGLYRP3, ARAF, XPA, ZBTB20, DTX2, SLFN9, CAPN15, HDAC6, GLIS1, PTMS, IFIH1, MBTD1, COP1, MMP25, SMYD3, ZSWIM3, KDM4A, TRIM63, WDR59, ZFP516, RBX1, RABIF, SCNM1, MEP1B, ZUP1, ZSCAN26, ZFP652, DUS3L, ZFP473	227	1388	15244	1.4514593304472572	0.9999999924662969	1.0	1.0
GOTERM_MF_DIRECT	GO:0003677~DNA binding	27	11.344537815126051	0.03773673490441402	ERCC6L, MCM8, CHD9, ZFP949, ZBTB20, RPAP1, HOXA13, GLIS1, IFIH1, ORC6, RHOX5, EME2, MYC, SOX4, E2F8, RFC4, FANCM, ZFP516, KCNIP3, CDC5L, HMGA1B, ARID3B, SON, ELF3, ZFP652, SNRPA, ZFP473	227	1217	15244	1.4898627737014902	0.9999999941937464	1.0	1.0
GOTERM_MF_DIRECT	GO:0042605~peptide antigen binding	3	1.2605042016806722	0.0487703368031364	H2-K1, H2-M3, H2-Q4	227	24	15244	8.394273127753305	0.9999999999802897	1.0	1.0
GOTERM_MF_DIRECT	GO:0042277~peptide binding	4	1.680672268907563	0.05022585737082492	CLTC, H2-K1, H2-Q4, PCSK5	227	56	15244	4.796727501573317	0.9999999999907354	1.0	1.0
GOTERM_MF_DIRECT	GO:0003689~DNA clamp loader activity	6	2.5210084033613445	0.056068173390160375	IFIH1, ERCC6L, RFC4, FANCM, MCM8, CHD9	227	139	15244	2.8987417995119324	0.9999999999995577	1.0	1.0
GOTERM_MF_DIRECT	GO:0016787~hydrolase activity	8	3.361344537815126	0.06341077218586566	IFIH1, DPYSL4, FANCM, CHD9, ZUP1, ITPK1, ABHD6, BPHL	227	237	15244	2.26680793323296	0.9999999999999906	1.0	1.0
GOTERM_MF_DIRECT	GO:0016887~ATP hydrolysis activity	10	4.201680672268908	0.07630009026134418	IFIH1, TOR4A, ERCC6L, ABCC1, RFC4, FANCM, MCM8, CHD9, MYO5B, SLFN9	227	349	15244	1.924188682579554	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0000978~RNA polymerase II cis-regulatory region sequence-specific DNA binding	19	7.9831932773109235	0.08205201664070955	NCOA2, ZFP747, ZFP516, KCNIP3, ZBTB20, HMGA1B, HOXA13, SIRT1, HDAC6, GLIS1, TBX15, ELF3, ZFP84, MYC, ZSCAN26, SMYD3, ZFP652, SOX4, E2F8	227	851	15244	1.4993296303390153	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0001162~RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding	2	0.8403361344537815	0.09929388054465775	NCOA2, SMYD3	227	7	15244	19.186910006293267	1.0	1.0	1.0
