Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0005515~protein binding	744	30.92269326683292	9.422867807547271E-4	PATJ, D16ERTD472E, HNRNPU, ENO1, HTR4, EPS8, ZFYVE26, CAPNS1, UBASH3B, ZFP281, SOX18, DPYSL5, AKT2, AP1S1, MLYCD, PKNOX1, CDK5RAP2, ANKS1B, DDX17, ACOT9, CUBN, GSTK1, MED1, GABARAPL1, PRKCH, DAPK1, CSNK2A2, MRTFB, SYTL1, MED9, DKK1, SOX10, WDR77, CLDN6, EID1, ISL2, IFT81, PRKAR1A, PARD3, FEZ1, TXNIP, SRFBP1, LETMD1, GPLD1, OPTN, MTMR2, CFH, SAR1B, MAPKAP1, GATA6, BCL10, TEX19.1, GATA1, SLC5A3, RIC8A, BLOC1S4, EPB41L2, BLOC1S3, RRS1, CFAP69, HMOX1, ALX1, PIP5K1C, VTI1B, ABCA1, GSTM1, DMPK, CADM1, RAB3IP, NFATC3, BRAF, ABCA7, NR1D1, EIF2AK4, PRDX6, HNRNPL, DAZL, SNAI1, MKS1, DZIP1, GSTM5, FERMT3, RSPH10B, ZFP369, CDKN1A, ARF1, RSPH3A, STON1, TCF21, ECSIT, GLI3, GLI2, SMPD3, IKBKB, TRMT112, CHAF1A, TUBA1A, HEY1, TCTN1, FLVCR2, RSPO1, JARID2, IKBKE, TEAD1, RNF152, CEP55, NELFE, DFFB, CNTD1, NUDC, ANXA1, FCRL5, KCND3, TET2, PAWR, DYNLL2, SIRT1, DUSP6, LRRC41, MED28, MRPL44, KAT2B, PAX7, MTF2, PLIN3, KIFC3, DLD, GAS5, ERGIC2, ARF5, JDP2, VAMP2, PLIN5, CTDP1, STAU1, H2-DMA, PELI3, USO1, ATL2, ADAM22, SLC7A1, FGD1, NEURL1A, WRN, CHN1, NSD2, STAT4, HS1BP3, NCDN, MEF2D, SF3B1, RUNX1T1, GABRA1, SLF1, UTP3, WNT7B, RRP1B, DEF8, HIPK3, TTLL6, MKLN1, PSMC5, MORN4, SNX17, SHKBP1, PSMC2, PKN1, LIMS1, CRLF2, CDKN3, ADGRL3, POGLUT1, RASL11B, CHPF, ATP8A1, GTF2B, CEP120, H2-K1, ATN1, FBXO25, PARK7, ATP12A, CLU, SALL4, PIM1, KPNA7, PAPOLB, NBN, PITX2, AP2M1, GTF2I, MEN1, HMGN1, MAGI1, MAP2K4, BNIP3L, TLE1, FBXW8, RALGAPA1, IGFBP4, MAGI3, TPM2, MAGI2, AIP, THOC1, CNPY2, ZBTB33, TICAM1, NEAT1, SRCIN1, FBXW2, THOC7, NRBP1, THOC6, ADAM2, BSCL2, MORF4L1, RAB37, RAB35, PKP2, PKP1, FKBP7, SRSF6, GRIA1, CSF1R, KHDRBS1, BRSK2, NOTCH1, FBLIM1, ARL6, ARL3, CHRD, ILDR1, ITPR3, CREBL2, GLIS2, HSP90B1, RHOBTB2, ATXN3, ESPNL, ATXN1, BCL2L11, MED31, BTLA, SMYD2, SMN1, TRAPPC3, BDNF, ODF2, M6PR, TOR1B, EEF2, LSM5, NDC80, ABHD15, COPS6, DAB2, SON, RIOX1, STK25, COPS2, LRFN1, CDK2, MAP3K10, ZFP592, GPR107, OSBPL1A, EIF4G3, NES, SLC26A6, ZFP110, LMBR1L, CNTNAP2, MCM7, MTCL1, ITGB3, FHL3, ARRB1, TRH, NENF, SYNE4, BICD2, CDC73, RPL7A, SUMO1, SIN3B, SIN3A, EFHD2, TLK2, HYDIN, PMEPA1, UTY, DNM1L, EIF2B1, ATP7A, SLC37A3, TRIM66, TPRN, DIS3L2, CCDC38, EMX1, GRID2, TRPC6, RFC4, DST, E230001N04RIK, WIPI2, ZFP90, TIRAP, PTBP2, SMC1B, QTRT1, ATRN, QTRT2, IMPACT, ASPH, TRAF3, POLR1B, DNAJC5, PECAM1, LCOR, SMPDL3B, BIRC2, CEBPA, BECN1, PLEKHH2, ZFP423, NUFIP1, MRLN, CEBPD, UNC93B1, SRC, SRSF1, CEBPG, VPS4A, CXXC1, NLRC3, MLLT1, TULP1, NLRC4, MLLT3, MESD, THSD4, CDC42, RAB21, GANAB, CLEC3B, DNAJB6, U2AF2, POLR2C, SVBP, SH3BP2, TIFA, KRIT1, IGF2BP3, E2F3, PCBD1, PCBD2, E2F5, SEC23B, SH2B3, E2F7, NTRK2, SKOR1, RNGTT, KCNIP3, KLF4, CDC42BPA, BAIAP2, REC8, ASS1, BICC1, TBX3, KLF1, MFAP5, NECAP1, VAPA, TRIM35, OCIAD1, KCP, CD247, SMAP2, PTPN4, CBLN3, MYORG, NECTIN2, CUL4B, EIF4A1, APP, HHIP, HDAC11, ICAM2, ZDHHC5, TIAL1, RPS15, RASSF1, SOX1, KAT5, RPS18, RASSF5, CHEK1, KDR, FBXO4, DAG1, TRIM25, LGALS9, FBXO5, PTGFRN, EPHB2, SKP2, GLUL, TNS3, PDK2, EPHA5, ATP6V1G2, ACTN3, KRT7, SLC51A, MAPK8IP2, MAPK8IP3, SFRP1, CDC34, CCNY, PPP1R3B, CDC37, KCNQ2, BTK, SUCLG1, ZFPM1, MACF1, GRB7, ADCYAP1R1, PAXIP1, GGNBP2, ANP32A, EPAS1, DHX9, TSHZ1, MYCBP2, EBI3, CTR9, PCDH15, TWIST1, TWF1, CD79A, TESPA1, DHX33, DPH1, MAP2, DPH2, DHX36, HIVEP1, STXBP5, SNX7, RALGDS, TRPM6, BANP, STAT5A, STAT5B, XRCC6, DTNB, INSR, ST8SIA2, CIDEA, IGF2, SNAP91, VASN, UBAC2, SRPK1, NET1, POLA1, POLA2, CABYR, ARTN, MYO5B, ID2, FUBP1, ETL4, FBXL2, MKX, SIM1, MRAP2, RCOR1, BAP1, RPS23, SPAG16, ACVRL1, RYR1, HBS1L, RYR2, CLIC4, ROBO4, HIP1, TENM3, PAK1IP1, PTPRN, MCUB, AP4E1, BICDL1, IL27, LIMD1, AP2A2, SPPL3, PCLO, HINT3, MLX, KIF1B, SEC61B, RAC1, BBS4, NDEL1, RAB8B, APOBEC1, NCOA2, LYNX1, ZHX3, STRADA, IZUMO1, GAB1, CACYBP, MLF1, IL17RA, TOX3, KIF9, CENPC1, MAPT, RGS7BP, RHOQ, OPRD1, FOXC1, STX16, ICA1L, SATB2, NOXO1, CXCR4, CRIP2, GNAI2, ALS2CL, GPC3, DISC1, MAP4K4, GDF11, NQO1, MAP3K1, PEX19, SLC31A2, CAVIN1, SORT1, PLEKHA2, TMEM176A, GBF1, AP3D1, DKKL1, RANBP9, PLEKHA7, GRIN1, VEGFA, RAB11B, PER3, AXL, NEDD4, FKBP1B, NEUROG1, PTGS2OS, TXN1, PRDM8, STEAP3, ARHGDIG, 1700013H16RIK, BUB1B, UBE3A, PRDM1, ESPN, LOXL1, RGS2, CAPN6, CCND1, MEIOC, CAPN1, SH3GL1, CHRNB1, PHYH, PCID2, KIRREL2, LMO4, CCDC159, NANOS3, CYBA, CDYL, GRIP2, ADAM19, ERN2, ADAM17, DOK3, LOX, SCN8A, ELMO1, PPIC, KLHL18, DDX5, AKNA, DDX4, RPS19BP1, UBA5, SEL1L, PSEN2, SLC1A3, CACNA1C, DTX3, PLD6, BHLHE22, LPP, AGER, NALCN, TOR1AIP1, CACNA1G, KIF3A, NLRP5, EP400, RIPK1, CYC1, LONRF2, AMELX, CNTLN, ENKD1, CBX7, SMAD1, UBE2I, SMAD3, MLKL, CNTN6, PHF12, NONO, HMGA2, TDRD1, ARHGAP33, AFDN, DLG1, DIAPH2, BMP2, LIN28A, HOOK1, ATG16L1, GNB2, TRPV4, TMEM119, CNTN1, TAF4B, UBA1, TAB1, MXD3, WNT2B, HSPB8, MAST1, YBX3, NR2E3, GRM1, PPP1R9B, CASP8, ALDH2, GRM6, RB1CC1, DACT3, HORMAD2, POLK, LRRFIP1, ABCD1, CFAP45, DACT1, KDM6B, KLF13, DCXR, OLIG1, ETV6, RBL2, DNM3, ACTA1, LMBRD1, SFPQ, ITGB1BP1, IRF5, ZMYND11, SHANK3, SHANK2, HCN4, RBM47, CAMK2D, KDM3A, USP16, USP10, TEX101, RSPH9, ABRAXAS2, SLC3A2, RNF7, PKD1L3, RNF4, NR2C2, THBS1, STRN4, USP19, U2AF1L4, NXF1, CAND1, SV2C, WNT11, ERBB3, PPP2R3C, TAF1C, FAM241B, ERBB2, MTA2, ABCF2, PDLIM4, CLASP2, SPEN, TAF12, EGF, LIMK2, EYA3, CADPS, SPRY4, LGI2, NAP1L2, ARID3A, EPOP, ARID3C, TTC19, EPOR, DLK2, POMC, REST, PIKFYVE, NPHS1, TNIP2, LNX1, CDK2AP2, ERCC8, SPRY2, CLNK, TEK, RBM46, HCN2, TAF1	2249	4609	15244	1.0941470961612505	0.8386508305935887	1.0	1.0
GOTERM_MF_DIRECT	GO:0003723~RNA binding	125	5.195344970906069	0.0026183679537636227	SRP19, HNRNPU, MSI1, PARK7, ENO1, ALKBH8, LSM10, RDM1, TIAL1, RPS15, SNRPD1, MTREX, NUDT16, PAPOLB, PUS3, PCID2, MBNL2, NANOS3, THOC1, PUS7, GTPBP4, THOC7, THOC6, ATXN2L, PRPF6, HNRNPUL1, TEP1, SNRPG, PKP1, FAM76B, SRSF6, SF1, EXD1, GRB7, KHDRBS1, DDX5, RNASEH2A, DHX9, CSTF2, AGER, PRPF8, NOP9, HSP90B1, EIF1AD, ATXN1, DHX34, DHX36, G3BP2, SAFB2, SMN1, MCTS2, CPSF7, PPP1R21, NONO, PA2G4, ERAL1, EEF2, LSM5, HARS2, RPL3L, HNRNPL, LIN28B, LIN28A, SON, RIOX1, CAPRIN1, FUBP1, ACO1, GRSF1, EIF4G3, CPEB4, DDX3Y, RBM25, FASTKD1, FASTKD2, CELF1, CELF2, DDX43, BRCA1, YBX3, SMG6, RPL7A, SIN3A, FASTK, ALYREF2, DIS3L2, RBM33, NELFE, APOBEC1, APOBEC2, CLUH, DDX51, PTBP2, PATL2, SFPQ, ESRP1, HNRNPH2, DCP2, RBM47, NUFIP1, STAU1, SRSF1, RBM4B, MRM1, U2AF1L4, NXF1, U2AF2, RPL14, IGF2BP3, EXOSC2, SF3B1, TRDMT1, SPEN, HNRNPA3, TAF15, NIFK, CDC5L, BICC1, CSDC2, HNRNPA2B1, ESF1, CPSF4L, RBM46, TNRC6A, TNRC6B	2249	664	15244	1.2760021857103827	0.9937375677274696	1.0	1.0
GOTERM_MF_DIRECT	GO:0035615~clathrin adaptor activity	9	0.3740648379052369	0.003642227836290141	DAB2, HIP1, STON1, AP1S1, ARRB1, AP2A2, SNAP91, AP2M1, EPN1	2249	19	15244	3.2106901312864196	0.9991417171042625	1.0	1.0
GOTERM_MF_DIRECT	GO:0042802~identical protein binding	277	11.512884455527846	0.004743204996661794	ATF1, APP, UXS1, HNRNPU, ENO1, NUDT5, ACCS, BAIAP2L2, RASSF1, UBASH3B, GJA3, RASSF5, NAMPT, KDR, MLYCD, EPHB2, SKP2, IER5, GLUL, PDK2, GAMT, CUBN, ACTN3, DAPK1, MAP1S, COG4, SOX10, NISCH, CLDN6, SFRP1, SOAT1, PARD3, SUB1, KCTD13, BTK, KCTD11, CGGBP1, OPTN, SF1, GRB7, MTMR2, CFH, SHMT1, MYCBP2, MGST1, TWIST1, BCL10, AU022252, PRPSAP1, PRDX3, CD79A, HMGXB4, SNX2, HMOX1, BANP, FZD1, STAT5B, XBP1, GSTM1, INSR, RAB3IP, BRAF, HARS2, ACADSB, PRDX6, DAZL, CEP83, DCP1A, PAM, MRAP2, GSTM5, RYR2, TENM3, DPYS, CCDC125, HSCB, BRCA1, SMPD3, IKBKB, CHAF1A, TUBA1A, ACADL, HINT3, HEY1, OLR1, IKBKE, CEP55, NDEL1, DFFB, PCYT1B, APOBEC2, ANXA1, IZUMO1, KIF24, DYNLL2, SIRT1, LRRC41, GCHFR, KIF9, CENPC1, ANGPTL4, KIFC3, MAPT, VAMP2, GAS7, PLIN5, MAPK1IP1, ATL2, CST3, ALS2CL, STAT4, DISC1, DCPS, RXRG, RUNX1T1, NQO1, CAVIN1, DYNLT1A, PNMA5, SNCAIP, PEX14, VEGFA, MKLN1, ERG28, CFHR1, SHKBP1, HNRNPA2B1, WASHC5, STEAP3, DGKD, PRDM6, H2-K1, HP, CPOX, MSI1, PARK7, SAT1, TGM1, BANF2, NUDT16, PITX2, TGM2, SH3GL1, BNIP3L, IK, KIRREL2, CEP135, TLE1, DGAT1, TPM2, KCTD1, CDYL, PGF, NRBP1, CCNB1IP1, PRPF6, POLG2, CERCAM, RHCG, ABCG2, TRIM34A, GRIA1, KHDRBS1, NOTCH1, PEF1, NPR3, ILDR1, ITPR3, BHLHE22, PLD6, AGER, ATXN3, ATXN1, MAN2A1, SAFB2, RIPK1, RPRD1A, SMN1, AMELX, CD276, SMAD1, SMAD3, MLKL, NONO, TNFRSF10B, ASNS, TOR1B, POU2F3, NDC80, QDPR, BMP2, HOOK1, ATG16L1, SP4, TRPV4, SLC26A6, TRIM12A, H2-T22, TRIM30D, ITGB3, HSPB8, HSPB1, TNFAIP1, CXCL5, ALAD, ADAMTS5, CASP8, ZNRD2, ALDH2, TLK2, DACT3, DNM1L, EIF2B1, ABCD1, TRIM66, GRID2, GPX4, GGPS1, COL25A1, DCXR, MMP9, TIRAP, DNM3, CREB3, GFOD1, MEP1B, TRAF3, IRF5, SHANK3, BIRC2, HCN4, PRPS1, VAC14, CEBPA, BECN1, CAMK2D, USP15, ZFP423, NUFIP1, CEBPD, CEBPG, NLRC4, RNF4, MESD, SRM, CDC42, PRTG, ERBB3, DNAJB6, OXCT1, ERBB2, PCBD1, PCBD2, E2F7, E2F8, BNIP3, SPAG4, CDC5L, ARID3A, BAIAP2, CDC42BPA, EPOR, ASS1, DLK2, RPIA, REST, VAPA, GNPDA2, PRC1, LNX1, FSBP, TEK, CD247, CDR2L, PFKP, HCN2, NECTIN2	2249	1627	15244	1.153989084269646	0.9998989542883381	1.0	1.0
GOTERM_MF_DIRECT	GO:0008017~microtubule binding	49	2.036575228595179	0.009204767788480084	MTCL1, MAST1, CETN3, FMN2, CAPN6, KIF1B, DNM1L, CDK5RAP2, NDEL1, CEP135, DST, MAP1S, KIF24, KIF23, KIF22, KIF28, KIF4, DNM3, KIF9, KIF2A, NAV3, KIFC3, MAPT, MACF1, ARL3, CCDC69, ABRAXAS2, SKA3, SKA2, BCL2L11, HAUS8, KIF3A, MAP2, SVBP, KRIT1, WHAMM, MAP4K4, CLASP2, ENKD1, DCLK2, PEX14, NDC80, CENPE, VAPA, HOOK1, PRC1, TRPV4, REEP2, MDM1	2249	233	15244	1.4254423043527211	0.9999999830620014	1.0	1.0
GOTERM_MF_DIRECT	GO:0003714~transcription corepressor activity	38	1.5793848711554446	0.011451908201553677	PRDM8, TCF25, ATN1, HNRNPU, ENO1, LIMD1, NPAT, CCND1, SIN3B, SIN3A, MTA2, ZFP541, BEND6, RUNX1T1, SPEN, MED1, SAP18B, ZFP653, TLE1, LMO4, PHF12, HMGA2, KCTD1, CDYL, PA2G4, SIRT1, PEX14, HIPK3, EID1, ID2, COPS2, ZFP354B, LCOR, MAP3K10, ZMYND11, BCORL1, ZFPM1, RCOR1	2249	173	15244	1.4888363999928036	0.9999999997907106	1.0	1.0
GOTERM_MF_DIRECT	GO:0003729~mRNA binding	48	1.99501246882793	0.012369183251268701	DDX3Y, KHDRBS1, DDX5, RBM25, RBM47, DDX4, STAU1, DHX9, CELF1, SRSF1, CSTF2, CELF4, DDX43, MSI1, PARK7, NXF1, DHX33, G3BP2, NUDT16, ALYREF2, SF3B1, HNRNPA0, NELFE, DDX17, APOBEC1, SPEN, SRRM3, CPSF7, HNRNPA3, CLUH, NANOS3, UPF3A, PTBP2, ATXN2L, HNRNPL, LIN28B, LIN28A, FUBP1, CAPRIN1, ESRP1, SNRPC, SRSF6, GRSF1, DCP1A, RBM46, EIF4G3, SF1, DPPA5A	2249	231	15244	1.408441269712946	0.9999999999652772	1.0	1.0
GOTERM_MF_DIRECT	GO:0031490~chromatin DNA binding	20	0.8312551953449709	0.016791543958882917	DDX17, KDM6B, MED1, CEBPA, XBP1, KDM3A, KDM3B, SMAD3, NOTCH1, DHX9, HNRNPU, KLF4, GATA1, GLI2, TOX3, TOX2, UTY, TOX, PITX2, BAP1	2249	78	15244	1.7379804129470644	0.9999999999999941	1.0	1.0
GOTERM_MF_DIRECT	GO:0050750~low-density lipoprotein particle receptor binding	9	0.3740648379052369	0.017962728345458263	LRPAP1, APP, DAB2, SNX17, DKK1, MESD, CLU, AP2M1, HSP90B1	2249	24	15244	2.5417963539350823	0.9999999999999994	1.0	1.0
GOTERM_MF_DIRECT	GO:0004630~phospholipase D activity	5	0.20781379883624274	0.02009681834093799	HMOX1, PLD6, GPLD1, PLD3, PLD2	2249	8	15244	4.236327256558471	1.0	1.0	1.0
