Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003729~mRNA binding	46	1.9956616052060738	0.012505834811670495	SLBP, DDX6, KHDRBS2, JRK, COPA, STAU2, SF3B6, TACO1, EIF4A3, DDX23, HDLBP, DDX20, HNRNPR, TYMS, RPL7, FXR1, RBM4, PCBP3, ZC3H12B, KHSRP, C1QBP, PEG10, PCBP2, PPP1R8, LUC7L, RPL35, RPS13, NANOS1, SRRM2, TIA1, DDX59, MYEF2, RBFOX3, NCBP2, PABPC4, CNBP, LSM1, UPF3B, RC3H1, EIF2S2, PTBP3, DHFR, NUDT21, THRAP3, LUC7L3, DCP1B	2135	231	15244	1.421827508946947	0.999999999881226	1.0	1.0
GOTERM_MF_DIRECT	GO:0005201~extracellular matrix structural constituent	19	0.824295010845987	0.01384068265449091	COL27A1, SPARC, MFAP1A, PAPLN, MFAP1B, FN1, LTBP2, LAMB1, LAMC2, COL3A1, FRAS1, COL2A1, MFAP2, HMCN1, CRELD1, MFGE8, MATN4, EMID1, FBN1	2135	75	15244	1.8088118657298986	0.9999999999898164	1.0	1.0
GOTERM_MF_DIRECT	GO:0016787~hydrolase activity	46	1.9956616052060738	0.019248173455405602	EIF4A3, DDX23, PTEN, DDX20, CHD5, APEH, TUBA3A, NUDT6, NUDT3, CNDP2, ACMSD, RAD54B, IFIH1, TUBA1C, IL1RL2, FIGNL1, RBBP9, ACP5, NUDT17, PSPH, MANBA, TMEM86A, TMEM86B, FANCM, ZGRF1, APOBEC4, CPSF3, PGAM2, EPHX1, EPHX3, EXOG, CMBL, BPGM, AIG1, TUBA4A, CPPED1, GPN3, SKI, ACTA2, MOV10, POR, ACTC1, NCEH1, MPPE1, SMPDL3A, MGLL	2135	237	15244	1.3858318758090495	0.9999999999999996	1.0	1.0
GOTERM_MF_DIRECT	GO:0008140~cAMP response element binding protein binding	5	0.21691973969631237	0.039901139216604924	ATF2, CRTC2, DDIT3, SIK1, ATF4	2135	10	15244	3.5700234192037468	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0044183~protein folding chaperone	13	0.5639913232104121	0.05227523310490366	CCT2, HSPA8, WDR83OS, DFFA, CDC123, HSPB6, CLGN, RIC8B, KHSRP, DNAJB3, ANP32E, DNAJB8, DNAJB7	2135	52	15244	1.7850117096018736	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0097177~mitochondrial ribosome binding	4	0.1735357917570499	0.06191387021605704	TMEM223, C1QBP, TACO1, GUF1	2135	7	15244	4.080026764804282	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0051721~protein phosphatase 2A binding	10	0.43383947939262474	0.06488916873654925	PTPA, PPP2CA, MFHAS1, CPD, GNA12, EIF4EBP1, BCL2, AKAP6, MASTL, FOXO1	2135	37	15244	1.9297423887587823	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0043560~insulin receptor substrate binding	5	0.21691973969631237	0.07487475060034351	GRB2, PTPN11, PIK3CB, PIK3R1, IGF1R	2135	12	15244	2.9750195160031225	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0005178~integrin binding	25	1.0845986984815619	0.07489403702361591	ITGB4, PXN, ICAM4, ANXA7, S1PR3, SVEP1, CCN2, ITGB6, CCN1, LGALS8, LYN, ACTN1, ITGA1, FN1, LAMB1, NRG1, ERN1, COL3A1, CXCL12, ADAM15, ITGA6, PLPP3, MFGE8, ITGA9, FBN1	2135	127	15244	1.4055210311825777	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0019888~protein phosphatase regulator activity	9	0.39045553145336226	0.08061596948621354	PTPA, CSNK2A1, PPP4R4, CNEP1R1, PPP1R8, GNA12, PPP6R3, PPP2R5A, WBP11	2135	33	15244	1.9472855013838621	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0048406~nerve growth factor binding	4	0.1735357917570499	0.08900831360370752	PZP, NTF3, NRADD, A2M	2135	8	15244	3.570023419203747	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0004865~protein serine/threonine phosphatase inhibitor activity	4	0.1735357917570499	0.08900831360370752	PPP1R14A, PPP4R4, PPP1R8, PPP1R14D	2135	8	15244	3.570023419203747	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0005112~Notch binding	7	0.3036876355748373	0.09162652805333	NCOR2, GALNT11, TCIM, KCTD10, DNER, HIF1AN, DLL3	2135	23	15244	2.173057733428368	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0050660~flavin adenine dinucleotide binding	13	0.5639913232104121	0.09359583270694993	KDM1B, MAOA, NOS3, ACAD9, GSR, PIPOX, MTO1, CYB5R4, POR, AIFM2, DUS3L, ACADS, ACAD12	2135	57	15244	1.6284317350753934	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0004089~carbonate dehydratase activity	6	0.2603036876355748	0.09570907653208632	CAR3, CAR13, CAR11, CAR12, CAR5A, CAR5B	2135	18	15244	2.3800156128024983	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0008374~O-acyltransferase activity	5	0.21691973969631237	0.09660909618544386	DGAT2, GPAT4, MBOAT7, LPCAT2, PLA2G4A	2135	13	15244	2.7461718609259593	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0016595~glutamate binding	5	0.21691973969631237	0.09660909618544386	GCLC, GRM7, SLC1A1, GRIN2B, GRIN2D	2135	13	15244	2.7461718609259593	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0019211~phosphatase activator activity	3	0.1301518438177874	0.09676379534146078	PTPA, ITGA1, GTF2F1	2135	4	15244	5.355035128805621	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0004359~glutaminase activity	3	0.1301518438177874	0.09676379534146078	GLS2, CAD, GLS	2135	4	15244	5.355035128805621	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0102158~very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase activity	3	0.1301518438177874	0.09676379534146078	HACD1, HACD3, HACD4	2135	4	15244	5.355035128805621	1.0	1.0	1.0
