Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0001217~DNA-binding transcription repressor activity	6	0.3157894736842105	0.022893571880979565	RARA, SOX13, TWIST1, ZBTB7B, SOX6, E2F7	1765	15	15244	3.454730878186969	0.9999999999999999	1.0	1.0
GOTERM_MF_DIRECT	GO:0005229~intracellularly calcium-gated chloride channel activity	6	0.3157894736842105	0.0302018440929524	TTYH1, CLCA3B, CLCA4B, ANO10, CLCA3A2, BEST3	1765	16	15244	3.2388101983002833	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0003746~translation elongation factor activity	7	0.3684210526315789	0.03470861781290149	EFTUD2, TCEAL5, TCEA2, GTPBP2, EEF2, GTPBP1, PTMS	1765	22	15244	2.7480813803759983	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0005267~potassium channel activity	10	0.5263157894736842	0.036065726872704075	KCNH2, KCNK6, MCOLN3, KCNK10, KCNIP2, KCNJ13, KCNIP4, KCNJ15, KCNQ3, TMEM38A	1765	40	15244	2.1592067988668555	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0032453~histone H3K4 demethylase activity	4	0.21052631578947367	0.03781977413506126	KDM5B, KDM5D, RIOX1, KDM1A	1765	7	15244	4.935329825981384	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0000900~mRNA regulatory element binding translation repressor activity	5	0.2631578947368421	0.041257264071252464	PAIP2B, RARA, PAIP2, CPEB2, CPEB4	1765	12	15244	3.598677998111426	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0050811~GABA receptor binding	6	0.3157894736842105	0.048789366820568766	GABRB1, PLCL1, PLCL2, CLPTM1, TRAK1, TRAK2	1765	18	15244	2.878942398489141	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0005524~ATP binding	164	8.631578947368421	0.051843960280439486	ERCC6L, PANK3, EIF4A3, UBE2D1, ABCA17, DNHD1, STK19, TTF2, SMC6, ABCA13, SMC4, NUBP1, MYLK, HELB, CLP1, PAPOLG, CHEK1, CDK20, LONP2, SMARCAD1, ENPP1, PIM2, DYNC2H1, RARS2, MAGI1, MCCC2, ZGRF1, ENTPD5, CSNK2A2, CASK, ATP11C, UBE4B, CHD1L, VRK3, KIF16B, SHPK, MAPKAPK5, VDAC1, ABCG2, SLC22A4, PFKFB2, CUL9, PFKFB4, DHX8, FICD, AASDH, AK1, AK2, AK5, KALRN, ACTR3B, AK8, RSKR, UBE2J1, DGUOK, BRIP1, GRK3, NUAK2, RNF213, 1810024B03RIK, ABL2, TRPM7, MARK3, MARK1, ABCA1, ZRANB3, CDK17, ABCA2, ATP8B5, XRCC6, CDK19, UBE2I, MLKL, FANCM, ABCA5, INSR, PTK2, CLK2, UBE2W, UCK2, GCLC, MAP3K15, EHD3, CDK6, ATM, FGFR3, ABCD4, MAST4, CHD9, FLT3, MAST2, CHD8, CHD6, PIK3CB, KIF11, TENT4B, HK2, KIF15, IFIH1, MYO18B, KIF13B, DHX16, TK2, KIF1A, IKBKE, SCYL2, UPF1, CAMK1D, CHUK, ITPK1, DNAH7A, CTPS2, DARS2, MASTL, DDX50, KIF28, KIF6, RENBP, VWA8, LATS1, ZAP70, PKM, BBS10, NME7, PDIK1L, OAS3, MYO3A, PCCB, SGK2, TOR4A, DDX28, PRKAA1, PDXK, PRKAA2, PKN3, VPS4B, FIGN, ATP10A, HSPA14, RAD54B, AURKA, HSPD1, MTHFD1L, FYN, MAPK6, ACSS1, MAP4K4, RIOK3, RYK, NTRK3, MERTK, HSPE1, MLH1, CDK11B, MYO16, HIPK2, DNAJA1, PIKFYVE, RAD51, PSMC1, PSMC2, NEK10, PFKP, TTLL9	1765	1252	15244	1.131341581514902	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0016787~hydrolase activity	37	1.9473684210526316	0.05316093935770847	ACHE, DAGLA, DHX8, CHD9, EIF4A3, CHD6, ABHD8, ABHD6, TTF2, APEH, RAD54B, IFIH1, BRIP1, ABHD11, MAN2A1, NT5DC3, DHX16, RBBP9, ENPP1, POLE, PSPH, ZRANB3, XRCC6, FANCM, ZGRF1, CPSF3, ITPK1, IRGM1, EXOG, CMBL, DDX50, GALNS, EHD3, FASN, SERHL, IGTP, SPAG1	1765	237	15244	1.3483654271404837	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0004017~adenylate kinase activity	4	0.21052631578947367	0.055403449502946345	AK1, AK2, AK5, AK8	1765	8	15244	4.318413597733711	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0106222~lncRNA binding	8	0.42105263157894735	0.05989400608069579	SUZ12, HADHB, KDM1A, CELF1, CELF2, CSDE1, EEF2, PUM2	1765	31	15244	2.228858631088367	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0008143~poly(A) binding	7	0.3684210526315789	0.06117320000646555	KHDRBS1, PAIP2B, EIF4A3, PABPC1, PAIP2, RBMS2, RBMS3	1765	25	15244	2.4183116147308783	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0017022~myosin binding	7	0.3684210526315789	0.06117320000646555	ARFGEF1, TRPM7, HAP1, MYRIP, TRAK1, VAMP2, TRAK2	1765	25	15244	2.4183116147308783	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0043130~ubiquitin binding	17	0.894736842105263	0.06209048801976175	CUEDC2, TSG101, UBXN2A, TNFAIP3, HDAC6, SIRT2, UEVLD, SHARPIN, HGS, TAX1BP1, PLAA, SMARCAD1, DHX16, JARID2, CUEDC1, VPS28, BIRC2	1765	92	15244	1.5959354600320235	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0034647~histone H3K4me/H3K4me2/H3K4me3 demethylase activity	3	0.15789473684210525	0.06846191648372724	KDM5B, KDM5D, RIOX1	1765	4	15244	6.4776203966005665	1.0	1.0	1.0
