Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003674~molecular_function	295	24.54242928452579	0.011702666736552049	TMEM94, MSANTD3, TEX47, MTFR1L, TMEM97, HOXD3OS1, UCKL1OS, TMEM91, RCBTB2, NIPAL4, PAX6OS1, 4930471L23RIK, VSIG2, IGLON5, EVA1C, XLR4B, 1700061N14RIK, GM14009, ATXN7L1, VSTM5, SCAPER, DLEU7, PROSCOS, ARL10, SRRM3, IAH1, GM13842, 2310022A10RIK, TMEM170B, 1700010I14RIK, FNDC8, SNHG14, FNDC1, AURKAIP1, D730045A05RIK, PRR13, GM14023, 9330154J02RIK, GM6093, SLAIN2, A930015D03RIK, KLK9, AAAS, 2410137M14RIK, GM14022, RPAP3, SNHG17, DSN1, C030014I23RIK, GM7854, PRPF38B, GM16576, CARMIL3, 4930478L05RIK, ARPP21, B230312C02RIK, CFAP70, IFFO2, WDR53, CCDC9B, 1700027A07RIK, D630003M21RIK, PCDHGA10, MM2PR, PSMG4, GM8257, EFCC1, SHISAL2A, 9530046B11RIK, LRRC34, A230059L01RIK, GM12784, CDIPTOS, GM14963, IER3IP1, 4933415A04RIK, GM15496, PIGX, 4933406P04RIK, GM14966, 4933413L06RIK, GM4285, TMED7, 9230109A22RIK, TMED6, DIO3OS, 0610040B10RIK, RMI2, GM11465, C730034F03RIK, EIPR1, GM16239, LRRC49, COMMD2, 1700019L13RIK, NAALADL2, FAM222A, SDHAF3, 4930471E19RIK, K230015D01RIK, NME9, LRRC3B, 4932413F04RIK, FAXC, GM10389, DCAF12L1, 8030451O07RIK, 4930481A15RIK, 5430405H02RIK, 5530601H04RIK, GM16121, A930028N01RIK, GM10827, ERMP1, RAB10OS, UBTD2, 1700052H01RIK, SH3BGR, 1700084F23RIK, GM553, GM5592, LRRC24, TIMMDC1, 4930556J24RIK, E130304I02RIK, DNAJC5B, GM550, GM15964, TTC1, LRRN4CL, GM5106, C230013L11RIK, 9530068E07RIK, CENPO, TMEM39B, CEP41, GM7762, HNF4AOS, 4930570G19RIK, MAMLD1, GM3164, E030030I06RIK, GIMAP6, TATDN2, TRAPPC11, TMEM132COS, GM9776, BORCS8, PCSK2OS1, GM10605, 1700001K19RIK, GM12353, GM11266, A430078I02RIK, A430093F15RIK, UBALD1, TESCL, CGRRF1, CFAP410, PDGFRL, SELENON, KCTD9, BC035947, RBM46OS, 0610038B21RIK, D930030I03RIK, USP46OS2, GM8797, GM11946, GM10856, GM11827, 2310067P03RIK, PLATR4, GM15511, LSMEM2, DIPK1C, CCDC142, TTC41, A930005H10RIK, GM16283, KRBA1, HIGD1A, A330049N07RIK, FBXO41, DNAJC28, TRP53I13, 2310043M15RIK, UBR7, GM3896, GM1604A, C130021I20RIK, ENKD1, COA4, 0610009E02RIK, 1700047A11RIK, 4930566F21RIK, AU015336, UQCC2, WSCD2, TCEANC, 4933427D14RIK, GM16174, 2610307P16RIK, TVP23B, 6330403K07RIK, D7ERTD128E, GM15880, FBXO33, GULP1, 1700112J16RIK, 2510017J16RIK, CCDC92B, GM5820, 4833413G10RIK, LRCH3, GM9984, KLHDC9, CNTNAP3, GM13112, PHTF2, GM13110, GM15413, GM14204, TRO, 4933429H19RIK, SOX5OS4, GM13919, 2310030A07RIK, OPA3, CEP170B, GM10644, GM11613, ARMH2, RBM33, ZFP414, GM15423, PLEKHG4, GM12153, GM15420, GM5091, 4930412C18RIK, GM12279, GM10532, SPATS2, 1700058P15RIK, SEZ6L, BC028777, ADGRF2, MMS22L, 9630014M24RIK, NDUFS6, GORASP1, POLR1C, PPP1R18OS, SCGB2A2, 2810403G07RIK, GM10778, PKHD1L1, GM12718, AHDC1, TMEM45A, DCTN5, 2310034G01RIK, PLEKHH3, MAN2C1OS, PERM1, 4930432B10RIK, IER5L, ASB13, 1700042O10RIK, CFAP206, D030018L15RIK, 2210408I21RIK, SPATA46, GM12602, RWDD1, GM12296, NCKAP5L, 4930447K03RIK, 4930506C21RIK, 2610528J11RIK, DEFB30, 3300002I08RIK, 2310014F06RIK, GM4419, XPNPEP2, 1700093J21RIK, MFAP3, ASB8, CCDC174, ASB3, TNFSF13OS, A730071L15RIK, R3HDM2, CCDC171	1083	3694	15244	1.1240758265880986	0.9999993406184124	1.0	1.0
GOTERM_MF_DIRECT	GO:0005525~GTP binding	32	2.6622296173044924	0.017496708033082092	ARF3, GUCY1B2, ARF2, RALB, RASL2-9, ARL1, AGAP2, TUBD1, MTIF2, GIMAP5, GIMAP6, GSPT2, RHOBTB2, GMPPB, REM1, HHAT, RHOT1, ARL5C, ARL13A, RAB28, RAB8A, ARL10, EIF5B, MMAA, EFL1, TUBB4B, TUBG1, RAB10, ARL4D, GNAL, GUF1, KRAS	1083	294	15244	1.5320506780736303	0.999999999460709	1.0	1.0
GOTERM_MF_DIRECT	GO:1905394~retromer complex binding	4	0.33277870216306155	0.021664390464732855	SNX3, SORT1, TBC1D5, SLC11A2	1083	9	15244	6.25587360213399	0.999999999996839	1.0	1.0
GOTERM_MF_DIRECT	GO:0003924~GTPase activity	27	2.246256239600666	0.02254868704471837	ARF3, ARF2, RALB, RASL2-9, ARL1, AGAP2, MTIF2, GSPT2, RHOBTB2, REM1, GNG3, RHOT1, ARL5C, ARL13A, RAB28, RAB8A, ARL10, EIF5B, MMAA, EFL1, TUBB4B, RAB10, ARL4D, GNAL, GUF1, GNB3, KRAS	1083	242	15244	1.5704310798745453	0.9999999999989407	1.0	1.0
GOTERM_MF_DIRECT	GO:0004518~nuclease activity	5	0.4159733777038269	0.023075458794743806	PLSCR1, NOB1, FANCM, ZC3H12A, SND1	1083	16	15244	4.398661126500462	0.999999999999448	1.0	1.0
GOTERM_MF_DIRECT	GO:0051018~protein kinase A binding	6	0.49916805324459235	0.02881871969152663	GRIA1, AKAP10, CRYBG3, LRBA, RPS3, DACT1	1083	25	15244	3.3781717451523545	0.9999999999999996	1.0	1.0
GOTERM_MF_DIRECT	GO:0061809~NAD+ nucleosidase activity, cyclic ADP-ribose generating	4	0.33277870216306155	0.02934331054152951	IL1RL2, IL1RAPL2, SARM1, TLR2	1083	10	15244	5.63028624192059	0.9999999999999998	1.0	1.0
GOTERM_MF_DIRECT	GO:0043138~3'-5' DNA helicase activity	4	0.33277870216306155	0.04839071721528005	BLM, WRN, ERCC3, FANCM	1083	12	15244	4.691905201600492	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0050733~RS domain binding	3	0.24958402662229617	0.06233213158972776	SON, SRSF1, LUC7L	1083	6	15244	7.0378578024007385	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0004890~GABA-A receptor activity	4	0.33277870216306155	0.07208524507473366	GABRA2, GABRR2, GABRA1, GABRA3	1083	14	15244	4.021633029943279	1.0	1.0	1.0
