Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0004653~polypeptide N-acetylgalactosaminyltransferase activity	5	0.46339202965708987	0.01106318277505207	GALNT11, GALNT6, GALNT3, GALNT16, GALNT1	1007	14	15244	5.406440629876578	0.9999971588750739	1.0	1.0
GOTERM_MF_DIRECT	GO:0005515~protein binding	338	31.32530120481928	0.011114970186905257	VPS29, VEZT, AHCYL1, PWWP2B, ARAF, NFU1, LGALS4, TBK1, HERC2, CHEK1, KDR, CPNE1, PSMD1, PIEZO1, RPL35, GNAT1, EPHB2, KIFAP3, MS4A10, WLS, FNBP4, WDHD1, CUBN, ATP6V1G1, GBP7, RC3H1, SCRIB, MAPK8IP2, MED4, SYTL2, TIAM2, EID1, STX1B, IFT88, PPP1R3B, ADGRB3, TYRO3, PPP1R42, TRIB3, PRKD1, ANKRA2, RPN2, CFH, CTBP1, DHX9, CTR9, NEDD4L, HACD3, OAZ2, RIC8A, EPB41L5, SNX1, INPP5F, FLRT3, EPB41L1, PCBP2, VPS11, SNX9, RAB11FIP3, S100A10, JAG2, DTNA, SIAH2, CGN, BTBD10, LRP2BP, SNAP91, GADD45G, HNRNPL, EHD1, GLUD1, TPX2, AIMP2, UCK2, POLA2, ID1, NOSTRIN, ID3, CALM2, NRP2, ROBO4, C2CD3, FBH1, CITED2, RSPH3B, TRAM2, TRIOBP, WDR43, RAB22A, MECP2, TRMT112, TUBA1B, FTL1, AIFM2, RSRC1, TCTN2, KIF13A, NEFL, TNFAIP8L2, CIC, RNF152, BBS5, EMD, APPL2, RAB8B, DLGAP4, CCT2, UPF1, DFFA, PBRM1, FCER1G, ANXA2, PARP2, ACTL6A, RRAS2, CBFA2T2, ZDHHC17, SUMF2, GNL3, RAB33B, APBB1IP, VAMP8, CEACAM1, PSMA1, SLC7A9, HEATR5B, GFRAL, CENPC1, RHOJ, PLIN3, CDC42EP1, PLEKHO1, MDFI, ARF6, STX12, ASAH2, AHNAK, ICA1L, NR1I2, HSD17B4, ADCY3, SLC7A1, RELA, RBM15B, RELN, SERTAD1, EXOSC8, GPAT3, GPAT2, PCNT, DYNC1I1, RUNX1T1, MAP4K4, CASP8AP2, IL33, KCNB1, GABRA5, SORBS1, SYNJ2BP, TJP1, SPSB1, TTLL4, SNX17, SLMAP, ABI1, NBR1, B9D1, MAD2L1, POGLUT1, PLXND1, RASL11B, PDCD6, CIB2, KNDC1, IRS2, RORB, HOXA13, FBXO22, IPO4, CHCHD4, CCND1, SESN2, NFATC2IP, CAPN1, MEN1, SH3GL1, RGS7, NSF, CADPS2, USP7, FBXW8, TPM3, STX7, THOC1, CNPY2, CYBA, FRMD4B, POLRMT, ATP1B1, FOXP4, DGKZ, THOC7, TLE5, ERN2, LOX, CCNE1, HGS, ADAM1A, S100A6, BBOF1, PPIC, COPA, CUL7, FAM114A1, RPS19BP1, CUL2, HTRA1, ITPR2, CACNA1C, DDX60, EFNA5, CORO1B, CACNA1G, COP1, DVL1, ADGRG6, PLXNA2, USP50, RNF170, ECT2, GRIA4, IVNS1ABP, RAB4A, TOR1A, MLKL, AUTS2, FANCL, CAV1, SEC16A, ABHD15, NSFL1C, LRFN2, RCAN1, ZFP322A, BMP2, CDK6, BFSP1, DAB1, LRCH1, NASP, CDK2, DNAJC10, BCL2, MAFK, MNAT1, BCL2L2, GALK1, FGF10, SCYL3, KDM5B, CHD8, FLT4, WDR4, PIK3CD, TNFAIP3, PKD2, SYNE3, AP4M1, SGCE, IFT52, FLCN, UPK1A, UBTF, TMEM108, MFSD1, UTY, DSP, EMX1, MIR205HG, TNFRSF19, RHBDF2, KCNAB1, IRAK3, CATSPERZ, SAFB, SYNGR3, PTBP2, PARD3B, TGFBR2, TRAF7, DNAJC1, C1D, TERF2IP, EVL, ZP3, SSX2IP, HDAC5, BECN1, RBM47, PRKAA2, SMARCD3, NRXN1, VPS4B, NRXN2, RRBP1, LRP2, MFF, THSD4, CYTH2, GANAB, SV2C, FIP1L1, TAF1B, E2F1, NCAM1, SNRPB2, PCBD1, E2F7, RNF20, TXNRD3, FEM1B, TAF10, KDF1, NAP1L1, LAMB1, CDC42BPA, USH2A, KLF7, PINK1, RAD50, ACTC1, TNIP1, CROCC, POLE3, MFAP2, SPRY3, VPS45, TAF3	1007	4609	15244	1.1101443723400288	0.999997324646648	1.0	1.0
GOTERM_MF_DIRECT	GO:0030246~carbohydrate binding	17	1.5755329008341055	0.012459241660713459	GALNT11, GALNT6, GALNT3, GALNT16, FUCA1, GALNT1, CLEC11A, GFPT1, PYGM, LGALS4, GANAB, MAN2A1, REG2, CILP2, ZP3, LGALS8, ADGRL2	1007	131	15244	1.964477663985688	0.9999994387279392	1.0	1.0
GOTERM_MF_DIRECT	GO:0008199~ferric iron binding	4	0.3707136237256719	0.012483583590276778	FTL1, FTH1, ACP5, FTHL17C	1007	8	15244	7.56901688182721	0.9999994543878907	1.0	1.0
GOTERM_MF_DIRECT	GO:0016301~kinase activity	18	1.6682113067655238	0.01403987340970237	PFKFB2, DTYMK, PRKAA2, ADPGK, PIK3CD, KNDC1, MAPK8IP2, DGKZ, PINK1, UCK2, CDK6, CCND1, CCNE1, SHPK, CDK2, NEK1, PRKD1, EPHB2	1007	144	15244	1.8922542204568027	0.9999999107648436	1.0	1.0
GOTERM_MF_DIRECT	GO:0001618~virus receptor activity	6	0.5560704355885079	0.018396302629967477	DPP4, CEACAM1, SIVA1, TYRO3, SLC7A1, CD55	1007	24	15244	3.784508440913605	0.9999999994469798	1.0	1.0
GOTERM_MF_DIRECT	GO:0030674~protein-macromolecule adaptor activity	19	1.7608897126969416	0.02869734546534472	BECN1, PRKAA2, CAV1, PDCD6, CUL2, ZFP976, IRGM2, IRS2, NMD3, ATP1B1, NIPSNAP2, RAD50, SIKE1, TRIM5, SLMAP, VPS11, NEFL, RAB11FIP3, MEN1	1007	168	15244	1.7120395327942497	0.999999999999997	1.0	1.0
GOTERM_MF_DIRECT	GO:0017154~semaphorin receptor activity	4	0.3707136237256719	0.04024459129952538	NRP2, PLXND1, PLXNA2, PLXNC1	1007	12	15244	5.046011254551473	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0044877~protein-containing complex binding	49	4.541241890639481	0.04312299262843895	PRR7, CIB2, CLTA, IDE, ENO2, PANX2, FLCN, HELB, SIPA1L1, CCND1, SESN2, CAPN2, NEFL, EPHB2, APPL2, NSF, UPF1, VPS33A, STX7, MAPK8IP2, AJAP1, CEACAM1, CCNE1, CALCA, PRKAA2, CHRNA5, NRXN1, VPS4B, CUL2, SPATA2, TULP2, LRP2, MFF, CORO1B, RELA, PSMC3IP, EPCAM, RAB11FIP3, MLKL, NFYB, CAV1, CRIPT, RAD50, PINK1, NASP, CDK2, BCL2, BCL2L2, H2-Q10	1007	565	15244	1.3128560255204718	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0015271~outward rectifier potassium channel activity	4	0.3707136237256719	0.0498186311195052	KCNK6, KCNB1, PKD2, KCNK4	1007	13	15244	4.657856542662898	1.0	1.0	1.0
