Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0016274~protein-arginine N-methyltransferase activity	3	0.5199306759098787	0.021764290214238757	PRMT7, PRMT2, PRMT9	521	7	15244	12.539621606800111	0.9999999429596235	1.0	1.0
GOTERM_MF_DIRECT	GO:0042054~histone methyltransferase activity	5	0.8665511265164645	0.025038206944634735	PRMT7, PRMT2, KMT5B, PRMT9, EEF1AKMT1	521	33	15244	4.433199557959635	0.9999999955063587	1.0	1.0
GOTERM_MF_DIRECT	GO:0044020~histone H4R3 methyltransferase activity	3	0.5199306759098787	0.028371033329198915	PRMT7, PRMT2, PRMT9	521	8	15244	10.972168905950097	0.9999999996647692	1.0	1.0
GOTERM_MF_DIRECT	GO:0048487~beta-tubulin binding	5	0.8665511265164645	0.03957881806988647	BCAS3, B4GALT1, MAP1S, HDAC6, APPL1	521	38	15244	3.849883826649156	0.9999999999999492	1.0	1.0
GOTERM_MF_DIRECT	GO:0033204~ribonuclease P RNA binding	3	0.5199306759098787	0.04359148256183028	POP1, RPP30, RPP21	521	10	15244	8.777735124760076	0.9999999999999979	1.0	1.0
GOTERM_MF_DIRECT	GO:0004721~phosphoprotein phosphatase activity	6	1.0398613518197575	0.05030019012109731	DUSP12, PTPRU, RNGTT, PPP1R3B, PTPMT1, PPP1CA	521	59	15244	2.97550343212206	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0004526~ribonuclease P activity	3	0.5199306759098787	0.05209933354637271	POP1, RPP30, RPP21	521	11	15244	7.979759204327342	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0005096~GTPase activator activity	13	2.2530329289428077	0.0609427441084634	ARHGAP11A, RABGAP1, GRTP1, AGAP3, GMIP, ARHGAP15, ACAP2, SGSM2, TBC1D12, TBC1D17, SMAP1, RAB3GAP1, TBC1D22B	521	213	15244	1.7857677092626134	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0045499~chemorepellent activity	4	0.6932409012131715	0.06884066177826612	SEMA6B, SEMA4A, EPHA7, SEMA4B	521	28	15244	4.179873868933369	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0005506~iron ion binding	8	1.386481802426343	0.07044447023018952	KDM3A, TYW5, CYP11A1, CYP2AB1, CYP2T4, FBXL5, CYP46A1, PPP1CA	521	106	15244	2.2082352515119688	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0005516~calmodulin binding	11	1.9064124783362217	0.08411632971236241	UNC13C, ARPP21, NOS3, DAPK2, MYO5B, KCNQ2, MAP6, CASK, MYO5A, MBP, ADCY1	521	178	15244	1.8081476848756712	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0035243~protein-arginine omega-N symmetric methyltransferase activity	2	0.34662045060658575	0.09889046068460897	PRMT7, PRMT9	521	3	15244	19.506078055022392	1.0	1.0	1.0
