Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0035252~UDP-xylosyltransferase activity	3	0.6024096385542169	0.012731947721078475	POGLUT2, POGLUT1, GXYLT1	464	6	15244	16.426724137931036	0.9998711384262707	1.0	1.0
GOTERM_MF_DIRECT	GO:0003682~chromatin binding	24	4.819277108433735	0.03104099585810175	ANKRD17, KDM6B, BRD3, ATF2, HDAC5, CRTC2, RARG, POU2F1, PRKAA2, SMARCD3, SATB1, CITED2, CHD8, NAP1L1, FOS, RELA, EGFR, MNT, ZKSCAN3, SVEP1, PITX2, HDGFL3, ZFP386, NELFE	464	498	15244	1.5832987120897382	0.9999999997324059	1.0	1.0
GOTERM_MF_DIRECT	GO:0000979~RNA polymerase II core promoter sequence-specific DNA binding	4	0.8032128514056224	0.03510462218367427	POU2F1, RFX7, FOS, RELA	464	24	15244	5.475574712643678	0.9999999999858199	1.0	1.0
GOTERM_MF_DIRECT	GO:0043021~ribonucleoprotein complex binding	5	1.0040160642570282	0.03791127932825061	SECISBP2L, EIF4A3, RPL35, PITX2, WDR12	464	42	15244	3.9111247947454846	0.9999999999981491	1.0	1.0
GOTERM_MF_DIRECT	GO:0008092~cytoskeletal protein binding	6	1.2048192771084338	0.042189652872927474	EPB41L5, EPB41L4B, CAPN1, CRK, MYPN, TOR1AIP1	464	63	15244	3.1288998357963873	0.9999999999999178	1.0	1.0
GOTERM_MF_DIRECT	GO:0004674~protein serine/threonine kinase activity	17	3.413654618473896	0.0422085737032752	PRKAA2, STRADA, LMTK2, VRK3, ERN1, ERN2, CDK6, PBK, TLK2, CDK20, PRKD1, MARK4, MAPK6, HTATIP2, MAP4K4, CDKL1, PSKH1	464	327	15244	1.7079774333016977	0.9999999999999191	1.0	1.0
GOTERM_MF_DIRECT	GO:0070412~R-SMAD binding	4	0.8032128514056224	0.043144076142470615	DROSHA, PMEPA1, FOS, TRIM33	464	26	15244	5.054376657824934	0.9999999999999591	1.0	1.0
GOTERM_MF_DIRECT	GO:0005515~protein binding	157	31.52610441767068	0.056477676892598874	VPS29, ATF2, CRTC2, POGLUT1, UBE2D3, IPO4, GOLGA3, GJA1, CDK20, RPL35, SVEP1, CAPN1, MLYCD, PITX2, RAB2A, P3H4, CNPY2, UNC5C, MED4, GTPBP2, SDCBP2, EMSY, RNF40, THOC7, ERN1, ERN2, STX1B, EID1, LOX, STIM1, TIMELESS, PRKD1, WDFY2, HDGFL3, PPIC, SNRPB, COPA, FAM114A1, HACD3, PCDH18, TOR1AIP1, SPATA7, EPB41L5, PRDX2, BAG4, PRDX5, FLRT3, MOV10L1, USP50, ECT2, RAB11FIP3, CD164, HSPA8, SMAD1, POU2F1, BCL11A, FZD6, BTBD10, SNAP91, PUM2, EHD1, CCT6A, SEM1, NSFL1C, BMP2, CDK6, SON, LRCH1, ID1, JMY, BCL2, DRAXIN, ROBO4, RARG, NXT1, DOCK3, CITED2, FBH1, CHD8, WDR4, TNFAIP3, IL27, AP2A1, PIK3CB, RPTOR, EPB41L4B, UFL1, TRIM2, KIF13A, TLK2, FLOT1, PMEPA1, HMG20B, ATP7A, BBS5, EMD, SLC18A2, APPL2, GIT1, NELFE, KDM6B, EMX1, TSC22D4, STRADA, MIR205HG, SIRT4, RRAS2, CATSPERZ, FOS, HAX1, RHOJ, PITPNM2, CDC42EP1, PLEKHO1, SMCR8, CRK, HDAC5, STX12, PRKAA2, SMARCD3, ICA1L, VPS4B, DDX20, NRXN2, HSD17B4, PDXP, NOXO1, SLC7A1, EGFR, RELA, DCST2, MNT, ALS2CL, FIP1L1, KATNA1, RAB24, DROSHA, FLNB, MAPK6, E2F7, MAP4K4, PCDH9, LGI2, RANBP9, NAP1L1, WDR12, RIT1, SPSB1, AGBL1, SNX17, NOVA1, SLMAP, MFAP2, RAB3GAP2, B9D1, ZFP277, TRIM33	464	4609	15244	1.1191129050358744	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0001227~DNA-binding transcription repressor activity, RNA polymerase II-specific	14	2.8112449799196786	0.057008880287631875	HDAC5, NKX6-2, SATB1, BCL11A, ZBTB37, ZFP976, ZFP958, RELA, MNT, NACC2, ZKSCAN3, PITX2, ATF3, E2F7	464	262	15244	1.7555277704659122	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0015369~calcium:proton antiporter activity	2	0.4016064257028112	0.05982464809774345	LETM1, GHITM	464	2	15244	32.85344827586207	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0038100~nodal binding	2	0.4016064257028112	0.05982464809774345	LEFTY1, CFC1	464	2	15244	32.85344827586207	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0004521~RNA endonuclease activity	4	0.8032128514056224	0.06169704510370471	ERN1, ERN2, DROSHA, RNASET2A	464	30	15244	4.380459770114943	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0031267~small GTPase binding	14	2.8112449799196786	0.0632922097602657	DOCK3, NXT1, RANBP9, IPO4, RPTOR, EHD1, ALS2CL, RAB3GAP2, CDC42EP1, ECT2, ATP7A, RAB11FIP3, GIT1, APPL2	464	266	15244	1.7291288566243193	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0016887~ATP hydrolysis activity	17	3.413654618473896	0.06719539864573011	ABCC3, HSPA8, FBH1, CHD8, VPS4B, EIF4A3, DDX20, SMC6, CHD1L, ABCA13, CCT6A, HELB, KIFC2, KATNA1, KIF13A, MOV10L1, ATP7A	464	349	15244	1.6003112340677796	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0005125~cytokine activity	7	1.4056224899598393	0.08705939302689128	C1QTNF4, IL1A, LEFTY1, BMP2, TAFA5, IL18, IL27	464	101	15244	2.2769716626835095	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0035251~UDP-glucosyltransferase activity	2	0.4016064257028112	0.08838397022961751	POGLUT2, POGLUT1	464	3	15244	21.902298850574713	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0140562~EGF-domain serine xylosyltransferase activity	2	0.4016064257028112	0.08838397022961751	POGLUT2, POGLUT1	464	3	15244	21.902298850574713	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0140561~EGF-domain serine glucosyltransferase activity	2	0.4016064257028112	0.08838397022961751	POGLUT2, POGLUT1	464	3	15244	21.902298850574713	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0008013~beta-catenin binding	7	1.4056224899598393	0.0902687114507376	KDM6B, APC2, BCL9, GJA1, CDH20, CHD8, CDH7	464	102	15244	2.2546484110885734	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0035091~phosphatidylinositol binding	7	1.4056224899598393	0.0902687114507376	SNX16, SNX17, PITPNM2, NOXO1, ESYT2, SNX31, APPL2	464	102	15244	2.2546484110885734	1.0	1.0	1.0
