Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003677~DNA binding	117	8.951798010711553	0.014141072236008755	FOXA1, ZBTB25, GTF2B, TTF2, SOX21, TIAL1, SMCHD1, EME2, MYC, SPATA24, BANF1, SOX9, PKNOX1, SOX6, PKNOX2, ZBP1, PIAS4, NKX2-9, MLIP, MAP1S, DNTTIP1, GOLPH3L, HMGA1B, ISL1, SOX10, SAP30, MSH6, RFX8, ZFP292, HOXB4, NUPR1, SNRPA, GLYR1, PARPBP, AKNA, EPAS1, RTF2, ZFP507, PRDM10, BRIP1, CHTF8, EP400, HOXC5, SMYD1, HIVEP3, ZFP189, ZFP341, EGR1, STAT5B, PHC2, PHC1, HELQ, FANCM, XRCC4, VDR, CBX2, THAP12, POU2F3, NR4A2, NR4A1, TFCP2, SON, ZFP512B, TLX1, NABP2, MKX, ZFP110, FEN1, TCF25, SIX1, JRKL, FOXM1, ZFP74, ZIC2, HNF4A, POLG, TOP3B, TGIF2, TFE3, PAX6, PROX1, POU5F2, PLSCR1, SFPQ, RAD51C, PAX8, TAL2, EEF1D, THRAP3, IRF2, CRY1, IRF8, LUC7L3, CRXOS, HDAC4, CEBPD, GTF3C6, SRF, LEF1, BCLAF3, ZFP11, ZFP14, SLX4, RHOX5, DNAJB6, E2F3, SAMD1, BEND5, RHOX9, IRX5, KCNIP3, CDC5L, ARID3C, APTX, FOXR1, POLR3H, SYCP3	1195	1217	15244	1.2263835551445181	0.9999999939767037	1.0	1.0
GOTERM_MF_DIRECT	GO:0044183~protein folding chaperone	10	0.7651109410864576	0.018541227322650067	DNAJB6, APLF, HSPB1, DNAJB8, CCT8, HSPA2, CALR, CCT7, HSPA13, CCT5	1195	52	15244	2.4531702607016412	0.999999999984225	1.0	1.0
GOTERM_MF_DIRECT	GO:0003779~actin binding	35	2.6778882938026016	0.020542856622536774	PLEKHH2, WDR1, AVIL, FHOD1, LSP1, HDAC6, PPP1R9B, SPTA1, ABLIM1, ABLIM2, EPB41L3, TNNI2, STK38L, TRPM7, PDLIM5, TPRN, NOS3, MAP1S, HOMER2, PAWR, MYO5A, PARVB, FHDC1, PTK2, MTSS2, FMNL3, DIAPH2, FMNL2, MYO5B, FRG1, TLN1, SNTB1, MSRB1, LIMS1, RAI14	1195	302	15244	1.4784006206877442	0.9999999999989537	1.0	1.0
GOTERM_MF_DIRECT	GO:0000987~cis-regulatory region sequence-specific DNA binding	13	0.9946442234123948	0.025450841984928044	NOTCH1, EPAS1, LEF1, GATA5, HMGA1B, TUG1, ISL1, TFCP2, MYC, HNF4A, E2F3, SOX9, SOX6	1195	82	15244	2.022369629554036	0.9999999999999987	1.0	1.0
GOTERM_MF_DIRECT	GO:0008046~axon guidance receptor activity	4	0.306044376434583	0.03790204931511901	ROBO2, SEMA5A, L1CAM, EPHB3	1195	10	15244	5.102594142259414	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0003924~GTPase activity	28	2.1423106350420813	0.03946441558895423	ARF3, HBS1L, ARF1, SAR1B, ATL2, MTIF2, AGAP3, CDC42, ARL5B, GNG3, RAB20, GNG2, RAB23, RAC2, REM2, RAB8A, ARL10, EIF5B, TBCC, GPN1, RAB32, DNM3, RAB10, ARL4D, MRAS, GNAS, DRG1, GNB3	1195	242	15244	1.4759569832981778	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0140684~histone H3K9me2/H3K9me3 demethylase activity	3	0.22953328232593728	0.05226409767046507	KDM4A, KDM4B, KDM4D	1195	5	15244	7.65389121338912	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0031681~G-protein beta-subunit binding	5	0.3825554705432288	0.05630955192505248	GNG3, GNG2, GNG7, GNAS, CCT5	1195	19	15244	3.3569698304338247	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0015485~cholesterol binding	8	0.612088752869166	0.05902759296592225	STARD4, SOAT1, CYP11A1, OSBPL3, VDAC1, TMEM97, OSBPL1A, OSBP2	1195	45	15244	2.2678196187819615	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0005080~protein kinase C binding	9	0.6885998469778117	0.06321461777664471	SRC, PRKCB, RACK1, HSPB1, PAWR, PKN1, PDLIM5, SQSTM1, DACT1	1195	55	15244	2.087424876378851	1.0	1.0	1.0
