,Term,ES,NES,NOM p-value,FDR p-value,Set size,Tag %,Rank %,Leading edge
192,Primary bile acid biosynthesis Homo sapiens hsa00120,-0.78322077,-1.830831,0.0018348624,0.4524590168148279,12,0.25,0.05218167,HSD17B4;CYP7B1;CYP39A1
63,DNA replication Homo sapiens hsa03030,-0.58568746,-1.7447242,0.0032786885,0.4524590168148279,33,0.4848485,0.1721549,MCM4;POLE2;RFC5;POLE3;MCM3;MCM7;DNA2;POLA2;RPA1;PCNA;PRIM2;POLD1;RFC4;POLE;FEN1;RFC3
99,Glycolysis / Gluconeogenesis Homo sapiens hsa00010,-0.52331376,-1.6654578,0.009787928,0.900489404797554,47,0.44680852,0.25481305,ACSS2;PGM1;ACSS1;DLD;ADPGK;GAPDH;HK1;PKLR;PCK2;AKR1A1;ENO1;ALDOA;G6PC3;PFKP;ALDOC;ALDH9A1;PDHA1;ENO2;PGM2;DLAT;MINPP1
107,Graft-versus-host disease Homo sapiens hsa05332,0.72707325,1.592173,0.019067796,0.9078947252460889,8,0.5,0.12272356,IL1A;FAS;CD80;HLA-DMA
108,HIF-1 signaling pathway Homo sapiens hsa04066,-0.42835358,-1.476895,0.02245509,0.9078947252460889,80,0.2875,0.16457295,PFKFB3;IFNGR1;SERPINE1;RELA;STAT3;HK1;CUL2;TLR4;EDN1;CDKN1B;ALDOA;ARNT;MAP2K2;PIK3CD;BCL2;EPO;EIF4E2;PDK1;ENO2;EIF4E;IGF1R;AKT3;EIF4EBP1
229,Serotonergic synapse Homo sapiens hsa04726,0.3653891,1.4346905,0.023026315,0.9078947252460889,76,0.2236842,0.11997324,PLCB4;GNG7;DUSP1;KRAS;KCNJ9;ITPR3;CACNA1A;GNAI1;HTR4;GNB5;ALOX12;TPH2;GNB3;GNG2;GNG3;HTR1B;CYP2J2
8,African trypanosomiasis Homo sapiens hsa05143,0.60707104,1.6059325,0.022167487,0.9078947252460889,14,0.42857143,0.11424961,PLCB4;FAS;THOP1;MYD88;IDO2;HPR
71,Endocytosis Homo sapiens hsa04144,-0.34799075,-1.3475316,0.026957639,0.9184691905975342,209,0.23923445,0.1626403,CLTA;SMURF1;RAB22A;RAB11B;CHMP6;FGFR3;ITCH;FOLR1;CYTH2;SNX1;KDR;ZFYVE27;HGS;STAMBP;CHMP5;VPS45;VPS29;ARPC5;CAPZA1;ARF6;ARPC3;CAV1;PARD6G;IST1;TRAF6;RAB11FIP1;EPS15L1;RAB5C;SH3GLB2;TGFBR2;VPS37C;NEDD4L;GRK4;RAB11FIP3;KIF5A;CHMP4C;DNM2;SH3GL1;PLD2;RAB4A;LDLR;ARAP1;VPS4A;VPS26B;RAB5B;ACAP1;EHD1;IGF1R;SNX12;VPS4B
221,Retrograde endocannabinoid signaling Homo sapiens hsa04723,0.35790306,1.380079,0.031358887,0.9184691905975342,78,0.30769232,0.1676206,PLCB4;ADCY4;GNG7;GABRA2;GNG10;MAPK12;GNG11;KCNJ9;ITPR3;CACNA1A;ADCY1;GABRA3;GNAI1;GNB5;GABRA1;GRIA1;GABRG2;GNB3;GNG2;GABRR2;GNG3;ABHD6;CNR1;ADCY9
87,Fructose and mannose metabolism Homo sapiens hsa00051,-0.5887409,-1.6171228,0.03327787,0.9184691905975342,23,0.4347826,0.15074705,PFKFB3;PFKFB2;PMM2;HK1;GMPPA;ALDOA;PFKP;PMM1;AKR1B1;MPI
