,Term,ES,NES,NOM p-value,FDR p-value,Set size,Tag %,Rank %,Leading edge
269,beta-Alanine metabolism Homo sapiens hsa00410,-0.5225204,-1.4835461,0.06390978,0.9967153945577488,20,0.35,0.14845054,HIBCH;CNDP2;ABAT;SMOX;ALDH1A3;UPB1;MLYCD
271,cGMP-PKG signaling pathway Homo sapiens hsa04022,0.20512865,0.8184681,0.86923075,0.9967153945577488,112,0.4017857,0.3097182,MYLK3;OPRD1;CACNA1D;PRKCE;SLC8A2;CREB1;ATP2A2;ITPR3;ATP2B1;ATP2A3;ATP2B3;MEF2A;ATP1B2;VASP;MYLK;PPIF;PLCB4;VDAC1;ATP1A3;KCNMB2;PLCB1;MAP2K2;GATA4;SLC25A5;PPP1CA;ATF6B;ADRA1A;ADORA1;GTF2IRD1;GTF2I;AKT2;GNAI2;PDE3A;ADCY8;EDNRA;SRF;PIK3CA;AKT3;MAP2K1;ADCY1;KCNU1;ATP2B2;PIK3R1;PPP1CC;NOS3
272,mRNA surveillance pathway Homo sapiens hsa03015,0.4053153,1.4873129,0.026262626,0.9967153945577488,64,0.359375,0.21411641,SMG7;DDX39B;PPP2R5A;NCBP1;PPP2R2B;CPSF7;PPP2CB;SMG5;CPSF2;RNGTT;PPP1CA;PABPC4;PPP2CA;GSPT2;SAP18;PPP2R5C;PPP2R3C;PPP2R2A;SMG6;CSTF1;ETF1;PCF11;ALYREF
273,mTOR signaling pathway Homo sapiens hsa04150,0.26317397,0.8718098,0.6848249,0.9967153945577488,40,0.375,0.20472303,RRAGA;CAB39L;ULK3;IKBKB;DDIT4;PRKCB;HIF1A;BRAF;VEGFA;AKT2;PIK3CA;AKT3;CAB39;RPS6;PIK3R1
274,p53 signaling pathway Homo sapiens hsa04115,-0.2626564,-0.91761667,0.5959596,0.9967153945577488,50,0.28,0.19313493,PERP;CHEK2;CDK2;SESN2;CCNE1;CDK6;GTSE1;CASP8;CCND2;CCND3;MDM4;TSC2;BID;CDK1
0,2-Oxocarboxylic acid metabolism Homo sapiens hsa01210,-0.33971006,-0.7292009,0.78294575,0.9967153945577488,7,0.2857143,0.11333509,IDH1;CS
248,Thyroid hormone synthesis Homo sapiens hsa04918,0.3471102,1.1634727,0.21485944,0.9967153945577488,39,0.23076923,0.13370204,PAX8;PDIA4;PRKCB;GSR;GPX2;ADCY8;TTF2;GNAS;ADCY1
32,Basal transcription factors Homo sapiens hsa03022,0.35685703,1.1226393,0.30540037,0.9967153945577488,30,0.43333334,0.24993415,GTF2B;TAF4B;TAF6;TAF9B;CDK7;TAF7;TAF15;GTF2F1;GTF2IRD1;GTF2I;GTF2H3;CCNH;GTF2E2
24,Arginine biosynthesis Homo sapiens hsa00220,0.3873482,0.9146127,0.59607846,0.9967153945577488,11,0.18181819,0.038714774,GLS;NOS3
33,Base excision repair Homo sapiens hsa03410,-0.26724243,-0.76386046,0.79123175,0.9967153945577488,23,0.3043478,0.23167413,POLE2;PARP3;OGG1;PARP2;POLE;POLD4;NEIL2
34,Bile secretion Homo sapiens hsa04976,-0.2470164,-0.80558616,0.7780127,0.9967153945577488,37,0.16216215,0.10999912,ADCY7;ABCC3;ADCY9;NR1H4;SLCO1A2;SLC10A1
35,Biosynthesis of amino acids Homo sapiens hsa01230,-0.4706088,-1.5612963,0.0349345,0.9967153945577488,43,0.37209302,0.19085243,MTR;PYCR1;PFKL;MAT2B;PYCR2;MAT2A;RPIA;PKM;IDH1;ENO2;ALDOA;ARG1;PKLR;ARG2;ENO3;CS
36,Biosynthesis of unsaturated fatty acids Homo sapiens hsa01040,-0.51578355,-1.2856354,0.17427386,0.9967153945577488,12,0.5,0.24080415,ELOVL6;TECR;ACOX3;HSD17B12;ACOT7;ELOVL5
37,Bladder cancer Homo sapiens hsa05219,0.4189315,1.294707,0.13877551,0.9967153945577488,28,0.5,0.23615135,MMP9;MYC;E2F2;THBS1;MAP2K2;CDKN1A;KRAS;CDH1;DAPK2;BRAF;VEGFA;RB1;MAP2K1;E2F3
257,Tyrosine metabolism Homo sapiens hsa00350,0.3686043,0.9556039,0.5279851,0.9967153945577488,14,0.5714286,0.30857694,FAH;GSTZ1;AOC2;ADH5;TPO;FAHD1;COMT;MAOA
39,Calcium signaling pathway Homo sapiens hsa04020,0.26596987,1.056547,0.35018727,0.9967153945577488,105,0.42857143,0.31191292,MYLK3;CACNA1D;HRH1;SLC8A2;TBXA2R;ATP2A2;ITPR3;ATP2B1;ATP2A3;ATP2B3;CHRM3;HTR7;ITPKA;MYLK;PPIF;HTR4;PLCB4;PLCD4;GRIN1;VDAC1;ORAI1;PRKCB;PLCB1;ITPKC;SLC25A5;PLCG2;BDKRB1;CACNA1H;ADRA1A;ITPKB;GRM1;CD38;RYR2;PHKA1;ADCY8;LTB4R2;NOS2;PLCD3;EDNRA;GNAL;GNAS;PTK2B;ADCY1;ATP2B2;NOS3
48,Chemokine signaling pathway Homo sapiens hsa04062,0.26174128,1.0365603,0.392233,0.9967153945577488,103,0.30097088,0.21192169,SOS2;GSK3B;LYN;RAC1;GNB3;GNG11;PLCB4;CDC42;IKBKB;PRKCB;CXCR2;JAK3;KRAS;ARRB1;BRAF;JAK2;AKT2;GNG2;PRKCZ;ADCY8;GNG8;PIK3CA;PAK1;CX3CR1;AKT3;CCL28;ADCY1;GNB5;PIK3R1;FGR;PARD3
49,Choline metabolism in cancer Homo sapiens hsa05231,0.23389919,0.8711649,0.68992245,0.9967153945577488,72,0.3472222,0.24106751,PDGFC;SOS2;DGKQ;RAC1;WASF1;DGKA;PRKCB;HIF1A;MAP2K2;PLA2G4B;WASF2;KRAS;DGKD;PLD1;AKT2;SLC22A5;SLC44A3;PDGFB;PIK3CA;AKT3;MAP2K1;SLC44A4;PIK3R1;DGKB;PDGFD
242,TGF-beta signaling pathway Homo sapiens hsa04350,0.23962341,0.82690454,0.76459146,0.9967153945577488,54,0.18518518,0.122465104,MYC;THBS1;ACVR1;SKP1;PPP2CA;BMPR1B;FST;NODAL;RBX1;TGIF2
243,TNF signaling pathway Homo sapiens hsa04668,0.28411794,1.0839089,0.33017078,0.9967153945577488,79,0.30379745,0.20472303,MMP9;TNFRSF1A;BIRC2;IL15;CEBPB;BCL3;DNM1L;IKBKB;TRAF5;MAPK12;MLKL;CFLAR;BIRC3;AKT2;DAB2IP;MAP3K8;RIPK1;PIK3CA;AKT3;FAS;CASP3;PIK3R1;MAPK13;TAB2
244,Taste transduction Homo sapiens hsa04742,0.45594501,1.4111494,0.074074075,0.9967153945577488,30,0.33333334,0.16548152,GABRA3;ITPR3;GNAT3;HCN4;CHRM3;GNB3;SCNN1B;ADCY8;GRM4;GABRA2
245,Terpenoid backbone biosynthesis Homo sapiens hsa00900,0.46927527,1.3233333,0.14314516,0.9967153945577488,19,0.5263158,0.2696866,GGPS1;RCE1;IDI2;PDSS1;MVK;ICMT;HMGCR;FNTA;HMGCS2;HMGCS1
246,Thyroid cancer Homo sapiens hsa05216,0.5031129,1.423848,0.064449064,0.9967153945577488,19,0.42105263,0.13115618,PAX8;MYC;LEF1;RXRG;MAP2K2;KRAS;CDH1;NCOA4
247,Thyroid hormone signaling pathway Homo sapiens hsa04919,0.25366592,0.96566564,0.5117647,0.9967153945577488,77,0.20779221,0.14581688,CASP9;GSK3B;KAT2B;MYC;ITGB3;PRKCB;HIF1A;RXRG;MAP2K2;PLCG2;KRAS;AKT2;AKT3;THRB;MED13L;PIK3R1
263,Vibrio cholerae infection Homo sapiens hsa05110,-0.28638947,-0.92657703,0.55490196,0.9967153945577488,35,0.45714286,0.31243965,ATP6V1E1;ATP6V0A4;ATP6V0E1;SLC12A2;ATP6V1G1;SEC61G;ATP6V0B;SEC61A2;KDELR2;ADCY9;ATP6V1F;SEC61A1;ATP6V1H;ATP6V1G2;ATP6V1D;ATP6V0D1
249,Tight junction Homo sapiens hsa04530,0.3229949,1.2540323,0.11045365,0.9967153945577488,91,0.20879121,0.16398911,MRAS;MYH14;PPP2R2B;ASH1L;PPP2CB;MYL12A;SHROOM1;PRKCB;AMOTL1;CASK;KRAS;PARD6A;EPB41L3;PPP2CA;AKT2;PRKCZ;PPP2R2A;AKT3;MYH10
250,Toll-like receptor signaling pathway Homo sapiens hsa04620,0.26925138,0.93848395,0.5547025,0.9967153945577488,54,0.37037036,0.24554473,TIRAP;RAC1;TRAF6;IKBKB;TOLLIP;MAPK12;MAP2K2;CCL5;TLR2;AKT2;MAP3K8;RIPK1;PIK3CA;IFNAR1;AKT3;MAP2K1;TLR3;PIK3R1;MAPK13;TAB2
251,Toxoplasmosis Homo sapiens hsa05145,0.22080712,0.8369757,0.80196077,0.9967153945577488,76,0.32894737,0.22447546,CASP9;TNFRSF1A;CYCS;BIRC2;TRAF6;PPIF;IKBKB;MAPK12;LAMC2;GNAO1;BIRC3;TLR2;JAK2;AKT2;BIRC7;NOS2;PIK3CA;HSPA1L;AKT3;LAMA4;CASP3;HSPA1B;PIK3R1;MAPK13;TAB2
252,Transcriptional misregulation in cancer Homo sapiens hsa05202,0.287404,1.1520412,0.19337016,0.9967153945577488,107,0.22429906,0.16802739,MMP9;RARA;PAX8;SPINT1;MYC;DDX5;CEBPB;TLX1;SIX1;NUPR1;RXRG;CDKN1A;TAF15;PBX3;CSF1R;ETV1;BIRC3;JUP;ATF1;PTCRA;DDIT3;ETV6;KMT2A;PAX7
253,Tryptophan metabolism Homo sapiens hsa00380,0.2903699,0.87249345,0.652439,0.9967153945577488,26,0.34615386,0.25458696,OGDH;ALDH9A1;HADHA;TPH2;IDO2;GCDH;MAOA;ASMT;ALDH1B1
