,Term,ES,NES,NOM p-value,FDR p-value,Set size,Tag %,Rank %,Leading edge
36,Biosynthesis of amino acids Homo sapiens hsa01230,-0.53089976,-1.7760179,0.0023201855,0.6403712080791593,48,0.47916666,0.2723714,IDH1;ARG1;PFKL;RPIA;PGAM2;TPI1;TALDO1;ALDOC;PKM;SHMT1;ALDOA;CTH;PYCR1;MTR;PRPS1;CS;BCAT2;IDH2;ARG2;ENO2;PFKP;PYCR2;PKLR
183,Peroxisome Homo sapiens hsa04146,-0.31810567,-1.138836,0.2240566,0.9749474069651436,71,0.12676056,0.10553511,CRAT;PRDX5;HSD17B4;MLYCD;NUDT7;ABCD4;PEX14;ECI2;SLC27A2
162,Notch signaling pathway Homo sapiens hsa04330,0.36645883,1.1309303,0.26811594,0.9749474069651436,42,0.26190478,0.17325608,NOTCH1;HES1;DTX3;CREBBP;NCSTN;KAT2B;APH1B;DTX2;PTCRA;NCOR2;CIR1
168,Other glycan degradation Homo sapiens hsa00511,0.44528976,0.95206815,0.51660514,0.9749474069651436,9,0.33333334,0.33249825,MAN2B2;GBA2;FUCA1
169,Other types of O-glycan biosynthesis Homo sapiens hsa00514,-0.5201024,-1.5066776,0.060402684,0.9749474069651436,23,0.47826087,0.2033978,ST3GAL3;POMGNT1;POGLUT1;POFUT1;POMT1;B4GALT3;FUT9;B4GALT2;GXYLT1;GXYLT2;RFNG
170,Ovarian steroidogenesis Homo sapiens hsa04913,0.28190517,0.86643404,0.69573283,0.9749474069651436,37,0.21621622,0.14601111,PLA2G4A;CYP17A1;STAR;CYP11A1;HSD17B7;HSD3B2;ADCY1;GNAS
171,Oxidative phosphorylation Homo sapiens hsa00190,-0.36046988,-1.3164382,0.08192771,0.9749474069651436,85,0.21176471,0.1469506,ATP6V1E1;NDUFV2;ATP6V1H;ATP6V0D1;NDUFB7;SDHB;ATP6V1F;COX7B;COX17;UQCRC2;NDUFB1;NDUFA12;COX6C;SDHD;COX6B2;COX6A1;ATP6V0B;UQCR10
172,Oxytocin signaling pathway Homo sapiens hsa04921,-0.29089993,-1.1469103,0.16756757,0.9749474069651436,123,0.20325203,0.12667345,EGFR;PIK3R2;MAPK7;GNAI2;PPP1R12B;PLA2G4C;MYLK;EEF2;PRKAG1;ROCK2;CACNG4;ADCY7;PRKAB1;FOS;PIK3R3;CAMK2B;MYL6B;RCAN1;PIK3CB;NRAS;CACNB4;PPP1R12A;MAP2K5;MYL9;PPP1R12C
173,PI3K-Akt signaling pathway Homo sapiens hsa04151,0.23344646,0.9448929,0.60730594,0.9749474069651436,257,0.19066148,0.16386127,CHUK;TLR2;RPS6;MYC;MYB;FGF14;PDGFB;GNB2;PDGFD;MAPK1;NR4A1;COL6A6;KDR;CDKN1A;AKT2;COL4A3;PRL;ITGB8;GNG3;PRKAA1;RAC1;THBS1;AKT3;FGFR4;PKN3;FGF8;LAMA4;EFNA3;DDIT4;TNC;KIT;ITGA10;PTK2;PKN2;TSC2;EPOR;PIK3R1;GNG7;PPP2R3C;GNB3;PIK3R5;PPP2R2B;GNG2;FGF5;NOS3;PPP2CA;FGFR1;PKN1;SOS2
175,Pancreatic cancer Homo sapiens hsa05212,0.26050645,0.8579741,0.7180385,0.9749474069651436,57,0.2982456,0.19729117,CHUK;KRAS;CDC42;MAPK1;ARAF;AKT2;E2F3;RAC1;AKT3;RAC2;VEGFA;ERBB2;RALA;PIK3R1;SMAD2;PIK3R5;STAT1
176,Pancreatic secretion Homo sapiens hsa04972,0.3404685,1.1259319,0.278481,0.9749474069651436,57,0.40350878,0.26649964,PRKCB;ATP2B1;PLA2G5;SLC4A4;RAP1B;TRPC1;RAB8A;ATP2B4;ITPR3;RAC1;CHRM3;CPA2;SCTR;PRKCG;ATP1A3;ADCY1;ATP1B1;GNAS;RYR2;SLC9A1;CD38;RAB11A;BST1
177,Pantothenate and CoA biosynthesis Homo sapiens hsa00770,-0.34127957,-0.82336557,0.7002053,0.9749474069651436,12,0.25,0.09864558,DPYD;COASY;PANK4
178,Parkinson's disease Homo sapiens hsa05012,-0.26393187,-0.9791394,0.47368422,0.9749474069651436,90,0.16666667,0.103108115,GNAI2;UBE2J1;NDUFB7;COX7B;UQCRC2;SLC18A2;NDUFB1;NDUFA12;COX6C;SDHD;COX6B2;UCHL1;SLC25A31;COX6A1;UQCR10
179,Pathogenic Escherichia coli infection Homo sapiens hsa05130,-0.341971,-1.1285847,0.24429224,0.9749474069651436,44,0.20454545,0.12604713,TUBB3;TUBA1B;YWHAZ;ABL1;ROCK2;ARPC1B;NCL;NCK1;ARPC3
