,Term,ES,NES,NOM p-value,FDR p-value,Set size,Tag %,Rank %,Leading edge
248,Thyroid hormone signaling pathway Homo sapiens hsa04919,-0.33164,-1.1246756,0.24242425,1.0,96,0.20833333,0.1549024,AKT3;PIK3R5;ACTG1;KRAS;MED1;PLCD4;AKT2;NCOA1;KAT2B;CASP9;STAT1;PLCG1;SLC16A2;MAP2K2;MYC;PLCB4;MED24;DIO3;NOTCH1;SIN3A
249,Thyroid hormone synthesis Homo sapiens hsa04918,-0.29559478,-0.9017875,0.6330709,1.0,51,0.33333334,0.2649744,GPX3;ITPR3;HSPA5;GNAS;GPX1;ADCY8;ADCY3;CREB1;TPO;GPX8;ADCY9;ITPR2;PLCB4;GPX7;CREB3;LRP2;ADCY1
250,Tight junction Homo sapiens hsa04530,-0.23086987,-0.79676265,0.8623188,1.0,104,0.14423077,0.10999777,GNAI1;AKT3;SHROOM2;CLDN3;ACTG1;AKT2;PRKCE;YES1;LLGL1;PPP2R2B;EPB41L2;MAGI3;CTNNA1;CLDN6;MAGI2
251,Toll-like receptor signaling pathway Homo sapiens hsa04620,-0.31914058,-1.0114211,0.44157815,1.0,62,0.20967741,0.11318934,AKT3;PIK3R5;RIPK1;CD40;AKT2;TOLLIP;STAT1;MAP2K2;CD80;TLR4;IKBKB;NFKBIA;MAPK9
252,Toxoplasmosis Homo sapiens hsa05145,-0.29430974,-0.977626,0.49770993,1.0,86,0.24418604,0.14851926,ITGB1;GNAI1;AKT3;PIK3R5;CD40;HLA-DMB;AKT2;CASP3;CASP9;STAT1;MAP2K6;IFNGR1;TLR4;GNAO1;HSPA1L;TAB1;BIRC3;IKBKB;PPIF;NFKBIA;MAPK9
253,Transcriptional misregulation in cancer Homo sapiens hsa05202,0.24863684,0.97044986,0.52866244,1.0,126,0.16666667,0.12484228,LYL1;PTCRA;KLF3;SPINT1;RARA;PTK2;EYA1;CCND2;FOXO1;RELA;ATM;MEIS1;TLX1;MYCN;GOLPH3L;FUS;JMJD1C;PAX3;LDB1;FLT3;MET
254,Tryptophan metabolism Homo sapiens hsa00380,0.51664644,1.526041,0.021479713,1.0,31,0.22580644,0.14362058,IL4I1;ALDH9A1;MAOA;TPH2;GCDH;CYP1B1;OGDH
255,Tuberculosis Homo sapiens hsa05152,0.29478937,1.1302974,0.19936709,1.0,111,0.10810811,0.08453945,IFNGR2;ATP6V1H;EEA1;HSPD1;IL18;RELA;BCL10;PLA2R1;IL1A;CASP8;FCGR2C;BCL2
240,Synaptic vesicle cycle Homo sapiens hsa04721,0.20299758,0.68611443,0.94683546,1.0,53,0.16981132,0.15371484,STX1B;SLC32A1;AP2A1;ATP6V1H;RAB3A;DNM3;ATP6V1G2;VAMP2;AP2M1
241,Systemic lupus erythematosus Homo sapiens hsa05322,0.389423,1.0964528,0.3042394,1.0,23,0.13043478,0.014844504,SNRPD3;SNRPB;C7
