,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
2,Gm19938,473.3260457273413,-0.8212138210938458,0.0544941041355635,-15.06977376948768,2.5598808829856332e-51,4.887248567866021e-50,True
3,Mrpl15,13.133859526842414,-0.9083812845115992,0.2033317751327091,-4.467483175803306,7.914523358868446e-06,2.292681538841997e-05,True
6,Atp6v1h,166.6088288260659,1.0033025367783983,0.0589698001471486,17.013836476888773,6.4848695023287145e-65,1.6154899979590394e-63,True
7,Rb1cc1,705.1571650215614,-1.3428823824010503,0.0348508928676347,-38.5322231915658,0.0,1e-300,True
9,St18,46.8927700284053,-3.80178670649066,0.1822270375232326,-20.86291232170176,1.1636537366901744e-96,4.710642719268002e-95,True
13,Sntg1,41.22274326966433,0.6794650719404075,0.1114718357151153,6.0953968110554175,1.0916631340946183e-09,4.465732137788699e-09,True
14,Rrs1,396.0470996639054,-0.5312477302136364,0.0353541085749668,-15.026477872780994,4.925053435889999e-51,9.32135654619527e-50,True
17,Mybl1,61.148276841827794,-1.223706078225418,0.0938362642906853,-13.040865250503035,7.16393939441631e-39,9.89596936252389e-38,True
26,Arfgef1,122.52075573374576,0.6891523867584423,0.0667954819117073,10.317350321229634,5.882412269829565e-25,5.2405311143545294e-24,True
27,Cpa6,88.00367778645413,-2.7397422653462224,0.1065199287174198,-25.720466567475043,6.900811491474908e-146,5.113618278089542e-144,True
35,Gm29570,10.85786254113489,2.8276232183508943,0.3057785056550146,9.24729229182994,2.3025145418576212e-20,1.6939997605387494e-19,True
37,Lactb2,21.237630086075125,-2.274386073506361,0.1841814964265917,-12.348613284358082,4.955828777363554e-35,6.086203206357713e-34,True
38,Eya1,69.58245751820955,1.3494781288623074,0.0991410252317514,13.611702377575543,3.412023545600068e-42,5.126242935176459e-41,True
41,Trpa1,140.96632119498938,1.1399132828450511,0.0632137789644767,18.032671065047868,1.0794863721840406e-72,3.104943696834622e-71,True
47,Rdh10,398.5221501900824,1.6754775536077224,0.0450224549512009,37.21426464691322,4.01217022880902e-303,1.1316908542163248e-300,True
48,Stau2,38.99228446028549,-2.0058652163091124,0.1391089805511929,-14.419379743574083,3.908390813626706e-47,6.661787382914604e-46,True
49,Ube2w,13.575336397239118,1.2253553876915677,0.1927102466781556,6.358537798657002,2.0368326804062802e-10,8.803788906313651e-10,True
52,Tmem70,73.91772805302446,0.9190147820127548,0.0817821970532249,11.237345230706485,2.67300080018858e-29,2.76927950199632e-28,True
63,Paqr8,61.82211658075102,2.3334936111676208,0.1158323152088736,20.14544565529722,2.9504255572839283e-90,1.0954786018212596e-88,True
64,Efhc1,32.404175215167264,-5.763352753765546,0.3962739682679778,-14.543859085561012,6.388712281560675e-48,1.1094915628593155e-46,True
66,Tmem14a,27.93061922346377,-1.8095692861332613,0.2387768780595422,-7.578494621585683,3.4958739228721274e-14,1.8992184890707602e-13,True
69,Kcnq5,84.74056833254689,-1.9295905557215547,0.097543212858832,-19.78190485189497,4.262794897024629e-87,1.5090639101045895e-85,True
70,Rims1,287.6489457767225,-0.8036693876571539,0.042126232380863,-19.077646925345302,3.8730750805751324e-81,1.2519840482273182e-79,True
72,Ogfrl1,36.261493595372734,-1.5221672808467046,0.1307904377843405,-11.638215351466258,2.6347091147232907e-31,2.8996723095205105e-30,True
75,Sdhaf4,21.25200194671843,1.6227810415715738,0.1788443340254739,9.07370675405591,1.1503542500506726e-19,8.174479936971217e-19,True
77,Lmbrd1,13.80082577354352,-0.958567609193988,0.1966322230480502,-4.874926369315097,1.088490467878949e-06,3.450732290738733e-06,True
78,Adgrb3,37.52759612561288,0.5069434052570182,0.1286969108833918,3.939048744661348,8.180531031290671e-05,0.0002099356259448,True
79,Phf3,135.18863495629182,0.5137878765880928,0.0653819565551712,7.858251781660022,3.895317109187682e-15,2.2124490290832796e-14,True
85,Rab23,52.11558916430197,-0.7227031510110178,0.0990123087953517,-7.299124319025532,2.8964660439999e-13,1.4981779999251774e-12,True
86,Bag2,433.86345417589087,-0.5947624820697517,0.035065237671566,-16.961598482249475,1.5798738343424203e-64,3.880454159407338e-63,True
99,Uggt1,35.64601647467136,-4.54575436809458,0.255656158140534,-17.780734879054947,9.96650418432781e-71,2.7534632729150827e-69,True
100,Arid5a,13.636123070518131,-1.0141641118436375,0.1956546271029499,-5.183440467830093,2.1782977915365914e-07,7.412740178710237e-07,True
102,Lman2l,92.74064031904358,0.5491705430555978,0.0720735612423402,7.619583847245543,2.5449485542585958e-14,1.3908143849023225e-13,True
105,Ankrd23,12.537551379420576,-0.6218348300558134,0.2011354830706764,-3.0916217296045594,0.0019906634335505,0.0041661946057841,True
109,Fam178b,47.61684166345415,0.6922849577023101,0.1030548666117906,6.717634794581404,1.846978874383306e-11,8.613324414724067e-11,True
111,Actr1b,24.56023663832148,-2.1342852243995374,0.1650465956765441,-12.931410161178228,2.992787810664835e-38,4.063499474604552e-37,True
112,Zap70,62.08281446581504,0.5599215285014547,0.0913234511796197,6.131191071613925,8.722357219856602e-10,3.5882517774841744e-09,True
115,Vwa3b,19.11571636390281,-0.8787523542865898,0.1572606193622191,-5.5878729070916044,2.2986776906495237e-08,8.525827243707076e-08,True
118,Inpp4a,28.05117487077119,2.16209720089419,0.1743771377715312,12.398971726023898,2.646984954641893e-35,3.2806855341443955e-34,True
119,Coa5,13.75880319571572,-2.0188827927051123,0.2163703923181434,-9.330679540186892,1.0519427858415391e-20,7.831577453723641e-20,True
121,Mgat4a,169.110236067006,1.3273396712310324,0.0884774232945687,15.002015449883832,7.122331376692374e-51,1.3436389548608008e-49,True
122,2010300C02Rik,11.513602165476806,-0.8062505718406011,0.2217728510038451,-3.63547913187364,0.0002774644551767,0.0006614365310975,True
125,Mrpl30,181.58415895311063,0.6086886890419965,0.058435941607905,10.41634090755636,2.088336728191763e-25,1.889334335365626e-24,True
127,Eif5b,230.89734207270487,-0.9650558378435472,0.0513055741066074,-18.809960801496256,6.258403472870893e-79,1.947454803088366e-77,True
128,Rev1,10.27565676601572,-1.1052373195255192,0.2371446035282055,-4.660604977224643,3.1528130596419863e-06,9.527629996028868e-06,True
130,Gm16150,116.98745626858135,0.7528567468803491,0.0713867716644349,10.546166037865865,5.29123797269009e-26,4.885595019345527e-25,True
132,Lonrf2,60.95769668917868,0.5956690526216056,0.0870473062434851,6.843049811965743,7.752467929212559e-12,3.710321815710708e-11,True
134,Npas2,24.08880634466551,1.3119150467636154,0.1508237329034132,8.698332958008402,3.3679511686228982e-18,2.2394954386645338e-17,True
138,Gm15832,18.26897105881445,-2.8864546543880967,0.2236442596394514,-12.906455363716915,4.139205430875465e-38,5.598331366987636e-37,True
140,Map4k4,143.9424245719836,1.168976792204364,0.0645092695117852,18.12106695752929,2.173391697857546e-73,6.324172048607782e-72,True
152,Bivm,218.2398528556723,0.7567337743645712,0.0540231223012548,14.0075904932839,1.4007733990444421e-44,2.2474059818797435e-43,True
160,Slc39a10,66.87600287359099,0.891136804269063,0.0843242427397172,10.567978736787774,4.1943708151230376e-26,3.901657277386792e-25,True
165,Stat4,14.837438341110053,-3.1015201002916584,0.2638588576609667,-11.75446648934111,6.6982481276051e-32,7.470597146400384e-31,True
166,Stat1,102.31209447760504,-1.156032977415977,0.083510228382212,-13.843010608533016,1.4020897569324329e-43,2.1951428531096137e-42,True
170,Mfsd6,43.83846124929713,-0.8378985032020209,0.1098397926499696,-7.6283693094012115,2.3774168603225135e-14,1.3004775118335977e-13,True
178,Asnsd1,161.8322287981891,-0.6029182027376329,0.0564551430204718,-10.67959747297073,1.2682035778809283e-26,1.2073132373424974e-25,True
179,Dnah7a,14.385524692120194,1.3281107311748404,0.1862053089586136,7.132507330765898,9.855682615219228e-13,4.954187340470073e-12,True
186,Sf3b1,10.887830022534663,-1.8071805264756329,0.2355772758628153,-7.671285440655217,1.7028113118626596e-14,9.367336968183136e-14,True
187,Coq10b,98.7945530932535,1.0113211970473253,0.0754800184564325,13.398528746135176,6.167363294975328e-41,8.972949193222007e-40,True
188,Hspd1,46.23113640267877,0.8286425146887594,0.1003050673547552,8.261222852859937,1.441876006402929e-16,8.847553543850675e-16,True
189,Hspe1,25.22638113837644,2.487462586265215,0.1738039909100857,14.3118841704392,1.8444746997713573e-46,3.08967179593884e-45,True
195,Plcl1,42.47120240884275,0.6913216369214055,0.1042000094674103,6.634564050952638,3.254630015991244e-11,1.4911440848743743e-10,True
197,9130024F11Rik,369.8593902606008,0.6666862204512544,0.043469476595061,15.336881708094966,4.335256334075891e-53,8.634961591152527e-52,True
204,Sgo2a,20.67717523974808,-1.6593733034307112,0.2016336013828985,-8.229646705955481,1.877664054206102e-16,1.144530811431032e-15,True
212,Gm15834,79.05079225491723,0.7948851284492209,0.0833199684351758,9.540151579241812,1.4262369867470017e-21,1.1021667001428e-20,True
214,Ndufb3,21.41400527503605,0.6768367330322701,0.1448607124729464,4.672327793214971,2.978051779330252e-06,9.026025912812382e-06,True
216,Casp8,769.9575850620535,1.5077794317450888,0.030428461994085,49.55161493335363,0.0,1e-300,True
217,Trak2,18.99680118789063,0.620812675175044,0.15763302395487,3.938341469315345,8.204677535343057e-05,0.0002104788040752,True
221,Als2,153.2614450618092,-1.1986714232151945,0.0603169454218073,-19.872880080923665,6.987642484358627e-88,2.493875342172728e-86,True
227,Fam117b,34.58398713107064,1.1647091689788251,0.1323644919184632,8.79925690113545,1.3772507241758744e-18,9.342653477264429e-18,True
228,Ica1l,191.74352114565056,-5.205216113146137,0.1376925393455802,-37.803181914468894,0.0,1e-300,True
229,Wdr12,145.638927419809,1.2108626896708314,0.0668913822022634,18.101923593228715,3.0773059378759694e-73,8.924697552499989e-72,True
230,Nbeal1,12.318955356305452,1.175270498770864,0.1995679522934589,5.889074299077151,3.883648278744455e-09,1.5331205665616935e-08,True
235,Gm11588,37.04342012435468,0.5061175202227629,0.1105415674374286,4.578526720360171,4.682623552261382e-06,1.387961367490628e-05,True
238,Nrp2,110.9609210795928,0.8783759221998827,0.0686487324130913,12.795224198959511,1.7434858127828749e-37,2.320401818413007e-36,True
239,Ino80d,34.38804453089556,0.508278002635449,0.1240601683190234,4.097028155954142,4.18488018729954e-05,0.0001113590759517,True
244,Gpr1,23.20369853327349,2.148078234557479,0.172746093113843,12.434887503602493,1.6897852159067329e-35,2.103271448809747e-34,True
246,Gm11608,33.08508043253082,0.7946099126175128,0.1211310720138589,6.559918106946164,5.383733637770778e-11,2.4278167575383025e-10,True
250,Klf7,67.14840478082625,-0.7149685886834882,0.0838780553640777,-8.523905157077426,1.5426195901228502e-17,9.921784256001615e-17,True
