,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
7,Rb1cc1,600.1484085554567,0.7587543610413332,0.043014130996711,17.63965337575572,1.2220828637155422e-69,2.5413504123075112e-67
10,Pcmtd1,18.1175883654106,0.8612205906565712,0.2301749738833141,3.741590912890304,0.0001828590038353,0.000718439289023
11,Gm26901,20.60450948930201,-0.934344049781013,0.212298122888526,-4.401094258716647,1.077063199350598e-05,5.295282850058048e-05
17,Mybl1,40.21228280390884,-1.1375661030684487,0.1556203381691192,-7.309880677885478,2.673797132724424e-13,3.3171795677862386e-12
23,Ppp1r42,138.96092960119665,-0.6842598542206024,0.079503387306214,-8.606675481449837,7.520997735433453e-18,1.4187558147143795e-16
25,Cspp1,63.95159041628607,1.448917669025048,0.1597733417269405,9.06858211366268,1.2057578207421605e-19,2.6426822600657535e-18
27,Cpa6,146.07900454851915,0.643673748547248,0.0879351228690479,7.319870917856108,2.482095945345741e-13,3.0947360437758318e-12
45,Rdh10,431.3832355178442,-0.6516174515759969,0.0558464448255068,-11.668020294075768,1.8569418120102203e-31,8.360066900050138e-30
62,Tram2,192.24008048293263,-0.636750276774324,0.0695849789334328,-9.150685773483652,5.657326084197541e-20,1.2685773047337953e-18
64,Gsta3,22.809384313163463,-0.8290666187616039,0.1981857504121058,-4.183280669965674,2.8733229279673675e-05,0.0001304345241833
75,Adgrb3,66.635911897233,-0.6750870803741345,0.1145497056596585,-5.893398647220471,3.783321909247039e-09,3.038485844171369e-08
83,Bag2,702.514984034665,-0.5023418647798201,0.0405083462519665,-12.400947243197631,2.5825249881514666e-35,1.4458829004176224e-33
91,Cfc1,979.3470530660531,-1.0281261996741735,0.0371653615610104,-27.663559736568352,1.917106703854696e-168,2.790668325244486e-165
101,Cnnm4,34.70596721600614,1.5082645154465704,0.1838127291690857,8.205441060935161,2.2974587807213216e-16,3.793195650438568e-15
103,Ankrd23,508.0433411206114,0.6279956475588208,0.0489376951391944,12.832554654905593,1.0775169605415115e-37,6.89452976803631e-36
107,Fam178b,77.39188399916192,-0.5638283391678306,0.1085934574911318,-5.19210228861048,2.079327044702903e-07,1.320788538795284e-06
112,Gm38115,156.48999595108165,-0.5247726452649415,0.0768631582366791,-6.827362514158564,8.648994741326302e-12,9.173080761474672e-11
125,Eif5b,34.86526596169635,2.0385211704019213,0.2143768179605686,9.509056015454412,1.9240048732911445e-21,4.7807278985276975e-20
139,Map4k4,41.86307598902265,-1.0759941255105077,0.14166159779479,-7.595524420592693,3.0654841266615056e-14,4.109583785458418e-13
146,Ecrg4,192.5582800395198,0.6396211648774615,0.0710027276597525,9.00840271859058,2.0907933371738274e-19,4.525647833178738e-18
149,Gm8251,527.9005454720736,1.034095243350935,0.0490590138041311,21.078598266968363,1.2503192469277609e-98,5.600147847521571e-96
154,Gulp1,290.66528147718407,0.5108900333864104,0.057247025889871,8.924306991410088,4.484983409411482e-19,9.450384824559684e-18
158,Slc40a1,44.72391225230404,0.5436955366297204,0.1412798118456465,3.848359716275161,0.0001189113594779,0.0004848607907005
162,Gm17767,32.026629175395755,-0.5367966044506223,0.1728756847368674,-3.105101826596815,0.0019021352920736,0.0059322441138981
167,Gls,81.81850800137384,1.1750975168677602,0.1142181935148774,10.288181599673951,7.966662148965468e-25,2.4586864738185297e-23
168,Nab1,508.0371720976778,0.7658320250509951,0.0467818052114729,16.370296562715357,3.1169145950931334e-60,5.088435901596901e-58
179,Dnah7a,24.3608893291578,0.6607478360452843,0.2109799836488478,3.1318034280684364,0.0017373615551775,0.0054708067599032
191,Rftn2,789.0030139812777,-0.7575943443756175,0.0584935413948087,-12.951760592885778,2.296265799972044e-38,1.554696550151615e-36
200,Tyw5,111.92577965764052,1.0803562410169756,0.0971393000919593,11.121721486506797,9.835561355817977e-29,3.726845678165476e-27
